playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,cleanSheets,penaltiesConceded,penaltyGoalsConceded,unsuccessfulCornersIntoBox,offsides,oboxBlocked,shotsBlockedOutsideBox,expectedGoalsFreekick,rightFootGoals,freekickTotal,attemptsFromSetPieces,overruns,awayGoals,winningGoal,homeGoals,timesTackled,leftFootGoals,redCards2ndYellow,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,secondGoalAssists,gkSuccessfulDistribution,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,clearancesOffTheLine,otherGoals
153133,Alex Iwobi,Forward,Everton,11,Nigeria,2019-20,80.0,12.0,2.6457,0.0,5.0,10.0,2.0529,26.0,18.0,9.0,92.0,25.0,14.0,19.0,113.0,36.0,557.0,1.0,6.0,1.0,20.0,3.0,12.0,6.0,1601.0,6.0,1.0,12.0,70.0,6.0,35.0,62.0,416.0,48.0,1.0,24.1662,24.0,1.0,10.0,30.0,5.0,68.0,101.0,4.0,150.0,16.0,177.0,98.0,25.0,3.0,8.0,20.0,317.0,24.0,1.0,36.0,5.0,130.0,8.0,0.0,549.0,8.0,12.0,229.0,18.0,32.0,2.0,157.0,12.0,14.0,28.0,122.0,850.0,1.0,14.0,2.0,7.0,139.0,7.0,2.0,2.5064,0.0,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120250,André Gomes,Midfielder,Everton,11,Portugal,2019-20,137.0,2.0,1.0501,0.0,,,,22.0,5.0,3.0,86.0,19.0,8.0,17.0,130.0,7.0,851.0,,2.0,1.0,29.0,,3.0,,1460.0,,,12.0,83.0,3.0,27.0,66.0,636.0,13.0,,18.3427,10.0,,6.0,20.0,,125.0,223.0,19.0,220.0,17.0,229.0,122.0,19.0,,7.0,10.0,362.0,17.0,,9.0,,191.0,17.0,0.0,830.0,5.0,4.0,196.0,15.0,25.0,3.0,263.0,38.0,7.0,85.0,136.0,1054.0,2.0,4.0,,5.0,362.0,25.0,,0.1638,6.0,44.0,31.0,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232826,Anthony Gordon,Forward,Everton,11,England,2019-20,38.0,2.0,0.203,0.0,2.0,1.0,0.0303,11.0,4.0,3.0,18.0,11.0,2.0,4.0,24.0,1.0,113.0,,7.0,,6.0,1.0,4.0,,440.0,,,5.0,35.0,,7.0,34.0,86.0,8.0,,5.6859,5.0,,1.0,6.0,,33.0,27.0,12.0,73.0,4.0,35.0,18.0,11.0,1.0,4.0,5.0,59.0,6.0,,3.0,,67.0,1.0,0.0,107.0,3.0,1.0,56.0,7.0,11.0,2.0,22.0,10.0,8.0,3.0,29.0,219.0,,4.0,,3.0,34.0,5.0,,0.3006,0.0,6.0,6.0,1.0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195855,Beni Baningime,Midfielder,Everton,11,DR Congo,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100649,Bernard,Midfielder,Everton,11,Brazil,2019-20,112.0,6.0,2.3149,0.0,5.0,5.0,1.5466,32.0,7.0,5.0,112.0,27.0,15.0,15.0,124.0,25.0,540.0,3.0,12.0,6.0,14.0,2.0,6.0,,1278.0,,,13.0,73.0,2.0,44.0,72.0,401.0,51.0,1.0,13.537,22.0,3.0,7.0,12.0,2.0,99.0,177.0,10.0,185.0,20.0,161.0,81.0,27.0,2.0,10.0,20.0,304.0,10.0,,30.0,2.0,171.0,1.0,0.0,530.0,2.0,10.0,251.0,22.0,30.0,2.0,72.0,19.0,16.0,15.0,130.0,834.0,1.0,12.0,1.0,8.0,118.0,10.0,,1.7877,2.0,12.0,21.0,2.0,3.0,,,5.0,,3.0,3.0,0.09,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66838,Cenk Tosun,Forward,Everton,11,Turkey,2019-20,55.0,,0.2282,0.0,3.0,5.0,0.6779,4.0,12.0,,26.0,10.0,3.0,4.0,31.0,4.0,98.0,2.0,6.0,,50.0,,,1.0,466.0,1.0,1.0,38.0,31.0,2.0,3.0,19.0,64.0,37.0,,4.424,5.0,,2.0,6.0,,17.0,26.0,8.0,86.0,1.0,25.0,12.0,10.0,,2.0,,50.0,4.0,2.0,4.0,,36.0,12.0,0.0,97.0,7.0,4.0,59.0,2.0,7.0,,26.0,8.0,,3.0,21.0,178.0,,4.0,,2.0,17.0,4.0,1.0,0.5221,0.0,5.0,4.0,,,,,,2.0,,,,,,,3.0,1.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,
102747,Djibril Sidibé,Defender,Everton,11,France,2019-20,106.0,18.0,1.9801,0.0,5.0,3.0,0.7213,83.0,7.0,5.0,161.0,25.0,3.0,18.0,203.0,50.0,948.0,,7.0,1.0,62.0,2.0,18.0,1.0,1820.0,1.0,,32.0,144.0,4.0,47.0,114.0,691.0,20.0,24.0,27.4073,15.0,7.0,33.0,30.0,1.0,74.0,37.0,19.0,250.0,16.0,350.0,148.0,25.0,2.0,39.0,11.0,400.0,26.0,,50.0,1.0,188.0,30.0,0.0,929.0,4.0,13.0,338.0,44.0,14.0,3.0,404.0,24.0,40.0,54.0,157.0,1537.0,161.0,3.0,,19.0,363.0,12.0,,0.3636,3.0,42.0,68.0,4.0,4.0,,1.0,,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177815,Dominic Calvert-Lewin,Forward,Everton,11,England,2019-20,304.0,4.0,0.8359,0.0,15.0,38.0,13.8708,7.0,70.0,2.0,194.0,36.0,26.0,30.0,199.0,15.0,553.0,13.0,6.0,,396.0,5.0,4.0,20.0,2629.0,20.0,10.0,216.0,242.0,7.0,36.0,62.0,343.0,138.0,,37.8051,14.0,,36.0,43.0,13.0,88.0,118.0,44.0,546.0,13.0,163.0,55.0,36.0,5.0,2.0,13.0,288.0,36.0,4.0,15.0,13.0,150.0,180.0,0.0,551.0,32.0,20.0,363.0,5.0,14.0,2.0,140.0,57.0,6.0,11.0,132.0,1006.0,1.0,10.0,2.0,1.0,70.0,16.0,4.0,15.3244,9.0,5.0,35.0,1.0,5.0,,2.0,,13.0,2.0,2.0,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
41823,Fabian Delph,Midfielder,Everton,11,England,2019-20,51.0,5.0,0.6979,1.0,3.0,,,26.0,,1.0,61.0,16.0,12.0,13.0,105.0,3.0,781.0,,3.0,,24.0,,5.0,,1190.0,,,9.0,69.0,2.0,14.0,54.0,618.0,,,18.6758,7.0,2.0,16.0,24.0,,42.0,231.0,7.0,120.0,9.0,236.0,94.0,16.0,,14.0,5.0,334.0,22.0,,3.0,,96.0,15.0,0.0,764.0,,1.0,140.0,12.0,21.0,4.0,197.0,18.0,15.0,58.0,117.0,953.0,1.0,2.0,,17.0,347.0,18.0,,0.0743,3.0,44.0,19.0,,1.0,,1.0,,,3.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
55422,Gylfi Sigurdsson,Midfielder,Everton,11,Iceland,2019-20,146.0,7.0,3.6835,0.0,20.0,14.0,3.7997,50.0,26.0,3.0,145.0,35.0,23.0,28.0,169.0,32.0,1019.0,2.0,7.0,71.0,38.0,6.0,37.0,6.0,2563.0,6.0,,24.0,103.0,6.0,45.0,89.0,803.0,52.0,,39.2653,48.0,4.0,15.0,45.0,6.0,122.0,282.0,23.0,249.0,26.0,328.0,147.0,35.0,6.0,24.0,14.0,516.0,39.0,,94.0,6.0,211.0,14.0,0.0,964.0,12.0,16.0,354.0,26.0,16.0,4.0,210.0,34.0,37.0,47.0,199.0,1523.0,3.0,9.0,1.0,10.0,371.0,17.0,2.0,3.9601,3.0,24.0,38.0,3.0,4.0,,3.0,49.0,2.0,14.0,14.0,0.349,2.0,5.0,5.0,,,,,,,,20.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
