playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,fiftyFifty,blockedShots,overruns,totalShots,goalAssists,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,tacklesLost,unsuccessfulDribbles,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,iboxTarget,shotsOnTargetInBox,ownGoalScored,homeGoals,rightFootGoals,lastPlayerTackle,headedGoals,clearancesOffTheLine,unsuccessfulLayoffs,leftFootGoals,foulWonPenalty,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,secondGoalAssists,shotsOnTargetOutsideBox,oboxTarget,successfulLayoffs,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesConceded,penaltiesTaken,penaltyGoals,otherGoals
173807,Tom Davies,Midfielder,Sheffield United U21,England,2021-22,10.0,0.0528,0.0,,3.0,,1.0,16.0,6.0,2.0,21.0,81.0,,,5.0,,,232.0,2.0,11.0,,9.0,8.0,59.0,,1.0,6.7407,,,8.0,9.0,8.0,19.0,,3.0,0.0,21.0,1.0,,34.0,9.0,6.0,,31.0,9.0,16.0,3.0,0.0,,81.0,3.0,30.0,1.0,2.0,,,15.0,2.0,1.0,129.0,2.0,29.0,,1.0,5.0,7.0,,9.0,3.0,,3.0,,8.0,,,2.0,4.0,,9.0,,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,4.0,13.0,,1.0,,2.0,,,0.838,2.0,0.9756,1.0,0.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
180184,Donny van de Beek,Midfielder,Manchester United,Netherlands,2021-22,43.0,0.1727,0.0,,21.0,,2.0,38.0,15.0,5.0,44.0,275.0,,,15.0,1.0,,552.0,7.0,36.0,2.0,14.0,28.0,228.0,,,11.0761,5.0,1.0,5.0,14.0,36.0,66.0,,3.0,0.0,79.0,8.0,,89.0,42.0,15.0,,131.0,12.0,64.0,8.0,0.0,,268.0,1.0,80.0,11.0,4.0,,,62.0,8.0,3.0,382.0,3.0,100.0,,1.0,6.0,13.0,,30.0,3.0,,4.0,,12.0,5.0,,2.0,10.0,,11.0,,,10.0,10.0,,6.0,19.0,,2.0,3.0,9.0,58.0,1.0,2.0,,2.0,7.0,,1.0465,2.0,0.915,2.0,2.0,,,,0.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,3.0,,,,,,,,
193488,Anwar El Ghazi,Forward,Cardiff City,Netherlands,2021-22,41.0,0.3856,0.0,,5.0,,1.0,25.0,11.0,4.0,26.0,112.0,,,24.0,1.0,,394.0,14.0,24.0,1.0,14.0,14.0,84.0,,1.0,8.0631,4.0,1.0,2.0,8.0,27.0,37.0,,5.0,0.0,65.0,9.0,,32.0,22.0,11.0,,61.0,7.0,41.0,10.0,0.0,,110.0,5.0,76.0,5.0,4.0,,,10.0,1.0,2.0,211.0,,28.0,,2.0,1.0,5.0,3.0,19.0,1.0,,7.0,1.0,11.0,11.0,2.0,,7.0,3.0,17.0,,1.0,,7.0,,11.0,14.0,1.0,4.0,,8.0,33.0,2.0,2.0,,,4.0,,1.0559,3.0,1.0911,1.0,0.0,,,,1.0,1.0,,,,,,,2.0,,,2.0,2.0,7.0,,,,,,1.0,1.0,
491556,Charlie Whitaker,Midfielder,Tranmere Rovers,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491559,Isaac Price,Midfielder,West Bromwich Albion,Northern Ireland,2021-22,1.0,,0.0,,,,,1.0,1.0,,1.0,2.0,,,,,,12.0,,,,1.0,,1.0,,,0.4476,,,,1.0,1.0,,,,0.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,0.0,,2.0,,2.0,,,,,,,,6.0,,1.0,,0.0,,,,,,,1.0,,,,,,1.0,,3.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,0.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461446,Tyler Onyango,Midfielder,Everton U21,England,2021-22,3.0,0.0001,0.0,,,,,1.0,3.0,,1.0,2.0,,,3.0,,,27.0,2.0,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,0.0,4.0,,,1.0,,3.0,,1.0,,1.0,1.0,0.0,,2.0,1.0,2.0,,,,,,,,8.0,,,,0.0,,1.0,,2.0,1.0,,,,2.0,,,,3.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,0.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212319,Richarlison,Forward,Tottenham Hotspur,Brazil,2021-22,299.0,2.0952,0.0,,40.0,,3.0,181.0,30.0,28.0,192.0,524.0,,,223.0,4.0,,2526.0,157.0,214.0,4.0,67.0,148.0,324.0,,,40.5275,24.0,,33.0,46.0,142.0,176.0,,68.0,1.0,513.0,38.0,,136.0,114.0,30.0,,252.0,42.0,290.0,66.0,0.0,,518.0,26.0,425.0,23.0,40.0,,,102.0,12.0,8.0,1153.0,2.0,85.0,,9.0,11.0,28.0,5.0,81.0,26.0,7.0,46.0,5.0,40.0,33.0,21.0,11.0,2.0,5.0,141.0,,15.0,17.0,42.0,,33.0,96.0,15.0,23.0,4.0,36.0,110.0,2.0,7.0,2.0,11.0,13.0,3.0,9.6014,23.0,8.0399,10.0,3.0,9.0,9.0,,7.0,6.0,,2.0,,3.0,2.0,1.0,,,,4.0,4.0,16.0,,2.0,2.0,0.0783,,3.0,3.0,
177815,Dominic Calvert-Lewin,Forward,Leeds United,England,2021-22,137.0,1.2075,0.0,,11.0,,,110.0,17.0,15.0,110.0,277.0,,,188.0,,,1285.0,94.0,123.0,3.0,9.0,29.0,165.0,,1.0,25.1242,8.0,,12.0,31.0,43.0,59.0,,16.0,1.0,260.0,3.0,,82.0,34.0,17.0,,128.0,28.0,72.0,94.0,0.0,,274.0,6.0,185.0,8.0,2.0,,,62.0,3.0,2.0,478.0,,39.0,,2.0,,23.0,,34.0,6.0,,27.0,2.0,15.0,2.0,4.0,3.0,2.0,,54.0,,3.0,3.0,9.0,,2.0,22.0,3.0,14.0,2.0,17.0,74.0,,6.0,2.0,3.0,2.0,,6.6792,13.0,5.8115,5.0,2.0,7.0,7.0,,3.0,2.0,,2.0,,7.0,,1.0,,,,1.0,1.0,21.0,,,,,,3.0,2.0,1.0
232826,Anthony Gordon,Forward,Newcastle United,England,2021-22,179.0,3.0883,0.0,,54.0,,2.0,136.0,35.0,25.0,158.0,613.0,,,55.0,4.0,,2283.0,38.0,173.0,5.0,74.0,156.0,447.0,,1.0,37.9827,33.0,,8.0,40.0,141.0,129.0,,64.0,1.0,352.0,46.0,,162.0,116.0,35.0,,349.0,35.0,297.0,17.0,0.0,,591.0,21.0,423.0,32.0,38.0,,,157.0,22.0,8.0,1263.0,9.0,129.0,,4.0,22.0,38.0,10.0,86.0,16.0,9.0,28.0,2.0,39.0,48.0,8.0,6.0,10.0,23.0,85.0,2.0,10.0,22.0,42.0,,96.0,79.0,10.0,10.0,3.0,25.0,165.0,4.0,11.0,,6.0,12.0,,3.4457,18.0,3.0252,4.0,0.0,8.0,8.0,,4.0,3.0,,,,,1.0,2.0,50.0,34.0,1.0,6.0,6.0,9.0,10.0,5.0,5.0,0.3166,,,,
172632,Demarai Gray,Forward,Birmingham City,Jamaica,2021-22,140.0,3.5381,0.0,,30.0,,3.0,93.0,34.0,28.0,117.0,633.0,,,35.0,,,2348.0,31.0,121.0,3.0,59.0,117.0,488.0,,1.0,31.1158,38.0,3.0,13.0,39.0,109.0,203.0,,32.0,2.0,261.0,28.0,,127.0,100.0,34.0,,402.0,36.0,226.0,4.0,0.0,,603.0,24.0,374.0,19.0,55.0,,,107.0,15.0,28.0,1225.0,13.0,148.0,,3.0,24.0,26.0,15.0,73.0,27.0,3.0,38.0,4.0,30.0,44.0,3.0,15.0,6.0,34.0,93.0,1.0,12.0,11.0,51.0,,95.0,87.0,12.0,21.0,2.0,12.0,196.0,5.0,19.0,1.0,15.0,8.0,1.0,4.0141,17.0,2.9289,5.0,2.0,4.0,4.0,,3.0,2.0,,,,,3.0,,56.0,39.0,,8.0,8.0,11.0,14.0,4.0,4.0,0.1747,,,,
153133,Alex Iwobi,Forward,Fulham,Nigeria,2021-22,119.0,2.9569,0.0,,40.0,,6.0,111.0,28.0,22.0,142.0,696.0,,,30.0,5.0,,2037.0,21.0,87.0,2.0,61.0,78.0,525.0,,2.0,35.294,34.0,4.0,25.0,38.0,98.0,119.0,,6.0,1.0,206.0,36.0,,224.0,130.0,28.0,,397.0,36.0,176.0,9.0,0.0,,690.0,11.0,285.0,19.0,32.0,,,223.0,20.0,29.0,1126.0,11.0,168.0,,1.0,31.0,39.0,10.0,61.0,9.0,6.0,15.0,2.0,27.0,21.0,3.0,3.0,6.0,11.0,66.0,16.0,6.0,21.0,25.0,,21.0,52.0,6.0,9.0,3.0,16.0,130.0,34.0,7.0,,3.0,11.0,1.0,2.3004,6.0,1.6524,2.0,1.0,4.0,4.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,6.0,1.0,,,,1.0,,,
66838,Cenk Tosun,Forward,Fenerbahçe,Turkey,2021-22,1.0,0.0002,0.0,,,,,,1.0,,,1.0,,,1.0,,,6.0,1.0,,,,,1.0,,,,,,,,,,,,0.0,1.0,,,,1.0,1.0,,1.0,,,,0.0,,1.0,,1.0,,,,,1.0,,,3.0,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242058,Moise Kean,Forward,Fiorentina,Italy,2021-22,1.0,,0.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,0.0,1.0,,,,1.0,1.0,,,,1.0,,0.0,,1.0,,1.0,,,,,,,,2.0,,1.0,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57134,Salomón Rondón,Forward,Pachuca,Venezuela,2021-22,94.0,0.6508,1.0,,6.0,,,69.0,20.0,8.0,70.0,186.0,,,94.0,1.0,,783.0,56.0,52.0,1.0,14.0,14.0,113.0,,1.0,16.2361,7.0,,10.0,16.0,38.0,48.0,,4.0,0.0,146.0,5.0,,53.0,20.0,20.0,,80.0,15.0,52.0,38.0,1.0,,184.0,6.0,117.0,1.0,4.0,,,42.0,,3.0,304.0,1.0,37.0,,3.0,1.0,12.0,1.0,25.0,6.0,,15.0,1.0,10.0,5.0,5.0,1.0,12.0,1.0,46.0,1.0,5.0,5.0,6.0,,5.0,16.0,5.0,9.0,,12.0,43.0,,3.0,,1.0,7.0,,1.8577,6.0,1.6253,1.0,1.0,5.0,5.0,,0.0,1.0,,,,2.0,,,,,,,,10.0,,,,,,,,
173818,Nathan Broadhead,Forward,Wrexham,Wales,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218997,Ellis Simms,Forward,Coventry City,England,2021-22,5.0,0.0075,0.0,,,,,5.0,1.0,1.0,5.0,12.0,,,6.0,,,62.0,4.0,2.0,,,,7.0,,,2.1116,,,1.0,,1.0,3.0,,,0.0,7.0,,,3.0,1.0,1.0,,4.0,,1.0,2.0,0.0,,12.0,,7.0,,,,,2.0,,,19.0,,3.0,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
461421,Lewis Dobbin,Forward,Aston Villa,England,2021-22,9.0,0.0053,0.0,,2.0,,,2.0,3.0,,3.0,8.0,,,6.0,,,30.0,6.0,3.0,,,3.0,4.0,,,0.8184,,,,1.0,3.0,3.0,,1.0,0.0,12.0,,,2.0,4.0,3.0,,4.0,1.0,6.0,,0.0,,7.0,,6.0,1.0,,,,2.0,,1.0,14.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,,3.0,,2.0,,,1.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
