playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedGoalsOnTargetConceded,expectedAssists,goalsConceded,totalRedCards,rightsidePasses,shotsOnTargetIncGoals,winningGoal,duels,homeGoals,expectedGoalsOnTarget,appearances,rightFootGoals,totalShots,gamesPlayed,successfulPassesOppositionHalf,goalsConcededInsideBox,totalPasses,goals,awayGoals,straightRedCards,openPlayPasses,substituteOn,aerialDuels,leftsidePasses,backwardPasses,timePlayed,touches,aerialDuelsLost,successfulShortPasses,expectedGoals,yellowCards,blockedShots,totalTackles,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,offsides,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,shotsBlockedInBox,groundDuelsLost,totalFoulsWon,putthroughBlockedDistributionWon,forwardPasses,recoveries,tacklesLost,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,cornersWon,totalLossesOfPossession,totalFoulsConceded,interceptions,successfulLongPasses,substituteOff,successfulPassesOwnHalf,foulAttemptedTackle,unsuccessfulDribbles,shotsOffTargetIncWoodwork,tacklesWon,iboxTarget,shotsOnTargetInBox,unsuccessfulLongPasses,overruns,goalAssists,cleanSheets,unsuccessfulLayoffs,aerialDuelsWon,successfulDribbles,blocks,unsuccessfulLaunches,unsuccessfulPassesOwnHalf,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulCornersIntoBox,oboxBlocked,shotsBlockedOutsideBox,handballsConceded,goalKicks,gkSuccessfulDistribution,successfulLaunches,punches,catches,savesMade,savesMadeFromOutsideBox,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,throughBalls,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,leftFootGoals,throwInsToOppositionPlayer,throwInsToOwnPlayer,headedGoals
154043,Ainsley Maitland-Niles,Midfielder,Everton,11,England,2026-27,2.0,0.3042,0.0036,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.4224,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,13.0,6.0,2.0,4.0,0.0271,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629068,Braiden Graham,Forward,Everton,11,Northern Ireland,2026-27,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242898,Brennan Johnson,Forward,Everton,11,Wales,2026-27,9.0,1.6032,0.0383,1.0,0.0,1.0,,0.0,12.0,,,3.0,,,3.0,11.0,,22.0,,,0.0,22.0,2.0,3.0,7.0,8.0,100.0,45.0,3.0,16.0,0.0522,1.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,6.0,1.0,1.0,6.0,5.0,2.0,1.0,2.0,1.0,9.0,2.0,10.0,4.0,2.0,1.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502697,Charly Alcaraz,Midfielder,Everton,11,Argentina,2026-27,4.0,,0.0232,,0.0,2.0,1.0,0.0,5.0,,0.0369,2.0,,2.0,2.0,3.0,,5.0,,,0.0,5.0,2.0,1.0,2.0,,5.0,9.0,1.0,3.0,0.0525,1.0,,1.0,,,,2.0,,,1.0,,,1.0,4.0,,,,3.0,,,1.0,2.0,,,1.0,,4.0,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609873,Harrison Armstrong,Midfielder,Everton,11,England,2026-27,17.0,3.7711,0.0954,3.0,0.0,25.0,,0.0,27.0,,,3.0,,1.0,3.0,44.0,2.0,85.0,,,0.0,85.0,,5.0,24.0,17.0,266.0,130.0,4.0,77.0,0.0945,1.0,1.0,6.0,6.0,5.0,3.0,8.0,1.0,,10.0,1.0,6.0,9.0,4.0,1.0,5.0,1.0,13.0,2.0,4.0,19.0,15.0,3.0,1.0,5.0,1.0,22.0,,24.0,6.0,3.0,,1.0,33.0,3.0,2.0,1.0,3.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
244860,Hayden Hackney,Midfielder,Everton,11,England,2026-27,8.0,2.0057,0.1098,1.0,0.0,23.0,,0.0,14.0,,,3.0,,1.0,3.0,40.0,1.0,75.0,,,0.0,73.0,2.0,1.0,21.0,7.0,122.0,104.0,1.0,66.0,0.0482,0.0,1.0,3.0,5.0,,1.0,8.0,1.0,,6.0,,2.0,6.0,6.0,2.0,,1.0,7.0,3.0,2.0,24.0,5.0,2.0,5.0,4.0,1.0,13.0,1.0,18.0,1.0,2.0,1.0,1.0,28.0,1.0,3.0,1.0,1.0,,,3.0,,1.0,,,,,1.0,2.0,3.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
114283,Jack Grealish,Midfielder,Everton,11,England,2026-27,2.0,0.3042,0.1265,1.0,0.0,5.0,,0.0,6.0,,,2.0,,,2.0,12.0,1.0,18.0,,,0.0,18.0,2.0,,,7.0,32.0,25.0,,16.0,0.0218,0.0,1.0,2.0,2.0,,,2.0,,,4.0,,1.0,4.0,4.0,1.0,,,2.0,1.0,,6.0,,1.0,,2.0,,6.0,,4.0,1.0,,,,4.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
512462,Jake O'Brien,Defender,Everton,11,Ireland,2026-27,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232928,James Garner,Midfielder,Everton,11,England,2026-27,6.0,1.7655,0.1101,2.0,0.0,22.0,,0.0,12.0,,,3.0,,,3.0,44.0,1.0,77.0,,,0.0,74.0,1.0,1.0,21.0,13.0,150.0,100.0,1.0,70.0,,1.0,,5.0,4.0,,2.0,7.0,,,6.0,1.0,2.0,6.0,1.0,3.0,1.0,,5.0,1.0,2.0,21.0,12.0,,5.0,1.0,,11.0,,16.0,3.0,1.0,1.0,2.0,28.0,2.0,,,5.0,,,3.0,,,,,,,,1.0,2.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
17761,James Tarkowski,Defender,Everton,11,England,2026-27,6.0,3.7711,0.0145,3.0,0.0,24.0,1.0,0.0,28.0,0.0,0.3078,3.0,1.0,3.0,3.0,35.0,2.0,125.0,1.0,1.0,0.0,109.0,,16.0,48.0,6.0,270.0,173.0,4.0,91.0,0.1649,0.0,,5.0,10.0,,3.0,23.0,1.0,,22.0,1.0,3.0,10.0,5.0,1.0,13.0,,2.0,5.0,2.0,47.0,10.0,1.0,1.0,1.0,,12.0,,27.0,1.0,10.0,11.0,,67.0,,1.0,2.0,4.0,,,13.0,,,1.0,,12.0,,3.0,4.0,6.0,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,
