matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442007,1.0,2012-08-18 15:00:00,21,West Ham,Home,97.0,25.0,,8.0,8.0,,1.0,117.0,2.0,,4.0,9.0,,39.0,206.0,,,22.0,29.0,18.0,3.0,2.0,,,,1.0,,2.0,,,,,1.0,4.0,,,,,2.0,4.0,9.0,,,,39.0,22.0,1.0,1.0,,4.0,2.0,5.0,,1.0,6.0,6.0,11.0,,22.0,,75.0,48.0,4.0,25.0,8.0,,,78.0,17.0,9.0,,,5.0,2.0,2.0,132.0,1.0,,1.0,,1.0,,7.0,,,,2.0,,,,,10.0,,13.0,9.0,,4.0,55.0,79.0,42.0,4.0,1.0,2.0,4.0,2.0,264.0,,,6.0,5.0,,38.0,49.0,34.0,,,,,145.0,133.0,2.0,8.0,6.0,34.2,,,,0.0,,,,51.0,1.0,1.0,2.0,2.0,,4.0,1.0,3.0,68.0,200.0,6.0,112.0,38.0,37.0,5.0,5.0,24.0,19.0,,111.0,3.0,189.0,2.0,,24.0,,62.0,,277.0,,0.0,8.0,18.0,,29.0,0.0,480.0,12.0,10.0,3.0,6.0,13.0,0.0
442017,2.0,2012-08-25 12:45:00,21,West Ham,Away,133.0,10.0,3.0,8.0,5.0,7.0,1.0,173.0,2.0,,,15.0,1.0,30.0,298.0,,,15.0,25.0,23.0,4.0,2.0,3.0,,,,1.0,1.0,,,,,,3.0,,,,,2.0,10.0,2.0,7.0,2.0,,57.0,53.0,,,,,2.0,10.0,,,4.0,7.0,3.0,,12.0,1.0,72.0,66.0,,6.0,1.0,2.0,1.0,78.0,19.0,13.0,,,3.0,3.0,1.0,165.0,,,,,,,5.0,,,,,,,,2.0,6.0,,6.0,4.0,,,74.0,70.0,41.0,5.0,,2.0,4.0,5.0,364.0,,,3.0,,,61.0,63.0,35.0,,,,,124.0,124.0,4.0,26.0,21.0,37.8,,,,0.0,,,,85.0,2.0,,2.0,,,2.0,1.0,3.0,82.0,287.0,6.0,147.0,20.0,18.0,10.0,4.0,17.0,13.0,,138.0,17.0,251.0,,,33.0,1.0,55.0,2.0,381.0,,0.0,9.0,28.0,,17.0,4.0,534.0,21.0,8.0,2.0,4.0,16.0,0.0
442027,3.0,2012-09-01 12:45:00,21,West Ham,Home,190.0,15.0,2.0,5.0,3.0,5.0,,194.0,2.0,,4.0,9.0,3.0,29.0,379.0,,,21.0,17.0,18.0,12.0,1.0,,2.0,,,1.0,1.0,,,,1.0,,12.0,,,,,1.0,7.0,8.0,,,,107.0,58.0,,,,1.0,6.0,7.0,,,6.0,5.0,11.0,1.0,14.0,6.0,57.0,52.0,1.0,23.0,10.0,,,70.0,12.0,5.0,,,1.0,,1.0,158.0,2.0,1.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,15.0,1.0,7.0,6.0,,4.0,99.0,75.0,43.0,6.0,2.0,4.0,11.0,6.0,,,,5.0,4.0,,63.0,76.0,20.0,,,,,139.0,129.0,2.0,26.0,23.0,45.1,,,2.0,0.0,,,,89.0,5.0,4.0,,,2.0,4.0,,3.0,98.0,,15.0,199.0,21.0,33.0,10.0,6.0,22.0,16.0,2.0,137.0,8.0,276.0,1.0,,38.0,3.0,61.0,1.0,453.0,,0.0,16.0,26.0,,23.0,0.0,659.0,,10.0,3.0,6.0,21.0,0.0
442034,4.0,2012-09-15 12:45:00,21,West Ham,Away,136.0,18.0,1.0,4.0,3.0,2.0,,131.0,4.0,1.0,4.0,13.0,,37.0,263.0,,1.0,18.0,22.0,27.0,7.0,1.0,,,,,,,,,,,,10.0,,,,,1.0,15.0,10.0,8.0,6.0,,47.0,59.0,1.0,3.0,,1.0,5.0,7.0,,,5.0,9.0,11.0,,11.0,3.0,57.0,62.0,1.0,20.0,16.0,,1.0,82.0,14.0,12.0,,,1.0,2.0,,179.0,,,,,,,11.0,,,,,,,,1.0,33.0,,6.0,6.0,,4.0,73.0,80.0,37.0,8.0,,4.0,4.0,3.0,350.0,,,7.0,,,53.0,63.0,31.0,,,,,187.0,165.0,2.0,20.0,29.0,51.1,,,,0.0,,,,74.0,8.0,1.0,9.0,1.0,,6.0,,3.0,65.0,254.0,8.0,156.0,31.0,42.0,11.0,5.0,27.0,22.0,1.0,131.0,13.0,244.0,,1.0,40.0,1.0,71.0,3.0,373.0,,0.0,14.0,16.0,1.0,21.0,1.0,573.0,19.0,11.0,7.0,5.0,12.0,0.0
442047,5.0,2012-09-22 15:00:00,21,West Ham,Home,158.0,15.0,4.0,12.0,8.0,5.0,1.0,219.0,3.0,,2.0,16.0,3.0,36.0,365.0,,1.0,24.0,25.0,34.0,11.0,6.0,,,,,,1.0,,,,,,12.0,,1.0,,,5.0,2.0,3.0,,,,71.0,57.0,,,,,10.0,2.0,,,10.0,17.0,12.0,,18.0,,67.0,76.0,,18.0,13.0,,,89.0,13.0,11.0,,,3.0,3.0,1.0,191.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,1.0,20.0,1.0,7.0,6.0,,2.0,99.0,87.0,55.0,1.0,1.0,10.0,8.0,4.0,,,,2.0,3.0,,102.0,50.0,38.0,,,,,178.0,167.0,2.0,18.0,34.0,61.3,1.0,,,0.0,,,,93.0,,,,3.0,,10.0,,3.0,99.0,,18.0,171.0,29.0,29.0,18.0,10.0,42.0,32.0,,156.0,16.0,325.0,1.0,,39.0,3.0,61.0,1.0,454.0,1.0,0.0,24.0,23.0,1.0,27.0,2.0,681.0,,10.0,8.0,10.0,19.0,0.0
442055,6.0,2012-10-01 20:00:00,21,West Ham,Away,89.0,12.0,,3.0,3.0,3.0,,161.0,4.0,1.0,1.0,12.0,4.0,25.0,247.0,,1.0,21.0,22.0,21.0,12.0,,,,,,,,,,,,1.0,16.0,,,,,,7.0,6.0,,,,71.0,64.0,2.0,1.0,1.0,3.0,7.0,4.0,,,13.0,16.0,6.0,,13.0,2.0,66.0,57.0,3.0,28.0,15.0,,1.0,79.0,22.0,9.0,1.0,1.0,3.0,2.0,,153.0,2.0,,1.0,1.0,1.0,,11.0,,,1.0,,,,,1.0,27.0,1.0,14.0,13.0,,1.0,55.0,85.0,43.0,4.0,1.0,4.0,10.0,5.0,,,,2.0,3.0,,76.0,45.0,32.0,,,,,191.0,168.0,3.0,15.0,37.0,49.5,,,1.0,0.0,,,,55.0,3.0,3.0,,2.0,,6.0,1.0,3.0,96.0,,14.0,95.0,16.0,51.0,12.0,11.0,35.0,24.0,2.0,157.0,12.0,274.0,,1.0,36.0,6.0,52.0,1.0,334.0,1.0,0.0,18.0,21.0,2.0,28.0,8.0,584.0,,11.0,6.0,13.0,18.0,0.0
442067,7.0,2012-10-06 17:30:00,21,West Ham,Home,88.0,14.0,2.0,4.0,2.0,4.0,1.0,120.0,5.0,1.0,3.0,16.0,5.0,29.0,204.0,,,9.0,18.0,25.0,6.0,2.0,3.0,,,,,,,,,,,4.0,,,,,2.0,12.0,9.0,8.0,1.0,,54.0,52.0,,,,,1.0,8.0,,,4.0,4.0,6.0,,13.0,,59.0,56.0,,32.0,24.0,,1.0,55.0,12.0,7.0,,,2.0,2.0,,140.0,1.0,,,1.0,,,11.0,,,1.0,,,,,,33.0,,16.0,10.0,1.0,3.0,41.0,81.0,40.0,16.0,1.0,5.0,4.0,3.0,259.0,,,7.0,2.0,,39.0,36.0,36.0,,,,,118.0,118.0,3.0,28.0,16.0,31.3,,3.0,,0.0,,,,42.0,3.0,1.0,4.0,1.0,,5.0,1.0,3.0,61.0,195.0,9.0,94.0,26.0,49.0,17.0,4.0,16.0,12.0,1.0,104.0,11.0,199.0,,1.0,37.0,5.0,56.0,1.0,277.0,,0.0,9.0,15.0,,13.0,3.0,461.0,26.0,5.0,9.0,4.0,11.0,0.0
442078,8.0,2012-10-20 15:00:00,21,West Ham,Home,73.0,13.0,1.0,5.0,4.0,3.0,,124.0,8.0,,3.0,13.0,1.0,21.0,192.0,,,9.0,18.0,16.0,2.0,3.0,,,1.0,,,2.0,,1.0,,,,5.0,1.0,,,,1.0,6.0,5.0,,,,53.0,51.0,1.0,,2.0,5.0,3.0,3.0,,,6.0,10.0,2.0,,14.0,,50.0,54.0,5.0,23.0,13.0,,,66.0,11.0,11.0,1.0,,4.0,2.0,2.0,140.0,2.0,,1.0,2.0,,,13.0,,,2.0,1.0,,,,,25.0,,11.0,7.0,,3.0,49.0,75.0,37.0,3.0,3.0,2.0,5.0,6.0,,,,1.0,1.0,,58.0,49.0,19.0,,,,1.0,164.0,144.0,2.0,19.0,22.0,38.7,,,,0.0,,,,41.0,1.0,,,,,2.0,,3.0,63.0,,7.0,90.0,22.0,43.0,7.0,5.0,19.0,14.0,,116.0,13.0,212.0,1.0,,29.0,1.0,45.0,3.0,283.0,,0.0,11.0,24.0,,15.0,0.0,475.0,,6.0,3.0,6.0,17.0,0.0
442088,9.0,2012-10-27 15:00:00,21,West Ham,Away,92.0,13.0,1.0,11.0,10.0,4.0,,166.0,6.0,1.0,4.0,17.0,4.0,33.0,247.0,,,18.0,9.0,23.0,10.0,1.0,,1.0,,,,2.0,,,,,,7.0,,,,,2.0,7.0,9.0,,,,55.0,46.0,4.0,3.0,1.0,1.0,7.0,5.0,,,6.0,12.0,16.0,1.0,9.0,1.0,45.0,56.0,1.0,12.0,5.0,,,69.0,17.0,10.0,,1.0,2.0,,2.0,144.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,,12.0,1.0,8.0,4.0,,4.0,76.0,72.0,38.0,6.0,,3.0,9.0,4.0,,,,5.0,1.0,,73.0,47.0,27.0,,,,,155.0,145.0,1.0,14.0,19.0,45.6,,,,0.0,,,,59.0,3.0,2.0,,,1.0,4.0,1.0,3.0,108.0,,12.0,105.0,22.0,22.0,10.0,5.0,33.0,28.0,1.0,156.0,15.0,262.0,1.0,1.0,32.0,5.0,53.0,1.0,334.0,,0.0,15.0,19.0,,20.0,4.0,532.0,,14.0,4.0,6.0,12.0,0.0
442098,10.0,2012-11-03 17:30:00,21,West Ham,Home,71.0,9.0,,6.0,6.0,6.0,,128.0,11.0,,1.0,6.0,4.0,17.0,193.0,,,11.0,28.0,29.0,6.0,,,,,,,,,,,,,6.0,,1.0,,,,14.0,8.0,,,,54.0,49.0,,,,1.0,1.0,11.0,,1.0,3.0,14.0,9.0,,7.0,3.0,59.0,67.0,1.0,24.0,12.0,,,66.0,11.0,12.0,,,2.0,,,133.0,,,,,,,18.0,,,,,,,,,23.0,1.0,7.0,4.0,,2.0,48.0,72.0,35.0,7.0,,5.0,1.0,,,,,5.0,,,43.0,61.0,15.0,,,,,164.0,138.0,3.0,23.0,16.0,35.0,1.0,,,0.0,,,,48.0,4.0,1.0,,,,5.0,,3.0,69.0,,6.0,97.0,22.0,50.0,5.0,3.0,26.0,23.0,,116.0,15.0,212.0,1.0,,27.0,6.0,43.0,2.0,283.0,,0.0,6.0,23.0,,15.0,3.0,479.0,,5.0,3.0,3.0,18.0,0.0
