matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
284009,1,2009-08-15 15:00:00,"Molineux Stadium, Wolverhampton",28674.0,Away,West Ham,Wolves,2,0,W,1,0,0,0,2.0,17.0,10.0,3.0,4.0,,,,,2.0,13.0,10.0,30.0,67.0,408.0,327.0,51.4,,7.0,5.0,7.0,59.0,31.0,6.0,,,8.0,7.0,156.0,,,,1.0,,32.0,46.0,10.0,16.0,6.0,6.0,,6.0,9.0,0.0,0.0,,,7.0
284016,2,2009-11-04 19:45:00,"Boleyn Ground, London",30024.0,Home,West Ham,Aston Villa,2,1,W,1,0,0,1,2.0,20.0,7.0,8.0,5.0,,,,,1.0,13.0,9.0,27.0,67.0,385.0,289.0,54.2,,20.0,18.0,14.0,34.0,16.0,7.0,,,6.0,7.0,164.0,,1.0,,,,52.0,55.0,11.0,19.0,6.0,6.0,2.0,11.0,16.0,0.0,0.0,1.0,1.0,3.0
284028,3,2009-08-23 13:30:00,"Boleyn Ground, London",33095.0,Home,West Ham,Spurs,1,2,L,0,0,0,0,1.0,19.0,5.0,9.0,5.0,,,,,1.0,17.0,8.0,26.0,72.0,332.0,255.0,46.9,,19.0,13.0,17.0,37.0,27.0,9.0,,2.0,9.0,15.0,140.0,,2.0,,,,43.0,63.0,9.0,15.0,4.0,4.0,,16.0,11.0,0.0,0.0,,,1.0
284031,4,2009-08-29 15:00:00,"Ewood Park, Blackburn",23421.0,Away,West Ham,Blackburn,0,0,D,0,0,0,0,,14.0,1.0,7.0,6.0,,,,,,11.0,4.0,22.0,64.0,416.0,331.0,53.3,,16.0,13.0,22.0,54.0,27.0,3.0,,,9.0,14.0,148.0,,,,1.0,,54.0,63.0,13.0,14.0,2.0,2.0,,18.0,13.0,0.0,0.0,,,2.0
284049,5,2009-09-12 15:00:00,"The Brick Community Stadium, Wigan",17142.0,Away,West Ham,Wigan,0,1,L,0,0,0,0,,13.0,5.0,6.0,2.0,,,1.0,,,10.0,5.0,21.0,52.0,364.0,271.0,47.0,,21.0,17.0,25.0,32.0,27.0,1.0,1.0,,7.0,19.0,161.0,,1.0,,,,59.0,65.0,12.0,12.0,7.0,7.0,1.0,13.0,13.0,0.0,0.0,,,3.0
284058,6,2009-09-19 17:30:00,"Boleyn Ground, London",34658.0,Home,West Ham,Liverpool,2,3,L,2,2,0,0,2.0,12.0,3.0,5.0,4.0,,,1.0,,1.0,8.0,5.0,16.0,62.0,359.0,280.0,42.1,,23.0,17.0,25.0,38.0,21.0,9.0,,,10.0,18.0,146.0,,3.0,,,,65.0,73.0,15.0,17.0,4.0,4.0,1.0,15.0,17.0,0.0,0.0,1.0,1.0,2.0
284064,7,2009-09-28 20:00:00,"Etihad Stadium, Manchester",42745.0,Away,West Ham,Man City,1,3,L,1,2,0,0,1.0,14.0,5.0,5.0,4.0,,,,,1.0,10.0,6.0,16.0,59.0,412.0,334.0,47.3,,20.0,20.0,24.0,25.0,12.0,2.0,1.0,,12.0,12.0,143.0,,3.0,,,,49.0,67.0,7.0,14.0,5.0,5.0,3.0,17.0,18.0,0.0,0.0,,,1.0
284078,8,2009-10-04 15:00:00,"Boleyn Ground, London",32612.0,Home,West Ham,Fulham,2,2,D,1,0,0,1,2.0,29.0,7.0,12.0,10.0,,,,,2.0,24.0,12.0,30.0,75.0,584.0,505.0,64.8,,20.0,14.0,17.0,20.0,12.0,1.0,,,10.0,9.0,130.0,4.0,2.0,,,,63.0,57.0,15.0,20.0,8.0,8.0,2.0,14.0,13.0,0.0,0.0,,,1.0
284087,9,2009-10-17 15:00:00,"bet365 Stadium, Stoke",,Away,West Ham,Stoke,1,2,L,1,1,0,0,1.0,13.0,5.0,2.0,6.0,,,,,1.0,10.0,9.0,27.0,75.0,467.0,383.0,61.2,,19.0,15.0,23.0,45.0,15.0,3.0,,,6.0,15.0,175.0,,2.0,,,,55.0,68.0,13.0,20.0,6.0,6.0,1.0,13.0,17.0,0.0,0.0,,,3.0
284098,10,2009-10-25 16:15:00,"Boleyn Ground, London",34442.0,Home,West Ham,Arsenal,2,2,D,0,2,1,0,2.0,16.0,3.0,7.0,6.0,2.09594,1.4827,,0.6531,,7.0,2.0,32.0,68.0,361.0,277.0,46.9,22.0,18.0,14.0,21.0,42.0,23.0,5.0,,1.0,16.0,12.0,139.0,4.0,2.0,1.4179,,0.0,66.0,69.0,23.0,9.0,6.0,6.0,2.0,19.0,16.0,0.0,0.0,1.0,1.0,5.0
