matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321657,1.0,2010-08-14 15:00:00,21,West Ham,Away,115.0,12.0,2.0,5.0,3.0,4.0,1.0,124.0,6.0,,2.0,4.0,8.0,23.0,234.0,,1.0,17.0,13.0,11.0,9.0,2.0,,1.0,,1.0,,,,,,9.0,,,,,,,21.0,6.0,,42.0,38.0,3.0,3.0,,6.0,3.0,11.0,1.0,7.0,8.0,4.0,,19.0,2.0,67.0,54.0,6.0,21.0,10.0,,,72.0,16.0,15.0,,,1.0,3.0,1.0,136.0,,,,,,,11.0,,,,2.0,,,,,18.0,,11.0,6.0,1.0,2.0,69.0,86.0,50.0,16.0,,7.0,4.0,1.0,,,8.0,1.0,,24.0,32.0,19.0,,,,,,159.0,144.0,5.0,12.0,17.0,43.2,,6.0,0.0,,,,66.0,2.0,,,,,10.0,,3.0,52.0,11.0,132.0,21.0,36.0,18.0,6.0,21.0,15.0,,93.0,12.0,202.0,3.0,,13.0,9.0,36.0,1.0,313.0,,0.0,14.0,18.0,6.0,26.0,2.0,529.0,6.0,10.0,7.0,13.0,0.0
321675,2.0,2010-08-21 15:00:00,21,West Ham,Home,109.0,16.0,2.0,4.0,2.0,7.0,1.0,146.0,4.0,,9.0,7.0,14.0,24.0,251.0,,3.0,20.0,20.0,17.0,11.0,2.0,,,,,1.0,,,,,13.0,1.0,1.0,,,,1.0,9.0,5.0,,49.0,58.0,1.0,2.0,1.0,5.0,5.0,3.0,,7.0,9.0,5.0,,22.0,1.0,63.0,49.0,5.0,15.0,10.0,1.0,1.0,93.0,11.0,16.0,,,3.0,1.0,,164.0,,,,,,,11.0,,,,1.0,,,,,17.0,1.0,12.0,11.0,1.0,9.0,62.0,87.0,40.0,5.0,1.0,5.0,8.0,8.0,,,3.0,2.0,1.0,27.0,65.0,24.0,,,,,2.0,188.0,178.0,,19.0,23.0,50.2,,,0.0,,,,75.0,,3.0,,1.0,,9.0,1.0,3.0,80.0,13.0,126.0,37.0,25.0,14.0,6.0,21.0,15.0,,143.0,15.0,245.0,1.0,,27.0,14.0,62.0,6.0,350.0,1.0,0.0,22.0,9.0,7.0,23.0,2.0,572.0,15.0,7.0,8.0,8.0,0.0
321683,3.0,2010-08-28 17:30:00,21,West Ham,Away,169.0,10.0,2.0,5.0,3.0,3.0,,160.0,2.0,,2.0,5.0,16.0,29.0,324.0,,,17.0,5.0,4.0,7.0,1.0,,,,,,,,,,7.0,,,,,1.0,,11.0,10.0,,58.0,61.0,,,,4.0,2.0,9.0,,3.0,10.0,8.0,,15.0,1.0,55.0,43.0,4.0,17.0,8.0,,,58.0,10.0,6.0,,,,,,131.0,,,,,,,7.0,,,,,,,,,16.0,1.0,16.0,15.0,2.0,2.0,94.0,71.0,42.0,9.0,,5.0,3.0,1.0,,,7.0,3.0,,41.0,54.0,23.0,1.0,1.0,1.0,,,142.0,131.0,2.0,28.0,23.0,39.7,1.0,,0.0,,,,99.0,,4.0,,,,5.0,,3.0,64.0,8.0,182.0,14.0,28.0,25.0,3.0,21.0,18.0,,97.0,9.0,221.0,,,14.0,16.0,48.0,3.0,382.0,,0.0,8.0,24.0,,20.0,2.0,600.0,12.0,9.0,3.0,18.0,0.0
321695,4.0,2010-09-11 15:00:00,21,West Ham,Home,137.0,26.0,,3.0,3.0,3.0,1.0,184.0,6.0,,7.0,5.0,15.0,33.0,318.0,,,14.0,12.0,10.0,9.0,1.0,,,1.0,2.0,,,,,,11.0,,,1.0,,,,10.0,8.0,,55.0,54.0,2.0,2.0,,2.0,5.0,15.0,,1.0,12.0,9.0,,13.0,2.0,58.0,43.0,2.0,15.0,9.0,1.0,,92.0,15.0,10.0,,,4.0,1.0,2.0,145.0,,,,,,,9.0,,,,,,,,2.0,18.0,1.0,11.0,9.0,,7.0,93.0,75.0,52.0,5.0,1.0,6.0,4.0,4.0,,,3.0,1.0,,54.0,53.0,34.0,,,,,,134.0,121.0,1.0,20.0,23.0,42.6,1.0,,0.0,,,,91.0,1.0,3.0,,1.0,,6.0,,2.0,97.0,10.0,142.0,39.0,28.0,7.0,1.0,23.0,22.0,,151.0,9.0,265.0,,,17.0,17.0,46.0,3.0,384.0,,0.0,15.0,21.0,6.0,16.0,2.0,571.0,8.0,2.0,1.0,16.0,0.0
321702,5.0,2010-09-18 12:45:00,21,West Ham,Away,184.0,13.0,,3.0,3.0,3.0,1.0,113.0,3.0,,3.0,8.0,13.0,34.0,294.0,,,19.0,23.0,24.0,7.0,,1.0,,,,,,,,,9.0,,,1.0,,,3.0,9.0,5.0,,49.0,39.0,,,1.0,3.0,1.0,5.0,,3.0,4.0,3.0,,11.0,,54.0,63.0,3.0,32.0,18.0,1.0,2.0,71.0,12.0,14.0,,,2.0,3.0,,158.0,,,,,,,6.0,,,,3.0,,,,2.0,30.0,1.0,16.0,12.0,2.0,3.0,90.0,82.0,38.0,6.0,1.0,3.0,4.0,6.0,,,6.0,3.0,,31.0,51.0,21.0,,,,,,179.0,161.0,,13.0,20.0,57.5,1.0,1.0,0.0,,,,98.0,1.0,1.0,,,1.0,6.0,,2.0,44.0,7.0,204.0,21.0,50.0,7.0,2.0,12.0,10.0,1.0,93.0,12.0,203.0,4.0,,40.0,13.0,75.0,2.0,395.0,,0.0,13.0,23.0,2.0,28.0,2.0,612.0,18.0,2.0,3.0,18.0,0.0
321715,6.0,2010-09-25 15:00:00,21,West Ham,Home,64.0,14.0,6.0,14.0,8.0,6.0,2.0,155.0,7.0,1.0,,10.0,5.0,31.0,205.0,,,16.0,13.0,17.0,15.0,5.0,1.0,,,,,,,1.0,,17.0,,,,,,2.0,9.0,11.0,,41.0,39.0,,,,6.0,10.0,11.0,,14.0,15.0,9.0,,11.0,4.0,54.0,57.0,6.0,20.0,8.0,,,82.0,10.0,11.0,1.0,,4.0,2.0,,128.0,1.0,1.0,1.0,,1.0,,11.0,,,,,,,,,16.0,,18.0,14.0,4.0,,53.0,66.0,35.0,7.0,,7.0,14.0,7.0,,,7.0,,,28.0,66.0,25.0,,,,,,143.0,127.0,2.0,9.0,20.0,36.1,,1.0,0.0,,,,47.0,3.0,2.0,,,1.0,8.0,2.0,3.0,86.0,21.0,75.0,23.0,36.0,22.0,14.0,40.0,26.0,1.0,132.0,13.0,234.0,,1.0,25.0,6.0,55.0,3.0,269.0,1.0,0.0,25.0,16.0,2.0,20.0,2.0,517.0,6.0,13.0,14.0,12.0,0.0
321725,7.0,2010-10-02 15:00:00,21,West Ham,Home,162.0,9.0,1.0,2.0,1.0,1.0,,148.0,6.0,,5.0,10.0,9.0,31.0,308.0,,,15.0,16.0,18.0,8.0,2.0,1.0,,,,,,,,1.0,10.0,,,,,,1.0,9.0,9.0,,53.0,59.0,2.0,1.0,1.0,3.0,1.0,5.0,,2.0,18.0,4.0,,12.0,3.0,58.0,55.0,3.0,23.0,7.0,,,94.0,24.0,8.0,1.0,,2.0,2.0,,181.0,1.0,,1.0,1.0,,,16.0,,,1.0,,,,,4.0,14.0,,23.0,21.0,1.0,5.0,84.0,101.0,49.0,3.0,,7.0,4.0,3.0,,,2.0,2.0,,77.0,46.0,16.0,,,,,,180.0,168.0,1.0,19.0,30.0,45.6,,1.0,0.0,,,,86.0,2.0,2.0,,,1.0,8.0,,1.0,67.0,11.0,179.0,23.0,35.0,17.0,2.0,26.0,24.0,1.0,125.0,9.0,251.0,,,33.0,11.0,66.0,2.0,404.0,,0.0,12.0,17.0,3.0,22.0,3.0,630.0,10.0,12.0,2.0,13.0,0.0
321736,8.0,2010-10-16 15:00:00,21,West Ham,Away,176.0,12.0,,3.0,3.0,2.0,,176.0,3.0,,10.0,11.0,15.0,37.0,349.0,1.0,2.0,9.0,15.0,18.0,8.0,1.0,,,,1.0,,,,,,9.0,1.0,,1.0,,,2.0,7.0,6.0,,62.0,66.0,1.0,1.0,1.0,2.0,5.0,4.0,,3.0,9.0,8.0,,12.0,1.0,44.0,61.0,2.0,18.0,7.0,1.0,1.0,80.0,10.0,11.0,,,2.0,,1.0,184.0,,,,,,,10.0,,,,2.0,,,,2.0,13.0,1.0,16.0,13.0,1.0,10.0,103.0,91.0,46.0,8.0,1.0,4.0,5.0,4.0,,,6.0,2.0,,58.0,48.0,24.0,,,,,1.0,187.0,175.0,2.0,35.0,16.0,51.0,1.0,3.0,0.0,,,,104.0,,1.0,,1.0,,5.0,,1.0,90.0,9.0,207.0,22.0,30.0,9.0,2.0,19.0,17.0,,138.0,9.0,265.0,2.0,,32.0,16.0,64.0,6.0,453.0,1.0,0.0,14.0,28.0,8.0,17.0,1.0,669.0,15.0,4.0,3.0,20.0,0.0
321745,9.0,2010-10-23 17:30:00,21,West Ham,Home,135.0,16.0,,5.0,5.0,6.0,2.0,146.0,4.0,1.0,4.0,11.0,11.0,37.0,276.0,,2.0,15.0,15.0,20.0,8.0,2.0,,,,,,,,,,9.0,,,,,,2.0,6.0,9.0,,44.0,59.0,1.0,,1.0,1.0,4.0,5.0,,2.0,12.0,5.0,,16.0,1.0,53.0,65.0,1.0,13.0,7.0,,,66.0,13.0,6.0,1.0,,1.0,2.0,,140.0,1.0,,,1.0,,,7.0,,,1.0,3.0,,,,1.0,18.0,,9.0,9.0,1.0,5.0,92.0,78.0,38.0,6.0,,6.0,5.0,1.0,,,6.0,,,41.0,53.0,23.0,,,,,,159.0,141.0,1.0,16.0,30.0,40.7,,1.0,0.0,,,,84.0,,3.0,,2.0,,6.0,,3.0,76.0,11.0,153.0,27.0,31.0,11.0,2.0,21.0,19.0,,116.0,12.0,228.0,3.0,1.0,31.0,12.0,63.0,2.0,360.0,,0.0,11.0,33.0,2.0,19.0,0.0,566.0,10.0,6.0,2.0,23.0,0.0
321747,10.0,2010-10-30 15:00:00,21,West Ham,Away,106.0,12.0,1.0,2.0,1.0,3.0,,93.0,8.0,2.0,1.0,11.0,3.0,17.0,197.0,1.0,1.0,12.0,12.0,12.0,2.0,1.0,1.0,,,,,,,,,3.0,,,,,,1.0,19.0,4.0,,42.0,62.0,,,,4.0,,8.0,,4.0,7.0,2.0,,16.0,3.0,65.0,63.0,4.0,17.0,10.0,,1.0,62.0,20.0,15.0,,1.0,4.0,5.0,,131.0,,,,,,,13.0,,,,1.0,,,,1.0,15.0,,23.0,22.0,2.0,2.0,47.0,85.0,46.0,7.0,,2.0,1.0,2.0,,,6.0,2.0,,23.0,45.0,18.0,,,,,,163.0,148.0,1.0,32.0,16.0,34.3,,1.0,0.0,,,,58.0,8.0,1.0,,1.0,1.0,3.0,,3.0,39.0,3.0,127.0,21.0,32.0,20.0,3.0,17.0,14.0,1.0,78.0,10.0,168.0,1.0,2.0,31.0,4.0,42.0,5.0,278.0,1.0,0.0,5.0,26.0,2.0,16.0,2.0,500.0,8.0,10.0,4.0,20.0,0.0
321758,11.0,2010-11-06 15:00:00,21,West Ham,Away,128.0,17.0,2.0,8.0,7.0,5.0,,192.0,5.0,2.0,4.0,10.0,12.0,38.0,312.0,,1.0,10.0,21.0,17.0,16.0,2.0,,1.0,,1.0,,,1.0,,,18.0,,,,,,1.0,8.0,4.0,,58.0,62.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,14.0,6.0,,11.0,2.0,56.0,67.0,,23.0,14.0,1.0,1.0,65.0,15.0,14.0,1.0,1.0,3.0,1.0,1.0,150.0,2.0,,2.0,2.0,,,8.0,,,2.0,2.0,,,,,21.0,2.0,13.0,12.0,,4.0,90.0,76.0,44.0,3.0,1.0,6.0,14.0,9.0,,,6.0,1.0,,50.0,58.0,16.0,,,,,,136.0,122.0,,36.0,17.0,46.0,,,0.0,,,,84.0,1.0,2.0,,1.0,,8.0,,2.0,105.0,20.0,144.0,25.0,36.0,20.0,4.0,24.0,21.0,,139.0,11.0,262.0,2.0,2.0,27.0,17.0,59.0,1.0,382.0,,0.0,22.0,20.0,3.0,16.0,1.0,586.0,9.0,16.0,4.0,15.0,0.0
321769,12.0,2010-11-10 19:45:00,21,West Ham,Home,144.0,14.0,2.0,5.0,3.0,5.0,,141.0,5.0,1.0,8.0,7.0,8.0,35.0,280.0,,,19.0,17.0,21.0,5.0,3.0,,,,,,,,,,5.0,1.0,,,,,,8.0,12.0,,38.0,56.0,1.0,1.0,1.0,5.0,2.0,4.0,,6.0,7.0,3.0,,16.0,,56.0,62.0,5.0,17.0,13.0,,,76.0,14.0,5.0,1.0,,1.0,,,152.0,,,,,,,11.0,,,1.0,1.0,,,,1.0,15.0,,13.0,12.0,,8.0,94.0,87.0,54.0,7.0,1.0,3.0,5.0,5.0,,,5.0,2.0,,52.0,44.0,21.0,1.0,1.0,1.0,,1.0,162.0,157.0,6.0,14.0,23.0,50.4,,1.0,0.0,,,,87.0,1.0,2.0,,,,3.0,,3.0,67.0,8.0,156.0,27.0,22.0,14.0,6.0,16.0,10.0,,124.0,15.0,231.0,1.0,1.0,20.0,10.0,50.0,6.0,371.0,,0.0,10.0,28.0,3.0,24.0,3.0,588.0,14.0,8.0,6.0,23.0,0.0
321784,13.0,2010-11-13 15:00:00,21,West Ham,Home,103.0,8.0,4.0,10.0,6.0,3.0,,168.0,7.0,,6.0,8.0,14.0,23.0,261.0,1.0,1.0,21.0,13.0,27.0,22.0,2.0,3.0,,,,,,,,,23.0,,,,,,,9.0,14.0,,47.0,51.0,3.0,3.0,,8.0,12.0,6.0,,8.0,14.0,9.0,,10.0,1.0,41.0,61.0,8.0,21.0,8.0,,1.0,83.0,7.0,7.0,,,1.0,1.0,,160.0,,,,,,,13.0,,,,2.0,,,,,20.0,1.0,12.0,8.0,,6.0,68.0,68.0,37.0,7.0,,11.0,13.0,2.0,,,9.0,1.0,,57.0,37.0,24.0,,,,,,154.0,136.0,3.0,16.0,17.0,48.5,,2.0,0.0,,,,66.0,1.0,2.0,,,3.0,11.0,2.0,3.0,107.0,24.0,111.0,13.0,39.0,14.0,8.0,32.0,24.0,3.0,162.0,15.0,262.0,3.0,,20.0,16.0,39.0,6.0,341.0,2.0,0.0,25.0,18.0,6.0,21.0,0.0,591.0,6.0,9.0,9.0,14.0,0.0
321793,14.0,2010-11-20 17:30:00,21,West Ham,Away,176.0,26.0,,3.0,3.0,3.0,1.0,172.0,10.0,1.0,4.0,14.0,15.0,42.0,345.0,,,18.0,11.0,14.0,6.0,1.0,,1.0,,1.0,,,,,,5.0,,,,,,1.0,11.0,12.0,,78.0,47.0,,,,2.0,2.0,10.0,1.0,2.0,8.0,6.0,,22.0,4.0,55.0,60.0,2.0,12.0,8.0,,2.0,75.0,11.0,7.0,,,2.0,2.0,1.0,161.0,,,,,,,15.0,,,,,,,,3.0,12.0,,24.0,19.0,,4.0,103.0,90.0,59.0,10.0,,4.0,3.0,1.0,,,7.0,1.0,,34.0,58.0,18.0,1.0,1.0,1.0,,,161.0,152.0,2.0,23.0,15.0,46.3,,,0.0,,,,98.0,3.0,3.0,,,,5.0,,3.0,64.0,7.0,202.0,40.0,21.0,14.0,2.0,18.0,16.0,,106.0,15.0,256.0,1.0,1.0,25.0,17.0,59.0,1.0,440.0,,0.0,8.0,29.0,2.0,19.0,1.0,649.0,8.0,10.0,2.0,20.0,0.0
