matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292819,1,2022-08-07 16:30:00,21,West Ham,Home,134.0,18.0,,4.0,4.0,3.0,,76.0,11.0,1.0,4.0,1.0,1.0,21.0,206.0,,,9.0,11.0,10.0,4.0,,2.0,,,,,,,,,,,,4.0,,,,,,,3.0,9.0,5.0,5.0,1.0,35.0,44.0,,,,,9.0,3.0,14.0,,,1.0,5.0,5.0,,,,39.0,29.0,,17.0,9.0,,,15.0,32.0,8.0,4.0,,1.0,1.0,,116.0,,,,,,,11.0,,2.0,,9.0,,11.0,11.0,,4.0,52.0,46.0,19.0,4.0,,1.0,3.0,1.0,244.0,4.0,1.0,,28.0,40.0,18.0,1.0,1.0,1.0,,,87.0,87.0,4.0,26.0,9.0,24.6,,,,1.0,9.0,0.0,60.0,,,,,,2.0,,,5.0,5.0,32.0,189.0,4.0,4.0,151.0,40.0,17.0,7.0,1.0,12.0,11.0,,55.0,6.0,124.0,2.0,1.0,11.0,1.0,53.0,4.0,263.0,,0.0,6.0,14.0,,11.0,0.0,391.0,9.0,9.0,1.0,1.0,6.0,0.0
2292827,2,2022-08-14 14:00:00,21,West Ham,Away,106.0,23.0,2.0,5.0,3.0,,,183.0,4.0,,8.0,2.0,3.0,24.0,284.0,1.0,,21.0,18.0,20.0,10.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,,,,,13.0,,1.0,2.0,,,,3.0,10.0,3.0,10.0,9.0,53.0,58.0,,2.0,,5.0,22.0,6.0,7.0,,2.0,7.0,12.0,8.0,,11.0,4.0,51.0,53.0,5.0,17.0,8.0,,,16.0,59.0,11.0,9.0,,3.0,,2.0,170.0,,,,,,,5.0,,,1.0,8.0,2.0,7.0,7.0,,8.0,84.0,71.0,31.0,6.0,,4.0,8.0,5.0,362.0,3.0,1.0,,81.0,64.0,39.0,,,,,1.0,155.0,155.0,1.0,21.0,24.0,56.8,2.0,,,,22.0,0.0,74.0,4.0,1.0,5.0,1.0,1.0,8.0,1.0,,3.0,6.0,97.0,270.0,5.0,12.0,127.0,49.0,17.0,13.0,6.0,26.0,20.0,1.0,138.0,2.0,280.0,,,12.0,5.0,57.0,2.0,381.0,1.0,0.0,19.0,16.0,,26.0,1.0,585.0,31.0,13.0,8.0,7.0,6.0,0.0
2292839,3,2022-08-21 14:00:00,21,West Ham,Home,208.0,21.0,3.0,7.0,4.0,4.0,2.0,175.0,7.0,1.0,5.0,7.0,3.0,33.0,376.0,,,20.0,9.0,20.0,6.0,3.0,3.0,2.0,,,,,,,,,,,9.0,,,,,,1.0,6.0,9.0,2.0,8.0,5.0,66.0,62.0,,,,2.0,20.0,7.0,3.0,,,5.0,10.0,8.0,,15.0,,39.0,38.0,2.0,12.0,5.0,,,15.0,64.0,10.0,6.0,,2.0,2.0,,181.0,,,,,,,7.0,,2.0,,5.0,,13.0,13.0,1.0,6.0,105.0,67.0,36.0,4.0,,2.0,7.0,3.0,450.0,4.0,,,77.0,62.0,29.0,1.0,1.0,1.0,,,143.0,143.0,4.0,35.0,17.0,49.6,,,,1.0,20.0,0.0,115.0,,,,,2.0,3.0,,,4.0,8.0,84.0,360.0,7.0,9.0,239.0,40.0,12.0,6.0,5.0,25.0,20.0,2.0,126.0,9.0,253.0,2.0,1.0,24.0,4.0,65.0,3.0,467.0,,0.0,13.0,8.0,,23.0,2.0,633.0,25.0,10.0,4.0,5.0,5.0,0.0
2292841,4,2022-08-28 14:00:00,21,West Ham,Away,206.0,25.0,,3.0,3.0,,,126.0,7.0,,8.0,3.0,5.0,28.0,329.0,,,20.0,13.0,9.0,4.0,,,1.0,,,,1.0,,,,,,,6.0,,,,,,,3.0,5.0,4.0,1.0,6.0,55.0,70.0,,,,1.0,21.0,2.0,5.0,,,2.0,11.0,6.0,,10.0,,45.0,41.0,1.0,29.0,14.0,,,28.0,43.0,10.0,10.0,,2.0,,1.0,163.0,1.0,,,1.0,,,9.0,1.0,,,14.0,,16.0,16.0,2.0,8.0,101.0,59.0,34.0,3.0,1.0,3.0,2.0,2.0,398.0,2.0,1.0,,58.0,51.0,19.0,,,,,,138.0,138.0,4.0,33.0,23.0,42.2,,,,,21.0,0.0,100.0,1.0,2.0,3.0,,1.0,3.0,,,3.0,17.0,57.0,311.0,9.0,5.0,241.0,46.0,29.0,16.0,2.0,19.0,17.0,1.0,93.0,1.0,197.0,,,14.0,5.0,54.0,1.0,419.0,1.0,0.0,7.0,13.0,1.0,23.0,0.0,606.0,16.0,10.0,9.0,2.0,6.0,0.0
2292856,5,2022-08-31 19:45:00,21,West Ham,Home,130.0,15.0,,3.0,3.0,1.0,1.0,180.0,3.0,,7.0,6.0,4.0,28.0,307.0,,,12.0,10.0,18.0,9.0,1.0,,,,,,,1.0,,,,,,13.0,,,,,1.0,1.0,7.0,9.0,4.0,9.0,5.0,54.0,44.0,2.0,1.0,1.0,,16.0,2.0,5.0,,,3.0,12.0,9.0,,1.0,1.0,29.0,41.0,,22.0,11.0,,,15.0,56.0,10.0,10.0,,1.0,1.0,,119.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,2.0,11.0,1.0,7.0,7.0,,7.0,101.0,53.0,33.0,4.0,1.0,6.0,5.0,4.0,350.0,7.0,1.0,1.0,76.0,68.0,22.0,,,,,,104.0,104.0,4.0,16.0,16.0,38.3,1.0,,1.0,,16.0,0.0,95.0,,3.0,3.0,,,8.0,,,3.0,8.0,92.0,293.0,7.0,11.0,144.0,25.0,22.0,7.0,1.0,23.0,22.0,,120.0,7.0,248.0,1.0,,18.0,4.0,48.0,1.0,369.0,,0.0,14.0,13.0,,16.0,2.0,534.0,21.0,9.0,1.0,3.0,9.0,0.0
2292863,6,2022-09-03 15:00:00,21,West Ham,Away,154.0,23.0,1.0,2.0,1.0,2.0,,80.0,10.0,,2.0,1.0,4.0,22.0,232.0,,,16.0,15.0,15.0,2.0,1.0,3.0,,,,,,,,,,,,3.0,,,,,1.0,,6.0,5.0,3.0,3.0,3.0,43.0,53.0,2.0,1.0,1.0,1.0,14.0,1.0,9.0,,1.0,3.0,8.0,1.0,,9.0,,51.0,44.0,1.0,28.0,15.0,,,15.0,31.0,11.0,6.0,1.0,,,,119.0,1.0,,1.0,,1.0,,12.0,,,,15.0,1.0,16.0,16.0,2.0,2.0,65.0,59.0,27.0,10.0,,1.0,3.0,3.0,285.0,3.0,2.0,,41.0,38.0,17.0,,,,,,125.0,125.0,3.0,27.0,18.0,31.9,1.0,3.0,,1.0,14.0,0.0,81.0,1.0,,1.0,,,2.0,,,3.0,9.0,30.0,214.0,6.0,4.0,180.0,48.0,28.0,16.0,3.0,12.0,9.0,,57.0,3.0,140.0,1.0,,12.0,5.0,52.0,1.0,308.0,1.0,0.0,6.0,14.0,,21.0,2.0,485.0,9.0,15.0,9.0,3.0,9.0,0.0
2292879,7,2023-04-05 20:00:00,21,West Ham,Home,110.0,17.0,1.0,3.0,2.0,,,149.0,4.0,2.0,3.0,4.0,2.0,18.0,256.0,,,11.0,19.0,12.0,4.0,,1.0,,,,1.0,1.0,,,,,,,4.0,,,,,,1.0,7.0,10.0,5.0,2.0,5.0,55.0,68.0,1.0,,1.0,,9.0,2.0,9.0,1.0,,7.0,11.0,1.0,1.0,15.0,2.0,63.0,54.0,,16.0,8.0,2.0,,15.0,53.0,11.0,12.0,,4.0,2.0,1.0,154.0,1.0,1.0,1.0,,1.0,,7.0,,,,8.0,1.0,7.0,7.0,2.0,3.0,73.0,61.0,31.0,6.0,,2.0,3.0,2.0,323.0,3.0,2.0,,77.0,40.0,22.0,,,,,,150.0,150.0,7.0,27.0,29.0,42.0,,,,,22.0,0.0,66.0,3.0,,2.0,,,3.0,1.0,,4.0,7.0,66.0,240.0,9.0,5.0,134.0,47.0,16.0,26.0,6.0,20.0,14.0,,108.0,6.0,234.0,1.0,2.0,9.0,2.0,46.0,,348.0,1.0,0.0,7.0,13.0,2.0,14.0,2.0,529.0,13.0,12.0,17.0,7.0,5.0,0.0
2292884,8,2022-09-18 14:15:00,21,West Ham,Away,142.0,14.0,4.0,7.0,3.0,2.0,,174.0,7.0,,4.0,5.0,1.0,27.0,309.0,,,20.0,10.0,11.0,6.0,4.0,5.0,,,,,,,,,,,,8.0,,,,,,,6.0,3.0,4.0,12.0,2.0,44.0,60.0,,,,,19.0,7.0,7.0,,,14.0,15.0,3.0,,13.0,,45.0,38.0,,17.0,10.0,,,17.0,65.0,11.0,8.0,,1.0,1.0,,159.0,,,,,,,10.0,,1.0,1.0,10.0,1.0,14.0,14.0,2.0,4.0,96.0,57.0,39.0,5.0,,2.0,8.0,4.0,368.0,1.0,,,77.0,46.0,34.0,,,,,,140.0,140.0,5.0,29.0,22.0,46.4,,,,1.0,19.0,0.0,89.0,1.0,,1.0,1.0,,3.0,1.0,,4.0,10.0,88.0,293.0,4.0,10.0,166.0,24.0,17.0,6.0,14.0,33.0,19.0,,134.0,6.0,255.0,1.0,,20.0,1.0,50.0,1.0,388.0,,0.0,14.0,18.0,,24.0,1.0,575.0,24.0,12.0,1.0,14.0,7.0,0.0
2292899,9,2022-10-01 17:30:00,21,West Ham,Home,149.0,29.0,,2.0,2.0,2.0,,154.0,12.0,,3.0,,,38.0,301.0,1.0,,9.0,9.0,16.0,11.0,,,2.0,1.0,,,1.0,,,,,,,17.0,,,,,,,5.0,5.0,10.0,10.0,8.0,53.0,55.0,,,,3.0,9.0,8.0,13.0,,,1.0,3.0,2.0,,9.0,2.0,41.0,46.0,3.0,27.0,13.0,,,24.0,46.0,8.0,5.0,1.0,2.0,1.0,1.0,142.0,,,,,,,15.0,2.0,2.0,1.0,13.0,,8.0,8.0,1.0,3.0,96.0,59.0,42.0,6.0,1.0,2.0,9.0,5.0,347.0,4.0,,,58.0,41.0,18.0,,,,,,103.0,103.0,4.0,22.0,21.0,39.1,,,,,13.0,0.0,81.0,,4.0,4.0,,2.0,5.0,,,3.0,11.0,74.0,282.0,9.0,11.0,169.0,47.0,27.0,6.0,1.0,7.0,6.0,2.0,102.0,3.0,210.0,2.0,,4.0,2.0,58.0,2.0,372.0,2.0,0.0,18.0,22.0,2.0,11.0,2.0,538.0,20.0,11.0,3.0,1.0,13.0,0.0
2292909,10,2022-10-09 14:00:00,21,West Ham,Home,215.0,25.0,,2.0,2.0,2.0,,187.0,5.0,,4.0,5.0,2.0,30.0,400.0,,2.0,15.0,9.0,7.0,11.0,,1.0,,,,,,,,,,,,15.0,1.0,,,,,,5.0,6.0,2.0,13.0,4.0,70.0,60.0,3.0,4.0,3.0,,7.0,5.0,4.0,,1.0,4.0,9.0,6.0,,16.0,1.0,38.0,39.0,,11.0,5.0,,,20.0,50.0,9.0,7.0,1.0,1.0,,,155.0,1.0,,1.0,1.0,,,6.0,2.0,1.0,,5.0,,12.0,12.0,1.0,5.0,129.0,51.0,29.0,2.0,1.0,4.0,8.0,8.0,469.0,2.0,1.0,,83.0,70.0,25.0,,,,,1.0,134.0,134.0,4.0,26.0,23.0,50.3,,,3.0,,16.0,0.0,131.0,,1.0,1.0,,,4.0,,1.0,3.0,10.0,100.0,386.0,7.0,12.0,246.0,45.0,11.0,12.0,4.0,19.0,15.0,,132.0,4.0,258.0,1.0,,14.0,2.0,55.0,1.0,485.0,,0.0,17.0,13.0,2.0,16.0,1.0,657.0,31.0,12.0,12.0,4.0,8.0,0.0
