matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855175,1.0,2016-08-15 20:00:00,21,West Ham,Away,164.0,11.0,1.0,1.0,,1.0,,94.0,3.0,1.0,3.0,10.0,12.0,37.0,257.0,,,6.0,24.0,25.0,3.0,1.0,3.0,,,,,,1.0,,,,3.0,,,,,,,10.0,9.0,7.0,4.0,3.0,,45.0,65.0,,,,4.0,13.0,2.0,16.0,,1.0,1.0,3.0,1.0,1.0,10.0,3.0,71.0,68.0,4.0,24.0,17.0,1.0,,47.0,16.0,16.0,,,3.0,2.0,1.0,137.0,,,,,,,8.0,,,,1.0,,,,2.0,18.0,,19.0,19.0,4.0,3.0,85.0,78.0,35.0,7.0,,1.0,3.0,3.0,318.0,,,4.0,1.0,44.0,34.0,10.0,1.0,1.0,1.0,,,139.0,139.0,2.0,39.0,16.0,38.3,,,,,13.0,0.0,,,,83.0,3.0,1.0,4.0,,,,2.0,1.0,3.0,37.0,235.0,7.0,4.0,189.0,27.0,26.0,11.0,1.0,7.0,6.0,,78.0,9.0,168.0,1.0,1.0,39.0,13.0,85.0,1.0,350.0,,0.0,7.0,25.0,,12.0,2.0,527.0,7.0,14.0,3.0,1.0,19.0,0.0
855191,2.0,2016-08-21 16:00:00,21,West Ham,Home,105.0,17.0,,7.0,7.0,2.0,,179.0,4.0,,2.0,6.0,10.0,26.0,277.0,,1.0,17.0,24.0,17.0,11.0,,,2.0,,,,,1.0,,,1.0,13.0,,,,,,2.0,6.0,4.0,4.0,9.0,7.0,,55.0,62.0,2.0,1.0,1.0,3.0,14.0,5.0,4.0,,1.0,1.0,16.0,5.0,,7.0,3.0,51.0,55.0,3.0,15.0,9.0,,,62.0,15.0,13.0,,,3.0,,1.0,144.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,9.0,,30.0,30.0,4.0,2.0,87.0,73.0,33.0,6.0,1.0,6.0,6.0,2.0,329.0,,,2.0,3.0,70.0,71.0,27.0,,,,,,123.0,123.0,6.0,28.0,22.0,46.8,,,,,14.0,0.0,,,,69.0,2.0,3.0,5.0,,,2.0,9.0,,3.0,86.0,262.0,13.0,12.0,116.0,37.0,17.0,13.0,1.0,22.0,21.0,2.0,131.0,5.0,261.0,,,26.0,12.0,68.0,1.0,355.0,,0.0,16.0,16.0,1.0,23.0,3.0,554.0,27.0,10.0,10.0,1.0,10.0,0.0
855197,3.0,2016-08-28 16:00:00,21,West Ham,Away,102.0,19.0,1.0,4.0,3.0,5.0,,98.0,10.0,3.0,3.0,9.0,6.0,40.0,196.0,,1.0,15.0,16.0,23.0,5.0,1.0,2.0,,,,,,,,,,7.0,,,,,,,5.0,17.0,5.0,7.0,2.0,,43.0,50.0,1.0,,1.0,2.0,23.0,2.0,17.0,,1.0,4.0,9.0,5.0,,5.0,2.0,64.0,63.0,2.0,14.0,9.0,,,59.0,10.0,4.0,,,1.0,,,140.0,1.0,,1.0,1.0,,,17.0,,,1.0,1.0,,,,,9.0,,18.0,18.0,1.0,4.0,55.0,82.0,41.0,5.0,1.0,3.0,4.0,2.0,244.0,,,7.0,3.0,29.0,71.0,18.0,,,,,,137.0,137.0,3.0,20.0,19.0,32.9,,,,,23.0,0.0,,,,36.0,2.0,,3.0,,,,5.0,,3.0,49.0,175.0,14.0,7.0,113.0,39.0,17.0,33.0,4.0,18.0,14.0,,85.0,14.0,179.0,1.0,4.0,22.0,6.0,78.0,3.0,274.0,,0.0,9.0,19.0,1.0,21.0,3.0,468.0,11.0,11.0,17.0,4.0,13.0,0.0
855211,4.0,2016-09-10 15:00:00,21,West Ham,Home,166.0,16.0,1.0,3.0,2.0,1.0,,221.0,1.0,1.0,3.0,3.0,8.0,28.0,384.0,,,26.0,16.0,16.0,11.0,1.0,1.0,,,,,,2.0,,,,12.0,,,,,,4.0,5.0,10.0,3.0,8.0,11.0,,63.0,54.0,1.0,,1.0,1.0,9.0,4.0,8.0,,,4.0,14.0,7.0,,11.0,2.0,57.0,51.0,1.0,22.0,13.0,1.0,,60.0,10.0,14.0,,,3.0,,2.0,154.0,2.0,1.0,2.0,1.0,1.0,,6.0,,,1.0,,,,,,17.0,,26.0,26.0,5.0,3.0,126.0,65.0,44.0,4.0,2.0,8.0,6.0,4.0,420.0,,,2.0,3.0,78.0,64.0,37.0,,,,,,124.0,124.0,2.0,20.0,28.0,57.9,,3.0,,,9.0,0.0,,,,102.0,4.0,,4.0,,,,11.0,,3.0,112.0,369.0,4.0,14.0,176.0,29.0,29.0,23.0,4.0,25.0,21.0,,145.0,3.0,294.0,,1.0,10.0,9.0,47.0,2.0,445.0,,0.0,19.0,12.0,,30.0,2.0,672.0,24.0,8.0,10.0,4.0,6.0,0.0
855221,5.0,2016-09-17 15:00:00,21,West Ham,Away,221.0,23.0,2.0,8.0,6.0,1.0,1.0,342.0,5.0,,5.0,5.0,23.0,41.0,555.0,,1.0,18.0,8.0,12.0,14.0,2.0,2.0,,,,1.0,,1.0,,,,17.0,1.0,,,1.0,,2.0,2.0,6.0,2.0,15.0,8.0,,86.0,64.0,1.0,1.0,1.0,1.0,13.0,9.0,6.0,,1.0,6.0,14.0,6.0,,8.0,,34.0,64.0,1.0,9.0,7.0,,,78.0,6.0,14.0,,,4.0,1.0,1.0,153.0,1.0,,1.0,,1.0,,5.0,,,,,,,,2.0,7.0,1.0,25.0,25.0,,5.0,193.0,75.0,56.0,2.0,2.0,7.0,10.0,5.0,598.0,,,,4.0,96.0,84.0,39.0,1.0,1.0,1.0,,1.0,123.0,123.0,5.0,22.0,31.0,70.4,1.0,,,1.0,13.0,0.0,,,,190.0,1.0,1.0,2.0,,,,9.0,,3.0,148.0,532.0,7.0,17.0,228.0,45.0,9.0,25.0,5.0,26.0,21.0,,195.0,2.0,420.0,,,12.0,27.0,69.0,1.0,622.0,2.0,0.0,23.0,22.0,2.0,20.0,1.0,830.0,39.0,14.0,16.0,6.0,17.0,0.0
855231,6.0,2016-09-25 16:00:00,21,West Ham,Home,118.0,17.0,3.0,8.0,5.0,6.0,1.0,176.0,3.0,2.0,5.0,5.0,7.0,23.0,286.0,,,14.0,12.0,17.0,7.0,2.0,2.0,,,,,,,,,,10.0,,,,,,1.0,5.0,15.0,3.0,7.0,6.0,,44.0,51.0,,,,2.0,19.0,5.0,5.0,,2.0,6.0,9.0,10.0,,9.0,3.0,45.0,47.0,2.0,17.0,9.0,1.0,,47.0,9.0,14.0,,,3.0,3.0,,133.0,,,,,,,7.0,,,,3.0,,,,,10.0,,28.0,28.0,3.0,5.0,97.0,59.0,36.0,2.0,,6.0,3.0,1.0,346.0,,,4.0,1.0,81.0,48.0,45.0,,,,,,138.0,138.0,2.0,17.0,24.0,45.1,,,,,19.0,0.0,,,,96.0,6.0,,6.0,,1.0,,7.0,,3.0,71.0,271.0,9.0,9.0,133.0,41.0,18.0,19.0,6.0,28.0,22.0,,111.0,13.0,265.0,3.0,2.0,20.0,8.0,55.0,,370.0,,0.0,13.0,7.0,,17.0,5.0,576.0,26.0,11.0,9.0,7.0,4.0,0.0
855241,7.0,2016-10-01 15:00:00,21,West Ham,Home,131.0,5.0,1.0,6.0,5.0,1.0,2.0,121.0,3.0,1.0,4.0,5.0,9.0,23.0,246.0,1.0,,19.0,20.0,18.0,10.0,3.0,2.0,,,,,,1.0,,,,13.0,,,1.0,,,3.0,8.0,7.0,2.0,10.0,9.0,,47.0,64.0,,,,3.0,10.0,6.0,4.0,1.0,,4.0,4.0,4.0,,14.0,,63.0,52.0,3.0,29.0,17.0,,,65.0,13.0,12.0,1.0,2.0,2.0,2.0,1.0,140.0,1.0,,,1.0,,,4.0,,,1.0,2.0,,,,,20.0,1.0,23.0,23.0,,4.0,73.0,69.0,20.0,5.0,,8.0,6.0,2.0,309.0,,,3.0,,58.0,34.0,26.0,,,,,,134.0,134.0,4.0,21.0,33.0,40.3,1.0,,1.0,2.0,10.0,0.0,,,,67.0,2.0,,1.0,,1.0,,11.0,3.0,3.0,53.0,233.0,7.0,14.0,142.0,26.0,32.0,23.0,3.0,13.0,10.0,,97.0,7.0,198.0,3.0,1.0,28.0,10.0,64.0,5.0,327.0,1.0,0.0,19.0,12.0,3.0,28.0,2.0,544.0,23.0,3.0,10.0,4.0,11.0,0.0
855245,8.0,2016-10-15 17:30:00,21,West Ham,Away,104.0,12.0,2.0,5.0,3.0,3.0,1.0,152.0,8.0,2.0,1.0,7.0,18.0,36.0,251.0,,1.0,19.0,27.0,24.0,9.0,2.0,1.0,,,,,,,,,,10.0,,,,,,1.0,5.0,7.0,5.0,6.0,6.0,,58.0,61.0,2.0,1.0,1.0,5.0,20.0,3.0,6.0,,2.0,6.0,6.0,3.0,,3.0,1.0,53.0,71.0,5.0,30.0,26.0,,,57.0,13.0,12.0,1.0,,,2.0,,144.0,1.0,,1.0,1.0,,,15.0,,,1.0,3.0,,,,,30.0,,13.0,13.0,,1.0,74.0,76.0,42.0,7.0,,5.0,7.0,4.0,315.0,,,1.0,,52.0,62.0,24.0,,1.0,1.0,,,131.0,131.0,1.0,20.0,28.0,44.8,,,,,20.0,0.0,,,,75.0,1.0,2.0,3.0,1.0,,,5.0,,3.0,54.0,229.0,9.0,13.0,125.0,26.0,38.0,17.0,5.0,16.0,11.0,,99.0,11.0,242.0,3.0,2.0,27.0,19.0,73.0,1.0,351.0,,1.0,12.0,25.0,1.0,20.0,3.0,551.0,14.0,9.0,11.0,6.0,21.0,0.0
855261,9.0,2016-10-22 15:00:00,21,West Ham,Home,172.0,22.0,1.0,4.0,3.0,,1.0,301.0,3.0,,4.0,4.0,12.0,33.0,469.0,,1.0,21.0,6.0,13.0,12.0,4.0,4.0,,,,,,,,,,13.0,,,,1.0,,3.0,4.0,4.0,6.0,12.0,8.0,,84.0,57.0,,,,,11.0,8.0,6.0,,,6.0,13.0,10.0,1.0,13.0,1.0,38.0,56.0,,29.0,18.0,,,83.0,10.0,12.0,,,4.0,3.0,,172.0,1.0,,,,1.0,,6.0,,,,,,,,,22.0,1.0,21.0,21.0,3.0,4.0,146.0,64.0,47.0,2.0,,7.0,10.0,3.0,520.0,,,4.0,1.0,62.0,91.0,48.0,,,,,,134.0,134.0,3.0,25.0,23.0,64.4,1.0,,,1.0,11.0,0.0,,,,139.0,,2.0,2.0,,,,9.0,1.0,3.0,143.0,452.0,9.0,17.0,188.0,35.0,34.0,21.0,5.0,31.0,26.0,,187.0,7.0,384.0,,,16.0,14.0,54.0,3.0,541.0,1.0,0.0,20.0,13.0,4.0,25.0,2.0,778.0,32.0,11.0,18.0,6.0,9.0,0.0
855263,10.0,2016-10-30 13:30:00,21,West Ham,Away,175.0,22.0,2.0,4.0,3.0,3.0,1.0,180.0,5.0,,5.0,3.0,12.0,22.0,351.0,,1.0,15.0,14.0,8.0,9.0,1.0,1.0,,,,,,2.0,,,,9.0,,,,,,1.0,4.0,12.0,5.0,7.0,6.0,,73.0,55.0,,1.0,,3.0,12.0,6.0,13.0,,,8.0,10.0,8.0,,10.0,3.0,52.0,40.0,3.0,19.0,9.0,,,54.0,12.0,15.0,,,5.0,3.0,2.0,136.0,,,,,,,6.0,,,,4.0,,,,2.0,9.0,,14.0,14.0,1.0,5.0,99.0,69.0,39.0,8.0,,4.0,6.0,3.0,392.0,,,7.0,1.0,56.0,62.0,31.0,,,,,,124.0,124.0,7.0,19.0,18.0,50.7,,,,,12.0,0.0,,,,110.0,4.0,,4.0,,1.0,,4.0,,3.0,82.0,328.0,8.0,10.0,189.0,32.0,19.0,15.0,7.0,27.0,21.0,,111.0,5.0,256.0,4.0,,22.0,13.0,51.0,1.0,418.0,,0.0,13.0,7.0,1.0,17.0,3.0,616.0,21.0,15.0,10.0,8.0,6.0,0.0
