matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059709,1,2019-08-10 12:30:00,21,West Ham,Home,159.0,15.0,,1.0,1.0,5.0,1.0,167.0,3.0,,6.0,7.0,6.0,25.0,325.0,,,18.0,17.0,18.0,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,,1.0,5.0,10.0,4.0,4.0,1.0,89.0,57.0,1.0,2.0,,1.0,13.0,,13.0,,,1.0,7.0,2.0,,14.0,3.0,54.0,57.0,1.0,9.0,2.0,,1.0,,,,,58.0,6.0,13.0,,3.0,2.0,1.0,143.0,,,,,,,6.0,,,,2.0,,9.0,9.0,2.0,6.0,92.0,64.0,37.0,1.0,,1.0,1.0,3.0,376.0,2.0,1.0,,62.0,69.0,14.0,1.0,1.0,1.0,,,129.0,129.0,6.0,20.0,21.0,42.9,,,,,13.0,0.0,79.0,2.0,2.0,4.0,,,,2.0,,3.0,78.0,307.0,5.0,2.0,177.0,38.0,9.0,12.0,1.0,12.0,11.0,,115.0,11.0,238.0,,,13.0,6.0,47.0,2.0,403.0,,0.0,5.0,18.0,,22.0,2.0,571.0,8.0,15.0,8.0,1.0,10.0,0.0
1059714,2,2019-08-17 15:00:00,21,West Ham,Away,139.0,4.0,1.0,1.0,,1.0,,138.0,2.0,1.0,2.0,6.0,5.0,19.0,276.0,,1.0,14.0,31.0,14.0,6.0,,1.0,1.0,,,,,,1.0,7.0,,,,,,5.0,12.0,4.0,4.0,4.0,61.0,66.0,2.0,1.0,1.0,,19.0,1.0,6.0,,,6.0,5.0,3.0,,16.0,2.0,67.0,66.0,,14.0,6.0,,,,,,,47.0,10.0,11.0,1.0,2.0,,,152.0,1.0,,1.0,1.0,,,14.0,1.0,,,6.0,,15.0,15.0,1.0,2.0,81.0,61.0,25.0,8.0,,3.0,4.0,3.0,345.0,3.0,7.0,,67.0,50.0,18.0,,,,,,167.0,167.0,4.0,24.0,31.0,42.7,,2.0,,1.0,19.0,0.0,83.0,2.0,1.0,3.0,,,1.0,4.0,,3.0,53.0,262.0,8.0,7.0,169.0,19.0,14.0,23.0,6.0,14.0,8.0,1.0,91.0,5.0,222.0,,1.0,30.0,5.0,68.0,4.0,377.0,1.0,0.0,8.0,22.0,1.0,21.0,2.0,587.0,16.0,15.0,19.0,6.0,15.0,0.0
1059730,3,2019-08-24 15:00:00,21,West Ham,Away,130.0,21.0,4.0,6.0,2.0,1.0,,182.0,4.0,,9.0,3.0,3.0,28.0,306.0,1.0,1.0,16.0,16.0,17.0,9.0,4.0,5.0,1.0,,,,,,,10.0,1.0,,1.0,,,7.0,19.0,4.0,13.0,3.0,55.0,62.0,3.0,2.0,3.0,,16.0,2.0,8.0,,,7.0,5.0,1.0,,13.0,1.0,53.0,56.0,,24.0,12.0,,,,,,,38.0,11.0,12.0,2.0,2.0,1.0,,143.0,1.0,,1.0,1.0,,,11.0,1.0,2.0,,12.0,2.0,11.0,11.0,1.0,10.0,91.0,59.0,37.0,8.0,1.0,4.0,10.0,10.0,360.0,10.0,1.0,,73.0,54.0,22.0,,,,,1.0,122.0,122.0,2.0,35.0,11.0,45.1,1.0,,,1.0,16.0,0.0,97.0,2.0,,2.0,,,1.0,4.0,,3.0,85.0,291.0,6.0,14.0,156.0,34.0,24.0,15.0,7.0,14.0,7.0,1.0,117.0,7.0,244.0,2.0,,13.0,4.0,55.0,2.0,386.0,3.0,0.0,16.0,17.0,2.0,17.0,1.0,593.0,35.0,11.0,10.0,7.0,11.0,0.0
1059741,4,2019-08-31 15:00:00,21,West Ham,Home,152.0,13.0,4.0,6.0,2.0,3.0,,249.0,6.0,,4.0,10.0,6.0,33.0,395.0,,,11.0,8.0,17.0,11.0,2.0,5.0,2.0,,,,,,,13.0,,,1.0,,,9.0,5.0,3.0,14.0,4.0,92.0,60.0,2.0,2.0,1.0,,17.0,3.0,19.0,,,8.0,7.0,,,8.0,,56.0,77.0,,9.0,4.0,,1.0,,,,,55.0,16.0,10.0,1.0,,,,173.0,1.0,,1.0,1.0,,,7.0,2.0,,1.0,4.0,1.0,11.0,11.0,,4.0,100.0,58.0,44.0,2.0,1.0,5.0,9.0,8.0,447.0,2.0,3.0,,103.0,85.0,27.0,,,,,,121.0,121.0,3.0,25.0,24.0,48.6,1.0,,,,17.0,0.0,109.0,1.0,2.0,3.0,,,2.0,7.0,,3.0,110.0,372.0,5.0,14.0,170.0,23.0,9.0,28.0,7.0,14.0,7.0,2.0,148.0,11.0,318.0,,,16.0,7.0,52.0,2.0,474.0,2.0,0.0,18.0,29.0,2.0,14.0,2.0,662.0,38.0,12.0,22.0,8.0,19.0,0.0
1059743,5,2019-09-16 20:00:00,21,West Ham,Away,141.0,23.0,1.0,5.0,4.0,,,255.0,6.0,,4.0,7.0,7.0,36.0,391.0,,,22.0,16.0,17.0,11.0,,1.0,1.0,,,,,,,10.0,,,,,2.0,7.0,5.0,5.0,6.0,7.0,75.0,59.0,,,,1.0,28.0,7.0,11.0,,1.0,4.0,10.0,3.0,,13.0,2.0,58.0,60.0,1.0,15.0,9.0,,,,,,,51.0,12.0,13.0,,5.0,2.0,,144.0,,,,,,,8.0,,,,9.0,,8.0,8.0,,4.0,136.0,57.0,33.0,2.0,,4.0,7.0,1.0,443.0,1.0,2.0,,100.0,60.0,27.0,,,,,,132.0,132.0,2.0,30.0,20.0,53.4,,,,1.0,28.0,0.0,115.0,2.0,3.0,5.0,1.0,,1.0,5.0,1.0,3.0,137.0,369.0,12.0,11.0,163.0,39.0,15.0,15.0,3.0,18.0,15.0,1.0,169.0,5.0,325.0,,,22.0,8.0,61.0,3.0,470.0,1.0,1.0,13.0,21.0,,27.0,1.0,678.0,25.0,11.0,9.0,4.0,14.0,0.0
1059761,6,2019-09-22 14:00:00,21,West Ham,Home,123.0,28.0,,,,4.0,,209.0,2.0,,,9.0,4.0,32.0,332.0,,,30.0,13.0,21.0,3.0,1.0,,,1.0,1.0,,2.0,,,5.0,,,,,1.0,5.0,5.0,4.0,3.0,5.0,75.0,57.0,,,,1.0,17.0,1.0,11.0,,,3.0,8.0,3.0,1.0,11.0,2.0,45.0,50.0,1.0,18.0,9.0,,,,,,,60.0,8.0,9.0,,3.0,,2.0,164.0,1.0,,1.0,1.0,,,6.0,1.0,,,9.0,,10.0,10.0,4.0,1.0,82.0,75.0,42.0,7.0,1.0,,5.0,6.0,406.0,4.0,3.0,,89.0,90.0,22.0,,,,,,139.0,139.0,3.0,31.0,18.0,46.5,,,,,17.0,0.0,103.0,2.0,1.0,3.0,,1.0,,1.0,,3.0,118.0,320.0,9.0,5.0,140.0,45.0,18.0,6.0,2.0,13.0,11.0,,163.0,9.0,297.0,,,23.0,7.0,67.0,2.0,424.0,,0.0,8.0,16.0,,33.0,2.0,604.0,13.0,12.0,4.0,3.0,10.0,0.0
1059762,7,2019-09-28 15:00:00,21,West Ham,Away,139.0,12.0,2.0,3.0,1.0,5.0,,233.0,1.0,,1.0,7.0,,31.0,369.0,2.0,,11.0,24.0,25.0,10.0,2.0,2.0,,,1.0,,1.0,,,14.0,,,,,,7.0,11.0,2.0,11.0,6.0,60.0,69.0,2.0,1.0,1.0,3.0,14.0,7.0,11.0,,,6.0,9.0,6.0,1.0,2.0,,51.0,61.0,3.0,16.0,4.0,,,,,,,50.0,8.0,7.0,,2.0,,1.0,171.0,2.0,,2.0,2.0,,,4.0,2.0,,,4.0,,12.0,12.0,,1.0,117.0,86.0,42.0,6.0,1.0,3.0,11.0,6.0,453.0,4.0,1.0,,80.0,69.0,31.0,,,,,,149.0,149.0,2.0,27.0,30.0,50.9,,2.0,1.0,,14.0,0.0,130.0,2.0,1.0,3.0,,,,4.0,,3.0,115.0,358.0,6.0,14.0,168.0,32.0,16.0,12.0,5.0,20.0,15.0,,151.0,12.0,330.0,,,35.0,3.0,78.0,2.0,478.0,3.0,0.0,17.0,23.0,1.0,13.0,1.0,653.0,31.0,10.0,6.0,6.0,16.0,0.0
1059781,8,2019-10-05 17:30:00,21,West Ham,Home,171.0,15.0,,5.0,5.0,3.0,1.0,260.0,2.0,,1.0,10.0,2.0,28.0,426.0,,,23.0,20.0,27.0,6.0,,,,,,,,,,7.0,,,,,2.0,7.0,5.0,2.0,8.0,1.0,87.0,53.0,1.0,1.0,,,16.0,1.0,13.0,1.0,,2.0,8.0,3.0,,8.0,1.0,52.0,59.0,,14.0,7.0,,,,,,,69.0,11.0,7.0,1.0,2.0,2.0,,157.0,1.0,,1.0,1.0,,,6.0,1.0,,2.0,7.0,,9.0,9.0,2.0,1.0,122.0,76.0,51.0,2.0,,2.0,5.0,4.0,501.0,2.0,,,86.0,98.0,25.0,1.0,1.0,1.0,,,131.0,131.0,2.0,26.0,23.0,51.7,,3.0,,,16.0,0.0,153.0,1.0,1.0,1.0,,2.0,,4.0,,3.0,90.0,416.0,7.0,7.0,198.0,34.0,14.0,8.0,2.0,15.0,13.0,,133.0,10.0,336.0,,,26.0,4.0,55.0,2.0,519.0,,0.0,9.0,19.0,1.0,23.0,3.0,678.0,17.0,16.0,6.0,2.0,11.0,0.0
1059786,9,2019-10-19 12:30:00,21,West Ham,Away,131.0,10.0,1.0,3.0,2.0,2.0,,136.0,3.0,,7.0,8.0,6.0,20.0,264.0,,1.0,21.0,25.0,22.0,6.0,,1.0,,,1.0,1.0,2.0,,,5.0,,,,,,9.0,12.0,7.0,5.0,3.0,40.0,72.0,,,,,18.0,1.0,9.0,,,2.0,3.0,,,19.0,7.0,71.0,62.0,,26.0,15.0,,,,,,,45.0,15.0,15.0,,3.0,,2.0,174.0,,,,,,,7.0,,,1.0,15.0,,8.0,8.0,1.0,7.0,81.0,82.0,38.0,11.0,,2.0,4.0,4.0,350.0,4.0,2.0,,42.0,60.0,16.0,,,,,,178.0,178.0,2.0,42.0,16.0,48.7,,,,,18.0,0.0,89.0,5.0,3.0,9.0,,1.0,,3.0,,3.0,57.0,241.0,7.0,6.0,176.0,28.0,26.0,17.0,2.0,5.0,3.0,,93.0,5.0,213.0,,,32.0,6.0,65.0,4.0,384.0,,0.0,8.0,13.0,3.0,28.0,2.0,592.0,13.0,19.0,12.0,2.0,10.0,0.0
1059801,10,2019-10-26 15:00:00,21,West Ham,Home,214.0,22.0,2.0,5.0,3.0,,,227.0,,,1.0,5.0,12.0,33.0,436.0,,1.0,23.0,25.0,22.0,8.0,2.0,1.0,3.0,,,,,,,10.0,,,1.0,,1.0,3.0,9.0,1.0,9.0,3.0,85.0,69.0,5.0,4.0,1.0,3.0,16.0,1.0,13.0,1.0,,10.0,17.0,7.0,,7.0,1.0,55.0,51.0,3.0,8.0,3.0,,,,,,,60.0,7.0,10.0,,1.0,,,195.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,,3.0,1.0,9.0,9.0,,1.0,130.0,96.0,54.0,4.0,1.0,7.0,4.0,4.0,525.0,4.0,,,86.0,87.0,40.0,,,,,,162.0,162.0,5.0,27.0,30.0,60.8,1.0,2.0,,,16.0,0.0,135.0,3.0,,2.0,,,3.0,7.0,,3.0,93.0,423.0,4.0,11.0,240.0,43.0,8.0,14.0,10.0,34.0,24.0,4.0,133.0,4.0,339.0,,,29.0,12.0,76.0,4.0,545.0,1.0,0.0,12.0,12.0,2.0,25.0,2.0,724.0,31.0,7.0,10.0,10.0,8.0,0.0
