matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2444476,1,2024-08-17 17:30:00,21,West Ham,Home,212.0,24.0,1.0,5.0,4.0,1.0,,145.0,7.0,,7.0,5.0,8.0,27.0,352.0,,,13.0,13.0,14.0,10.0,,2.0,,,,,,,,,11.0,1.0,,,,,11.0,10.0,5.0,11.0,3.0,55.0,47.0,2.0,3.0,1.0,3.0,8.0,4.0,8.0,,,5.0,13.0,5.0,,18.0,1.0,62.0,43.0,3.0,22.0,16.0,,,,,,,,39.0,18.0,11.0,,2.0,2.0,,127.0,,,,,,,7.0,,1.0,,16.0,,6.0,6.0,1.0,,7.0,125.0,46.0,26.0,3.0,1.0,4.0,6.0,3.0,398.0,6.0,,,56.0,37.0,31.0,,,,1.0,127.0,127.0,3.0,22.0,14.0,52.1,,,,1.0,19.0,0.0,110.0,,1.0,1.0,,,,7.0,2.0,,5.0,55.0,335.0,8.0,10.0,234.0,45.0,22.0,10.0,5.0,25.0,20.0,,,79.0,3.0,208.0,1.0,,18.0,8.0,52.0,1.0,417.0,,0.0,14.0,14.0,,14.0,1.0,612.0,26.0,16.0,,4.0,5.0,10.0,0.0
2444483,2,2024-08-24 15:00:00,21,West Ham,Away,201.0,20.0,3.0,4.0,1.0,,,105.0,7.0,1.0,3.0,9.0,12.0,31.0,302.0,,2.0,11.0,13.0,23.0,4.0,3.0,5.0,3.0,,,,,,1.0,,12.0,,,,,1.0,7.0,8.0,6.0,13.0,5.0,55.0,57.0,,1.0,,,6.0,5.0,3.0,,,3.0,11.0,,,14.0,1.0,55.0,66.0,,25.0,13.0,,,,,,,,57.0,17.0,9.0,,,,,158.0,1.0,,,1.0,,1.0,13.0,2.0,1.0,1.0,13.0,,15.0,15.0,2.0,,3.0,90.0,68.0,32.0,3.0,2.0,5.0,3.0,3.0,368.0,4.0,3.0,,35.0,41.0,15.0,,,,,144.0,144.0,3.0,26.0,23.0,41.6,,,,,15.0,0.0,90.0,1.0,1.0,2.0,,,3.0,10.0,1.0,,5.0,41.0,285.0,6.0,8.0,230.0,39.0,25.0,23.0,3.0,14.0,11.0,,4.0,76.0,4.0,177.0,1.0,1.0,28.0,12.0,68.0,2.0,393.0,,0.0,18.0,20.0,2.0,13.0,1.0,596.0,21.0,13.0,,14.0,3.0,12.0,0.0
2444499,3,2024-08-31 17:30:00,21,West Ham,Home,148.0,15.0,1.0,4.0,3.0,,,140.0,6.0,,6.0,4.0,7.0,19.0,284.0,,,16.0,7.0,9.0,5.0,1.0,2.0,1.0,,,,,,,,8.0,,,1.0,,,8.0,19.0,4.0,7.0,3.0,59.0,37.0,1.0,1.0,,1.0,8.0,3.0,12.0,,,3.0,7.0,5.0,,10.0,2.0,44.0,32.0,1.0,20.0,7.0,1.0,,,,,,,42.0,10.0,2.0,,1.0,,,114.0,,,,,,,8.0,,1.0,,7.0,2.0,6.0,6.0,3.0,,6.0,86.0,43.0,27.0,11.0,,3.0,3.0,2.0,321.0,5.0,1.0,,46.0,56.0,20.0,,,,,95.0,95.0,3.0,17.0,9.0,32.4,1.0,,,1.0,21.0,0.0,81.0,4.0,1.0,5.0,,,1.0,5.0,1.0,,5.0,70.0,270.0,8.0,6.0,164.0,27.0,20.0,15.0,2.0,14.0,12.0,108266.08,1.0,96.0,2.0,190.0,1.0,,8.0,8.0,34.0,,340.0,,0.0,10.0,11.0,,19.0,3.0,499.0,24.0,10.0,,10.0,3.0,6.0,0.0
2444504,4,2024-09-14 15:00:00,21,West Ham,Away,132.0,21.0,1.0,5.0,4.0,2.0,1.0,131.0,9.0,,2.0,4.0,7.0,18.0,258.0,1.0,,18.0,21.0,10.0,6.0,2.0,2.0,,,,,,,,,5.0,,,,,1.0,12.0,17.0,4.0,7.0,4.0,46.0,45.0,1.0,1.0,,,10.0,3.0,12.0,,,2.0,7.0,3.0,,24.0,1.0,80.0,52.0,,24.0,12.0,,,,,,,,45.0,18.0,15.0,,5.0,4.0,,130.0,1.0,,1.0,,1.0,,13.0,,,,12.0,,10.0,10.0,,,2.0,81.0,52.0,24.0,3.0,,4.0,5.0,3.0,305.0,6.0,,,61.0,44.0,23.0,,,,,138.0,138.0,5.0,17.0,18.0,45.5,,,1.0,,22.0,0.0,76.0,3.0,1.0,4.0,,1.0,,5.0,,1.0,5.0,72.0,238.0,10.0,9.0,159.0,35.0,24.0,15.0,2.0,16.0,14.0,100576.29,,96.0,7.0,190.0,,,21.0,8.0,48.0,2.0,333.0,1.0,0.0,11.0,18.0,,26.0,3.0,551.0,13.0,12.0,,9.0,2.0,10.0,0.0
2444519,5,2024-09-21 12:30:00,21,West Ham,Home,212.0,22.0,2.0,6.0,4.0,1.0,2.0,238.0,4.0,1.0,4.0,2.0,6.0,20.0,444.0,,1.0,9.0,10.0,10.0,8.0,1.0,2.0,1.0,,,,1.0,,,,11.0,,,,,1.0,11.0,11.0,1.0,8.0,7.0,78.0,50.0,,,,,6.0,5.0,6.0,,,6.0,13.0,7.0,,8.0,2.0,52.0,43.0,,10.0,4.0,,,,,,,,68.0,17.0,9.0,,3.0,3.0,1.0,167.0,,,,,,,4.0,,,,4.0,,8.0,8.0,1.0,,4.0,122.0,44.0,31.0,5.0,,2.0,7.0,7.0,484.0,3.0,1.0,,60.0,74.0,43.0,,,,,107.0,107.0,7.0,17.0,22.0,53.0,,,,1.0,13.0,0.0,131.0,2.0,,2.0,,,1.0,3.0,,,5.0,108.0,430.0,6.0,9.0,223.0,38.0,10.0,20.0,6.0,29.0,23.0,104266.38,1.0,144.0,2.0,304.0,,1.0,6.0,6.0,35.0,2.0,498.0,2.0,0.0,15.0,16.0,2.0,9.0,5.0,666.0,36.0,8.0,,9.0,6.0,6.0,0.0
2444522,6,2024-09-28 15:00:00,21,West Ham,Away,128.0,34.0,2.0,4.0,2.0,1.0,,192.0,2.0,1.0,4.0,6.0,7.0,34.0,316.0,,1.0,14.0,18.0,17.0,12.0,1.0,4.0,1.0,,,,,,2.0,,14.0,,,,,,3.0,4.0,4.0,11.0,8.0,62.0,55.0,1.0,,1.0,1.0,10.0,6.0,4.0,,,6.0,6.0,5.0,,17.0,1.0,53.0,46.0,1.0,37.0,23.0,,1.0,,,,,,54.0,11.0,2.0,,,,,138.0,1.0,,,1.0,,,6.0,1.0,,3.0,23.0,,10.0,10.0,1.0,,4.0,102.0,56.0,28.0,7.0,1.0,7.0,7.0,3.0,387.0,3.0,2.0,,64.0,48.0,30.0,,,,,143.0,143.0,4.0,26.0,20.0,42.8,,,1.0,,17.0,0.0,97.0,,2.0,2.0,,1.0,1.0,10.0,,,5.0,105.0,308.0,10.0,14.0,143.0,48.0,37.0,18.0,5.0,16.0,11.0,111364.65,1.0,150.0,4.0,272.0,,1.0,23.0,8.0,65.0,2.0,399.0,1.0,0.0,19.0,17.0,3.0,18.0,3.0,615.0,39.0,15.0,,10.0,7.0,7.0,0.0
2444539,7,2024-10-05 15:00:00,21,West Ham,Home,281.0,29.0,1.0,3.0,2.0,1.0,,154.0,5.0,,5.0,3.0,10.0,31.0,432.0,1.0,1.0,12.0,16.0,10.0,13.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,,20.0,,1.0,1.0,,,6.0,5.0,4.0,17.0,6.0,106.0,55.0,6.0,6.0,3.0,,11.0,4.0,11.0,,,5.0,3.0,2.0,,7.0,2.0,52.0,42.0,,18.0,8.0,,,,,,,,45.0,12.0,5.0,1.0,1.0,1.0,1.0,138.0,1.0,,1.0,1.0,,,7.0,4.0,2.0,2.0,8.0,2.0,8.0,8.0,1.0,,5.0,134.0,55.0,38.0,5.0,3.0,2.0,13.0,13.0,481.0,3.0,1.0,,53.0,51.0,20.0,,,,,109.0,109.0,7.0,22.0,20.0,53.0,2.0,,,1.0,14.0,0.0,118.0,1.0,,2.0,,,2.0,6.0,2.0,,5.0,68.0,421.0,11.0,15.0,304.0,50.0,18.0,16.0,5.0,11.0,6.0,109906.88,2.0,91.0,5.0,203.0,2.0,,13.0,10.0,54.0,3.0,496.0,1.0,0.0,23.0,19.0,2.0,13.0,0.0,676.0,27.0,17.0,,8.0,5.0,11.0,0.0
2444548,8,2024-10-19 12:30:00,21,West Ham,Away,162.0,23.0,,3.0,3.0,1.0,,136.0,7.0,2.0,4.0,3.0,5.0,37.0,295.0,1.0,,15.0,9.0,7.0,8.0,,1.0,,,,,,1.0,,,9.0,,,,,1.0,9.0,18.0,5.0,7.0,4.0,57.0,40.0,1.0,1.0,1.0,3.0,4.0,3.0,7.0,,1.0,5.0,3.0,4.0,,10.0,4.0,56.0,64.0,3.0,25.0,12.0,,1.0,,,,,,34.0,15.0,9.0,,1.0,,,124.0,,,,,,,11.0,1.0,2.0,,12.0,,11.0,11.0,3.0,,4.0,85.0,49.0,30.0,13.0,1.0,3.0,5.0,4.0,338.0,6.0,2.0,1.0,39.0,56.0,18.0,,,,,123.0,123.0,1.0,19.0,14.0,43.0,,3.0,,,11.0,0.0,100.0,3.0,1.0,4.0,,,,4.0,,,4.0,69.0,274.0,4.0,8.0,188.0,35.0,25.0,30.0,5.0,12.0,7.0,,,96.0,4.0,190.0,2.0,2.0,17.0,6.0,63.0,1.0,366.0,3.0,1.0,11.0,33.0,,17.0,3.0,577.0,21.0,13.0,,15.0,5.0,25.0,0.0
2444559,9,2024-10-27 14:00:00,21,West Ham,Home,168.0,19.0,2.0,6.0,4.0,7.0,,156.0,6.0,,3.0,5.0,7.0,24.0,318.0,2.0,,11.0,15.0,13.0,7.0,2.0,2.0,2.0,,,,,,,,8.0,1.0,,,,,5.0,10.0,8.0,11.0,1.0,46.0,57.0,3.0,2.0,2.0,3.0,6.0,1.0,7.0,,1.0,6.0,14.0,3.0,,13.0,3.0,46.0,40.0,3.0,40.0,16.0,,1.0,,,,,,42.0,6.0,6.0,,2.0,,,142.0,1.0,,,1.0,,,7.0,1.0,1.0,,16.0,,12.0,12.0,2.0,,3.0,97.0,45.0,34.0,5.0,1.0,7.0,3.0,3.0,374.0,5.0,,,41.0,84.0,31.0,,,,1.0,130.0,130.0,7.0,21.0,24.0,42.5,,,,1.0,22.0,0.0,108.0,2.0,2.0,4.0,,,2.0,8.0,,1.0,5.0,79.0,303.0,6.0,10.0,190.0,34.0,40.0,16.0,6.0,23.0,17.0,,2.0,118.0,11.0,226.0,1.0,1.0,15.0,7.0,41.0,3.0,393.0,2.0,0.0,12.0,11.0,2.0,14.0,5.0,596.0,30.0,13.0,,10.0,6.0,5.0,0.0
2444566,10,2024-11-02 15:00:00,21,West Ham,Away,202.0,11.0,2.0,3.0,1.0,,,109.0,6.0,,2.0,2.0,10.0,15.0,308.0,,,13.0,13.0,15.0,2.0,,2.0,,,,,,,,,2.0,,,,,,6.0,9.0,10.0,2.0,2.0,60.0,38.0,,,,2.0,6.0,,6.0,,,6.0,6.0,4.0,,11.0,1.0,45.0,45.0,2.0,30.0,18.0,1.0,,,,,,,52.0,9.0,7.0,,,,,126.0,,,,,,,12.0,,1.0,1.0,18.0,,11.0,11.0,2.0,,2.0,96.0,54.0,23.0,11.0,,2.0,,2.0,365.0,3.0,3.0,,28.0,47.0,22.0,,,,,127.0,127.0,3.0,15.0,15.0,46.6,,,,,16.0,0.0,110.0,2.0,1.0,3.0,1.0,,,2.0,,,3.0,54.0,290.0,6.0,2.0,220.0,31.0,30.0,17.0,5.0,15.0,10.0,,,104.0,3.0,187.0,1.0,,15.0,10.0,52.0,1.0,392.0,1.0,1.0,4.0,13.0,1.0,13.0,2.0,561.0,9.0,9.0,,10.0,6.0,11.0,0.0
