matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918898,1.0,2017-08-13 16:00:00,21,West Ham,Away,170.0,18.0,1.0,1.0,,1.0,,147.0,6.0,2.0,5.0,3.0,16.0,25.0,316.0,,,9.0,23.0,13.0,6.0,1.0,,,,,,,,,,,8.0,,,1.0,,,3.0,13.0,8.0,6.0,3.0,,48.0,61.0,1.0,1.0,,3.0,13.0,2.0,23.0,,1.0,1.0,8.0,1.0,,12.0,1.0,65.0,56.0,3.0,26.0,10.0,,1.0,56.0,7.0,19.0,,,5.0,4.0,,140.0,,,,,,,13.0,,,,1.0,,,,,10.0,1.0,12.0,12.0,3.0,5.0,108.0,73.0,40.0,11.0,,5.0,2.0,1.0,362.0,,,8.0,3.0,,58.0,46.0,20.0,,,,,,129.0,129.0,2.0,32.0,21.0,44.6,1.0,,,2.0,13.0,0.0,,,,101.0,,1.0,1.0,,,,6.0,,3.0,74.0,295.0,6.0,7.0,188.0,32.0,26.0,5.0,1.0,14.0,13.0,,112.0,6.0,223.0,1.0,2.0,13.0,16.0,53.0,4.0,397.0,,0.0,9.0,21.0,1.0,13.0,2.0,584.0,12.0,10.0,3.0,1.0,16.0,0.0
918912,32.0,2018-03-31 15:00:00,21,West Ham,Home,118.0,14.0,1.0,3.0,2.0,4.0,,146.0,2.0,,3.0,6.0,9.0,28.0,261.0,,,26.0,16.0,20.0,5.0,2.0,1.0,,,,,,,,,1.0,10.0,,,1.0,,1.0,5.0,6.0,3.0,8.0,4.0,,63.0,61.0,2.0,2.0,1.0,2.0,20.0,3.0,12.0,,,5.0,7.0,6.0,,10.0,,54.0,64.0,2.0,23.0,16.0,,1.0,62.0,9.0,16.0,3.0,,2.0,1.0,,168.0,2.0,,2.0,2.0,,1.0,5.0,,,3.0,,,,,,16.0,1.0,16.0,16.0,,3.0,69.0,86.0,36.0,9.0,,3.0,6.0,5.0,348.0,,,4.0,3.0,,92.0,47.0,20.0,,,,,,169.0,169.0,4.0,28.0,21.0,48.1,1.0,,,2.0,20.0,0.0,,,,74.0,,,,,1.0,1.0,4.0,1.0,3.0,72.0,244.0,5.0,9.0,146.0,34.0,23.0,16.0,3.0,17.0,14.0,2.0,116.0,11.0,245.0,,,26.0,12.0,71.0,1.0,374.0,,0.0,12.0,19.0,1.0,38.0,0.0,583.0,16.0,9.0,9.0,5.0,12.0,0.0
918919,3.0,2017-08-26 15:00:00,21,West Ham,Away,227.0,17.0,1.0,2.0,1.0,1.0,,133.0,7.0,,6.0,6.0,10.0,51.0,358.0,,,28.0,25.0,16.0,4.0,,,,1.0,,1.0,,,,,,7.0,,,,,,6.0,10.0,7.0,3.0,5.0,,74.0,50.0,,1.0,,2.0,17.0,,8.0,,,5.0,4.0,4.0,,6.0,4.0,56.0,57.0,2.0,22.0,13.0,,,64.0,11.0,16.0,,,3.0,2.0,1.0,174.0,,,,,,,11.0,,,,,,,,1.0,13.0,,7.0,7.0,,6.0,116.0,95.0,41.0,7.0,,2.0,2.0,3.0,441.0,,,3.0,3.0,,54.0,59.0,17.0,,,,,,160.0,160.0,2.0,23.0,16.0,62.5,,,,,17.0,0.0,,,,109.0,3.0,2.0,5.0,,1.0,,5.0,,3.0,41.0,337.0,6.0,4.0,262.0,34.0,22.0,16.0,5.0,15.0,10.0,,83.0,8.0,226.0,,,39.0,12.0,102.0,2.0,473.0,1.0,0.0,8.0,17.0,,32.0,3.0,661.0,10.0,9.0,8.0,5.0,13.0,0.0
918932,4.0,2017-09-11 20:00:00,21,West Ham,Home,92.0,17.0,2.0,7.0,5.0,3.0,2.0,131.0,1.0,,3.0,9.0,1.0,35.0,216.0,,,24.0,26.0,34.0,7.0,4.0,,,2.0,,2.0,,,,,,12.0,,,1.0,,1.0,8.0,4.0,6.0,10.0,9.0,,43.0,52.0,1.0,1.0,1.0,5.0,23.0,6.0,8.0,,,10.0,12.0,8.0,,14.0,2.0,64.0,71.0,5.0,23.0,14.0,,,74.0,11.0,12.0,,,5.0,2.0,2.0,137.0,1.0,,,1.0,,,4.0,,,1.0,,,,,,14.0,1.0,10.0,10.0,,3.0,70.0,72.0,37.0,3.0,1.0,5.0,7.0,3.0,293.0,,,7.0,1.0,,47.0,54.0,38.0,,,,,,155.0,155.0,5.0,23.0,18.0,43.5,1.0,,,,23.0,0.0,,,,61.0,,2.0,2.0,,,,10.0,1.0,3.0,61.0,202.0,10.0,12.0,110.0,24.0,23.0,9.0,10.0,32.0,22.0,,113.0,12.0,233.0,,,30.0,1.0,69.0,,311.0,,0.0,19.0,21.0,,27.0,1.0,535.0,15.0,12.0,4.0,10.0,11.0,0.0
918942,5.0,2017-09-16 15:00:00,21,West Ham,Away,221.0,17.0,2.0,8.0,6.0,3.0,1.0,201.0,5.0,,4.0,11.0,5.0,50.0,414.0,,,19.0,6.0,15.0,5.0,2.0,,,,,,,1.0,,,,7.0,,,1.0,,,4.0,4.0,2.0,4.0,5.0,,73.0,51.0,,,,,14.0,3.0,9.0,,,3.0,9.0,15.0,,3.0,,29.0,45.0,,16.0,8.0,,,71.0,7.0,14.0,,,6.0,6.0,,127.0,,,,,,,7.0,,,,,,,,,8.0,1.0,7.0,7.0,,4.0,139.0,83.0,58.0,2.0,,4.0,3.0,1.0,465.0,,,2.0,5.0,,83.0,63.0,27.0,,,,,,126.0,126.0,4.0,20.0,21.0,63.2,1.0,,,,14.0,0.0,,,,148.0,1.0,,1.0,,,,5.0,,3.0,61.0,398.0,2.0,7.0,231.0,32.0,16.0,9.0,3.0,33.0,30.0,,107.0,10.0,289.0,,,25.0,6.0,80.0,2.0,487.0,2.0,0.0,9.0,11.0,1.0,22.0,2.0,647.0,9.0,11.0,5.0,3.0,6.0,0.0
918952,6.0,2017-09-23 12:30:00,21,West Ham,Home,118.0,21.0,2.0,5.0,3.0,3.0,,148.0,3.0,2.0,2.0,13.0,8.0,49.0,261.0,,,23.0,22.0,16.0,6.0,,,,,,,,,,,,7.0,,,,,,8.0,7.0,8.0,6.0,4.0,,58.0,65.0,1.0,,1.0,2.0,25.0,1.0,9.0,,1.0,4.0,9.0,12.0,,12.0,1.0,60.0,60.0,2.0,23.0,13.0,,,63.0,10.0,20.0,1.0,,4.0,2.0,,151.0,2.0,,2.0,1.0,1.0,,6.0,,,1.0,,,,,,13.0,,18.0,18.0,1.0,2.0,90.0,85.0,41.0,3.0,1.0,4.0,4.0,4.0,332.0,,,3.0,2.0,,90.0,56.0,30.0,,,,,,173.0,173.0,3.0,28.0,29.0,48.9,,,,,25.0,0.0,,,,68.0,1.0,1.0,2.0,,1.0,,5.0,,3.0,66.0,239.0,11.0,8.0,140.0,39.0,23.0,13.0,3.0,26.0,23.0,,111.0,7.0,253.0,,2.0,42.0,10.0,97.0,6.0,367.0,,0.0,10.0,19.0,2.0,28.0,4.0,592.0,18.0,14.0,6.0,4.0,15.0,0.0
918962,7.0,2017-09-30 15:00:00,21,West Ham,Home,133.0,20.0,1.0,9.0,8.0,3.0,,163.0,4.0,,2.0,10.0,4.0,39.0,287.0,,,24.0,19.0,24.0,6.0,2.0,,,,,,,,,,,7.0,,,1.0,,1.0,9.0,1.0,5.0,7.0,2.0,,59.0,65.0,1.0,,1.0,1.0,19.0,2.0,6.0,,,2.0,10.0,14.0,,8.0,1.0,51.0,65.0,1.0,25.0,16.0,,,58.0,15.0,13.0,,,,,,136.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,1.0,16.0,1.0,17.0,17.0,3.0,2.0,90.0,77.0,49.0,1.0,,3.0,6.0,4.0,355.0,,,2.0,2.0,,81.0,60.0,30.0,,,,,,150.0,150.0,2.0,32.0,28.0,43.2,1.0,,,,19.0,0.0,,,,90.0,,1.0,1.0,,,,3.0,,3.0,56.0,270.0,7.0,9.0,157.0,33.0,25.0,12.0,2.0,26.0,24.0,,95.0,8.0,244.0,,,32.0,5.0,72.0,1.0,375.0,,0.0,9.0,22.0,,29.0,3.0,585.0,14.0,23.0,6.0,2.0,17.0,0.0
918964,8.0,2017-10-14 15:00:00,21,West Ham,Away,82.0,7.0,,1.0,1.0,2.0,,108.0,5.0,,1.0,9.0,7.0,28.0,189.0,,,12.0,30.0,25.0,5.0,,,,,,,,,,,1.0,8.0,,,,,,8.0,8.0,12.0,3.0,5.0,,35.0,50.0,1.0,,1.0,5.0,6.0,1.0,9.0,,,4.0,3.0,4.0,,5.0,3.0,63.0,48.0,5.0,30.0,19.0,,,67.0,14.0,9.0,,,,,,142.0,1.0,,,1.0,,,17.0,,,1.0,,,,,,19.0,,13.0,13.0,2.0,1.0,57.0,82.0,33.0,7.0,1.0,1.0,5.0,6.0,243.0,,,7.0,5.0,,19.0,51.0,21.0,,,,,,141.0,141.0,,17.0,20.0,37.9,,2.0,,3.0,6.0,0.0,,,,51.0,2.0,2.0,4.0,1.0,2.0,,1.0,,3.0,48.0,170.0,1.0,6.0,100.0,17.0,30.0,13.0,3.0,10.0,7.0,,98.0,7.0,195.0,,,37.0,8.0,80.0,1.0,285.0,,1.0,8.0,9.0,,18.0,2.0,452.0,9.0,12.0,6.0,4.0,6.0,0.0
918982,9.0,2017-10-20 20:00:00,21,West Ham,Home,206.0,16.0,1.0,7.0,6.0,1.0,,307.0,2.0,,3.0,2.0,11.0,33.0,506.0,,,24.0,22.0,15.0,8.0,2.0,,,1.0,,2.0,,,,,,11.0,,,,,,4.0,5.0,2.0,8.0,8.0,,83.0,55.0,,,,2.0,16.0,9.0,5.0,,,10.0,15.0,14.0,,5.0,2.0,41.0,50.0,2.0,3.0,2.0,,,95.0,5.0,13.0,,,2.0,,2.0,171.0,,,,,,,3.0,,,,,,,,,2.0,,7.0,7.0,,3.0,192.0,69.0,50.0,3.0,,4.0,6.0,2.0,585.0,,,1.0,5.0,,85.0,97.0,54.0,1.0,1.0,1.0,,,163.0,163.0,4.0,20.0,28.0,65.0,,,,,16.0,0.0,,,,158.0,2.0,,2.0,,,,5.0,,2.0,118.0,489.0,4.0,10.0,228.0,32.0,3.0,13.0,10.0,39.0,29.0,,170.0,7.0,415.0,,,10.0,11.0,54.0,3.0,604.0,,0.0,16.0,15.0,,25.0,1.0,786.0,26.0,14.0,8.0,10.0,10.0,0.0
918987,10.0,2017-10-28 15:00:00,21,West Ham,Away,110.0,11.0,2.0,2.0,,,,130.0,3.0,,1.0,3.0,4.0,23.0,238.0,,,18.0,19.0,19.0,1.0,2.0,,,,,,,,,,,3.0,,,,,1.0,7.0,16.0,4.0,4.0,2.0,,44.0,61.0,1.0,,1.0,4.0,17.0,1.0,14.0,,,2.0,8.0,3.0,,12.0,4.0,69.0,75.0,4.0,36.0,20.0,,1.0,54.0,15.0,18.0,2.0,,5.0,4.0,,143.0,1.0,,1.0,1.0,,,10.0,,,2.0,,,,,,20.0,,14.0,14.0,2.0,1.0,68.0,84.0,37.0,11.0,,3.0,1.0,2.0,298.0,,,3.0,2.0,,48.0,64.0,25.0,1.0,1.0,1.0,,,151.0,151.0,6.0,29.0,21.0,44.1,,2.0,,1.0,17.0,0.0,,,,76.0,6.0,1.0,7.0,,,,3.0,,3.0,52.0,218.0,4.0,4.0,129.0,20.0,36.0,24.0,2.0,17.0,15.0,,94.0,5.0,219.0,,,23.0,5.0,63.0,1.0,331.0,,0.0,6.0,23.0,,25.0,2.0,554.0,15.0,12.0,15.0,2.0,13.0,0.0
