matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803171,1,2015-08-09 13:30:00,21,West Ham,Away,151.0,13.0,,1.0,1.0,2.0,1.0,106.0,6.0,2.0,2.0,11.0,11.0,33.0,256.0,,1.0,13.0,32.0,19.0,4.0,2.0,,,,,,,,,,,6.0,,,,,1.0,5.0,16.0,6.0,58.0,59.0,1.0,,1.0,4.0,18.0,2.0,22.0,,,4.0,4.0,,,6.0,5.0,75.0,64.0,4.0,19.0,12.0,,,63.0,9.0,12.0,1.0,,2.0,2.0,,159.0,1.0,1.0,1.0,,1.0,,11.0,1.0,2.0,,14.0,,12.0,12.0,3.0,2.0,83.0,80.0,41.0,5.0,1.0,2.0,5.0,4.0,326.0,9.0,2.0,,47.0,51.0,11.0,,,,,,148.0,142.0,2.0,29.0,18.0,38.2,,1.0,18.0,0.0,59.0,5.0,1.0,6.0,1.0,,2.0,,3.0,45.0,236.0,8.0,7.0,176.0,27.0,25.0,18.0,1.0,7.0,6.0,,95.0,13.0,190.0,3.0,2.0,41.0,13.0,81.0,1.0,359.0,,0.0,8.0,21.0,2.0,21.0,3.0,538.0,10.0,12.0,4.0,16.0,0.0
803176,2,2015-08-15 15:00:00,21,West Ham,Home,226.0,23.0,1.0,5.0,4.0,,,247.0,11.0,,6.0,6.0,22.0,58.0,468.0,,,33.0,20.0,25.0,6.0,1.0,,,,,,,,,,,8.0,,,,,1.0,9.0,7.0,3.0,75.0,56.0,,,,1.0,9.0,4.0,6.0,,1.0,8.0,23.0,7.0,,12.0,2.0,62.0,61.0,1.0,17.0,13.0,,,80.0,11.0,12.0,1.0,,2.0,3.0,,190.0,1.0,,1.0,1.0,,,11.0,1.0,,,17.0,1.0,4.0,4.0,1.0,6.0,158.0,93.0,68.0,4.0,,3.0,5.0,3.0,529.0,2.0,2.0,,108.0,76.0,46.0,,,,,,163.0,158.0,1.0,24.0,25.0,69.8,,,9.0,0.0,130.0,3.0,,3.0,,,3.0,,3.0,111.0,445.0,2.0,8.0,252.0,36.0,22.0,22.0,8.0,41.0,33.0,,159.0,3.0,342.0,,,31.0,23.0,91.0,1.0,553.0,,1.0,10.0,15.0,,35.0,1.0,756.0,7.0,9.0,8.0,12.0,0.0
803183,3,2015-08-22 15:00:00,21,West Ham,Home,111.0,15.0,2.0,3.0,1.0,2.0,,146.0,1.0,1.0,5.0,11.0,15.0,35.0,254.0,,,22.0,27.0,21.0,4.0,2.0,,,,,,,,,,,3.0,1.0,,,,,4.0,9.0,6.0,52.0,71.0,,,2.0,1.0,21.0,3.0,12.0,,,5.0,9.0,3.0,,8.0,2.0,64.0,59.0,1.0,11.0,7.0,3.0,2.0,83.0,8.0,11.0,,,3.0,2.0,,177.0,1.0,1.0,,,1.0,,9.0,,1.0,,9.0,,27.0,27.0,5.0,5.0,69.0,96.0,41.0,4.0,2.0,2.0,5.0,4.0,346.0,2.0,1.0,,57.0,48.0,33.0,1.0,1.0,1.0,,1.0,175.0,171.0,2.0,34.0,24.0,45.8,,,21.0,0.0,75.0,2.0,1.0,3.0,,,3.0,,3.0,70.0,242.0,10.0,7.0,138.0,36.0,15.0,16.0,5.0,19.0,14.0,,135.0,15.0,254.0,1.0,1.0,42.0,16.0,91.0,3.0,373.0,,1.0,10.0,20.0,1.0,25.0,0.0,570.0,12.0,7.0,5.0,15.0,0.0
803201,4,2015-08-29 15:00:00,21,West Ham,Away,115.0,15.0,2.0,2.0,,,,125.0,1.0,1.0,2.0,4.0,12.0,21.0,238.0,,,12.0,17.0,14.0,4.0,1.0,,,,,,,,,,,9.0,,,,,1.0,6.0,4.0,9.0,45.0,59.0,1.0,,1.0,6.0,14.0,3.0,2.0,,1.0,7.0,8.0,2.0,,5.0,1.0,42.0,62.0,6.0,20.0,12.0,,,57.0,12.0,15.0,2.0,,3.0,2.0,,128.0,1.0,,1.0,1.0,,,10.0,3.0,,,12.0,,20.0,20.0,1.0,2.0,82.0,76.0,29.0,5.0,1.0,2.0,4.0,5.0,288.0,5.0,1.0,,36.0,72.0,18.0,,,,,,135.0,130.0,3.0,37.0,12.0,37.3,,,14.0,0.0,71.0,,1.0,1.0,,,4.0,,3.0,52.0,221.0,5.0,6.0,134.0,30.0,25.0,16.0,3.0,15.0,12.0,,99.0,4.0,207.0,,1.0,29.0,12.0,73.0,,326.0,,1.0,12.0,25.0,1.0,16.0,2.0,516.0,12.0,9.0,7.0,16.0,0.0
803207,5,2015-09-14 20:00:00,21,West Ham,Home,97.0,6.0,1.0,4.0,3.0,2.0,,146.0,2.0,1.0,1.0,13.0,12.0,28.0,239.0,,,22.0,5.0,9.0,11.0,1.0,4.0,,1.0,,1.0,,,,1.0,,13.0,,1.0,,,1.0,2.0,6.0,8.0,53.0,64.0,1.0,1.0,1.0,5.0,14.0,6.0,8.0,,,6.0,9.0,2.0,,11.0,1.0,35.0,48.0,5.0,20.0,15.0,,,51.0,8.0,11.0,,,4.0,2.0,1.0,127.0,1.0,,1.0,1.0,,1.0,6.0,2.0,1.0,2.0,17.0,1.0,33.0,33.0,5.0,1.0,72.0,66.0,37.0,7.0,2.0,7.0,6.0,3.0,290.0,5.0,2.0,,70.0,47.0,23.0,,,,,,136.0,131.0,3.0,33.0,21.0,39.1,1.0,,14.0,0.0,62.0,4.0,,4.0,1.0,4.0,8.0,,3.0,88.0,226.0,4.0,13.0,111.0,16.0,25.0,16.0,3.0,16.0,13.0,4.0,128.0,5.0,219.0,1.0,1.0,30.0,12.0,59.0,,314.0,1.0,0.0,17.0,18.0,,27.0,0.0,542.0,20.0,10.0,6.0,16.0,0.0
803221,6,2015-09-19 17:30:00,21,West Ham,Away,115.0,12.0,1.0,3.0,2.0,1.0,,77.0,3.0,1.0,1.0,11.0,6.0,28.0,189.0,,1.0,9.0,24.0,15.0,2.0,1.0,,,,,,,,,,1.0,4.0,,,,,,7.0,18.0,9.0,37.0,67.0,2.0,1.0,1.0,9.0,17.0,,17.0,,,3.0,4.0,1.0,,11.0,5.0,67.0,58.0,9.0,43.0,23.0,,1.0,42.0,7.0,10.0,1.0,1.0,,,,134.0,2.0,,1.0,1.0,1.0,,12.0,1.0,3.0,,28.0,,17.0,17.0,6.0,1.0,56.0,65.0,24.0,16.0,1.0,3.0,2.0,3.0,246.0,10.0,1.0,,25.0,48.0,12.0,,,,,,149.0,135.0,2.0,44.0,12.0,28.5,,,17.0,0.0,52.0,6.0,1.0,8.0,,,3.0,,3.0,37.0,175.0,10.0,5.0,141.0,17.0,57.0,21.0,2.0,7.0,5.0,,67.0,8.0,145.0,3.0,2.0,34.0,7.0,70.0,2.0,279.0,,0.0,6.0,20.0,1.0,13.0,2.0,504.0,14.0,13.0,3.0,13.0,0.0
803229,7,2015-09-26 15:00:00,21,West Ham,Home,111.0,18.0,2.0,7.0,5.0,2.0,1.0,160.0,5.0,,4.0,10.0,8.0,32.0,264.0,,,19.0,15.0,21.0,9.0,4.0,,,1.0,,1.0,,1.0,,,1.0,13.0,,,,,3.0,3.0,9.0,7.0,56.0,69.0,5.0,3.0,2.0,,17.0,4.0,8.0,,,7.0,12.0,3.0,,9.0,2.0,44.0,58.0,,18.0,13.0,1.0,,68.0,7.0,17.0,1.0,,4.0,3.0,1.0,134.0,2.0,,1.0,2.0,,,9.0,1.0,1.0,1.0,14.0,,19.0,19.0,3.0,4.0,74.0,65.0,33.0,5.0,1.0,5.0,10.0,7.0,322.0,4.0,3.0,,53.0,47.0,38.0,,,,,,149.0,145.0,2.0,21.0,40.0,42.9,,,17.0,0.0,85.0,2.0,3.0,5.0,1.0,,8.0,,3.0,73.0,247.0,9.0,16.0,135.0,27.0,22.0,13.0,6.0,24.0,18.0,,111.0,7.0,238.0,1.0,,29.0,9.0,68.0,3.0,349.0,,0.0,19.0,17.0,,25.0,0.0,565.0,15.0,6.0,7.0,14.0,0.0
803241,8,2015-10-03 15:00:00,21,West Ham,Away,141.0,22.0,1.0,9.0,8.0,3.0,,233.0,5.0,,4.0,5.0,18.0,43.0,365.0,,,25.0,15.0,21.0,14.0,1.0,,,,1.0,1.0,,,,,,15.0,,,,,1.0,6.0,6.0,6.0,55.0,61.0,1.0,1.0,1.0,,6.0,5.0,4.0,,,8.0,16.0,8.0,1.0,9.0,,52.0,62.0,,11.0,10.0,1.0,,66.0,11.0,14.0,,,5.0,1.0,1.0,138.0,1.0,,1.0,1.0,,,7.0,2.0,,2.0,10.0,,12.0,12.0,,4.0,132.0,79.0,46.0,1.0,1.0,7.0,9.0,6.0,414.0,4.0,,,83.0,74.0,37.0,,,,,,139.0,138.0,4.0,21.0,31.0,55.9,,,6.0,0.0,115.0,1.0,,1.0,,,9.0,1.0,3.0,109.0,345.0,4.0,16.0,152.0,33.0,12.0,25.0,7.0,32.0,25.0,,149.0,7.0,320.0,,,21.0,19.0,70.0,2.0,440.0,1.0,0.0,20.0,19.0,1.0,26.0,4.0,643.0,12.0,9.0,8.0,11.0,0.0
803251,9,2015-10-17 15:00:00,21,West Ham,Away,148.0,14.0,4.0,7.0,3.0,3.0,,296.0,4.0,1.0,8.0,2.0,19.0,19.0,437.0,2.0,2.0,21.0,13.0,13.0,14.0,2.0,,,1.0,,1.0,,,,,1.0,18.0,,,,1.0,,5.0,5.0,1.0,47.0,66.0,4.0,1.0,3.0,1.0,19.0,8.0,6.0,,,9.0,12.0,4.0,1.0,12.0,,49.0,66.0,1.0,14.0,10.0,,,57.0,11.0,9.0,,,2.0,1.0,1.0,154.0,3.0,,3.0,3.0,,,6.0,3.0,,1.0,12.0,1.0,9.0,9.0,,8.0,153.0,58.0,36.0,1.0,2.0,10.0,9.0,4.0,498.0,2.0,3.0,,84.0,72.0,36.0,1.0,1.0,1.0,,,141.0,135.0,3.0,24.0,31.0,61.5,1.0,,19.0,0.0,162.0,,,,1.0,,12.0,,3.0,149.0,425.0,11.0,19.0,164.0,22.0,20.0,26.0,8.0,25.0,17.0,,199.0,5.0,377.0,,1.0,18.0,19.0,42.0,4.0,516.0,3.0,0.0,24.0,27.0,2.0,22.0,3.0,733.0,9.0,17.0,9.0,20.0,0.0
803252,10,2015-10-24 15:00:00,21,West Ham,Home,156.0,15.0,,5.0,5.0,1.0,2.0,131.0,3.0,4.0,6.0,5.0,9.0,31.0,282.0,,,20.0,15.0,13.0,7.0,1.0,,,,1.0,1.0,,,,,1.0,9.0,,,,,1.0,7.0,6.0,3.0,60.0,59.0,1.0,1.0,,2.0,8.0,3.0,13.0,1.0,,7.0,8.0,4.0,,12.0,1.0,55.0,53.0,2.0,18.0,9.0,,,58.0,10.0,12.0,,,2.0,2.0,1.0,151.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,,10.0,,16.0,16.0,,6.0,86.0,70.0,30.0,4.0,1.0,3.0,6.0,5.0,343.0,1.0,1.0,,71.0,39.0,29.0,,,,,,145.0,142.0,3.0,16.0,32.0,45.5,,1.0,8.0,0.0,73.0,2.0,1.0,2.0,,,4.0,,3.0,59.0,268.0,4.0,9.0,175.0,26.0,21.0,17.0,5.0,19.0,14.0,,107.0,7.0,214.0,2.0,4.0,29.0,11.0,69.0,4.0,370.0,,0.0,12.0,17.0,,26.0,1.0,561.0,11.0,11.0,7.0,13.0,0.0
