matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210277,1,2021-08-15 14:00:00,21,West Ham,Away,172.0,10.0,3.0,4.0,1.0,4.0,,237.0,8.0,,2.0,3.0,6.0,18.0,405.0,1.0,,20.0,12.0,20.0,8.0,1.0,3.0,1.0,,1.0,,1.0,,,,,,12.0,,1.0,,1.0,,1.0,2.0,9.0,8.0,12.0,6.0,69.0,52.0,4.0,3.0,3.0,,11.0,5.0,14.0,,1.0,6.0,12.0,5.0,1.0,4.0,,37.0,58.0,,21.0,10.0,,,20.0,42.0,3.0,4.0,1.0,,2.0,,1.0,137.0,3.0,,3.0,3.0,,1.0,12.0,3.0,,,10.0,1.0,7.0,7.0,,3.0,132.0,55.0,35.0,7.0,2.0,2.0,10.0,9.0,455.0,6.0,1.0,,103.0,61.0,28.0,,,,,1.0,116.0,116.0,3.0,20.0,25.0,53.6,1.0,,3.0,,11.0,0.0,135.0,1.0,,1.0,,,1.0,4.0,,3.0,9.0,122.0,391.0,4.0,12.0,184.0,21.0,21.0,15.0,6.0,23.0,17.0,2.0,151.0,9.0,312.0,,,14.0,8.0,38.0,2.0,473.0,1.0,0.0,18.0,23.0,,21.0,0.0,654.0,33.0,16.0,11.0,6.0,14.0,0.0
2210289,2,2021-08-23 20:00:00,21,West Ham,Home,216.0,25.0,5.0,12.0,7.0,3.0,,227.0,3.0,,6.0,1.0,10.0,31.0,431.0,1.0,,20.0,10.0,21.0,9.0,3.0,5.0,2.0,,,,,,,,,,14.0,,,,,,,5.0,4.0,1.0,15.0,4.0,80.0,60.0,3.0,1.0,2.0,,13.0,2.0,5.0,,,10.0,13.0,10.0,,11.0,,36.0,54.0,,7.0,2.0,,,26.0,59.0,8.0,8.0,2.0,,3.0,2.0,,163.0,4.0,,4.0,4.0,,1.0,3.0,4.0,1.0,,2.0,,5.0,5.0,,6.0,133.0,60.0,32.0,,2.0,9.0,7.0,7.0,490.0,2.0,1.0,,91.0,62.0,40.0,,,,,,122.0,122.0,6.0,21.0,26.0,51.4,,,,,13.0,0.0,126.0,,,,,,2.0,10.0,,2.0,12.0,116.0,421.0,5.0,16.0,230.0,42.0,7.0,12.0,9.0,34.0,25.0,3.0,149.0,8.0,306.0,1.0,,9.0,11.0,51.0,2.0,502.0,1.0,0.0,19.0,15.0,,23.0,0.0,684.0,29.0,10.0,10.0,10.0,11.0,0.0
2210299,3,2021-08-28 15:00:00,21,West Ham,Home,117.0,22.0,2.0,8.0,6.0,2.0,1.0,186.0,3.0,,1.0,2.0,3.0,19.0,295.0,1.0,2.0,27.0,29.0,15.0,10.0,1.0,,,,,,,,,,,,12.0,,,,,,2.0,6.0,6.0,3.0,11.0,3.0,55.0,49.0,1.0,,2.0,,21.0,7.0,15.0,,,5.0,18.0,3.0,,8.0,,67.0,47.0,,13.0,8.0,,,27.0,64.0,10.0,5.0,1.0,,2.0,2.0,,151.0,1.0,,1.0,1.0,,,6.0,2.0,,,8.0,,15.0,15.0,,1.0,78.0,59.0,34.0,3.0,1.0,3.0,9.0,4.0,361.0,4.0,,,58.0,65.0,43.0,,,,,,138.0,138.0,5.0,22.0,20.0,45.7,,2.0,,,21.0,0.0,94.0,,,,,,,3.0,1.0,2.0,12.0,101.0,284.0,6.0,12.0,134.0,45.0,13.0,16.0,5.0,28.0,23.0,,142.0,3.0,272.0,,,9.0,3.0,45.0,1.0,378.0,1.0,0.0,14.0,16.0,2.0,32.0,1.0,570.0,39.0,16.0,11.0,5.0,5.0,0.0
2210309,4,2021-09-11 15:00:00,21,West Ham,Away,215.0,20.0,1.0,4.0,3.0,,,257.0,7.0,,6.0,1.0,2.0,26.0,468.0,1.0,,7.0,17.0,16.0,5.0,2.0,1.0,,,,,1.0,,,,,,9.0,,,,,,2.0,7.0,10.0,1.0,5.0,8.0,73.0,65.0,,,,2.0,8.0,7.0,5.0,1.0,,4.0,10.0,7.0,,3.0,1.0,41.0,46.0,2.0,17.0,8.0,,,24.0,70.0,12.0,10.0,,,3.0,1.0,1.0,178.0,,,,,,,7.0,,1.0,,8.0,,15.0,15.0,2.0,6.0,153.0,69.0,46.0,5.0,,2.0,5.0,3.0,524.0,4.0,1.0,,80.0,68.0,28.0,,,,,,125.0,125.0,7.0,26.0,24.0,58.2,,,,,8.0,0.0,137.0,3.0,,2.0,1.0,1.0,,3.0,,2.0,14.0,123.0,453.0,5.0,7.0,227.0,39.0,17.0,11.0,4.0,22.0,18.0,,158.0,6.0,336.0,1.0,,3.0,2.0,43.0,2.0,541.0,1.0,1.0,13.0,14.0,1.0,10.0,1.0,719.0,16.0,20.0,6.0,4.0,5.0,0.0
2210319,5,2021-09-19 14:00:00,21,West Ham,Home,197.0,11.0,,1.0,1.0,,,152.0,7.0,,6.0,1.0,,14.0,348.0,1.0,,12.0,9.0,12.0,9.0,,2.0,,,,,,,,,,,10.0,,1.0,,,,,4.0,12.0,5.0,6.0,7.0,55.0,45.0,1.0,2.0,,1.0,19.0,4.0,19.0,,1.0,2.0,12.0,3.0,,11.0,4.0,47.0,46.0,1.0,31.0,18.0,,1.0,21.0,43.0,5.0,6.0,1.0,,2.0,,,130.0,1.0,,,1.0,,,10.0,1.0,,,18.0,,4.0,4.0,1.0,6.0,124.0,53.0,33.0,11.0,,3.0,7.0,4.0,397.0,3.0,,,45.0,48.0,31.0,,,,,1.0,112.0,112.0,2.0,29.0,8.0,39.9,,3.0,,,19.0,0.0,108.0,6.0,2.0,8.0,,1.0,,5.0,1.0,3.0,12.0,77.0,332.0,9.0,10.0,224.0,31.0,31.0,17.0,2.0,17.0,15.0,,105.0,4.0,210.0,,,10.0,,39.0,2.0,417.0,1.0,0.0,13.0,14.0,1.0,15.0,0.0,597.0,17.0,8.0,14.0,2.0,7.0,0.0
2210326,6,2021-09-25 15:00:00,21,West Ham,Away,129.0,13.0,1.0,1.0,,1.0,,145.0,3.0,,8.0,9.0,7.0,26.0,273.0,,2.0,18.0,19.0,19.0,12.0,2.0,1.0,2.0,,1.0,1.0,2.0,,,,1.0,1.0,15.0,,,,,,1.0,4.0,6.0,9.0,11.0,9.0,51.0,54.0,2.0,1.0,1.0,1.0,11.0,4.0,5.0,,1.0,7.0,6.0,5.0,,5.0,2.0,44.0,51.0,1.0,12.0,8.0,,1.0,23.0,43.0,6.0,10.0,1.0,,5.0,3.0,2.0,142.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,8.0,,7.0,7.0,1.0,8.0,82.0,69.0,39.0,5.0,,6.0,9.0,7.0,333.0,6.0,4.0,,50.0,61.0,24.0,,,,,,127.0,127.0,1.0,25.0,18.0,46.5,,,3.0,,11.0,0.0,73.0,2.0,2.0,4.0,,1.0,2.0,9.0,,3.0,15.0,73.0,264.0,2.0,15.0,149.0,26.0,12.0,18.0,7.0,21.0,14.0,2.0,105.0,8.0,220.0,,,28.0,8.0,60.0,,348.0,,0.0,20.0,15.0,2.0,22.0,2.0,528.0,23.0,8.0,7.0,7.0,9.0,0.0
2210339,7,2021-10-03 14:00:00,21,West Ham,Home,130.0,14.0,5.0,11.0,6.0,,,190.0,2.0,1.0,4.0,2.0,3.0,21.0,309.0,,1.0,16.0,25.0,25.0,8.0,2.0,4.0,1.0,,,1.0,1.0,,,,,,13.0,,,,,,,11.0,11.0,2.0,11.0,7.0,59.0,60.0,1.0,1.0,,2.0,20.0,7.0,5.0,,,10.0,15.0,8.0,,2.0,3.0,51.0,62.0,2.0,13.0,9.0,,,27.0,80.0,16.0,13.0,,,3.0,,1.0,181.0,1.0,,,1.0,,,6.0,,2.0,,9.0,,8.0,8.0,,4.0,97.0,76.0,34.0,6.0,1.0,5.0,6.0,5.0,401.0,4.0,2.0,,89.0,67.0,39.0,,,,,,159.0,159.0,7.0,21.0,27.0,59.9,,,,,20.0,0.0,87.0,4.0,,4.0,,,1.0,6.0,,,12.0,97.0,295.0,10.0,11.0,155.0,53.0,13.0,12.0,10.0,33.0,23.0,1.0,160.0,4.0,302.0,2.0,1.0,12.0,3.0,62.0,2.0,424.0,1.0,0.0,18.0,15.0,1.0,17.0,2.0,607.0,30.0,12.0,9.0,11.0,8.0,0.0
2210344,8,2021-10-17 14:00:00,21,West Ham,Away,207.0,14.0,1.0,3.0,2.0,,,248.0,7.0,,5.0,1.0,8.0,22.0,452.0,,,20.0,20.0,13.0,9.0,,5.0,2.0,,,,,,,,,,11.0,,,,,,,2.0,13.0,2.0,12.0,4.0,62.0,66.0,1.0,1.0,1.0,4.0,18.0,8.0,6.0,,,9.0,13.0,8.0,1.0,6.0,,47.0,37.0,4.0,15.0,9.0,,,34.0,64.0,3.0,3.0,,,,,,176.0,1.0,1.0,1.0,,1.0,,13.0,,2.0,,9.0,,10.0,10.0,4.0,5.0,156.0,91.0,59.0,7.0,,2.0,8.0,4.0,521.0,4.0,1.0,,111.0,93.0,40.0,,,,,,154.0,154.0,5.0,23.0,33.0,61.0,,,,,18.0,0.0,145.0,1.0,1.0,2.0,,1.0,2.0,4.0,1.0,3.0,18.0,109.0,440.0,11.0,10.0,224.0,32.0,15.0,21.0,8.0,29.0,21.0,2.0,149.0,2.0,344.0,2.0,,11.0,11.0,52.0,2.0,539.0,1.0,0.0,16.0,13.0,1.0,25.0,2.0,739.0,32.0,14.0,8.0,9.0,8.0,0.0
2210360,9,2021-10-24 14:00:00,21,West Ham,Home,167.0,15.0,1.0,5.0,4.0,,,131.0,2.0,,14.0,2.0,1.0,18.0,293.0,,1.0,15.0,15.0,11.0,9.0,,2.0,,,,,,,,,,,11.0,,,,,,,8.0,4.0,3.0,10.0,3.0,53.0,68.0,2.0,1.0,1.0,1.0,22.0,4.0,10.0,,,2.0,5.0,6.0,,8.0,,50.0,46.0,1.0,16.0,9.0,,,24.0,53.0,11.0,3.0,1.0,,1.0,1.0,,151.0,1.0,1.0,1.0,,1.0,,3.0,,1.0,1.0,9.0,,9.0,9.0,4.0,14.0,86.0,57.0,32.0,4.0,,4.0,6.0,4.0,361.0,1.0,2.0,,52.0,52.0,25.0,,,,,,131.0,131.0,6.0,27.0,20.0,37.7,,,,,22.0,0.0,79.0,3.0,1.0,4.0,,,,5.0,,2.0,10.0,62.0,288.0,13.0,10.0,190.0,28.0,16.0,16.0,2.0,14.0,12.0,,97.0,1.0,193.0,1.0,,20.0,1.0,49.0,1.0,369.0,,0.0,13.0,23.0,3.0,21.0,2.0,569.0,23.0,22.0,9.0,2.0,13.0,0.0
2210361,10,2021-10-31 16:30:00,21,West Ham,Away,205.0,18.0,1.0,2.0,1.0,1.0,,179.0,2.0,,4.0,4.0,6.0,25.0,382.0,,,13.0,25.0,16.0,7.0,2.0,4.0,3.0,,1.0,1.0,3.0,,,,,,13.0,,,,,,1.0,6.0,6.0,3.0,13.0,8.0,70.0,63.0,2.0,1.0,2.0,1.0,12.0,8.0,8.0,,1.0,6.0,9.0,2.0,1.0,7.0,1.0,62.0,50.0,1.0,23.0,13.0,,,20.0,55.0,13.0,7.0,,,4.0,,3.0,157.0,3.0,,1.0,3.0,,1.0,7.0,4.0,,,13.0,,13.0,13.0,2.0,4.0,126.0,68.0,30.0,3.0,3.0,3.0,9.0,8.0,443.0,1.0,2.0,,93.0,54.0,17.0,,,,,,134.0,134.0,4.0,32.0,23.0,57.6,,,,1.0,12.0,0.0,106.0,2.0,,2.0,,,3.0,5.0,2.0,3.0,10.0,84.0,372.0,5.0,12.0,225.0,38.0,23.0,16.0,5.0,16.0,11.0,3.0,111.0,4.0,250.0,,,22.0,6.0,56.0,,459.0,,0.0,21.0,20.0,1.0,21.0,2.0,655.0,25.0,17.0,7.0,6.0,10.0,0.0
