matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755312,1.0,2014-08-16 15:00:00,21,West Ham,Home,182.0,25.0,5.0,11.0,6.0,3.0,,173.0,1.0,1.0,7.0,9.0,7.0,36.0,344.0,,,13.0,12.0,15.0,12.0,1.0,,1.0,,,,,,,,,,12.0,,1.0,,,,,4.0,2.0,8.0,,,,77.0,63.0,1.0,2.0,,3.0,9.0,4.0,9.0,,,8.0,13.0,7.0,,10.0,3.0,51.0,45.0,3.0,35.0,19.0,,,58.0,12.0,8.0,,,2.0,1.0,,158.0,,,,,,,4.0,,,,1.0,,,,,19.0,,19.0,19.0,2.0,7.0,90.0,66.0,38.0,5.0,,6.0,7.0,4.0,398.0,,,4.0,5.0,,79.0,55.0,19.0,,,,,1.0,126.0,126.0,2.0,24.0,28.0,46.6,,,9.0,0.0,,,,89.0,,3.0,4.0,1.0,,1.0,10.0,1.0,3.0,81.0,335.0,6.0,13.0,197.0,38.0,35.0,14.0,7.0,28.0,21.0,1.0,116.0,6.0,245.0,1.0,1.0,26.0,7.0,65.0,1.0,414.0,1.0,1.0,18.0,17.0,,15.0,1.0,628.0,,12.0,5.0,8.0,14.0,0.0
755315,2.0,2014-08-23 15:00:00,21,West Ham,Away,209.0,22.0,2.0,7.0,5.0,1.0,1.0,153.0,2.0,1.0,1.0,3.0,6.0,26.0,355.0,,,20.0,27.0,25.0,10.0,3.0,,,,,,,,,,,,10.0,,,1.0,,,2.0,4.0,5.0,4.0,,,,75.0,77.0,1.0,2.0,1.0,5.0,16.0,5.0,7.0,,,9.0,9.0,3.0,,20.0,,73.0,68.0,5.0,36.0,25.0,,,64.0,11.0,14.0,2.0,,2.0,1.0,,168.0,1.0,,,1.0,,,4.0,,,1.0,2.0,,,,,25.0,1.0,15.0,15.0,,1.0,106.0,93.0,39.0,6.0,1.0,4.0,10.0,8.0,427.0,,,2.0,1.0,,59.0,52.0,14.0,,,,,,155.0,155.0,4.0,36.0,29.0,54.1,1.0,,16.0,0.0,,,,105.0,2.0,1.0,3.0,,2.0,,4.0,,3.0,77.0,341.0,5.0,14.0,232.0,37.0,36.0,15.0,7.0,20.0,13.0,,127.0,4.0,242.0,2.0,1.0,36.0,7.0,69.0,3.0,454.0,,0.0,17.0,23.0,1.0,24.0,3.0,676.0,,6.0,6.0,9.0,17.0,0.0
755332,3.0,2014-08-30 15:00:00,21,West Ham,Home,139.0,8.0,,,,4.0,,113.0,3.0,,2.0,13.0,4.0,29.0,252.0,,,16.0,15.0,13.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,2.0,7.0,11.0,7.0,,,,50.0,50.0,,1.0,,6.0,19.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,,14.0,3.0,50.0,51.0,6.0,37.0,19.0,,,57.0,11.0,12.0,,,2.0,,1.0,141.0,1.0,,,1.0,,,7.0,,,1.0,,,,,,19.0,,11.0,11.0,,2.0,68.0,67.0,36.0,9.0,1.0,1.0,1.0,2.0,310.0,,,7.0,1.0,,52.0,47.0,16.0,,,,,,141.0,141.0,4.0,28.0,14.0,36.4,,,19.0,0.0,,,,78.0,4.0,1.0,4.0,,,,1.0,,3.0,52.0,238.0,9.0,2.0,154.0,18.0,37.0,12.0,2.0,11.0,9.0,3.0,104.0,14.0,194.0,,,36.0,4.0,63.0,2.0,337.0,,0.0,4.0,24.0,,21.0,2.0,533.0,,13.0,2.0,2.0,19.0,0.0
755336,4.0,2014-09-15 20:00:00,21,West Ham,Away,209.0,14.0,2.0,7.0,5.0,3.0,,184.0,4.0,1.0,6.0,3.0,8.0,19.0,386.0,,,27.0,17.0,18.0,12.0,2.0,,1.0,,,,,,,,,,12.0,,,,,,2.0,4.0,4.0,7.0,,,,80.0,58.0,,,,2.0,18.0,8.0,8.0,,,10.0,14.0,8.0,,18.0,2.0,66.0,60.0,2.0,25.0,15.0,1.0,,72.0,7.0,11.0,2.0,,1.0,1.0,,173.0,2.0,,,2.0,,,6.0,,,2.0,,,,,,15.0,1.0,7.0,7.0,,6.0,106.0,74.0,32.0,3.0,,4.0,12.0,5.0,454.0,,,1.0,3.0,,71.0,69.0,19.0,,,,,,166.0,166.0,2.0,24.0,25.0,59.1,,1.0,18.0,0.0,,,,119.0,,4.0,4.0,,1.0,1.0,4.0,,3.0,86.0,370.0,6.0,16.0,229.0,32.0,25.0,32.0,8.0,31.0,23.0,1.0,131.0,7.0,280.0,,1.0,28.0,8.0,55.0,1.0,478.0,1.0,0.0,17.0,16.0,,31.0,1.0,703.0,,8.0,16.0,10.0,11.0,0.0
755352,5.0,2014-09-20 17:30:00,21,West Ham,Home,80.0,8.0,1.0,4.0,3.0,2.0,1.0,119.0,1.0,,3.0,6.0,9.0,16.0,195.0,,1.0,23.0,16.0,12.0,5.0,2.0,,1.0,,1.0,,,2.0,,,,,9.0,,,,,,1.0,6.0,6.0,5.0,,,,48.0,50.0,2.0,1.0,1.0,3.0,12.0,3.0,4.0,,,7.0,10.0,1.0,1.0,10.0,1.0,54.0,40.0,3.0,34.0,16.0,,,66.0,16.0,9.0,1.0,,3.0,1.0,2.0,141.0,3.0,,2.0,2.0,1.0,,7.0,,,2.0,,,,,,16.0,,13.0,13.0,2.0,4.0,41.0,65.0,28.0,5.0,,1.0,9.0,7.0,256.0,,,3.0,4.0,,50.0,61.0,14.0,,,,,,142.0,142.0,1.0,17.0,26.0,37.6,,2.0,12.0,0.0,,,,46.0,1.0,3.0,5.0,,,1.0,3.0,,3.0,66.0,185.0,7.0,11.0,89.0,25.0,34.0,12.0,6.0,18.0,12.0,2.0,120.0,8.0,205.0,,,20.0,9.0,50.0,1.0,276.0,,0.0,13.0,15.0,2.0,28.0,4.0,480.0,,18.0,4.0,7.0,11.0,0.0
755358,6.0,2014-09-27 15:00:00,21,West Ham,Away,131.0,15.0,5.0,10.0,5.0,1.0,,162.0,5.0,1.0,2.0,11.0,8.0,30.0,283.0,1.0,,23.0,11.0,21.0,6.0,2.0,,,,,,,,,,,,7.0,,,1.0,,,1.0,8.0,5.0,3.0,,,,51.0,43.0,,,1.0,4.0,10.0,4.0,8.0,,1.0,10.0,16.0,12.0,,10.0,1.0,49.0,46.0,4.0,24.0,16.0,,,79.0,12.0,10.0,1.0,,2.0,1.0,,134.0,,,,,,,7.0,,,,,,,,1.0,16.0,1.0,11.0,11.0,1.0,3.0,85.0,53.0,33.0,7.0,,3.0,5.0,4.0,330.0,,,2.0,4.0,,61.0,50.0,26.0,,,,,,140.0,140.0,2.0,17.0,21.0,42.6,1.0,2.0,10.0,0.0,,,,81.0,,1.0,1.0,,1.0,,5.0,,3.0,82.0,267.0,4.0,8.0,136.0,27.0,24.0,15.0,10.0,39.0,29.0,,135.0,9.0,254.0,,1.0,20.0,10.0,50.0,4.0,351.0,1.0,0.0,13.0,10.0,,26.0,3.0,546.0,,11.0,5.0,10.0,8.0,0.0
755372,7.0,2014-10-05 16:15:00,21,West Ham,Home,177.0,19.0,1.0,2.0,1.0,,,138.0,1.0,2.0,1.0,4.0,11.0,29.0,313.0,1.0,,26.0,20.0,11.0,5.0,1.0,,,,,,,,,,,,5.0,,,,,,3.0,7.0,3.0,7.0,,,,81.0,70.0,1.0,,1.0,4.0,9.0,3.0,7.0,,,7.0,19.0,6.0,,10.0,2.0,59.0,50.0,4.0,32.0,21.0,,,71.0,10.0,11.0,1.0,,1.0,,,165.0,1.0,,,,1.0,,7.0,,,,,,,,,21.0,,14.0,14.0,2.0,1.0,77.0,82.0,41.0,5.0,,3.0,4.0,3.0,375.0,,,4.0,1.0,,62.0,65.0,36.0,,,,,,167.0,167.0,4.0,27.0,34.0,48.7,,,9.0,0.0,,,,79.0,1.0,2.0,3.0,,1.0,,5.0,,2.0,64.0,299.0,5.0,7.0,193.0,30.0,32.0,18.0,5.0,30.0,25.0,,110.0,3.0,239.0,,2.0,29.0,12.0,73.0,4.0,402.0,2.0,0.0,11.0,23.0,1.0,31.0,2.0,627.0,,17.0,5.0,7.0,16.0,0.0
755374,8.0,2014-10-18 15:00:00,21,West Ham,Away,159.0,14.0,5.0,12.0,7.0,4.0,,187.0,3.0,1.0,6.0,6.0,10.0,26.0,334.0,,,23.0,13.0,25.0,11.0,4.0,,,,,,,,,,,,16.0,,,,1.0,,1.0,3.0,13.0,4.0,,,,64.0,63.0,3.0,1.0,2.0,8.0,12.0,7.0,11.0,,,7.0,14.0,7.0,,6.0,,46.0,53.0,8.0,60.0,37.0,1.0,,77.0,10.0,3.0,2.0,,,,,172.0,3.0,,3.0,2.0,1.0,,10.0,,,2.0,2.0,,,,,37.0,1.0,17.0,17.0,2.0,6.0,93.0,84.0,43.0,5.0,,8.0,10.0,6.0,406.0,,,4.0,2.0,,57.0,80.0,13.0,,,,,,140.0,140.0,3.0,18.0,34.0,53.5,1.0,1.0,12.0,0.0,,,,97.0,2.0,,2.0,,,,9.0,,2.0,68.0,326.0,4.0,18.0,174.0,36.0,60.0,15.0,6.0,27.0,21.0,,125.0,12.0,279.0,3.0,1.0,24.0,11.0,75.0,1.0,426.0,1.0,0.0,22.0,17.0,,25.0,1.0,678.0,,15.0,8.0,7.0,13.0,0.0
755392,9.0,2014-10-25 12:45:00,21,West Ham,Home,63.0,2.0,,2.0,2.0,1.0,,83.0,4.0,,,11.0,6.0,21.0,144.0,,1.0,13.0,27.0,16.0,5.0,,,1.0,,,,,1.0,,,,,9.0,,,,,,2.0,7.0,11.0,10.0,,,,36.0,54.0,2.0,2.0,1.0,6.0,15.0,2.0,14.0,,,4.0,12.0,2.0,,13.0,3.0,68.0,52.0,6.0,32.0,17.0,,,60.0,12.0,13.0,1.0,,3.0,1.0,1.0,136.0,2.0,,2.0,2.0,,,13.0,,,2.0,4.0,,,,2.0,17.0,,16.0,16.0,3.0,,34.0,80.0,26.0,8.0,1.0,4.0,3.0,4.0,205.0,,,5.0,4.0,,34.0,37.0,17.0,,,,,,145.0,145.0,4.0,21.0,21.0,30.5,,,15.0,0.0,,,,33.0,2.0,2.0,4.0,,,1.0,6.0,,3.0,38.0,130.0,10.0,7.0,78.0,15.0,32.0,12.0,4.0,19.0,15.0,2.0,86.0,11.0,180.0,4.0,,35.0,6.0,70.0,3.0,239.0,,0.0,12.0,16.0,1.0,15.0,2.0,441.0,,7.0,8.0,4.0,12.0,0.0
755402,10.0,2014-11-01 15:00:00,21,West Ham,Away,107.0,5.0,1.0,3.0,2.0,3.0,,106.0,4.0,1.0,2.0,8.0,4.0,20.0,210.0,1.0,,6.0,34.0,27.0,5.0,,,1.0,,1.0,,,1.0,,,,,9.0,,,,,,,6.0,12.0,9.0,,,,43.0,71.0,,,,5.0,10.0,4.0,24.0,,,2.0,3.0,4.0,,13.0,1.0,88.0,75.0,5.0,42.0,30.0,1.0,,60.0,13.0,14.0,2.0,,,,1.0,166.0,2.0,,2.0,2.0,,1.0,12.0,,,2.0,,,,,1.0,30.0,,11.0,11.0,4.0,2.0,44.0,86.0,35.0,9.0,,3.0,4.0,2.0,273.0,,,5.0,,,37.0,35.0,18.0,,,,,,147.0,147.0,1.0,36.0,25.0,40.5,,,10.0,0.0,,,,54.0,2.0,2.0,4.0,,,1.0,4.0,,3.0,45.0,196.0,5.0,7.0,126.0,12.0,42.0,7.0,2.0,9.0,7.0,4.0,89.0,9.0,190.0,,1.0,29.0,5.0,64.0,2.0,307.0,1.0,0.0,10.0,34.0,,13.0,1.0,504.0,,17.0,2.0,2.0,27.0,0.0
