matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561899,1.0,2025-08-16 15:00:00,21,West Ham,Away,199.0,16.0,1.0,5.0,4.0,4.0,,274.0,6.0,,4.0,7.0,12.0,26.0,468.0,,,19.0,18.0,19.0,6.0,1.0,3.0,,0.0,,,,,,7.0,0.0,,,,2.0,2.0,9.0,1.0,7.0,5.0,,103.0,42.0,,,,4.0,9.0,6.0,1.0,,,7.0,11.0,5.0,0.0,6.0,1.0,42.0,46.0,4.0,16.0,12.0,,,0.539709,0.5619,,0.3685,1.6411,78.0,10.0,8.0,,,3.0,3.0,,161.0,,,,,,,6.0,,,0.0,1.0,,,,,12.0,,4.0,4.0,1.0,0.0,4.0,138.0,70.0,48.0,5.0,0.0,1.0,7.0,4.0,535.0,,,1.0,1.0,0.0,79.0,120.0,32.0,,,,,133.0,133.0,4.0,12.0,22.0,62.8,,,,1.0,20.0,0.0,,,,148.0,2.0,,2.0,,1.0,,2.0,1.0,0.0,3.0,123.0,454.0,9.0,7.0,219.0,35.0,16.0,15.0,7.0,26.0,19.0,103453.94,,169.0,9.0,357.0,1.0,,28.0,13.0,59.0,,550.0,,0.0,12.0,12.0,1.0,20.0,1.0,731.0,28.0,14.0,0.0,7.0,7.0,7.0,0.0
2561914,2.0,2025-08-22 20:00:00,21,West Ham,Home,186.0,12.0,3.0,7.0,4.0,1.0,1.0,160.0,3.0,,3.0,5.0,9.0,15.0,339.0,1.0,,22.0,15.0,14.0,5.0,4.0,4.0,,0.0,,1.0,,,,6.0,0.0,,,,1.0,3.0,10.0,2.0,9.0,3.0,,66.0,34.0,1.0,1.0,,,6.0,3.0,4.0,,1.0,7.0,4.0,3.0,0.0,9.0,1.0,45.0,39.0,,29.0,16.0,1.0,1.0,0.667523,0.7264,0.1057,0.3267,5.1386,43.0,7.0,9.0,1.0,,2.0,2.0,1.0,132.0,1.0,,,1.0,,,4.0,,,1.0,1.0,,,,,16.0,,7.0,7.0,1.0,0.0,3.0,95.0,52.0,32.0,5.0,0.0,5.0,5.0,4.0,373.0,,,1.0,,0.0,41.0,70.0,23.0,,,,,100.0,100.0,1.0,17.0,12.0,40.8,,3.0,,,10.0,0.0,,,,99.0,2.0,,2.0,,,,5.0,1.0,0.0,3.0,70.0,321.0,6.0,10.0,194.0,23.0,29.0,15.0,7.0,16.0,9.0,110847.01,,91.0,3.0,214.0,1.0,,17.0,9.0,35.0,4.0,392.0,1.0,0.0,12.0,11.0,,25.0,0.0,569.0,19.0,12.0,0.0,5.0,7.0,6.0,0.0
2561921,3.0,2025-08-31 14:00:00,21,West Ham,Away,222.0,10.0,4.0,7.0,3.0,1.0,,101.0,9.0,1.0,10.0,3.0,11.0,13.0,316.0,,,11.0,12.0,10.0,6.0,3.0,3.0,2.0,0.0,,,,,,7.0,1.0,,,,1.0,3.0,9.0,2.0,10.0,2.0,,54.0,49.0,3.0,2.0,2.0,5.0,5.0,,6.0,,,7.0,9.0,4.0,0.0,8.0,1.0,43.0,47.0,5.0,32.0,20.0,,,0.465678,2.4203,,3.2854,0.2912,33.0,6.0,13.0,,,1.0,,,126.0,2.0,,2.0,2.0,,1.0,12.0,,,2.0,3.0,,,,,20.0,,6.0,6.0,,0.0,10.0,98.0,49.0,22.0,9.0,2.0,4.0,7.0,8.0,357.0,,,5.0,1.0,0.0,28.0,61.0,19.0,,,,1.0,115.0,115.0,2.0,20.0,17.0,41.6,,,,1.0,18.0,0.0,,,,107.0,3.0,,3.0,,,2.0,4.0,,1.0,3.0,53.0,296.0,5.0,11.0,237.0,22.0,32.0,19.0,5.0,18.0,13.0,109661.74,3.0,81.0,2.0,166.0,3.0,1.0,22.0,12.0,43.0,,385.0,,0.0,12.0,16.0,1.0,12.0,0.0,581.0,18.0,14.0,0.0,8.0,7.0,9.0,0.0
2561934,4.0,2025-09-13 17:30:00,21,West Ham,Home,127.0,8.0,,3.0,3.0,1.0,1.0,115.0,3.0,,2.0,4.0,9.0,17.0,239.0,,,18.0,13.0,22.0,5.0,1.0,2.0,,0.0,,,,,,4.0,0.0,,,,1.0,5.0,10.0,4.0,6.0,1.0,,56.0,34.0,1.0,1.0,,1.0,8.0,,11.0,,,2.0,6.0,1.0,0.0,7.0,1.0,48.0,47.0,1.0,41.0,28.0,,,0.512592,0.5992,,0.2859,2.227,48.0,8.0,6.0,,,1.0,1.0,,131.0,,,,,,,9.0,,,0.0,,,,,,28.0,,5.0,5.0,,0.0,2.0,61.0,56.0,20.0,13.0,0.0,3.0,3.0,4.0,286.0,,,5.0,2.0,0.0,54.0,55.0,11.0,,,,,105.0,105.0,3.0,19.0,9.0,36.0,,,,2.0,14.0,0.0,,,,62.0,2.0,,2.0,,,,3.0,,0.0,4.0,59.0,226.0,8.0,6.0,144.0,22.0,41.0,15.0,1.0,9.0,8.0,99902.81,,92.0,5.0,175.0,,,23.0,11.0,58.0,,310.0,,1.0,7.0,13.0,1.0,19.0,0.0,477.0,10.0,9.0,0.0,6.0,2.0,9.0,0.0
2561943,5.0,2025-09-20 15:00:00,21,West Ham,Home,185.0,13.0,3.0,7.0,4.0,1.0,1.0,197.0,6.0,,6.0,5.0,8.0,21.0,375.0,,2.0,18.0,29.0,18.0,6.0,1.0,2.0,,0.0,,,,,,6.0,0.0,,,,,8.0,14.0,4.0,7.0,1.0,,58.0,43.0,1.0,1.0,,2.0,4.0,1.0,5.0,,,8.0,8.0,4.0,0.0,15.0,1.0,70.0,46.0,2.0,22.0,14.0,,,1.22607,0.6641,,1.5549,1.3703,56.0,15.0,5.0,1.0,1.0,2.0,2.0,,131.0,1.0,1.0,1.0,,1.0,,11.0,,,0.0,1.0,,,,,14.0,,7.0,7.0,,0.0,6.0,132.0,65.0,44.0,8.0,0.0,4.0,4.0,3.0,431.0,,,6.0,1.0,0.0,79.0,74.0,29.0,,,,,128.0,128.0,2.0,14.0,20.0,56.6,,,,1.0,19.0,0.0,,,,129.0,1.0,,1.0,,1.0,,4.0,,0.0,3.0,59.0,363.0,4.0,8.0,194.0,30.0,22.0,21.0,8.0,22.0,14.0,106055.67,,108.0,2.0,278.0,1.0,,17.0,9.0,47.0,1.0,450.0,,0.0,8.0,9.0,6.0,19.0,4.0,628.0,20.0,12.0,0.0,14.0,8.0,6.0,0.0
2561949,6.0,2025-09-29 20:00:00,21,West Ham,Away,147.0,11.0,1.0,4.0,3.0,4.0,1.0,189.0,4.0,,7.0,7.0,11.0,19.0,332.0,,1.0,19.0,21.0,23.0,8.0,2.0,2.0,1.0,0.0,,,,,,9.0,0.0,,,,2.0,9.0,9.0,3.0,10.0,4.0,,53.0,49.0,,1.0,,1.0,6.0,6.0,4.0,,,5.0,7.0,5.0,0.0,5.0,2.0,52.0,50.0,1.0,36.0,22.0,,,0.916931,1.194,,1.1927,0.4135,53.0,16.0,7.0,,,1.0,1.0,,148.0,,,,,,1.0,9.0,,,1.0,,,,,,22.0,,6.0,6.0,1.0,0.0,7.0,104.0,61.0,35.0,3.0,1.0,3.0,7.0,3.0,399.0,,,3.0,,0.0,60.0,64.0,32.0,,,,,126.0,126.0,3.0,19.0,18.0,48.2,,,1.0,1.0,17.0,0.0,,,,111.0,4.0,1.0,5.0,,,1.0,5.0,2.0,0.0,4.0,92.0,322.0,6.0,10.0,167.0,22.0,36.0,10.0,5.0,18.0,13.0,107596.31,1.0,132.0,5.0,267.0,,,30.0,11.0,55.0,2.0,416.0,,0.0,14.0,16.0,2.0,22.0,4.0,617.0,29.0,12.0,0.0,4.0,5.0,7.0,0.0
2561956,7.0,2025-10-04 15:00:00,21,West Ham,Away,110.0,9.0,2.0,2.0,,1.0,,102.0,5.0,,2.0,6.0,3.0,14.0,210.0,,,15.0,12.0,12.0,2.0,2.0,2.0,,0.0,,,,,,1.0,0.0,,,,,6.0,16.0,5.0,4.0,,,41.0,30.0,2.0,2.0,,1.0,9.0,1.0,5.0,,,3.0,5.0,3.0,0.0,12.0,2.0,54.0,45.0,1.0,50.0,23.0,,2.0,0.423609,0.4918,,,2.1969,34.0,14.0,13.0,,1.0,1.0,,,101.0,,,,,,,7.0,,,0.0,1.0,,,,,23.0,,12.0,12.0,1.0,0.0,2.0,78.0,47.0,23.0,8.0,0.0,3.0,1.0,,242.0,,,9.0,1.0,0.0,34.0,38.0,17.0,1.0,1.0,1.0,,112.0,112.0,,17.0,10.0,32.1,,,,2.0,11.0,0.0,,,,48.0,3.0,,3.0,,1.0,,3.0,,0.0,3.0,43.0,191.0,9.0,4.0,120.0,15.0,50.0,14.0,3.0,11.0,8.0,102559.16,,70.0,3.0,159.0,1.0,,29.0,5.0,45.0,1.0,268.0,,0.0,4.0,17.0,,18.0,2.0,480.0,8.0,16.0,0.0,3.0,3.0,7.0,0.0
2561974,8.0,2025-10-20 20:00:00,21,West Ham,Home,128.0,5.0,,2.0,2.0,3.0,,131.0,4.0,,8.0,4.0,4.0,19.0,257.0,,,23.0,36.0,15.0,4.0,,1.0,1.0,0.0,,,,,,5.0,0.0,,,,,1.0,20.0,2.0,2.0,5.0,,47.0,46.0,,,,1.0,5.0,3.0,6.0,1.0,,6.0,6.0,8.0,0.0,4.0,2.0,62.0,43.0,1.0,39.0,22.0,,,0.197207,0.3491,,0.2026,1.7499,33.0,10.0,10.0,,,2.0,2.0,,146.0,,,,,,,9.0,,,0.0,2.0,,,,,22.0,,2.0,2.0,1.0,0.0,8.0,79.0,64.0,32.0,10.0,0.0,2.0,2.0,1.0,319.0,,,6.0,,0.0,46.0,62.0,26.0,,,,,136.0,136.0,5.0,18.0,12.0,43.7,,,,1.0,16.0,0.0,,,,72.0,5.0,,4.0,,,1.0,3.0,,0.0,5.0,54.0,241.0,5.0,4.0,145.0,10.0,39.0,9.0,4.0,20.0,16.0,109414.76,1.0,85.0,8.0,219.0,2.0,,29.0,6.0,56.0,3.0,344.0,,0.0,7.0,16.0,2.0,26.0,1.0,552.0,14.0,14.0,0.0,2.0,6.0,12.0,0.0
2561981,9.0,2025-10-24 20:00:00,21,West Ham,Away,202.0,15.0,,3.0,3.0,1.0,,242.0,1.0,,5.0,6.0,12.0,19.0,441.0,,1.0,27.0,15.0,26.0,6.0,,1.0,,0.0,,,,,,8.0,0.0,,,,,3.0,8.0,5.0,4.0,5.0,,73.0,52.0,,,,,4.0,3.0,5.0,,,4.0,8.0,11.0,0.0,10.0,1.0,52.0,57.0,,12.0,10.0,,,0.939614,0.6499,,1.0311,1.4603,62.0,11.0,12.0,,,2.0,,,181.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,,10.0,,4.0,4.0,1.0,0.0,6.0,134.0,78.0,44.0,3.0,0.0,1.0,6.0,3.0,515.0,,,3.0,,0.0,76.0,87.0,32.0,,,,,160.0,160.0,5.0,18.0,22.0,59.1,,,,,13.0,0.0,,,,148.0,2.0,1.0,3.0,,,,3.0,,1.0,5.0,99.0,427.0,4.0,7.0,217.0,36.0,12.0,17.0,4.0,23.0,19.0,117094.01,,149.0,4.0,342.0,,,18.0,12.0,47.0,1.0,536.0,,0.0,9.0,13.0,2.0,31.0,3.0,724.0,10.0,18.0,0.0,6.0,4.0,6.0,0.0
2561994,10.0,2025-11-02 14:00:00,21,West Ham,Home,121.0,7.0,2.0,6.0,4.0,2.0,1.0,130.0,1.0,,4.0,6.0,9.0,20.0,245.0,,,14.0,11.0,5.0,7.0,2.0,3.0,5.0,0.0,1.0,1.0,,,,11.0,0.0,,,1.0,,3.0,6.0,6.0,10.0,5.0,,57.0,45.0,1.0,2.0,,2.0,7.0,3.0,7.0,,1.0,7.0,10.0,4.0,0.0,5.0,3.0,31.0,41.0,2.0,41.0,24.0,,,0.342768,1.7514,0.0682,1.925,0.7865,41.0,5.0,8.0,,,2.0,1.0,1.0,131.0,1.0,,,1.0,,1.0,11.0,,,2.0,1.0,,,,,24.0,1.0,7.0,7.0,1.0,0.0,5.0,68.0,54.0,18.0,6.0,1.0,2.0,8.0,9.0,298.0,,,2.0,1.0,0.0,48.0,40.0,21.0,,,,1.0,127.0,127.0,1.0,21.0,15.0,37.4,1.0,,3.0,2.0,11.0,0.0,,,,64.0,2.0,1.0,3.0,,,5.0,3.0,,1.0,3.0,69.0,236.0,7.0,10.0,144.0,21.0,41.0,10.0,6.0,21.0,15.0,113623.27,5.0,96.0,6.0,197.0,1.0,,25.0,9.0,62.0,4.0,320.0,,0.0,15.0,21.0,2.0,17.0,1.0,527.0,21.0,20.0,0.0,7.0,7.0,13.0,0.0
