matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987596,1.0,2018-08-12 13:30:00,21,West Ham,Away,184.0,16.0,2.0,2.0,,2.0,,115.0,4.0,,7.0,6.0,5.0,27.0,297.0,,2.0,12.0,7.0,10.0,3.0,1.0,,,,,,,1.0,,3.0,,,,,,3.0,13.0,5.0,4.0,1.0,,47.0,53.0,,,,1.0,22.0,1.0,7.0,,1.0,4.0,7.0,1.0,,11.0,2.0,38.0,54.0,1.0,20.0,10.0,,,32.0,9.0,14.0,,,,,,122.0,,,,,,,11.0,,,,1.0,,,,2.0,10.0,,11.0,11.0,1.0,7.0,87.0,65.0,40.0,5.0,,2.0,2.0,2.0,324.0,,,3.0,2.0,,39.0,41.0,18.0,,,,,,113.0,113.0,2.0,26.0,14.0,35.2,,,,1.0,22.0,0.0,,,,104.0,3.0,1.0,4.0,1.0,,2.0,,3.0,35.0,273.0,12.0,4.0,200.0,29.0,20.0,15.0,4.0,12.0,8.0,,56.0,3.0,172.0,2.0,,17.0,5.0,54.0,3.0,360.0,,0.0,5.0,23.0,2.0,19.0,2.0,551.0,11.0,9.0,7.0,4.0,14.0,0.0
987611,2.0,2018-08-18 15:00:00,21,West Ham,Home,185.0,24.0,1.0,4.0,3.0,3.0,,218.0,1.0,,7.0,4.0,8.0,33.0,399.0,,1.0,18.0,19.0,26.0,10.0,,,,,,,,,,9.0,1.0,,,,,9.0,8.0,4.0,6.0,5.0,,60.0,58.0,,,1.0,1.0,16.0,3.0,12.0,,,6.0,13.0,5.0,,6.0,2.0,54.0,67.0,1.0,18.0,8.0,,,69.0,14.0,10.0,1.0,,1.0,,,170.0,,,,,,,8.0,,,,,,,,,8.0,,9.0,9.0,,7.0,135.0,73.0,47.0,4.0,,3.0,7.0,5.0,472.0,,,4.0,2.0,,70.0,72.0,32.0,,,,,1.0,137.0,137.0,2.0,25.0,21.0,61.0,,3.0,,2.0,16.0,0.0,,,,129.0,3.0,,3.0,,,3.0,,3.0,114.0,387.0,5.0,10.0,206.0,42.0,18.0,16.0,5.0,23.0,18.0,,163.0,9.0,311.0,,,18.0,9.0,64.0,,494.0,1.0,0.0,11.0,21.0,2.0,20.0,6.0,671.0,20.0,8.0,11.0,6.0,6.0,0.0
987613,3.0,2018-08-25 15:00:00,21,West Ham,Away,112.0,14.0,,4.0,4.0,4.0,,149.0,3.0,,3.0,6.0,5.0,25.0,257.0,,3.0,17.0,14.0,15.0,10.0,,,,,,,1.0,,,11.0,,,,,1.0,7.0,10.0,8.0,6.0,7.0,,51.0,56.0,1.0,1.0,,5.0,18.0,3.0,9.0,,,2.0,9.0,5.0,,8.0,5.0,51.0,61.0,5.0,24.0,11.0,1.0,,32.0,13.0,16.0,1.0,,3.0,,,123.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,,11.0,,17.0,17.0,2.0,3.0,85.0,56.0,27.0,7.0,,4.0,7.0,5.0,305.0,,,5.0,2.0,1.0,40.0,51.0,31.0,,,,,,131.0,131.0,1.0,29.0,19.0,38.5,,3.0,,,18.0,0.0,,,,82.0,4.0,4.0,9.0,,,5.0,,3.0,77.0,230.0,7.0,11.0,131.0,29.0,24.0,24.0,1.0,15.0,14.0,,108.0,8.0,225.0,,,20.0,7.0,49.0,3.0,341.0,1.0,0.0,13.0,14.0,3.0,22.0,3.0,557.0,28.0,11.0,17.0,2.0,10.0,0.0
987631,4.0,2018-09-01 15:00:00,21,West Ham,Home,182.0,16.0,3.0,5.0,2.0,,,179.0,4.0,,7.0,4.0,5.0,27.0,356.0,,,21.0,24.0,15.0,8.0,1.0,,,,,1.0,,,,10.0,,,,,,7.0,6.0,9.0,8.0,5.0,,54.0,67.0,1.0,1.0,,1.0,25.0,5.0,13.0,,,4.0,12.0,3.0,,18.0,4.0,72.0,56.0,1.0,19.0,12.0,1.0,,38.0,10.0,11.0,,,1.0,,1.0,158.0,,,,,,,9.0,,,,1.0,,,,,12.0,,9.0,9.0,,7.0,118.0,71.0,43.0,4.0,,4.0,5.0,3.0,421.0,,,2.0,2.0,,71.0,55.0,29.0,,,,,,143.0,143.0,6.0,26.0,26.0,47.7,,,,1.0,25.0,0.0,,,,114.0,4.0,1.0,5.0,,,5.0,1.0,3.0,74.0,340.0,10.0,9.0,202.0,33.0,19.0,16.0,3.0,18.0,15.0,,113.0,6.0,260.0,1.0,,18.0,7.0,53.0,1.0,444.0,,0.0,13.0,22.0,1.0,24.0,2.0,648.0,26.0,11.0,9.0,4.0,15.0,0.0
987634,5.0,2018-09-16 16:00:00,21,West Ham,Away,134.0,13.0,,1.0,1.0,2.0,,150.0,6.0,,2.0,8.0,4.0,34.0,283.0,,1.0,16.0,15.0,17.0,5.0,,,1.0,,,,,,,8.0,,,,,1.0,3.0,8.0,8.0,7.0,2.0,,49.0,77.0,2.0,,2.0,,17.0,3.0,13.0,,,2.0,1.0,3.0,,12.0,1.0,60.0,60.0,,28.0,12.0,,1.0,61.0,12.0,15.0,1.0,,4.0,,,154.0,3.0,,2.0,3.0,,1.0,11.0,,,3.0,1.0,,,,1.0,12.0,,15.0,15.0,1.0,2.0,78.0,64.0,32.0,4.0,2.0,2.0,6.0,4.0,339.0,,,6.0,6.0,,59.0,63.0,21.0,,,,,,149.0,149.0,3.0,30.0,33.0,44.1,,,,1.0,17.0,0.0,,,,99.0,2.0,1.0,3.0,,1.0,2.0,,3.0,74.0,260.0,9.0,8.0,161.0,27.0,28.0,20.0,1.0,5.0,4.0,2.0,123.0,10.0,224.0,1.0,,28.0,5.0,75.0,,380.0,,0.0,9.0,19.0,5.0,21.0,5.0,592.0,19.0,15.0,10.0,2.0,14.0,0.0
987651,6.0,2018-09-23 13:30:00,21,West Ham,Home,120.0,14.0,,2.0,2.0,1.0,,103.0,4.0,,2.0,4.0,1.0,23.0,221.0,,1.0,11.0,12.0,10.0,5.0,,,2.0,,,,,,,5.0,,,,,,8.0,12.0,5.0,3.0,3.0,,48.0,67.0,2.0,2.0,,3.0,24.0,1.0,7.0,,,1.0,6.0,4.0,,5.0,2.0,38.0,46.0,3.0,44.0,16.0,,2.0,43.0,11.0,7.0,,,,,,119.0,,,,,,,6.0,,,,2.0,,,,,16.0,,15.0,15.0,,2.0,66.0,59.0,22.0,8.0,,3.0,2.0,1.0,271.0,,,5.0,1.0,,46.0,47.0,16.0,,,,,,123.0,123.0,1.0,35.0,18.0,28.2,,,,,24.0,0.0,,,,64.0,3.0,3.0,6.0,,2.0,4.0,,3.0,51.0,206.0,16.0,5.0,142.0,26.0,44.0,10.0,1.0,11.0,10.0,2.0,76.0,2.0,166.0,2.0,,23.0,1.0,61.0,2.0,297.0,,0.0,6.0,22.0,1.0,18.0,2.0,500.0,8.0,20.0,7.0,1.0,8.0,0.0
987660,7.0,2018-09-29 12:30:00,21,West Ham,Home,155.0,15.0,2.0,5.0,3.0,1.0,,224.0,,,3.0,5.0,6.0,34.0,374.0,,1.0,8.0,19.0,11.0,5.0,1.0,3.0,1.0,,,,,,1.0,5.0,,,,,,5.0,5.0,4.0,5.0,3.0,,66.0,68.0,2.0,,2.0,4.0,16.0,1.0,7.0,,,4.0,9.0,4.0,,6.0,2.0,47.0,51.0,4.0,26.0,15.0,,,49.0,12.0,11.0,1.0,,1.0,1.0,,149.0,2.0,,2.0,2.0,,,6.0,,,2.0,1.0,,,,,15.0,,9.0,9.0,1.0,3.0,114.0,77.0,39.0,9.0,1.0,4.0,4.0,3.0,423.0,,,4.0,1.0,,73.0,96.0,26.0,,,,,,118.0,118.0,4.0,26.0,25.0,49.0,,,,,16.0,0.0,,,,126.0,2.0,1.0,3.0,1.0,1.0,4.0,,3.0,103.0,359.0,6.0,8.0,172.0,28.0,26.0,7.0,3.0,17.0,14.0,1.0,136.0,4.0,300.0,1.0,,27.0,7.0,80.0,2.0,455.0,1.0,0.0,8.0,25.0,2.0,9.0,0.0,626.0,21.0,12.0,4.0,4.0,14.0,0.0
987662,8.0,2018-10-05 20:00:00,21,West Ham,Away,179.0,16.0,3.0,5.0,2.0,3.0,,257.0,4.0,,4.0,3.0,7.0,26.0,431.0,1.0,,22.0,21.0,16.0,9.0,3.0,,,2.0,,2.0,,,,10.0,,,,,2.0,4.0,6.0,3.0,11.0,6.0,,82.0,52.0,1.0,1.0,,1.0,15.0,6.0,11.0,,,9.0,8.0,1.0,,14.0,2.0,53.0,45.0,1.0,17.0,12.0,,,59.0,8.0,12.0,,,5.0,,2.0,163.0,,,,,,,8.0,,,,,,,,1.0,12.0,,8.0,8.0,,5.0,132.0,70.0,41.0,2.0,,5.0,7.0,4.0,487.0,,,1.0,2.0,,64.0,65.0,33.0,,,,,,137.0,137.0,4.0,19.0,23.0,64.6,,,,,15.0,0.0,,,,137.0,1.0,2.0,3.0,,,7.0,2.0,3.0,135.0,409.0,6.0,12.0,199.0,35.0,17.0,8.0,9.0,18.0,9.0,,174.0,4.0,333.0,,,18.0,7.0,56.0,1.0,514.0,2.0,0.0,17.0,12.0,1.0,26.0,2.0,694.0,37.0,16.0,5.0,9.0,9.0,0.0
987680,9.0,2018-10-20 15:00:00,21,West Ham,Home,122.0,15.0,4.0,11.0,7.0,3.0,,196.0,4.0,,5.0,4.0,7.0,29.0,307.0,,,15.0,3.0,22.0,8.0,4.0,,,,,,,,,7.0,,,,,2.0,7.0,7.0,3.0,8.0,5.0,,67.0,55.0,,,,3.0,20.0,2.0,14.0,,,10.0,12.0,8.0,,8.0,1.0,38.0,70.0,3.0,14.0,7.0,,,52.0,8.0,10.0,,,2.0,,,116.0,,,,,,,7.0,,,,1.0,,,,,7.0,,14.0,14.0,,5.0,111.0,49.0,32.0,6.0,,7.0,5.0,4.0,351.0,,,4.0,1.0,,65.0,69.0,38.0,,,,,,123.0,123.0,3.0,14.0,30.0,44.0,,,,1.0,20.0,0.0,,,,83.0,1.0,,1.0,,,7.0,,3.0,89.0,289.0,13.0,12.0,137.0,30.0,14.0,12.0,10.0,30.0,20.0,,124.0,7.0,270.0,1.0,,11.0,10.0,48.0,3.0,377.0,,0.0,13.0,31.0,1.0,17.0,3.0,594.0,28.0,15.0,7.0,10.0,15.0,0.0
987686,10.0,2018-10-27 17:30:00,21,West Ham,Away,114.0,9.0,,2.0,2.0,,1.0,115.0,2.0,,2.0,5.0,4.0,20.0,227.0,1.0,,12.0,23.0,9.0,4.0,1.0,,,,,,,,,8.0,,,1.0,,3.0,4.0,13.0,8.0,8.0,3.0,,36.0,67.0,1.0,1.0,1.0,6.0,19.0,2.0,14.0,,,,4.0,1.0,1.0,9.0,5.0,57.0,56.0,6.0,47.0,24.0,,,31.0,5.0,16.0,,,2.0,1.0,,142.0,,,,,,,13.0,,,,1.0,,,,1.0,24.0,1.0,15.0,15.0,3.0,2.0,76.0,75.0,24.0,8.0,,4.0,1.0,3.0,275.0,,,3.0,1.0,,50.0,43.0,13.0,,,,,,143.0,143.0,4.0,23.0,21.0,35.8,1.0,2.0,,,19.0,0.0,,,,73.0,6.0,,7.0,,,6.0,,3.0,44.0,206.0,13.0,5.0,138.0,29.0,47.0,17.0,,6.0,6.0,,71.0,3.0,195.0,1.0,,28.0,4.0,75.0,1.0,327.0,2.0,1.0,11.0,21.0,,18.0,1.0,555.0,15.0,15.0,10.0,,8.0,0.0
