season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,94,Brentford,Home,805123,216646,Yoane Wissa,yoane-wissa,F,False,,,1.0,6.0,6.0,12.0,1.0,,4.0,,,1.0,1.0,,,2.0,5.0,5.0,,,0.0543627,0.2999,0.1493,1.0,,1.0,,,,1.0,2.0,,72.0,2.0,1.0,,,,8.0,,7.9,,,,,1.0,1.0,,,1.0,1.0,6.0,12.0,18.0,3,1.0,36.0,,3.0,1.0,1.0
2023-24,11352309,1,94,Brentford,Home,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,1.0,,,11.0,11.0,21.0,3.0,2.0,3.0,,1.0,,2.0,,,3.0,12.0,3.0,,,0.0313982,1.4007,1.0769,3.0,,1.0,,,,1.0,,,90.0,2.0,,,,,17.0,,6.7,,,1.0,,,1.0,4.0,,1.0,,20.0,12.0,28.0,3,,45.0,2.0,1.0,,
2023-24,11352358,2,94,Brentford,Away,805123,216646,Yoane Wissa,yoane-wissa,F,False,,,,8.0,2.0,10.0,1.0,1.0,3.0,,1.0,1.0,,,,,2.0,5.0,,,0.0156935,1.4105,1.2188,1.0,,1.0,,,,,,,79.0,3.0,,,,1.0,2.0,,8.3,,,3.0,,1.0,1.0,,,,1.0,8.0,3.0,11.0,7,,24.0,1.0,3.0,1.0,
2023-24,11352358,2,94,Brentford,Away,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,1.0,,3.0,12.0,8.0,19.0,3.0,1.0,5.0,,,,1.0,,,2.0,6.0,3.0,,,0.241872,1.8564,2.0055,,,2.0,,,,,1.0,,90.0,3.0,,,,,11.0,,8.4,,,,,,,3.0,,3.0,,16.0,12.0,25.0,3,1.0,38.0,1.0,1.0,,
2023-24,11352456,3,94,Brentford,Home,805123,216646,Yoane Wissa,yoane-wissa,F,False,,,,6.0,3.0,9.0,3.0,4.0,5.0,,1.0,,3.0,,,,8.0,6.0,,,0.00345787,0.2731,0.0,1.0,,,,,,,,,90.0,,,,,,10.0,,6.3,,,2.0,,,1.0,,,,1.0,12.0,3.0,15.0,2,,29.0,3.0,2.0,,
2023-24,11352456,3,94,Brentford,Home,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,4.0,,2.0,22.0,7.0,25.0,2.0,1.0,1.0,,,1.0,2.0,,,1.0,8.0,2.0,,,0.25071,0.0356,0.0,2.0,,,,,,,2.0,,90.0,,,,,,20.0,,7.0,,,,,2.0,1.0,9.0,,4.0,,36.0,8.0,35.0,1,1.0,56.0,2.0,,,1.0
2023-24,11352456,3,94,Brentford,Home,1014556,501284,Michael Olakigbe,olakigbe-michael,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352543,4,94,Brentford,Home,805123,216646,Yoane Wissa,yoane-wissa,F,False,,,,6.0,5.0,11.0,1.0,2.0,1.0,,,1.0,2.0,,,,4.0,4.0,,,0.0147496,0.3868,0.0,1.0,,,,,1.0,,,,90.0,,,,,,10.0,,7.0,,,2.0,,,,,,,1.0,8.0,5.0,13.0,3,1.0,29.0,8.0,1.0,,1.0
2023-24,11352543,4,94,Brentford,Home,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,5.0,,2.0,20.0,7.0,22.0,3.0,1.0,3.0,,1.0,,1.0,,,2.0,10.0,4.0,,,0.391376,0.8038,0.7509,1.0,,1.0,,,,,2.0,,90.0,1.0,,,,,17.0,,7.3,,,1.0,,,3.0,10.0,,2.0,,30.0,8.0,28.0,2,1.0,50.0,1.0,2.0,,1.0
2023-24,11352543,4,94,Brentford,Home,1014556,501284,Michael Olakigbe,olakigbe-michael,F,True,,,,5.0,2.0,7.0,,1.0,2.0,,,1.0,,,,,2.0,1.0,,,0.00963151,0.0233,0.0,,,,,,,,,,8.0,,,,,,3.0,,6.4,,,,,,2.0,,,,,5.0,3.0,8.0,1,,13.0,,,,
