playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,throwInsToOppositionPlayer,catches,savesMadeFromOutsideBox,savesMadeCaught,cleanSheets,penaltiesFaced,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,offsides,shotsOnTargetOutsideBox,oboxTarget,unsuccessfulCornersIntoBox,hitWoodwork,goals,leftFootGoals,handballsConceded,foulWonPenalty,rightFootGoals,expectedGoalsFreekick,headedGoals,freekickTotal,attemptsFromSetPieces,penaltiesTaken,redCards2ndYellow,penaltyGoals,awayGoals,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,setPiecesGoals,clearancesOffTheLine,penaltiesConceded
39155,Adam Lallana,Midfielder,Liverpool,14,England,2018-19,36.0,0.4991,0.0,2.0,2.0,0.1099,16.0,3.0,1.0,47.0,13.0,6.0,5.0,54.0,6.0,302.0,1.0,8.0,4.0,23.0,2.0,2.0,465.0,2.0,1.0,14.0,43.0,1.0,19.0,34.0,243.0,2.0,28.0,2.0088,9.0,1.0,3.0,1.0,22.0,63.0,11.0,79.0,9.0,87.0,25.0,13.0,7.0,3.0,180.0,2.0,6.0,1.0,56.0,9.0,0.0,296.0,1.0,5.0,85.0,9.0,8.0,1.0,71.0,4.0,5.0,5.0,81.0,413.0,1.0,5.0,1.0,2.0,70.0,2.0,0.2588,1.0,7.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Liverpool,14,England,2018-19,,0.0044,0.0,,1.0,0.9141,1.0,1.0,,2.0,2.0,,,3.0,,13.0,,2.0,,,,1.0,19.0,1.0,,,3.0,,,3.0,10.0,,2.0,,1.0,,,,,1.0,1.0,3.0,,6.0,1.0,2.0,,,9.0,,,,3.0,,0.0,13.0,,,4.0,1.0,1.0,,5.0,,1.0,,1.0,20.0,,,,,1.0,,0.543,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116643,Fabinho,Midfielder,Liverpool,14,Brazil,2018-19,126.0,1.6484,0.0,7.0,4.0,1.1602,59.0,10.0,2.0,162.0,28.0,15.0,21.0,236.0,7.0,1610.0,6.0,7.0,,95.0,3.0,1.0,2012.0,1.0,2.0,40.0,152.0,1.0,45.0,97.0,1302.0,,21.0,16.4644,14.0,26.0,14.0,1.0,86.0,481.0,30.0,278.0,28.0,449.0,120.0,28.0,28.0,6.0,744.0,13.0,7.0,1.0,183.0,55.0,0.0,1578.0,6.0,5.0,279.0,31.0,10.0,6.0,488.0,29.0,28.0,72.0,192.0,1914.0,4.0,3.0,6.0,27.0,633.0,26.0,1.0175,6.0,74.0,54.0,,3.0,,,,,10.0,,,8.0,,,,,,,,,2.0,,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
41733,Georginio Wijnaldum,Midfielder,Liverpool,14,Netherlands,2018-19,122.0,1.9856,0.0,5.0,10.0,1.0357,40.0,25.0,5.0,128.0,35.0,16.0,32.0,158.0,6.0,1769.0,1.0,3.0,7.0,66.0,3.0,3.0,2736.0,3.0,,34.0,131.0,1.0,29.0,99.0,1554.0,2.0,42.0,20.964,25.0,24.0,16.0,4.0,88.0,540.0,30.0,253.0,14.0,395.0,182.0,35.0,13.0,20.0,910.0,15.0,10.0,4.0,187.0,32.0,0.0,1744.0,15.0,9.0,286.0,27.0,29.0,7.0,497.0,18.0,21.0,57.0,337.0,2144.0,6.0,13.0,1.0,11.0,704.0,12.0,2.975,3.0,30.0,51.0,,1.0,,,,,10.0,,,2.0,,,,,,,,,,2.0,4.0,4.0,4.0,,3.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,
15157,James Milner,Midfielder,Liverpool,14,England,2018-19,94.0,5.9792,1.0,13.0,8.0,3.6619,43.0,11.0,6.0,161.0,31.0,7.0,19.0,216.0,45.0,1401.0,6.0,12.0,92.0,48.0,38.0,2.0,1786.0,2.0,2.0,28.0,104.0,,81.0,84.0,1105.0,24.0,53.0,16.1916,40.0,22.0,12.0,7.0,66.0,254.0,27.0,198.0,35.0,483.0,143.0,31.0,20.0,5.0,753.0,12.0,96.0,7.0,150.0,20.0,0.0,1331.0,3.0,25.0,369.0,23.0,15.0,5.0,427.0,28.0,18.0,80.0,237.0,1915.0,90.0,7.0,6.0,15.0,470.0,21.0,3.4692,5.0,55.0,49.0,,11.0,4.0,,,,6.0,,,6.0,,,,,,,,,4.0,,1.0,1.0,43.0,,5.0,,3.0,,5.0,0.0789,,1.0,1.0,3.0,1.0,3.0,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2018-19,83.0,2.2203,1.0,6.0,1.0,0.7483,46.0,10.0,7.0,153.0,32.0,7.0,21.0,222.0,31.0,1740.0,1.0,11.0,,46.0,5.0,,1982.0,,,21.0,89.0,,48.0,64.0,1413.0,,33.0,16.5214,12.0,13.0,14.0,5.0,62.0,522.0,12.0,172.0,24.0,428.0,168.0,32.0,10.0,7.0,875.0,14.0,33.0,5.0,126.0,25.0,0.0,1705.0,9.0,11.0,304.0,36.0,7.0,3.0,561.0,26.0,30.0,105.0,229.0,2050.0,30.0,6.0,1.0,25.0,648.0,17.0,1.4772,1.0,69.0,53.0,1.0,5.0,2.0,,,,9.0,,,1.0,,,,,,,,,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,
175592,Naby Keïta,Midfielder,Liverpool,14,Guinea,2018-19,120.0,1.9155,0.0,8.0,10.0,2.323,37.0,19.0,7.0,108.0,25.0,14.0,16.0,116.0,5.0,1005.0,4.0,9.0,2.0,29.0,,4.0,1394.0,4.0,3.0,20.0,85.0,,39.0,76.0,873.0,,53.0,9.8999,8.0,13.0,8.0,4.0,100.0,314.0,16.0,205.0,25.0,270.0,113.0,25.0,22.0,19.0,563.0,8.0,5.0,4.0,176.0,9.0,0.0,998.0,9.0,10.0,209.0,15.0,24.0,4.0,222.0,25.0,12.0,16.0,199.0,1301.0,,11.0,4.0,1.0,326.0,21.0,2.072,0.0,8.0,18.0,2.0,,,,,,3.0,,,2.0,,,,,,,,,1.0,,4.0,4.0,,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
217989,Rafael Camacho,Midfielder,Liverpool,14,Portugal,2018-19,,,0.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,0.3241,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,0.0,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68312,Xherdan Shaqiri,Midfielder,Liverpool,14,Switzerland,2018-19,53.0,2.5582,0.0,7.0,10.0,4.9101,13.0,19.0,9.0,101.0,24.0,16.0,11.0,120.0,10.0,639.0,4.0,13.0,27.0,10.0,13.0,1.0,1058.0,1.0,,6.0,37.0,,22.0,33.0,484.0,5.0,28.0,9.4415,17.0,6.0,6.0,3.0,47.0,95.0,14.0,90.0,6.0,169.0,65.0,24.0,9.0,10.0,375.0,6.0,34.0,3.0,80.0,4.0,0.0,626.0,9.0,9.0,212.0,4.0,6.0,1.0,223.0,9.0,6.0,35.0,152.0,849.0,10.0,7.0,4.0,2.0,157.0,7.0,3.874,2.0,19.0,20.0,1.0,7.0,2.0,,,,2.0,,,,,,,,,,,,3.0,2.0,3.0,3.0,18.0,1.0,6.0,5.0,,,1.0,0.346,,5.0,5.0,,,,,,,,,,,
