playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,cleanSheets,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,ownGoalScored,oboxTarget,blocks,penaltiesFaced,penaltyGoalsConceded,crossesNotClaimed,cornersTakenInclShortCorners,successfulCornersIntoBox,headedGoals,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,setPiecesGoals,penaltiesConceded,penaltiesTaken,clearancesOffTheLine,penaltyGoals
39155,Adam Lallana,Midfielder,Liverpool,14,England,2019-20,42.0,0.348,0.0,2.0,1.0,1.0,0.8264,19.0,3.0,1.0,34.0,15.0,1.0,1.0,3.0,38.0,3.0,266.0,1.0,1.0,1.0,1.0,12.0,18.0,374.0,14.0,33.0,1.0,12.0,29.0,224.0,13.0,2.453,3.0,2.0,5.0,1.0,28.0,70.0,8.0,0.0,75.0,7.0,0.0,72.0,31.0,15.0,1.0,10.0,3.0,152.0,4.0,3.0,8.0,1.0,57.0,4.0,0.0,264.0,2.0,1.0,65.0,9.0,2.0,78.0,7.0,5.0,4.0,46.0,358.0,1.0,3.0,1.0,1.0,2.0,76.0,4.0,2.0,0.7545,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Liverpool,14,England,2019-20,103.0,1.5303,0.0,18.0,10.0,5.0,3.4844,18.0,22.0,4.0,95.0,30.0,1.0,14.0,17.0,118.0,39.0,701.0,4.0,2.0,2.0,10.0,13.0,43.0,1492.0,29.0,75.0,,39.0,61.0,541.0,41.0,11.3196,16.0,8.0,12.0,8.0,74.0,190.0,14.0,2.0,178.0,25.0,2.0,161.0,79.0,30.0,4.0,9.0,20.0,422.0,12.0,39.0,43.0,8.0,135.0,14.0,0.0,694.0,12.0,17.0,254.0,9.0,29.0,175.0,17.0,22.0,42.0,175.0,1047.0,6.0,17.0,1.0,10.0,4.0,168.0,11.0,1.0,2.8444,1.0,23.0,20.0,,,,,,,,,,,,,,,,7.0,5.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2019-20,12.0,0.1369,0.0,1.0,2.0,,0.417,4.0,5.0,,14.0,6.0,,4.0,1.0,16.0,,123.0,1.0,,0.0,,5.0,5.0,122.0,3.0,9.0,,3.0,7.0,104.0,7.0,1.5124,,,1.0,1.0,9.0,35.0,,0.0,21.0,2.0,1.0,32.0,14.0,6.0,1.0,,1.0,66.0,1.0,,5.0,1.0,16.0,2.0,0.0,123.0,3.0,1.0,23.0,4.0,3.0,31.0,3.0,2.0,3.0,25.0,150.0,,1.0,,,1.0,41.0,2.0,,0.4467,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
116643,Fabinho,Midfielder,Liverpool,14,Brazil,2019-20,110.0,1.4044,0.0,4.0,4.0,2.0,0.7586,62.0,8.0,3.0,147.0,28.0,3.0,6.0,22.0,205.0,5.0,1578.0,2.0,,0.0,4.0,6.0,70.0,2074.0,28.0,132.0,1.0,36.0,90.0,1293.0,10.0,19.5589,16.0,16.0,26.0,,82.0,543.0,20.0,0.0,242.0,23.0,2.0,380.0,156.0,28.0,2.0,27.0,3.0,753.0,25.0,5.0,11.0,,172.0,42.0,0.0,1563.0,4.0,3.0,240.0,35.0,9.0,439.0,32.0,34.0,80.0,216.0,1836.0,4.0,1.0,,4.0,35.0,624.0,25.0,2.0,0.4276,6.0,58.0,65.0,,,,,5.0,,9.0,,,,,,,,,4.0,2.0,4.0,,,,,2.0,2.0,,1.0,,,,,,,,,,0.1347,2.0,2.0,,,,,
41733,Georginio Wijnaldum,Midfielder,Liverpool,14,Netherlands,2019-20,158.0,1.5642,0.0,5.0,15.0,3.0,2.9809,38.0,31.0,,138.0,37.0,,17.0,35.0,149.0,4.0,1625.0,4.0,1.0,1.0,3.0,2.0,81.0,2948.0,51.0,141.0,2.0,37.0,111.0,1435.0,76.0,25.9448,18.0,33.0,28.0,2.0,107.0,522.0,32.0,1.0,299.0,14.0,3.0,325.0,189.0,37.0,3.0,18.0,33.0,927.0,26.0,4.0,63.0,2.0,218.0,30.0,0.0,1611.0,16.0,7.0,263.0,20.0,41.0,442.0,15.0,17.0,41.0,336.0,2050.0,15.0,15.0,,3.0,6.0,550.0,10.0,1.0,2.5463,0.0,11.0,41.0,,,,,8.0,,4.0,,,,,,,,,1.0,4.0,1.0,7.0,7.0,,,4.0,4.0,,1.0,,,,1.0,,,,,,,,,,,,,
444884,Harvey Elliott,Midfielder,Liverpool,14,England,2019-20,1.0,0.0099,0.0,,,,,,,,1.0,2.0,,,,1.0,1.0,11.0,,,,,2.0,,7.0,,1.0,,,1.0,9.0,,,,,,,1.0,4.0,,0.0,2.0,,,3.0,1.0,2.0,,,1.0,9.0,,3.0,1.0,,2.0,,0.0,10.0,,1.0,5.0,,1.0,1.0,,,1.0,3.0,17.0,1.0,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,
15157,James Milner,Midfielder,Liverpool,14,England,2019-20,50.0,1.0813,0.0,2.0,4.0,1.0,1.9942,16.0,10.0,3.0,66.0,22.0,2.0,4.0,9.0,97.0,13.0,747.0,2.0,1.0,1.0,2.0,13.0,26.0,926.0,13.0,51.0,,24.0,38.0,601.0,12.0,6.2789,8.0,16.0,9.0,,37.0,227.0,12.0,1.0,101.0,9.0,1.0,223.0,63.0,22.0,2.0,6.0,1.0,375.0,9.0,18.0,7.0,,75.0,13.0,0.0,720.0,6.0,5.0,139.0,10.0,10.0,164.0,11.0,6.0,49.0,133.0,921.0,30.0,2.0,,2.0,13.0,277.0,7.0,1.0,2.1845,4.0,31.0,22.0,,,,,3.0,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,4.0,,1.0,3.0,,,,9.0,1.0,,4.0,,,1.0,,,,,,,2.0,1.0,2.0
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2019-20,90.0,3.5772,0.0,8.0,8.0,4.0,1.8117,63.0,12.0,7.0,201.0,30.0,5.0,6.0,26.0,288.0,47.0,1856.0,4.0,,2.0,5.0,4.0,37.0,2244.0,11.0,116.0,2.0,42.0,90.0,1443.0,44.0,14.9422,22.0,18.0,14.0,3.0,79.0,485.0,12.0,1.0,206.0,18.0,2.0,541.0,183.0,30.0,2.0,22.0,11.0,903.0,12.0,48.0,17.0,3.0,169.0,26.0,0.0,1824.0,4.0,13.0,386.0,41.0,17.0,550.0,31.0,30.0,125.0,280.0,2200.0,15.0,10.0,3.0,5.0,31.0,675.0,15.0,1.0,1.0798,2.0,87.0,52.0,,,,,9.0,,4.0,,,,,,,,,10.0,2.0,10.0,2.0,2.0,,,2.0,4.0,,1.0,,1.0,,1.0,,,,,1.0,0.0551,1.0,1.0,,,,,
175592,Naby Keïta,Midfielder,Liverpool,14,Guinea,2019-20,44.0,2.0186,0.0,2.0,7.0,2.0,2.4318,30.0,10.0,5.0,68.0,18.0,3.0,6.0,9.0,76.0,7.0,678.0,2.0,1.0,1.0,,9.0,19.0,814.0,10.0,72.0,,26.0,63.0,587.0,22.0,6.638,12.0,2.0,8.0,2.0,34.0,193.0,10.0,0.0,116.0,18.0,1.0,189.0,82.0,18.0,2.0,16.0,3.0,409.0,8.0,7.0,12.0,2.0,97.0,9.0,0.0,674.0,3.0,6.0,113.0,14.0,23.0,171.0,9.0,10.0,15.0,125.0,844.0,3.0,8.0,,,3.0,193.0,4.0,,1.6447,1.0,8.0,12.0,,,,,1.0,,1.0,,,,,,,,,,3.0,,2.0,2.0,,,3.0,,,,,2.0,,,,,,,,,,,,,,,
157882,Takumi Minamino,Midfielder,Liverpool,14,Japan,2019-20,31.0,0.1082,0.0,3.0,2.0,,0.3885,3.0,5.0,,10.0,10.0,,4.0,2.0,11.0,1.0,106.0,,,,1.0,8.0,8.0,242.0,5.0,12.0,,4.0,9.0,93.0,13.0,2.3195,1.0,3.0,2.0,2.0,26.0,23.0,3.0,0.0,43.0,3.0,,19.0,12.0,10.0,,,6.0,66.0,2.0,1.0,11.0,2.0,35.0,3.0,0.0,105.0,3.0,2.0,33.0,3.0,4.0,24.0,7.0,,2.0,40.0,158.0,,2.0,,1.0,1.0,30.0,4.0,,0.8389,0.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
