playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,penaltiesConceded,throwInsToOppositionPlayer,freekickTotal,attemptsFromSetPieces,hitWoodwork,penaltyGoalsConceded,redCards2ndYellow,foulWonPenalty,penaltiesTaken,headedGoals,penaltyGoals,handballsConceded,catches,savesMade,drops,savesMadeFromOutsideBox,crossesNotClaimed,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,clearancesOffTheLine,ownGoalScored,penaltiesSaved,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother
39155,Adam Lallana,Midfielder,Liverpool,14,England,2015-16,178.0,11.0,4.6382,0.0,15.0,15.0,3.9607,59.0,29.0,9.0,157.0,30.0,6.0,71.0,23.0,174.0,37.0,989.0,4.0,14.0,4.0,7.0,19.0,59.0,5.0,5.0,13.0,6.0,2110.0,6.0,1.0,36.0,153.0,5.0,62.0,130.0,792.0,2.0,22.3261,44.0,2.0,35.0,27.0,11.0,142.0,238.0,29.0,331.0,34.0,295.0,150.0,30.0,5.0,1.0,12.0,3.0,25.0,574.0,22.0,50.0,11.0,272.0,23.0,0.0,958.0,14.0,29.0,378.0,47.0,42.0,2.0,201.0,27.0,20.0,12.0,23.0,255.0,1501.0,9.0,13.0,4.0,7.0,254.0,17.0,3.4036,2.0,17.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147668,Cameron Brannagan,Midfielder,Liverpool,14,England,2015-16,9.0,1.0,0.4887,0.0,,1.0,0.0766,5.0,1.0,,5.0,3.0,,6.0,1.0,8.0,2.0,124.0,,,,2.0,4.0,1.0,,,2.0,1.0,112.0,1.0,,1.0,7.0,,3.0,7.0,112.0,1.0,0.3181,3.0,,,1.0,,8.0,35.0,,16.0,2.0,14.0,9.0,3.0,,,2.0,,1.0,60.0,1.0,4.0,,15.0,,0.0,121.0,,1.0,17.0,3.0,2.0,1.0,50.0,,2.0,1.0,4.0,25.0,150.0,,,,,58.0,,0.0884,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112338,Emre Can,Midfielder,Liverpool,14,Germany,2015-16,172.0,,3.6234,0.0,8.0,13.0,2.3666,79.0,22.0,6.0,252.0,30.0,,51.0,28.0,336.0,9.0,1793.0,1.0,5.0,7.0,2.0,,85.0,7.0,6.0,,6.0,2492.0,6.0,2.0,40.0,191.0,5.0,60.0,146.0,1346.0,,33.0055,32.0,10.0,43.0,38.0,1.0,132.0,443.0,31.0,363.0,33.0,558.0,204.0,30.0,6.0,1.0,10.0,,18.0,721.0,33.0,9.0,1.0,278.0,45.0,0.0,1763.0,9.0,11.0,453.0,69.0,39.0,9.0,486.0,36.0,62.0,,111.0,306.0,2260.0,9.0,4.0,7.0,25.0,736.0,22.0,1.3614,9.0,84.0,86.0,,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,
15157,James Milner,Midfielder,Liverpool,14,England,2015-16,215.0,30.0,6.0103,1.0,15.0,11.0,4.0009,68.0,24.0,12.0,232.0,28.0,11.0,27.0,28.0,312.0,60.0,1377.0,5.0,2.0,8.0,,116.0,74.0,6.0,3.0,59.0,3.0,2414.0,3.0,2.0,42.0,148.0,4.0,94.0,116.0,994.0,26.0,25.9707,50.0,4.0,23.0,35.0,7.0,173.0,277.0,33.0,363.0,56.0,527.0,163.0,28.0,3.0,3.0,15.0,2.0,14.0,790.0,31.0,126.0,7.0,289.0,32.0,0.0,1310.0,13.0,27.0,581.0,53.0,19.0,3.0,341.0,47.0,37.0,56.0,71.0,232.0,2065.0,46.0,7.0,8.0,21.0,334.0,36.0,3.3995,9.0,80.0,61.0,0.1785,,4.0,3.0,3.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,
40555,Joe Allen,Midfielder,Liverpool,14,Wales,2015-16,56.0,2.0,0.7273,0.0,3.0,4.0,1.4735,28.0,9.0,2.0,52.0,19.0,1.0,18.0,8.0,66.0,3.0,410.0,2.0,,1.0,11.0,,14.0,1.0,,2.0,2.0,731.0,2.0,,11.0,59.0,1.0,11.0,56.0,325.0,,6.8377,10.0,,8.0,10.0,2.0,45.0,114.0,21.0,115.0,7.0,128.0,73.0,19.0,,2.0,9.0,,3.0,197.0,9.0,3.0,2.0,101.0,3.0,0.0,401.0,5.0,2.0,102.0,19.0,7.0,1.0,96.0,14.0,14.0,,19.0,72.0,560.0,2.0,5.0,1.0,1.0,149.0,8.0,1.221,0.0,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2015-16,55.0,9.0,1.9103,0.0,11.0,6.0,1.1663,41.0,15.0,3.0,129.0,17.0,3.0,17.0,15.0,196.0,26.0,939.0,2.0,3.0,7.0,2.0,12.0,31.0,4.0,3.0,12.0,1.0,1293.0,1.0,,10.0,74.0,2.0,42.0,53.0,664.0,4.0,11.9532,15.0,2.0,17.0,16.0,4.0,45.0,196.0,8.0,129.0,21.0,314.0,113.0,17.0,3.0,2.0,15.0,,6.0,476.0,14.0,35.0,4.0,98.0,21.0,0.0,909.0,9.0,10.0,276.0,26.0,8.0,1.0,313.0,10.0,22.0,5.0,79.0,116.0,1200.0,11.0,5.0,7.0,15.0,279.0,6.0,1.6123,1.0,67.0,43.0,0.0591,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
141281,Jordan Rossiter,Midfielder,Liverpool,14,England,2015-16,2.0,,0.0016,0.0,,,,1.0,,,1.0,1.0,,,,1.0,,5.0,,,,1.0,,,,,,,14.0,,,,1.0,,1.0,1.0,4.0,,0.4145,,,1.0,,,2.0,1.0,,3.0,1.0,2.0,,1.0,,,,,,4.0,,,,3.0,,0.0,5.0,,,1.0,1.0,,,2.0,,1.0,,,,9.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103912,Jordon Ibe,Midfielder,Liverpool,14,England,2015-16,95.0,3.0,1.7619,0.0,11.0,6.0,1.3556,10.0,18.0,3.0,67.0,27.0,2.0,12.0,12.0,73.0,33.0,481.0,1.0,1.0,3.0,15.0,27.0,8.0,1.0,3.0,12.0,2.0,1172.0,2.0,,6.0,86.0,2.0,33.0,84.0,398.0,8.0,16.893,18.0,1.0,,24.0,8.0,89.0,89.0,14.0,181.0,12.0,115.0,75.0,27.0,3.0,,1.0,1.0,35.0,308.0,22.0,47.0,8.0,173.0,2.0,0.0,474.0,12.0,21.0,230.0,9.0,60.0,,150.0,10.0,1.0,14.0,10.0,127.0,805.0,15.0,9.0,3.0,3.0,112.0,3.0,1.5625,0.0,6.0,11.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
109363,João Teixeira,Midfielder,Liverpool,14,Portugal,2015-16,1.0,,0.0001,0.0,,,,1.0,,,,1.0,,2.0,,,,3.0,,,,1.0,,,,,,,3.0,,,,1.0,,1.0,1.0,3.0,,,,,,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,2.0,,0.0,3.0,,,1.0,1.0,,,1.0,,,,,1.0,6.0,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106449,Kevin Stewart,Midfielder,Liverpool,14,Jamaica,2015-16,27.0,,0.1646,0.0,2.0,,,19.0,3.0,,36.0,7.0,,7.0,6.0,52.0,1.0,450.0,,,2.0,1.0,,9.0,1.0,,,,564.0,,1.0,4.0,43.0,1.0,13.0,38.0,378.0,,4.4498,4.0,1.0,14.0,8.0,,23.0,118.0,16.0,70.0,8.0,140.0,39.0,7.0,,,5.0,,2.0,167.0,7.0,1.0,,61.0,5.0,0.0,439.0,3.0,,78.0,14.0,3.0,2.0,110.0,9.0,15.0,,20.0,82.0,566.0,3.0,,2.0,5.0,231.0,5.0,0.1523,1.0,16.0,19.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
