playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,timesTackled,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,throwInsToOppositionPlayer,lastPlayerTackle,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,headedGoals,hitWoodwork,penaltiesConceded,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,punches,ownGoalScored,goalkeeperSmother,drops,crossesNotClaimed,setPiecesGoals
39155,Adam Lallana,Midfielder,Liverpool,14,England,2014-15,175.0,10.0,13.0,4.6271,45.0,6.0,27.0,743.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,53.0,5.0,113.0,3.0,1.0,20.1552,30.0,1.0,7.0,40.0,1.0,105.0,27.0,1.0,3.0,28.0,45.0,1.0,73.0,731.0,15.0,296.0,40.0,169.0,25.0,10.0,15.0,190.0,1156.0,9.0,215.0,1.0,13.0,25.0,1.0,8.0,2.9821,0.0,4.0,28.0,117.0,3.0,34.0,23.0,130.0,35.0,15.0,72.0,3.0,3.0,11.0,1789.0,3.0,132.0,40.0,598.0,95.0,17.0,22.0,122.0,199.0,307.0,25.0,4.0,185.0,3.0,5.0,409.0,17.0,7.0,235.0,19.0,0.0,15.0,30.0,2.0,12.0,15.0,3.0,5.0,15.0,4.2721,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147668,Cameron Brannagan,Midfielder,Liverpool,14,England,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112338,Emre Can,Midfielder,Liverpool,14,Germany,2014-15,111.0,4.0,4.0,0.5603,78.0,2.0,27.0,1282.0,1.0,,0.0,4.0,4.0,2.0,2.0,30.0,9.0,131.0,,,24.9802,12.0,14.0,,19.0,0.0,150.0,27.0,1.0,,12.0,15.0,,30.0,1251.0,7.0,288.0,66.0,532.0,29.0,,75.0,176.0,1735.0,72.0,635.0,1.0,82.0,62.0,,2.0,0.8686,1.0,1.0,11.0,133.0,,4.0,23.0,215.0,15.0,,72.0,9.0,1.0,2.0,2065.0,,173.0,32.0,992.0,18.0,78.0,26.0,81.0,114.0,284.0,18.0,1.0,460.0,1.0,12.0,434.0,17.0,,212.0,42.0,0.0,9.0,34.0,4.0,38.0,4.0,4.0,34.0,16.0,0.5073,2.0,11.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
40555,Joe Allen,Midfielder,Liverpool,14,Wales,2014-15,89.0,6.0,2.0,0.9923,54.0,1.0,21.0,857.0,1.0,,0.0,5.0,5.0,1.0,1.0,17.0,6.0,90.0,2.0,,19.3869,15.0,2.0,1.0,24.0,0.0,114.0,21.0,1.0,,6.0,5.0,,34.0,837.0,4.0,169.0,45.0,205.0,20.0,1.0,24.0,114.0,1111.0,,362.0,,15.0,31.0,,2.0,0.7358,0.0,,6.0,89.0,,12.0,16.0,104.0,4.0,5.0,23.0,5.0,,4.0,1471.0,,96.0,27.0,729.0,20.0,16.0,22.0,72.0,269.0,185.0,13.0,1.0,269.0,,9.0,395.0,16.0,1.0,162.0,6.0,0.0,3.0,14.0,3.0,31.0,6.0,5.0,7.0,12.0,0.9374,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2014-15,144.0,16.0,14.0,3.8015,85.0,19.0,37.0,2181.0,6.0,4.0,3.0,11.0,1.0,5.0,5.0,40.0,10.0,113.0,15.0,1.0,39.7104,58.0,6.0,5.0,22.0,3.0,204.0,37.0,6.0,,13.0,70.0,,46.0,2124.0,20.0,556.0,61.0,668.0,32.0,26.0,113.0,355.0,2793.0,53.0,770.0,2.0,93.0,78.0,,11.0,5.6814,0.0,3.0,34.0,290.0,9.0,46.0,36.0,383.0,36.0,45.0,79.0,13.0,3.0,31.0,3255.0,,152.0,91.0,1685.0,67.0,61.0,45.0,104.0,467.0,296.0,53.0,3.0,691.0,3.0,24.0,1059.0,35.0,5.0,217.0,39.0,0.0,22.0,10.0,7.0,32.0,,11.0,22.0,15.0,4.281,6.0,9.0,,,,,,,,,,,,,,,,,4.0,4.0,0.2506,1.0,1.0,,,,,,,,,
141281,Jordan Rossiter,Midfielder,Liverpool,14,England,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103912,Jordon Ibe,Midfielder,Liverpool,14,England,2014-15,48.0,1.0,4.0,0.8747,4.0,1.0,12.0,247.0,,,,1.0,5.0,3.0,3.0,8.0,1.0,42.0,,,6.387,6.0,1.0,,14.0,0.0,35.0,12.0,,,20.0,21.0,,37.0,245.0,5.0,117.0,4.0,96.0,3.0,1.0,3.0,80.0,438.0,35.0,86.0,,2.0,5.0,,4.0,1.0795,0.0,4.0,9.0,29.0,,1.0,7.0,31.0,20.0,2.0,12.0,1.0,1.0,4.0,618.0,,46.0,5.0,213.0,43.0,1.0,7.0,40.0,36.0,94.0,2.0,,35.0,1.0,,134.0,6.0,,82.0,4.0,0.0,8.0,24.0,,4.0,5.0,1.0,1.0,1.0,0.6598,0.0,11.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
99323,Lazar Markovic,Midfielder,Liverpool,14,Serbia,2014-15,69.0,3.0,3.0,1.6466,26.0,3.0,19.0,437.0,2.0,,1.0,1.0,8.0,1.0,1.0,11.0,2.0,57.0,,,9.707,19.0,1.0,2.0,11.0,1.0,67.0,19.0,1.0,1.0,18.0,9.0,,37.0,431.0,10.0,162.0,21.0,111.0,10.0,1.0,11.0,121.0,702.0,53.0,149.0,2.0,13.0,23.0,,3.0,1.4801,0.0,2.0,13.0,69.0,1.0,19.0,11.0,82.0,8.0,1.0,13.0,3.0,,3.0,932.0,,59.0,31.0,344.0,39.0,9.0,11.0,58.0,83.0,128.0,14.0,1.0,122.0,,5.0,209.0,9.0,2.0,115.0,2.0,0.0,9.0,20.0,1.0,16.0,8.0,1.0,5.0,6.0,2.1285,0.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
43191,Lucas Leiva,Midfielder,Liverpool,14,Brazil,2014-15,103.0,1.0,6.0,1.4216,78.0,5.0,20.0,1049.0,,1.0,,1.0,4.0,2.0,2.0,39.0,8.0,89.0,,,17.2511,8.0,,,9.0,0.0,117.0,20.0,,,1.0,3.0,,10.0,1031.0,4.0,162.0,56.0,278.0,27.0,,42.0,117.0,1291.0,1.0,463.0,1.0,23.0,47.0,,,0.6989,0.0,,10.0,110.0,,18.0,16.0,133.0,3.0,2.0,71.0,6.0,4.0,,1313.0,,121.0,25.0,874.0,8.0,45.0,20.0,64.0,288.0,224.0,16.0,,366.0,4.0,22.0,453.0,12.0,,153.0,32.0,0.0,1.0,2.0,5.0,31.0,5.0,1.0,5.0,26.0,0.9456,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
134384,MJ Williams,Midfielder,Liverpool,14,Wales,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
