playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,penaltiesConceded,foulWonPenalty,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,setPiecesGoals,penaltiesSaved,savesFromPenalty,drops
39155,Adam Lallana,Midfielder,Liverpool,14,England,2016-17,173.0,21.0,20.0,5.7154,51.0,4.0,31.0,1407.0,8.0,12.0,3.0,10.0,4.0,7.0,7.0,43.0,5.0,113.0,1.0,2.0,28.8767,35.0,4.0,11.0,30.0,1.0,155.0,31.0,3.0,4.0,23.0,38.0,77.0,1386.0,9.0,397.0,34.0,361.0,17.0,1.0,29.0,327.0,1869.0,12.0,2.0,351.0,2.0,22.0,37.0,1.0,9.0,3.8457,0.0,29.0,199.0,7.0,76.0,27.0,221.0,37.0,5.0,65.0,3.0,5.0,10.0,2346.0,4.0,135.0,51.0,1157.0,116.0,2.0,21.0,32.0,130.0,305.0,308.0,26.0,5.0,414.0,5.0,17.0,845.0,27.0,1.0,11.0,243.0,22.0,0.0,29.0,33.0,2.0,20.0,17.0,10.0,10.0,10.0,3.9762,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
182436,Ben Woodburn,Midfielder,Liverpool,14,Wales,2016-17,12.0,2.0,,,4.0,,5.0,32.0,,,,1.0,4.0,,,3.0,,6.0,,,1.179,,,1.0,1.0,0.0,6.0,5.0,,,3.0,4.0,7.0,29.0,,17.0,3.0,5.0,2.0,2.0,,10.0,56.0,,,13.0,,,1.0,,1.0,0.099,0.0,,3.0,,6.0,1.0,3.0,2.0,2.0,4.0,,,1.0,83.0,,7.0,2.0,29.0,4.0,,,1.0,9.0,12.0,19.0,1.0,,5.0,,1.0,17.0,1.0,,1.0,15.0,1.0,0.0,1.0,1.0,,,1.0,1.0,,1.0,0.0588,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
112338,Emre Can,Midfielder,Liverpool,14,Germany,2016-17,194.0,15.0,11.0,3.3619,66.0,6.0,32.0,1659.0,5.0,2.0,3.0,5.0,6.0,2.0,2.0,57.0,2.0,113.0,,3.0,27.4837,31.0,5.0,10.0,30.0,2.0,180.0,32.0,3.0,1.0,16.0,19.0,40.0,1635.0,19.0,409.0,47.0,414.0,70.0,,104.0,293.0,2097.0,16.0,,585.0,1.0,72.0,63.0,,4.0,2.7407,0.0,30.0,235.0,2.0,63.0,26.0,307.0,19.0,,125.0,8.0,4.0,4.0,2368.0,2.0,181.0,46.0,1248.0,58.0,1.0,52.0,28.0,137.0,481.0,375.0,31.0,2.0,471.0,4.0,19.0,771.0,26.0,1.0,10.0,250.0,68.0,0.0,10.0,21.0,3.0,32.0,3.0,5.0,17.0,46.0,2.9399,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
41733,Georginio Wijnaldum,Midfielder,Liverpool,14,Netherlands,2016-17,155.0,17.0,20.0,5.8049,46.0,3.0,36.0,1625.0,6.0,3.0,0.0,9.0,3.0,6.0,6.0,39.0,5.0,106.0,,2.0,35.7785,34.0,2.0,8.0,30.0,2.0,209.0,36.0,3.0,1.0,10.0,10.0,64.0,1597.0,23.0,336.0,31.0,375.0,22.0,,58.0,355.0,2044.0,13.0,1.0,508.0,1.0,24.0,50.0,1.0,3.0,3.5738,0.0,43.0,182.0,9.0,88.0,33.0,206.0,10.0,1.0,78.0,8.0,8.0,3.0,2975.0,2.0,145.0,34.0,1361.0,75.0,3.0,32.0,37.0,116.0,459.0,300.0,10.0,6.0,436.0,8.0,15.0,914.0,32.0,2.0,8.0,222.0,39.0,0.0,7.0,30.0,2.0,26.0,9.0,9.0,8.0,15.0,4.9218,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
15157,James Milner,Midfielder,Liverpool,14,England,2016-17,183.0,10.0,17.0,9.617,94.0,2.0,36.0,2166.0,7.0,2.0,4.0,6.0,,5.0,5.0,64.0,5.0,146.0,19.0,2.0,34.5467,54.0,25.0,4.0,23.0,2.0,207.0,36.0,7.0,,16.0,206.0,37.0,2080.0,9.0,765.0,63.0,92.0,38.0,53.0,131.0,301.0,3322.0,340.0,,632.0,2.0,173.0,103.0,2.0,24.0,4.8358,0.0,26.0,266.0,3.0,3.0,36.0,439.0,131.0,91.0,120.0,10.0,5.0,53.0,3159.0,1.0,202.0,85.0,1596.0,70.0,37.0,101.0,35.0,119.0,809.0,385.0,38.0,3.0,964.0,5.0,31.0,1148.0,30.0,,4.0,265.0,56.0,0.0,33.0,31.0,5.0,44.0,6.0,6.0,82.0,24.0,7.6638,5.0,1.0,,3.0,3.0,0.2035,8.0,7.0,,,,,,,,,,,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2016-17,106.0,4.0,4.0,1.7018,88.0,5.0,24.0,2057.0,1.0,,1.0,3.0,,,,23.0,4.0,109.0,5.0,1.0,23.4842,28.0,10.0,1.0,17.0,1.0,212.0,24.0,1.0,,6.0,49.0,17.0,1992.0,9.0,373.0,64.0,637.0,28.0,32.0,165.0,235.0,2423.0,10.0,,780.0,1.0,110.0,61.0,1.0,10.0,2.599,0.0,13.0,180.0,4.0,30.0,24.0,290.0,16.0,48.0,49.0,6.0,3.0,16.0,2118.0,,135.0,54.0,1602.0,7.0,,40.0,28.0,83.0,601.0,241.0,26.0,0.0,584.0,3.0,24.0,1003.0,24.0,,1.0,192.0,26.0,0.0,13.0,5.0,3.0,40.0,2.0,3.0,37.0,19.0,0.753,8.0,,,1.0,1.0,0.1392,,,,,,,,,,,,,,,,,,,,
106449,Kevin Stewart,Midfielder,Liverpool,14,Jamaica,2016-17,2.0,,,,,,4.0,20.0,,,,,4.0,,,1.0,,1.0,,,0.0228,,,,,0.0,1.0,4.0,,,,,,20.0,,8.0,,9.0,1.0,,,,23.0,,,9.0,,2.0,2.0,,,0.0017,0.0,,6.0,,,,8.0,,,4.0,,,,18.0,,4.0,,12.0,,,1.0,,1.0,4.0,6.0,,,7.0,,,3.0,,,,2.0,3.0,0.0,,1.0,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
99323,Lazar Markovic,Midfielder,Liverpool,14,Serbia,2016-17,86.0,2.0,5.0,2.7405,18.0,3.0,12.0,334.0,2.0,2.0,0.0,2.0,,3.0,3.0,11.0,2.0,57.0,,1.0,18.7093,8.0,,,19.0,1.0,66.0,12.0,2.0,,14.0,12.0,42.0,331.0,5.0,158.0,11.0,118.0,17.0,1.0,8.0,75.0,548.0,4.0,2.0,93.0,1.0,14.0,17.0,,6.0,0.5666,0.0,10.0,63.0,,22.0,12.0,77.0,11.0,1.0,18.0,1.0,,6.0,1011.0,2.0,64.0,28.0,249.0,26.0,,8.0,15.0,75.0,51.0,150.0,15.0,2.0,90.0,,7.0,170.0,13.0,,,132.0,7.0,0.0,7.0,21.0,,14.0,7.0,2.0,5.0,9.0,2.3827,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
43191,Lucas Leiva,Midfielder,Liverpool,14,Brazil,2016-17,79.0,2.0,1.0,0.2638,37.0,3.0,24.0,883.0,,,,1.0,12.0,1.0,1.0,38.0,1.0,51.0,,2.0,16.1387,3.0,4.0,1.0,12.0,0.0,73.0,24.0,,,1.0,3.0,7.0,869.0,5.0,163.0,24.0,268.0,18.0,,60.0,39.0,1097.0,2.0,,397.0,,35.0,37.0,,2.0,0.5974,0.0,6.0,107.0,3.0,4.0,12.0,142.0,3.0,,90.0,2.0,,2.0,1105.0,,103.0,21.0,681.0,17.0,,60.0,17.0,41.0,224.0,182.0,16.0,,352.0,,13.0,346.0,16.0,,1.0,92.0,52.0,0.0,1.0,3.0,4.0,35.0,3.0,1.0,14.0,13.0,0.4946,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
210237,Marko Grujic,Midfielder,Liverpool,14,Serbia,2016-17,4.0,,2.0,0.2277,1.0,,5.0,33.0,,,,,5.0,1.0,1.0,1.0,,5.0,,,,1.0,,,2.0,0.0,1.0,5.0,,,,,,32.0,2.0,9.0,,12.0,2.0,,,5.0,46.0,,,4.0,,1.0,1.0,,,0.0374,0.0,4.0,6.0,,3.0,,7.0,,,6.0,,1.0,,38.0,,10.0,1.0,26.0,4.0,,,,3.0,10.0,14.0,1.0,,6.0,1.0,1.0,22.0,,,,8.0,5.0,0.0,2.0,2.0,,,,,,2.0,0.2012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
154051,Ovie Ejaria,Midfielder,Liverpool,14,England,2016-17,1.0,,,,1.0,,2.0,8.0,,,,,2.0,,,,,1.0,,,,,,,,0.0,,2.0,,,,,,8.0,,,,1.0,,,,4.0,10.0,,,2.0,,,,,,0.0351,0.0,,,,,,,,,,,,,6.0,,1.0,,8.0,1.0,,,,1.0,2.0,2.0,,,1.0,,1.0,6.0,,,,2.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
