matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444474,1.0,2024-08-17 15:00:00,4,Newcastle,Home,56.0,9.0,1.0,1.0,,,,62.0,4.0,,2.0,2.0,2.0,12.0,117.0,,,8.0,9.0,7.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,9.0,13.0,6.0,3.0,,,23.0,39.0,1.0,,1.0,5.0,13.0,2.0,6.0,1.0,,3.0,3.0,1.0,,8.0,2.0,43.0,40.0,5.0,34.0,17.0,,,,,,,,31.0,15.0,16.0,,,2.0,5.0,,86.0,1.0,,1.0,1.0,,,10.0,,,1.0,,,,,,17.0,,4.0,4.0,2.0,2.0,32.0,44.0,17.0,12.0,1.0,,3.0,1.0,152.0,,,11.0,,,38.0,20.0,22.0,,,,,,102.0,102.0,4.0,18.0,9.0,22.2,,,,,19.0,0.0,,,,40.0,4.0,,3.0,,,,1.0,,3.0,34.0,104.0,13.0,3.0,66.0,18.0,34.0,6.0,3.0,12.0,9.0,,,66.0,4.0,127.0,1.0,,12.0,2.0,39.0,1.0,181.0,,1.0,3.0,16.0,,11.0,2.0,353.0,14.0,10.0,1.0,3.0,14.0,0.0
2444480,2.0,2024-08-25 14:00:00,4,Newcastle,Away,210.0,13.0,1.0,8.0,7.0,,1.0,191.0,7.0,4.0,5.0,6.0,8.0,24.0,393.0,,1.0,22.0,13.0,10.0,13.0,,5.0,1.0,,,,,,,,,8.0,,,,,,1.0,4.0,11.0,5.0,12.0,2.0,,79.0,65.0,4.0,3.0,1.0,2.0,6.0,5.0,2.0,,,9.0,15.0,4.0,,14.0,1.0,44.0,56.0,2.0,17.0,5.0,1.0,,,,,,,58.0,8.0,19.0,1.0,,2.0,1.0,,209.0,1.0,,1.0,1.0,,,9.0,,,1.0,1.0,,,,,5.0,,4.0,4.0,1.0,6.0,107.0,63.0,40.0,8.0,,4.0,10.0,5.0,462.0,,,4.0,3.0,,52.0,58.0,36.0,,,,,,165.0,165.0,3.0,27.0,29.0,60.7,,,1.0,3.0,26.0,0.0,,,,100.0,2.0,1.0,3.0,,1.0,4.0,1.0,,5.0,91.0,367.0,6.0,14.0,248.0,31.0,17.0,13.0,6.0,26.0,20.0,,1.0,130.0,9.0,273.0,1.0,4.0,21.0,9.0,55.0,,495.0,,0.0,14.0,21.0,1.0,25.0,2.0,708.0,32.0,17.0,6.0,9.0,12.0,0.0
2444497,3.0,2024-09-01 13:30:00,4,Newcastle,Home,103.0,11.0,2.0,5.0,3.0,1.0,1.0,85.0,4.0,,5.0,3.0,4.0,12.0,183.0,1.0,1.0,14.0,14.0,11.0,3.0,1.0,4.0,3.0,,,,1.0,,,1.0,,4.0,,,1.0,,,,10.0,10.0,11.0,6.0,3.0,,41.0,45.0,2.0,,2.0,1.0,15.0,3.0,10.0,,,7.0,2.0,1.0,,12.0,6.0,61.0,47.0,1.0,31.0,14.0,,1.0,,,,,,37.0,16.0,13.0,2.0,,2.0,2.0,,122.0,2.0,,2.0,1.0,1.0,,9.0,,,1.0,1.0,,,,,14.0,1.0,14.0,14.0,5.0,5.0,34.0,51.0,21.0,12.0,,2.0,4.0,3.0,235.0,,,7.0,,1.0,37.0,24.0,19.0,,,,,,122.0,122.0,4.0,25.0,11.0,34.3,1.0,,,,27.0,0.0,,,,64.0,2.0,4.0,6.0,1.0,3.0,3.0,,,4.0,41.0,167.0,15.0,6.0,129.0,16.0,31.0,18.0,7.0,12.0,5.0,107121.35,3.0,68.0,3.0,144.0,1.0,,23.0,5.0,45.0,2.0,261.0,1.0,0.0,9.0,17.0,1.0,16.0,4.0,476.0,14.0,11.0,8.0,7.0,8.0,0.0
2444509,4.0,2024-09-15 16:30:00,4,Newcastle,Away,199.0,8.0,1.0,2.0,1.0,1.0,,218.0,6.0,1.0,3.0,1.0,7.0,13.0,415.0,,1.0,14.0,8.0,13.0,11.0,,3.0,1.0,,,,,,,,1.0,10.0,,,,,1.0,1.0,3.0,10.0,2.0,8.0,6.0,,79.0,38.0,2.0,2.0,,3.0,9.0,4.0,15.0,,,7.0,4.0,4.0,1.0,15.0,2.0,52.0,55.0,3.0,22.0,10.0,,1.0,,,,,,63.0,6.0,16.0,,,1.0,1.0,,157.0,2.0,,,2.0,,,6.0,,,2.0,1.0,,,,,10.0,1.0,5.0,5.0,1.0,3.0,119.0,46.0,29.0,4.0,,3.0,10.0,6.0,440.0,,,1.0,,,92.0,52.0,21.0,,,,,,100.0,100.0,1.0,16.0,16.0,51.5,1.0,,3.0,,18.0,0.0,,,,116.0,3.0,1.0,4.0,,1.0,4.0,1.0,1.0,5.0,131.0,389.0,9.0,13.0,213.0,16.0,22.0,20.0,4.0,13.0,9.0,114303.43,1.0,162.0,4.0,271.0,1.0,1.0,16.0,8.0,33.0,2.0,471.0,1.0,0.0,14.0,14.0,1.0,16.0,3.0,653.0,23.0,6.0,12.0,7.0,9.0,0.0
2444513,5.0,2024-09-21 15:00:00,4,Newcastle,Away,302.0,16.0,,4.0,4.0,1.0,1.0,208.0,9.0,,8.0,,6.0,18.0,506.0,,2.0,19.0,6.0,16.0,9.0,2.0,,1.0,,1.0,1.0,,,1.0,,,11.0,,,,,,4.0,6.0,18.0,4.0,12.0,4.0,,75.0,45.0,,1.0,,,4.0,3.0,4.0,,,,8.0,3.0,,14.0,2.0,37.0,47.0,,15.0,6.0,2.0,1.0,,,,,,52.0,8.0,16.0,1.0,,1.0,1.0,1.0,174.0,1.0,,1.0,1.0,,,11.0,,,1.0,,,,,,6.0,,10.0,10.0,,8.0,154.0,64.0,45.0,6.0,,6.0,6.0,5.0,530.0,,,2.0,1.0,,71.0,56.0,23.0,,,,,,105.0,105.0,1.0,17.0,19.0,61.4,,,,,7.0,0.0,,,,157.0,6.0,2.0,8.0,,1.0,8.0,,,5.0,101.0,479.0,4.0,12.0,313.0,29.0,15.0,12.0,,12.0,12.0,106560.41,1.0,128.0,1.0,259.0,,,4.0,7.0,36.0,6.0,560.0,,0.0,16.0,9.0,6.0,19.0,0.0,745.0,21.0,17.0,7.0,,5.0,0.0
2444527,6.0,2024-09-28 12:30:00,4,Newcastle,Home,144.0,23.0,2.0,5.0,3.0,2.0,,122.0,7.0,1.0,6.0,4.0,5.0,23.0,261.0,1.0,1.0,13.0,6.0,13.0,8.0,1.0,1.0,,,,,,,,,1.0,6.0,1.0,,,,,3.0,11.0,12.0,4.0,10.0,1.0,,47.0,54.0,1.0,1.0,1.0,2.0,6.0,4.0,13.0,,,5.0,7.0,3.0,,13.0,1.0,48.0,46.0,2.0,21.0,14.0,,1.0,,,,,,45.0,14.0,10.0,1.0,,1.0,1.0,,135.0,,,,,,,8.0,,,,1.0,,,,,14.0,,10.0,10.0,3.0,6.0,79.0,47.0,23.0,6.0,,3.0,6.0,4.0,312.0,,,6.0,3.0,,40.0,51.0,24.0,,,,,1.0,110.0,110.0,5.0,22.0,18.0,37.7,,,1.0,,11.0,0.0,,,,70.0,4.0,1.0,5.0,,,3.0,1.0,,3.0,82.0,245.0,6.0,9.0,169.0,35.0,21.0,10.0,5.0,16.0,11.0,107544.82,,112.0,2.0,178.0,1.0,1.0,15.0,5.0,49.0,1.0,331.0,2.0,0.0,11.0,15.0,3.0,14.0,4.0,502.0,25.0,9.0,8.0,5.0,7.0,0.0
2444536,7.0,2024-10-05 17:30:00,4,Newcastle,Away,359.0,13.0,3.0,7.0,4.0,1.0,1.0,214.0,6.0,1.0,6.0,1.0,9.0,16.0,566.0,,1.0,15.0,14.0,11.0,7.0,2.0,4.0,1.0,,,,,,,,,8.0,,1.0,,,,1.0,2.0,2.0,6.0,12.0,2.0,,116.0,59.0,,1.0,,3.0,13.0,3.0,13.0,,1.0,10.0,10.0,2.0,,10.0,1.0,53.0,54.0,3.0,6.0,2.0,,,0.954804,2.0528,,0.8644,0.5626,60.0,8.0,12.0,,,2.0,1.0,,200.0,,,,,,,7.0,,,,1.0,,,,,2.0,,8.0,8.0,2.0,6.0,190.0,75.0,50.0,,,6.0,3.0,3.0,635.0,,,1.0,2.0,,75.0,76.0,31.0,,,,,1.0,142.0,142.0,2.0,26.0,25.0,67.9,,,,1.0,21.0,0.0,,,,150.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,,4.0,109.0,547.0,13.0,9.0,391.0,29.0,6.0,15.0,9.0,22.0,13.0,115191.04,1.0,156.0,3.0,287.0,1.0,1.0,14.0,10.0,41.0,3.0,656.0,5.0,0.0,14.0,25.0,2.0,16.0,2.0,848.0,42.0,12.0,6.0,10.0,13.0,0.0
2444545,8.0,2024-10-19 15:00:00,4,Newcastle,Home,195.0,15.0,1.0,3.0,2.0,,1.0,256.0,7.0,1.0,9.0,1.0,6.0,19.0,448.0,1.0,2.0,19.0,16.0,10.0,14.0,2.0,2.0,,1.0,,2.0,,,,,1.0,15.0,,,,,,1.0,7.0,8.0,2.0,15.0,6.0,,76.0,60.0,4.0,4.0,,1.0,9.0,9.0,3.0,,,9.0,10.0,4.0,,18.0,1.0,56.0,54.0,1.0,6.0,3.0,,1.0,,,,,,69.0,11.0,8.0,,,4.0,2.0,2.0,169.0,,,,,,,7.0,,,,,,,,,3.0,,13.0,13.0,,9.0,150.0,60.0,39.0,4.0,,5.0,11.0,6.0,528.0,,,2.0,2.0,,77.0,77.0,40.0,,,,,,161.0,161.0,4.0,14.0,33.0,59.9,,,,,19.0,0.0,,,,149.0,2.0,2.0,4.0,,,6.0,3.0,,5.0,133.0,435.0,9.0,16.0,216.0,32.0,6.0,18.0,7.0,23.0,16.0,,,189.0,,351.0,,1.0,15.0,7.0,46.0,3.0,544.0,2.0,0.0,21.0,26.0,4.0,20.0,2.0,767.0,45.0,13.0,10.0,9.0,19.0,0.0
2444554,9.0,2024-10-27 14:00:00,4,Newcastle,Away,228.0,17.0,3.0,6.0,3.0,1.0,1.0,140.0,7.0,2.0,12.0,4.0,4.0,26.0,362.0,1.0,,20.0,13.0,14.0,5.0,3.0,2.0,,1.0,,1.0,,,,,,7.0,,,,,,1.0,7.0,12.0,5.0,9.0,2.0,,57.0,50.0,2.0,2.0,1.0,1.0,6.0,3.0,7.0,,,4.0,4.0,2.0,,8.0,3.0,47.0,46.0,1.0,15.0,5.0,1.0,1.0,,,,,,64.0,16.0,13.0,1.0,,2.0,1.0,1.0,170.0,1.0,,1.0,1.0,,,7.0,,,1.0,2.0,,,,1.0,5.0,,6.0,6.0,,12.0,121.0,57.0,30.0,7.0,,4.0,5.0,3.0,427.0,,,4.0,1.0,,45.0,45.0,22.0,,,,,,124.0,124.0,2.0,19.0,16.0,49.6,,,,3.0,18.0,0.0,,,,102.0,3.0,2.0,5.0,,,5.0,,,5.0,76.0,344.0,6.0,9.0,255.0,38.0,15.0,10.0,4.0,11.0,7.0,,,122.0,4.0,206.0,2.0,2.0,22.0,5.0,56.0,1.0,450.0,1.0,0.0,11.0,13.0,2.0,21.0,3.0,618.0,24.0,16.0,6.0,4.0,8.0,0.0
2444565,10.0,2024-11-02 12:30:00,4,Newcastle,Home,101.0,11.0,,1.0,1.0,1.0,,100.0,2.0,1.0,1.0,1.0,7.0,10.0,200.0,,,16.0,14.0,19.0,6.0,,1.0,,,,,,,,,,8.0,,,,,,,9.0,7.0,3.0,7.0,2.0,,35.0,47.0,1.0,,1.0,4.0,5.0,3.0,3.0,1.0,,4.0,6.0,2.0,,14.0,,50.0,65.0,4.0,26.0,8.0,,,,,,,,42.0,16.0,18.0,1.0,,2.0,1.0,,140.0,1.0,,1.0,1.0,,,11.0,,,1.0,2.0,,,,,8.0,,6.0,6.0,,1.0,55.0,55.0,15.0,6.0,,2.0,5.0,4.0,259.0,,,4.0,1.0,,48.0,31.0,23.0,,,,,,130.0,130.0,3.0,23.0,14.0,36.1,,,,4.0,17.0,0.0,,,,59.0,1.0,,,1.0,,2.0,,,3.0,56.0,192.0,5.0,7.0,130.0,20.0,26.0,9.0,4.0,13.0,9.0,,,91.0,5.0,172.0,2.0,1.0,30.0,7.0,59.0,,289.0,1.0,0.0,9.0,23.0,1.0,18.0,4.0,470.0,17.0,9.0,6.0,4.0,15.0,0.0
