matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360576,11,2011-11-05 12:45:00,4,Newcastle,Home,112.0,10.0,1.0,2.0,2.0,3.0,,120.0,4.0,,,17.0,7.0,29.0,230.0,,,20.0,20.0,15.0,6.0,1.0,1.0,,,,1.0,,,,8.0,,,,,,,9.0,6.0,52.0,58.0,,,,3.0,3.0,6.0,,5.0,11.0,10.0,1.0,12.0,2.0,57.0,53.0,3.0,12.0,7.0,,,76.0,14.0,16.0,,5.0,3.0,1.0,160.0,,,,,,,10.0,1.0,,3.0,16.0,1.0,11.0,10.0,,,61.0,89.0,44.0,3.0,,5.0,2.0,3.0,3.0,,47.0,49.0,30.0,,,,,,181.0,170.0,3.0,29.0,16.0,43.7,,,0.0,55.0,2.0,1.0,,,,1.0,6.0,,3.0,73.0,7.0,134.0,33.0,23.0,9.0,4.0,27.0,24.0,1.0,127.0,14.0,221.0,,,36.0,8.0,58.0,5.0,328.0,1.0,0.0,12.0,21.0,,22.0,2.0,529.0,14.0,1.0,5.0,18.0,0.0
360581,12,2011-11-19 15:00:00,4,Newcastle,Away,120.0,12.0,2.0,4.0,2.0,1.0,,129.0,2.0,2.0,2.0,4.0,13.0,20.0,245.0,,,21.0,9.0,3.0,3.0,2.0,,,,,1.0,,,,6.0,,,,1.0,,,9.0,5.0,47.0,49.0,1.0,2.0,1.0,3.0,1.0,10.0,,5.0,5.0,5.0,,14.0,,49.0,38.0,1.0,9.0,3.0,1.0,,54.0,8.0,11.0,,2.0,1.0,1.0,130.0,,,,,,,9.0,1.0,,1.0,6.0,1.0,19.0,17.0,2.0,2.0,74.0,66.0,32.0,4.0,1.0,3.0,2.0,4.0,6.0,2.0,30.0,56.0,10.0,2.0,2.0,2.0,,,143.0,136.0,2.0,23.0,19.0,35.6,1.0,,0.0,69.0,2.0,,,,,,4.0,,3.0,48.0,5.0,137.0,23.0,14.0,16.0,5.0,16.0,11.0,,85.0,2.0,199.0,,2.0,20.0,14.0,44.0,1.0,320.0,,0.0,9.0,17.0,2.0,25.0,0.0,501.0,12.0,7.0,5.0,10.0,0.0
360593,13,2011-11-26 15:00:00,4,Newcastle,Away,96.0,10.0,,2.0,2.0,1.0,,96.0,2.0,1.0,,7.0,5.0,17.0,190.0,,2.0,10.0,5.0,6.0,3.0,1.0,,,,1.0,1.0,,,,5.0,1.0,,,,,,23.0,5.0,45.0,59.0,,,1.0,3.0,2.0,16.0,1.0,3.0,10.0,5.0,,18.0,2.0,65.0,42.0,3.0,20.0,5.0,,,82.0,15.0,12.0,1.0,4.0,1.0,1.0,135.0,,,,,,,13.0,,1.0,,12.0,,9.0,6.0,2.0,,53.0,88.0,24.0,11.0,,1.0,3.0,5.0,9.0,1.0,29.0,40.0,18.0,,,,,1.0,179.0,166.0,2.0,19.0,21.0,40.2,,1.0,0.0,53.0,4.0,2.0,,1.0,,,1.0,,3.0,54.0,4.0,109.0,23.0,33.0,13.0,2.0,18.0,16.0,,115.0,4.0,195.0,1.0,1.0,32.0,5.0,62.0,2.0,286.0,,1.0,8.0,22.0,2.0,16.0,3.0,488.0,5.0,2.0,3.0,17.0,0.0
360604,14,2011-12-03 12:45:00,4,Newcastle,Home,160.0,30.0,,3.0,3.0,1.0,,185.0,5.0,1.0,11.0,5.0,9.0,44.0,342.0,,,14.0,8.0,7.0,10.0,,1.0,,,,1.0,,,,14.0,,,1.0,1.0,,,15.0,7.0,64.0,74.0,,,,1.0,6.0,8.0,,6.0,15.0,6.0,,17.0,5.0,50.0,51.0,1.0,9.0,5.0,,,84.0,7.0,6.0,,1.0,,1.0,166.0,,,,,,,10.0,,2.0,,8.0,3.0,9.0,8.0,,11.0,93.0,90.0,57.0,5.0,,5.0,5.0,3.0,5.0,,49.0,50.0,22.0,,1.0,1.0,1.0,,155.0,151.0,4.0,34.0,23.0,52.7,2.0,,0.0,99.0,5.0,1.0,,,,1.0,7.0,,3.0,91.0,10.0,174.0,54.0,13.0,22.0,6.0,27.0,21.0,1.0,136.0,5.0,275.0,2.0,1.0,18.0,10.0,67.0,2.0,422.0,1.0,0.0,16.0,26.0,,17.0,2.0,623.0,10.0,12.0,6.0,17.0,0.0
360614,15,2011-12-10 15:00:00,4,Newcastle,Away,140.0,19.0,,4.0,4.0,1.0,,165.0,3.0,3.0,5.0,8.0,17.0,36.0,301.0,,3.0,19.0,7.0,10.0,8.0,,,,,,,,,,13.0,,,1.0,,,,8.0,6.0,60.0,54.0,1.0,,1.0,3.0,5.0,2.0,,2.0,8.0,7.0,,14.0,,35.0,38.0,3.0,26.0,13.0,1.0,,58.0,8.0,10.0,2.0,2.0,1.0,,148.0,2.0,,2.0,2.0,,,6.0,2.0,1.0,,26.0,1.0,22.0,20.0,1.0,6.0,89.0,71.0,42.0,7.0,,2.0,8.0,6.0,7.0,1.0,58.0,45.0,27.0,,,,,,167.0,144.0,2.0,22.0,18.0,47.5,1.0,,0.0,90.0,1.0,,,,1.0,,2.0,,3.0,67.0,10.0,170.0,31.0,49.0,10.0,2.0,18.0,16.0,,101.0,9.0,235.0,1.0,3.0,24.0,18.0,61.0,,387.0,,1.0,13.0,12.0,6.0,24.0,2.0,610.0,16.0,6.0,2.0,6.0,0.0
360624,16,2011-12-17 15:00:00,4,Newcastle,Home,145.0,27.0,3.0,14.0,11.0,3.0,,211.0,5.0,,3.0,11.0,11.0,41.0,342.0,,1.0,24.0,9.0,14.0,11.0,3.0,,,1.0,,2.0,,,,,,,,1.0,1.0,2.0,1.0,2.0,83.0,65.0,,,,,5.0,5.0,,9.0,15.0,14.0,,18.0,,55.0,57.0,,1.0,,,,92.0,12.0,11.0,,,,2.0,152.0,,,,,,,7.0,,1.0,,3.0,2.0,6.0,5.0,,3.0,112.0,73.0,48.0,1.0,,9.0,5.0,3.0,,,85.0,57.0,30.0,,,,,,162.0,156.0,6.0,22.0,31.0,49.3,2.0,,0.0,82.0,,,,,,,14.0,1.0,3.0,102.0,14.0,157.0,41.0,7.0,17.0,8.0,41.0,33.0,,162.0,12.0,313.0,1.0,,28.0,11.0,69.0,1.0,429.0,1.0,0.0,22.0,26.0,1.0,27.0,1.0,629.0,7.0,6.0,9.0,20.0,0.0
360638,17,2011-12-21 19:45:00,4,Newcastle,Home,168.0,22.0,1.0,10.0,9.0,2.0,1.0,208.0,3.0,,6.0,5.0,11.0,48.0,366.0,,1.0,20.0,10.0,12.0,16.0,3.0,1.0,1.0,,,1.0,1.0,,,21.0,,,,,1.0,1.0,9.0,6.0,69.0,62.0,,1.0,,3.0,10.0,5.0,,10.0,15.0,11.0,,21.0,1.0,48.0,41.0,3.0,11.0,8.0,,,103.0,9.0,11.0,2.0,2.0,1.0,1.0,165.0,1.0,,1.0,1.0,,,7.0,1.0,3.0,,16.0,1.0,23.0,18.0,,6.0,104.0,100.0,59.0,1.0,,8.0,12.0,5.0,2.0,2.0,53.0,53.0,26.0,,,,,,159.0,149.0,,30.0,19.0,54.9,1.0,,0.0,107.0,2.0,,,,,1.0,11.0,,3.0,105.0,20.0,176.0,43.0,21.0,13.0,6.0,33.0,27.0,1.0,155.0,3.0,302.0,3.0,1.0,21.0,11.0,81.0,3.0,445.0,1.0,0.0,26.0,8.0,3.0,21.0,1.0,667.0,13.0,10.0,10.0,6.0,0.0
360640,18,2011-12-26 15:00:00,4,Newcastle,Away,129.0,11.0,2.0,4.0,2.0,1.0,,120.0,4.0,2.0,4.0,12.0,9.0,33.0,245.0,,6.0,22.0,14.0,14.0,4.0,2.0,,,,1.0,1.0,,,,,,,,,,1.0,2.0,2.0,53.0,60.0,,,,2.0,3.0,5.0,,4.0,6.0,3.0,,21.0,1.0,53.0,48.0,2.0,17.0,6.0,,,71.0,12.0,8.0,1.0,,,1.0,136.0,2.0,,2.0,2.0,,,7.0,,4.0,,17.0,1.0,10.0,5.0,,4.0,68.0,85.0,49.0,4.0,1.0,3.0,5.0,5.0,,2.0,26.0,35.0,22.0,,,,,,162.0,140.0,3.0,15.0,24.0,45.8,,2.0,0.0,63.0,,1.0,,,,,3.0,,3.0,57.0,8.0,144.0,21.0,39.0,8.0,4.0,13.0,9.0,,99.0,5.0,189.0,4.0,2.0,27.0,10.0,62.0,6.0,320.0,,0.0,11.0,19.0,9.0,26.0,1.0,538.0,19.0,7.0,4.0,13.0,0.0
360652,19,2011-12-30 19:45:00,4,Newcastle,Away,217.0,9.0,,2.0,2.0,3.0,,170.0,5.0,2.0,1.0,8.0,34.0,15.0,385.0,,1.0,17.0,12.0,1.0,3.0,,,,1.0,,1.0,,,,3.0,,,,,,,7.0,9.0,85.0,58.0,1.0,1.0,,5.0,,9.0,,,5.0,2.0,,11.0,1.0,51.0,26.0,5.0,11.0,4.0,1.0,,63.0,11.0,7.0,,1.0,,1.0,168.0,,,,,,,11.0,,,,8.0,,19.0,15.0,1.0,2.0,109.0,98.0,48.0,7.0,,2.0,1.0,1.0,2.0,,37.0,56.0,16.0,,,,,,162.0,146.0,2.0,38.0,11.0,48.6,,,0.0,123.0,,1.0,,,1.0,,3.0,,3.0,44.0,3.0,241.0,31.0,27.0,10.0,,7.0,7.0,,91.0,7.0,251.0,1.0,2.0,37.0,36.0,54.0,2.0,485.0,,0.0,4.0,16.0,2.0,21.0,2.0,648.0,9.0,2.0,,10.0,0.0
360664,20,2012-01-04 20:00:00,4,Newcastle,Home,110.0,10.0,2.0,5.0,3.0,3.0,,112.0,2.0,2.0,,15.0,6.0,26.0,217.0,,,10.0,9.0,12.0,5.0,1.0,,1.0,1.0,,2.0,,,,6.0,,,,,,1.0,2.0,4.0,52.0,89.0,1.0,1.0,,5.0,1.0,9.0,1.0,4.0,7.0,5.0,,25.0,,67.0,51.0,5.0,17.0,8.0,,,66.0,17.0,15.0,1.0,2.0,,2.0,166.0,1.0,,1.0,,1.0,,4.0,,1.0,1.0,10.0,,16.0,13.0,1.0,1.0,58.0,92.0,42.0,4.0,1.0,3.0,4.0,5.0,3.0,,23.0,44.0,19.0,,,,,,179.0,172.0,2.0,36.0,36.0,39.7,,1.0,0.0,50.0,1.0,2.0,,,1.0,,4.0,,3.0,60.0,7.0,139.0,24.0,24.0,13.0,4.0,16.0,12.0,,110.0,8.0,203.0,1.0,2.0,51.0,7.0,68.0,1.0,326.0,,0.0,10.0,19.0,,17.0,1.0,522.0,8.0,5.0,4.0,14.0,0.0
