matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694905,1,2013-08-19 20:00:00,4,Newcastle,Away,187.0,11.0,,,,2.0,,124.0,12.0,2.0,5.0,7.0,18.0,20.0,311.0,,,16.0,14.0,8.0,5.0,,,,,,,,,,,,1.0,,6.0,,,,,,,4.0,17.0,3.0,,,57.0,47.0,,,,4.0,13.0,3.0,8.0,,,1.0,1.0,3.0,,17.0,6.0,57.0,42.0,4.0,20.0,11.0,,1.0,35.0,8.0,9.0,,,1.0,2.0,,139.0,,,,,,,14.0,,,1.0,11.0,,16.0,16.0,2.0,5.0,88.0,56.0,35.0,8.0,,1.0,4.0,1.0,362.0,3.0,5.0,,37.0,39.0,13.0,,,,,123.0,122.0,3.0,26.0,11.0,36.5,,,13.0,0.0,93.0,6.0,1.0,7.0,,1.0,,2.0,,3.0,43.0,300.0,9.0,5.0,211.0,24.0,21.0,23.0,1.0,7.0,6.0,,71.0,13.0,173.0,,2.0,19.0,18.0,40.0,2.0,377.0,,1.0,6.0,14.0,2.0,18.0,3.0,572.0,,9.0,11.0,1.0,13.0,0.0
694917,2,2013-08-24 15:00:00,4,Newcastle,Home,137.0,18.0,3.0,6.0,3.0,1.0,1.0,194.0,2.0,1.0,2.0,12.0,22.0,24.0,325.0,,,32.0,27.0,29.0,8.0,4.0,,,,1.0,,,1.0,,,,,,10.0,,,,,,1.0,2.0,5.0,1.0,,,52.0,56.0,,1.0,,6.0,12.0,2.0,3.0,,,5.0,14.0,9.0,,14.0,,61.0,71.0,6.0,25.0,13.0,,,63.0,12.0,14.0,,,4.0,2.0,1.0,167.0,,,,,,,5.0,,2.0,,13.0,1.0,9.0,9.0,,2.0,95.0,81.0,46.0,4.0,,10.0,2.0,,398.0,2.0,2.0,,53.0,46.0,26.0,,,,,151.0,151.0,1.0,27.0,21.0,55.2,,,12.0,0.0,103.0,1.0,,1.0,,,,14.0,,2.0,87.0,313.0,7.0,12.0,160.0,37.0,25.0,22.0,5.0,30.0,25.0,,133.0,15.0,287.0,3.0,1.0,32.0,23.0,53.0,1.0,417.0,,0.0,16.0,17.0,4.0,32.0,0.0,637.0,,5.0,12.0,5.0,14.0,0.0
694926,3,2013-08-31 15:00:00,4,Newcastle,Home,158.0,21.0,3.0,12.0,9.0,,,242.0,4.0,2.0,5.0,5.0,16.0,26.0,388.0,,1.0,21.0,14.0,26.0,14.0,3.0,,2.0,,,,,,,,,,1.0,18.0,,,1.0,,,,8.0,1.0,2.0,,,72.0,59.0,1.0,2.0,,3.0,11.0,6.0,4.0,,,13.0,22.0,10.0,,7.0,2.0,44.0,62.0,3.0,22.0,11.0,,1.0,52.0,13.0,9.0,,,,1.0,,163.0,1.0,,,1.0,,,5.0,1.0,,,11.0,1.0,16.0,16.0,4.0,5.0,108.0,70.0,53.0,2.0,1.0,8.0,10.0,9.0,449.0,,2.0,,69.0,71.0,33.0,,,,,135.0,135.0,4.0,21.0,29.0,53.8,1.0,,11.0,0.0,123.0,1.0,1.0,2.0,,1.0,2.0,9.0,1.0,3.0,115.0,373.0,2.0,18.0,172.0,39.0,22.0,16.0,9.0,42.0,33.0,2.0,159.0,4.0,336.0,,2.0,13.0,17.0,37.0,,466.0,1.0,0.0,24.0,20.0,5.0,22.0,2.0,681.0,,10.0,10.0,13.0,17.0,0.0
694931,4,2013-09-14 15:00:00,4,Newcastle,Away,149.0,17.0,1.0,3.0,2.0,5.0,,162.0,1.0,,3.0,9.0,16.0,19.0,308.0,2.0,1.0,30.0,26.0,22.0,11.0,1.0,,,,,,,,,,,,,16.0,,,,,,,3.0,6.0,4.0,,,72.0,62.0,1.0,,2.0,2.0,17.0,1.0,11.0,,1.0,2.0,6.0,4.0,,15.0,,70.0,59.0,2.0,32.0,13.0,1.0,1.0,62.0,12.0,9.0,1.0,1.0,1.0,,,156.0,1.0,,,1.0,,,8.0,2.0,1.0,1.0,13.0,,17.0,17.0,1.0,3.0,79.0,78.0,39.0,4.0,1.0,7.0,6.0,8.0,379.0,4.0,2.0,,42.0,61.0,18.0,,,,,140.0,140.0,2.0,22.0,31.0,45.3,,,17.0,0.0,85.0,,,,,1.0,,8.0,,3.0,79.0,298.0,9.0,13.0,167.0,31.0,32.0,23.0,2.0,12.0,10.0,,122.0,18.0,237.0,2.0,,23.0,17.0,35.0,3.0,392.0,2.0,0.0,17.0,14.0,4.0,32.0,4.0,613.0,,8.0,14.0,2.0,11.0,0.0
694946,5,2013-09-21 15:00:00,4,Newcastle,Home,219.0,15.0,,4.0,4.0,4.0,,246.0,3.0,,4.0,3.0,29.0,30.0,461.0,,,20.0,16.0,21.0,12.0,1.0,,,,,,,1.0,,,,,,14.0,,,,,,,4.0,9.0,3.0,,,76.0,64.0,2.0,1.0,1.0,,14.0,6.0,5.0,,,3.0,8.0,9.0,,13.0,1.0,60.0,56.0,,23.0,8.0,,1.0,75.0,11.0,8.0,2.0,,2.0,1.0,1.0,176.0,1.0,,,1.0,,,5.0,2.0,,,8.0,,11.0,11.0,,4.0,150.0,83.0,50.0,3.0,,7.0,7.0,2.0,532.0,5.0,1.0,,53.0,67.0,27.0,,,,,152.0,152.0,2.0,24.0,29.0,61.3,,1.0,14.0,0.0,150.0,1.0,1.0,2.0,,1.0,,7.0,,3.0,99.0,447.0,8.0,14.0,232.0,43.0,23.0,25.0,2.0,20.0,18.0,,149.0,7.0,340.0,,,18.0,32.0,59.0,,552.0,1.0,0.0,15.0,17.0,1.0,21.0,1.0,755.0,,13.0,10.0,3.0,15.0,0.0
694952,6,2013-09-30 20:00:00,4,Newcastle,Away,224.0,20.0,,2.0,2.0,1.0,,214.0,6.0,,4.0,8.0,24.0,36.0,436.0,,2.0,16.0,15.0,16.0,9.0,1.0,,,,,,,3.0,,,,,1.0,12.0,,,,1.0,,,5.0,9.0,10.0,,,79.0,64.0,2.0,1.0,1.0,2.0,12.0,4.0,22.0,,,1.0,8.0,8.0,,12.0,2.0,72.0,50.0,2.0,18.0,10.0,,2.0,67.0,16.0,5.0,1.0,,3.0,,3.0,158.0,2.0,,1.0,2.0,,,9.0,2.0,,1.0,10.0,1.0,20.0,20.0,1.0,4.0,138.0,84.0,58.0,1.0,1.0,5.0,7.0,6.0,496.0,3.0,1.0,,47.0,72.0,22.0,,,,,129.0,129.0,1.0,29.0,29.0,50.1,1.0,,12.0,0.0,133.0,2.0,3.0,5.0,,1.0,,5.0,,3.0,87.0,426.0,9.0,12.0,235.0,38.0,18.0,17.0,1.0,17.0,16.0,1.0,129.0,6.0,290.0,,1.0,16.0,26.0,51.0,4.0,508.0,,0.0,15.0,21.0,6.0,18.0,1.0,706.0,,12.0,9.0,1.0,14.0,0.0
694961,7,2013-10-05 15:00:00,4,Newcastle,Away,142.0,21.0,1.0,2.0,1.0,9.0,,136.0,3.0,2.0,2.0,7.0,9.0,25.0,276.0,,3.0,12.0,14.0,27.0,9.0,,,2.0,,,1.0,,1.0,,,,,,16.0,,,,,1.0,2.0,2.0,5.0,3.0,,,57.0,66.0,4.0,5.0,,5.0,18.0,5.0,11.0,,,3.0,5.0,3.0,,9.0,,53.0,64.0,5.0,39.0,23.0,,,58.0,8.0,10.0,2.0,,3.0,2.0,1.0,151.0,1.0,,,1.0,,1.0,14.0,2.0,2.0,,23.0,1.0,23.0,23.0,2.0,2.0,75.0,98.0,52.0,3.0,,3.0,7.0,10.0,348.0,,1.0,,42.0,45.0,24.0,,,,,142.0,142.0,2.0,30.0,28.0,42.7,1.0,,18.0,0.0,77.0,1.0,,1.0,,1.0,2.0,5.0,1.0,2.0,64.0,267.0,10.0,10.0,163.0,41.0,39.0,19.0,3.0,13.0,10.0,4.0,104.0,13.0,210.0,3.0,2.0,28.0,12.0,52.0,1.0,360.0,1.0,0.0,20.0,19.0,3.0,14.0,0.0,589.0,,12.0,8.0,3.0,12.0,0.0
694976,8,2013-10-19 12:45:00,4,Newcastle,Home,124.0,10.0,,2.0,2.0,6.0,,128.0,10.0,2.0,6.0,7.0,10.0,13.0,250.0,,,10.0,19.0,15.0,8.0,,,1.0,,,,,,,2.0,,,,13.0,,,,,,1.0,3.0,13.0,10.0,,,39.0,60.0,,,1.0,4.0,13.0,3.0,13.0,,,3.0,8.0,2.0,1.0,8.0,5.0,57.0,45.0,4.0,38.0,15.0,,,57.0,8.0,10.0,,1.0,1.0,2.0,,132.0,1.0,,,1.0,,,16.0,1.0,,,15.0,,16.0,16.0,,6.0,76.0,83.0,42.0,13.0,1.0,3.0,6.0,4.0,310.0,2.0,5.0,,60.0,34.0,15.0,1.0,1.0,1.0,,126.0,126.0,2.0,19.0,27.0,37.7,,1.0,13.0,0.0,80.0,3.0,2.0,5.0,,,1.0,7.0,,3.0,52.0,242.0,10.0,9.0,134.0,33.0,38.0,9.0,2.0,14.0,12.0,1.0,90.0,16.0,207.0,,2.0,21.0,11.0,42.0,,327.0,,1.0,14.0,21.0,3.0,12.0,2.0,536.0,,6.0,,3.0,18.0,0.0
694988,9,2013-10-27 13:30:00,4,Newcastle,Away,121.0,17.0,2.0,2.0,1.0,4.0,,162.0,4.0,1.0,2.0,8.0,6.0,21.0,281.0,,,29.0,24.0,30.0,11.0,2.0,,,,1.0,,1.0,2.0,,,,,,12.0,,,,,,,4.0,3.0,5.0,,,51.0,33.0,1.0,,1.0,3.0,18.0,3.0,5.0,,,3.0,9.0,1.0,1.0,10.0,2.0,59.0,57.0,3.0,34.0,21.0,,,58.0,14.0,12.0,,,4.0,1.0,2.0,145.0,1.0,,1.0,1.0,,,12.0,1.0,,,21.0,,12.0,12.0,,2.0,97.0,86.0,40.0,5.0,,8.0,6.0,4.0,357.0,1.0,1.0,,61.0,46.0,15.0,,,,,153.0,153.0,,15.0,13.0,51.7,,,18.0,0.0,82.0,1.0,1.0,2.0,,1.0,,9.0,,3.0,70.0,267.0,14.0,14.0,143.0,33.0,34.0,14.0,3.0,13.0,11.0,,109.0,13.0,245.0,,2.0,26.0,8.0,41.0,2.0,375.0,,0.0,16.0,8.0,4.0,31.0,1.0,591.0,,19.0,8.0,3.0,6.0,0.0
694996,10,2013-11-02 12:45:00,4,Newcastle,Home,136.0,14.0,,4.0,4.0,5.0,1.0,145.0,1.0,2.0,1.0,7.0,11.0,14.0,277.0,,1.0,17.0,24.0,16.0,11.0,,,,,,,,,,,,,,12.0,,,,,,2.0,5.0,9.0,4.0,,,63.0,49.0,1.0,,1.0,6.0,8.0,4.0,9.0,1.0,,3.0,4.0,6.0,,11.0,,64.0,43.0,6.0,48.0,26.0,,,53.0,13.0,11.0,2.0,,,2.0,,149.0,2.0,1.0,2.0,1.0,1.0,,11.0,1.0,2.0,,26.0,,19.0,19.0,1.0,1.0,66.0,78.0,38.0,8.0,,1.0,12.0,8.0,330.0,6.0,2.0,,28.0,39.0,20.0,,,,,130.0,130.0,1.0,26.0,17.0,39.1,,,8.0,0.0,66.0,2.0,,1.0,,2.0,,3.0,,3.0,73.0,267.0,3.0,13.0,151.0,26.0,48.0,14.0,3.0,15.0,12.0,,106.0,11.0,208.0,2.0,2.0,21.0,11.0,30.0,3.0,344.0,,0.0,15.0,10.0,4.0,20.0,2.0,563.0,,16.0,7.0,3.0,4.0,0.0
