matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803269,11.0,2015-10-31 15:00:00,4,Newcastle,Home,150.0,9.0,4.0,8.0,4.0,2.0,1.0,194.0,4.0,,9.0,8.0,16.0,25.0,336.0,,1.0,13.0,8.0,13.0,9.0,5.0,,,,1.0,1.0,,,,9.0,,,1.0,1.0,4.0,8.0,1.0,,61.0,60.0,1.0,1.0,,2.0,11.0,4.0,8.0,,,11.0,8.0,8.0,,5.0,1.0,38.0,52.0,2.0,10.0,6.0,,,62.0,6.0,15.0,,,4.0,3.0,1.0,166.0,,,,,,,7.0,,,,1.0,,,,,6.0,1.0,13.0,13.0,2.0,9.0,91.0,67.0,44.0,4.0,,5.0,9.0,6.0,385.0,,,1.0,2.0,,41.0,67.0,40.0,,,,,,131.0,131.0,2.0,25.0,22.0,52.3,1.0,1.0,11.0,0.0,,,,94.0,2.0,,2.0,,,,5.0,1.0,2.0,103.0,314.0,8.0,14.0,174.0,27.0,10.0,20.0,9.0,28.0,19.0,,146.0,7.0,266.0,2.0,,16.0,17.0,52.0,4.0,412.0,3.0,0.0,15.0,15.0,2.0,16.0,1.0,591.0,10.0,9.0,11.0,13.0,0.0
803276,12.0,2015-11-07 12:45:00,4,Newcastle,Away,114.0,15.0,,1.0,1.0,3.0,1.0,97.0,7.0,1.0,2.0,8.0,8.0,29.0,210.0,,,14.0,13.0,14.0,,,,,,,,,,,1.0,,,,1.0,9.0,10.0,10.0,,46.0,51.0,,1.0,,4.0,28.0,,9.0,,,,2.0,,,12.0,4.0,55.0,55.0,4.0,31.0,13.0,,1.0,55.0,11.0,9.0,1.0,,1.0,1.0,,130.0,1.0,,,1.0,,,14.0,,,1.0,2.0,,,,,13.0,,15.0,15.0,5.0,2.0,60.0,70.0,31.0,16.0,,,1.0,1.0,267.0,,,7.0,4.0,,24.0,48.0,9.0,,,,,,141.0,136.0,1.0,28.0,13.0,32.7,,6.0,28.0,0.0,,,,64.0,5.0,,5.0,,1.0,,1.0,,3.0,39.0,194.0,23.0,1.0,139.0,37.0,36.0,16.0,,3.0,3.0,,77.0,7.0,164.0,3.0,1.0,21.0,9.0,74.0,3.0,300.0,1.0,0.0,2.0,27.0,,19.0,2.0,505.0,10.0,6.0,,18.0,0.0
803285,13.0,2015-11-21 15:00:00,4,Newcastle,Home,210.0,17.0,1.0,3.0,2.0,3.0,,142.0,7.0,,6.0,5.0,18.0,34.0,349.0,,,23.0,20.0,19.0,4.0,1.0,1.0,,,,1.0,,,,4.0,,,,2.0,6.0,15.0,3.0,,57.0,64.0,,,,2.0,27.0,4.0,14.0,,,4.0,6.0,5.0,,15.0,1.0,69.0,58.0,2.0,13.0,7.0,,,57.0,9.0,11.0,,,5.0,3.0,1.0,183.0,,,,,,,9.0,,,,5.0,,,,1.0,9.0,,21.0,21.0,,6.0,99.0,77.0,49.0,9.0,,1.0,4.0,1.0,428.0,,,5.0,3.0,,29.0,80.0,23.0,,,,,,173.0,167.0,,27.0,27.0,54.3,,,27.0,0.0,,,,115.0,3.0,1.0,4.0,,1.0,1.0,4.0,,3.0,60.0,328.0,14.0,5.0,254.0,38.0,19.0,20.0,4.0,18.0,14.0,1.0,95.0,5.0,218.0,5.0,,21.0,21.0,66.0,1.0,454.0,,0.0,9.0,20.0,,28.0,4.0,674.0,11.0,8.0,4.0,16.0,0.0
803296,14.0,2015-11-28 15:00:00,4,Newcastle,Away,124.0,14.0,,1.0,1.0,,,168.0,5.0,,4.0,3.0,9.0,26.0,291.0,,1.0,16.0,17.0,13.0,3.0,,,,,,,,,,5.0,,,,,6.0,9.0,10.0,,58.0,61.0,1.0,,1.0,3.0,13.0,4.0,14.0,,,5.0,10.0,4.0,,8.0,,61.0,49.0,3.0,13.0,6.0,1.0,,76.0,13.0,5.0,1.0,,1.0,1.0,,157.0,1.0,,1.0,1.0,,,15.0,,,1.0,4.0,,,,,10.0,,9.0,9.0,1.0,4.0,85.0,73.0,29.0,7.0,,1.0,3.0,2.0,359.0,,,5.0,,,48.0,72.0,24.0,,,,,,162.0,154.0,2.0,28.0,21.0,46.3,,1.0,13.0,0.0,,,,94.0,,3.0,3.0,,,,1.0,,3.0,75.0,275.0,3.0,4.0,153.0,37.0,21.0,19.0,5.0,20.0,15.0,,129.0,2.0,261.0,4.0,,26.0,9.0,75.0,1.0,394.0,,0.0,7.0,22.0,1.0,19.0,1.0,563.0,10.0,9.0,5.0,15.0,0.0
803306,15.0,2015-12-06 16:00:00,4,Newcastle,Home,121.0,17.0,1.0,3.0,2.0,7.0,,146.0,7.0,,2.0,10.0,23.0,30.0,264.0,1.0,1.0,18.0,34.0,21.0,4.0,,,,1.0,,1.0,,,1.0,4.0,,,,,5.0,5.0,5.0,,68.0,70.0,1.0,,1.0,6.0,17.0,1.0,10.0,,,2.0,4.0,1.0,,11.0,,76.0,66.0,6.0,16.0,10.0,,1.0,77.0,6.0,10.0,,1.0,1.0,,1.0,203.0,1.0,,1.0,1.0,,,16.0,,,1.0,1.0,,,,,11.0,,18.0,18.0,3.0,3.0,54.0,94.0,43.0,7.0,1.0,3.0,2.0,1.0,357.0,,,2.0,2.0,,21.0,90.0,15.0,,,,,,185.0,179.0,3.0,29.0,27.0,39.8,,,17.0,0.0,,,,64.0,1.0,,1.0,,,,4.0,,3.0,68.0,250.0,9.0,5.0,151.0,37.0,22.0,24.0,2.0,7.0,5.0,,128.0,15.0,245.0,1.0,,33.0,24.0,81.0,1.0,389.0,1.0,0.0,6.0,26.0,1.0,22.0,3.0,586.0,15.0,9.0,2.0,22.0,0.0
803316,16.0,2015-12-13 16:00:00,4,Newcastle,Away,102.0,14.0,,4.0,4.0,2.0,1.0,121.0,6.0,,1.0,9.0,16.0,41.0,219.0,,1.0,23.0,15.0,14.0,6.0,,1.0,,,,,,,,6.0,,,,2.0,8.0,7.0,13.0,,54.0,67.0,1.0,1.0,1.0,,24.0,2.0,4.0,,,2.0,6.0,9.0,,6.0,4.0,50.0,52.0,,20.0,13.0,,,70.0,14.0,11.0,,,1.0,1.0,,175.0,1.0,,1.0,1.0,,,12.0,,,1.0,1.0,,,,1.0,15.0,,19.0,19.0,1.0,3.0,47.0,95.0,51.0,6.0,,2.0,5.0,4.0,298.0,,,5.0,3.0,,37.0,76.0,25.0,,,,,,186.0,181.0,4.0,25.0,27.0,41.7,,,24.0,0.0,,,,59.0,2.0,5.0,7.0,,2.0,1.0,2.0,,3.0,57.0,196.0,10.0,8.0,140.0,31.0,25.0,15.0,1.0,17.0,16.0,1.0,102.0,10.0,212.0,1.0,,35.0,22.0,89.0,4.0,335.0,,0.0,8.0,25.0,1.0,30.0,2.0,556.0,18.0,3.0,2.0,20.0,0.0
803322,17.0,2015-12-19 17:30:00,4,Newcastle,Home,101.0,15.0,2.0,9.0,7.0,3.0,1.0,157.0,2.0,,6.0,9.0,12.0,35.0,249.0,1.0,,26.0,21.0,19.0,5.0,2.0,,,,,,,,,5.0,,,,1.0,6.0,5.0,5.0,,45.0,77.0,3.0,3.0,,2.0,22.0,,9.0,,,3.0,15.0,4.0,1.0,10.0,2.0,61.0,65.0,2.0,26.0,19.0,,,84.0,9.0,13.0,,,2.0,2.0,,186.0,1.0,1.0,1.0,,1.0,,5.0,,,,3.0,,,,,23.0,,12.0,12.0,,6.0,67.0,87.0,43.0,7.0,,4.0,4.0,4.0,349.0,,,,2.0,,37.0,94.0,35.0,,,,,,186.0,180.0,4.0,26.0,35.0,47.2,,1.0,22.0,0.0,,,,72.0,3.0,3.0,6.0,,,,4.0,,3.0,87.0,238.0,6.0,8.0,124.0,42.0,32.0,20.0,3.0,24.0,21.0,,155.0,7.0,270.0,3.0,,28.0,14.0,81.0,,370.0,2.0,0.0,8.0,26.0,,29.0,1.0,594.0,17.0,8.0,3.0,18.0,0.0
803334,18.0,2015-12-26 17:30:00,4,Newcastle,Home,128.0,16.0,,4.0,4.0,3.0,,163.0,7.0,1.0,2.0,12.0,10.0,34.0,287.0,,,13.0,17.0,12.0,6.0,1.0,,,,,,,,,9.0,,,,,9.0,11.0,9.0,,50.0,60.0,2.0,2.0,,4.0,18.0,3.0,22.0,,,3.0,9.0,5.0,,13.0,5.0,72.0,55.0,4.0,25.0,11.0,1.0,1.0,45.0,16.0,12.0,,,1.0,2.0,,152.0,,,,,,,9.0,,,,,,,,,11.0,,11.0,11.0,,2.0,67.0,63.0,38.0,7.0,,5.0,2.0,1.0,340.0,,,8.0,2.0,,37.0,61.0,21.0,,,,,,125.0,122.0,,42.0,13.0,40.9,,2.0,18.0,0.0,,,,96.0,5.0,1.0,6.0,,1.0,,6.0,,1.0,81.0,267.0,4.0,7.0,149.0,26.0,28.0,13.0,3.0,19.0,16.0,,118.0,11.0,235.0,,1.0,25.0,16.0,53.0,,365.0,,0.0,10.0,23.0,3.0,15.0,2.0,552.0,7.0,8.0,3.0,17.0,0.0
803347,19.0,2015-12-28 15:00:00,4,Newcastle,Away,126.0,11.0,2.0,7.0,5.0,1.0,,145.0,6.0,,3.0,6.0,20.0,27.0,264.0,,,15.0,18.0,10.0,5.0,1.0,,,,,,,,,5.0,,1.0,,,5.0,17.0,5.0,,61.0,41.0,,,,5.0,17.0,2.0,10.0,1.0,1.0,6.0,15.0,4.0,,13.0,3.0,58.0,37.0,5.0,33.0,18.0,,,33.0,13.0,7.0,,,,,,130.0,,,,,,,8.0,,,,2.0,,,,1.0,23.0,2.0,17.0,17.0,2.0,3.0,75.0,58.0,33.0,18.0,,2.0,4.0,2.0,313.0,,,11.0,1.0,,36.0,58.0,21.0,,,,,,135.0,121.0,1.0,18.0,17.0,48.3,1.0,3.0,17.0,0.0,,,,68.0,3.0,1.0,3.0,,1.0,,3.0,,3.0,62.0,249.0,9.0,6.0,154.0,19.0,47.0,12.0,5.0,24.0,19.0,,86.0,8.0,204.0,3.0,1.0,25.0,20.0,54.0,1.0,334.0,,0.0,7.0,15.0,,15.0,0.0,549.0,12.0,5.0,6.0,13.0,0.0
803357,20.0,2016-01-02 15:00:00,4,Newcastle,Away,189.0,4.0,,8.0,8.0,2.0,,205.0,10.0,,2.0,11.0,15.0,40.0,386.0,,,13.0,14.0,12.0,11.0,,1.0,,,,,,,1.0,13.0,,,,,5.0,12.0,3.0,,80.0,53.0,1.0,2.0,,4.0,16.0,4.0,13.0,,,4.0,12.0,10.0,,9.0,1.0,53.0,59.0,4.0,13.0,8.0,,,52.0,9.0,10.0,,,1.0,,,155.0,,,,,,,15.0,,,,3.0,,,,1.0,9.0,,24.0,24.0,6.0,2.0,97.0,74.0,43.0,7.0,,5.0,6.0,6.0,418.0,,,2.0,1.0,,39.0,96.0,30.0,,,,,,115.0,112.0,2.0,19.0,25.0,49.0,,,16.0,0.0,,,,122.0,2.0,,2.0,,,1.0,5.0,,2.0,71.0,366.0,12.0,11.0,200.0,16.0,16.0,27.0,2.0,24.0,22.0,1.0,105.0,6.0,278.0,3.0,,24.0,17.0,72.0,,454.0,,0.0,15.0,20.0,,15.0,2.0,649.0,6.0,17.0,4.0,13.0,0.0
