matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755308,1,2014-08-17 16:00:00,4,Newcastle,Home,199.0,25.0,1.0,3.0,2.0,1.0,1.0,186.0,5.0,3.0,3.0,5.0,10.0,29.0,382.0,1.0,,22.0,16.0,14.0,6.0,3.0,,,,1.0,,,,,7.0,,,,,2.0,4.0,9.0,4.0,88.0,64.0,1.0,1.0,,2.0,13.0,3.0,6.0,,,3.0,8.0,8.0,,19.0,2.0,58.0,62.0,2.0,21.0,10.0,,1.0,41.0,8.0,11.0,,,4.0,3.0,1.0,176.0,,,,,,,8.0,,2.0,1.0,10.0,,14.0,14.0,,3.0,93.0,75.0,47.0,3.0,,8.0,1.0,,441.0,3.0,1.0,,64.0,63.0,22.0,,,,,136.0,136.0,4.0,27.0,27.0,44.2,,,13.0,0.0,103.0,2.0,1.0,3.0,,,,9.0,1.0,3.0,78.0,368.0,6.0,9.0,220.0,38.0,21.0,24.0,2.0,21.0,19.0,,113.0,6.0,261.0,2.0,3.0,23.0,13.0,57.0,,460.0,2.0,0.0,12.0,23.0,3.0,22.0,1.0,669.0,10.0,14.0,3.0,18.0,0.0
755313,2,2014-08-23 12:45:00,4,Newcastle,Away,244.0,26.0,1.0,4.0,3.0,1.0,1.0,205.0,6.0,,3.0,2.0,15.0,27.0,445.0,,2.0,24.0,17.0,17.0,9.0,,,1.0,,1.0,,,,,8.0,,,,,1.0,4.0,4.0,6.0,61.0,43.0,2.0,2.0,,5.0,6.0,2.0,8.0,,,7.0,7.0,5.0,,7.0,,49.0,45.0,5.0,23.0,13.0,,1.0,63.0,8.0,10.0,,,2.0,3.0,1.0,171.0,,,,,,,8.0,,1.0,,13.0,,10.0,10.0,2.0,3.0,151.0,91.0,45.0,7.0,,3.0,6.0,4.0,513.0,4.0,2.0,,50.0,63.0,30.0,,,,,136.0,136.0,1.0,19.0,19.0,59.6,,1.0,6.0,0.0,152.0,,,,1.0,,,5.0,,3.0,78.0,430.0,3.0,11.0,254.0,45.0,23.0,16.0,6.0,21.0,15.0,,130.0,8.0,302.0,1.0,,21.0,15.0,63.0,,535.0,,1.0,11.0,12.0,6.0,24.0,0.0,708.0,10.0,6.0,7.0,8.0,0.0
755328,3,2014-08-30 15:00:00,4,Newcastle,Home,161.0,21.0,1.0,5.0,5.0,2.0,2.0,245.0,4.0,2.0,5.0,5.0,16.0,26.0,401.0,,2.0,21.0,28.0,25.0,9.0,1.0,1.0,,,,,,,,13.0,,,,1.0,2.0,2.0,8.0,4.0,63.0,62.0,,,1.0,2.0,15.0,4.0,12.0,,,11.0,16.0,8.0,2.0,13.0,3.0,70.0,72.0,2.0,15.0,11.0,,,52.0,12.0,19.0,,,6.0,6.0,,170.0,1.0,,,1.0,,,6.0,2.0,,2.0,11.0,1.0,11.0,11.0,1.0,5.0,108.0,67.0,51.0,4.0,1.0,7.0,4.0,4.0,450.0,1.0,4.0,,45.0,88.0,32.0,,,,,143.0,143.0,5.0,26.0,26.0,64.3,1.0,,15.0,0.0,136.0,3.0,1.0,4.0,,2.0,1.0,10.0,1.0,3.0,123.0,378.0,11.0,11.0,179.0,34.0,15.0,18.0,10.0,39.0,30.0,1.0,162.0,7.0,337.0,1.0,2.0,14.0,19.0,41.0,,477.0,1.0,0.0,18.0,18.0,2.0,21.0,1.0,693.0,9.0,11.0,11.0,12.0,0.0
755339,4,2014-09-13 15:00:00,4,Newcastle,Away,277.0,28.0,1.0,3.0,2.0,1.0,,185.0,3.0,1.0,6.0,8.0,9.0,33.0,459.0,,,32.0,13.0,9.0,6.0,,,,,,,,,,6.0,,,,,1.0,5.0,6.0,4.0,87.0,59.0,1.0,3.0,,4.0,20.0,2.0,3.0,,,5.0,11.0,4.0,,15.0,1.0,52.0,44.0,4.0,16.0,9.0,2.0,1.0,50.0,7.0,13.0,,,1.0,,,183.0,,,,,,,5.0,,2.0,,9.0,,16.0,16.0,2.0,6.0,142.0,75.0,49.0,5.0,,3.0,3.0,4.0,515.0,,2.0,,57.0,74.0,13.0,,,,,148.0,148.0,7.0,31.0,14.0,49.7,,1.0,20.0,0.0,132.0,1.0,2.0,3.0,,1.0,,3.0,,3.0,73.0,435.0,10.0,6.0,302.0,48.0,16.0,22.0,5.0,20.0,15.0,,107.0,7.0,262.0,2.0,2.0,21.0,10.0,58.0,,544.0,1.0,0.0,9.0,14.0,1.0,33.0,2.0,756.0,14.0,8.0,5.0,10.0,0.0
755348,5,2014-09-20 15:00:00,4,Newcastle,Home,207.0,23.0,2.0,8.0,7.0,2.0,1.0,287.0,5.0,,4.0,2.0,14.0,27.0,486.0,,1.0,20.0,25.0,28.0,17.0,1.0,,,,,,,,,22.0,,,,,,7.0,4.0,6.0,72.0,63.0,1.0,,1.0,3.0,24.0,10.0,3.0,,,4.0,12.0,11.0,,10.0,,54.0,59.0,3.0,19.0,14.0,1.0,1.0,76.0,11.0,11.0,2.0,,3.0,3.0,,184.0,2.0,,1.0,1.0,1.0,,7.0,2.0,1.0,,14.0,,12.0,12.0,1.0,4.0,156.0,72.0,43.0,2.0,,7.0,13.0,7.0,552.0,2.0,3.0,,74.0,117.0,35.0,,,,,145.0,145.0,5.0,23.0,31.0,63.0,,,24.0,0.0,165.0,1.0,,1.0,,,,8.0,,3.0,150.0,467.0,12.0,20.0,215.0,47.0,19.0,15.0,3.0,28.0,26.0,,214.0,15.0,390.0,1.0,,14.0,17.0,54.0,1.0,577.0,,0.0,25.0,14.0,3.0,24.0,4.0,779.0,10.0,9.0,4.0,13.0,0.0
755360,6,2014-09-29 20:00:00,4,Newcastle,Away,152.0,11.0,3.0,7.0,4.0,1.0,,187.0,3.0,,5.0,5.0,29.0,22.0,332.0,,,25.0,26.0,14.0,10.0,3.0,1.0,,,,,,,,9.0,,1.0,,,3.0,8.0,7.0,5.0,61.0,57.0,1.0,1.0,,2.0,18.0,8.0,6.0,,,10.0,13.0,4.0,,4.0,1.0,67.0,65.0,2.0,22.0,9.0,,1.0,62.0,15.0,20.0,,,6.0,4.0,,164.0,,,,,,,7.0,,2.0,,9.0,1.0,11.0,11.0,1.0,5.0,92.0,69.0,40.0,2.0,,6.0,7.0,1.0,389.0,5.0,2.0,,46.0,75.0,22.0,,,,,146.0,146.0,2.0,23.0,24.0,55.9,1.0,,18.0,0.0,105.0,1.0,1.0,2.0,,2.0,1.0,7.0,,3.0,78.0,311.0,9.0,13.0,169.0,34.0,22.0,28.0,8.0,29.0,21.0,1.0,123.0,7.0,282.0,2.0,,24.0,31.0,59.0,,422.0,,0.0,16.0,21.0,1.0,28.0,2.0,641.0,7.0,10.0,10.0,14.0,0.0
755370,7,2014-10-04 15:00:00,4,Newcastle,Away,128.0,15.0,1.0,5.0,4.0,2.0,,131.0,6.0,,4.0,12.0,4.0,32.0,254.0,,,11.0,15.0,13.0,2.0,1.0,,,,,,,,,8.0,,,,,,4.0,9.0,2.0,61.0,66.0,1.0,,1.0,3.0,19.0,1.0,8.0,,,1.0,13.0,4.0,,7.0,3.0,50.0,56.0,3.0,12.0,5.0,1.0,,56.0,15.0,10.0,2.0,,1.0,2.0,,160.0,2.0,,2.0,2.0,,,11.0,2.0,,1.0,5.0,,24.0,24.0,,4.0,65.0,81.0,49.0,3.0,,2.0,3.0,4.0,315.0,,2.0,,58.0,36.0,10.0,,,,,139.0,139.0,4.0,22.0,27.0,37.1,,1.0,19.0,0.0,61.0,3.0,,3.0,,1.0,,4.0,,3.0,49.0,236.0,13.0,5.0,145.0,24.0,12.0,16.0,1.0,20.0,19.0,,94.0,15.0,222.0,,,27.0,7.0,64.0,3.0,347.0,,0.0,9.0,25.0,1.0,15.0,3.0,529.0,8.0,9.0,1.0,19.0,0.0
755378,8,2014-10-18 15:00:00,4,Newcastle,Home,164.0,14.0,,5.0,5.0,3.0,2.0,127.0,3.0,,4.0,7.0,6.0,35.0,286.0,,,21.0,18.0,28.0,11.0,2.0,3.0,,1.0,1.0,,,1.0,,11.0,,,,,4.0,7.0,5.0,2.0,63.0,59.0,2.0,3.0,,4.0,17.0,7.0,5.0,,1.0,10.0,11.0,4.0,,11.0,1.0,54.0,71.0,4.0,27.0,20.0,,,62.0,13.0,14.0,,,3.0,2.0,1.0,162.0,1.0,,,1.0,,1.0,5.0,1.0,3.0,1.0,20.0,,24.0,24.0,2.0,4.0,85.0,81.0,37.0,7.0,1.0,4.0,10.0,6.0,352.0,4.0,,,33.0,79.0,14.0,,,,,147.0,147.0,5.0,23.0,20.0,50.5,,,17.0,0.0,69.0,2.0,,2.0,,1.0,3.0,6.0,,3.0,59.0,271.0,9.0,14.0,179.0,39.0,27.0,19.0,7.0,24.0,17.0,4.0,105.0,8.0,224.0,3.0,,23.0,7.0,76.0,2.0,379.0,,0.0,19.0,21.0,,23.0,0.0,609.0,12.0,11.0,10.0,18.0,0.0
755390,9,2014-10-26 13:30:00,4,Newcastle,Away,82.0,11.0,,1.0,1.0,6.0,,103.0,6.0,1.0,5.0,5.0,4.0,25.0,184.0,,,23.0,13.0,17.0,3.0,,,,,,,1.0,,,6.0,,,,,1.0,7.0,8.0,10.0,42.0,58.0,2.0,1.0,1.0,5.0,16.0,2.0,9.0,,,2.0,7.0,1.0,,14.0,,59.0,59.0,5.0,41.0,21.0,,1.0,58.0,12.0,8.0,1.0,,1.0,1.0,,146.0,2.0,,2.0,2.0,,,14.0,2.0,3.0,,21.0,,26.0,26.0,1.0,5.0,45.0,84.0,44.0,10.0,,1.0,4.0,2.0,247.0,8.0,2.0,,50.0,54.0,13.0,,,,,157.0,157.0,1.0,24.0,22.0,33.1,,,16.0,0.0,44.0,1.0,,1.0,,2.0,,4.0,,3.0,46.0,168.0,9.0,5.0,103.0,22.0,41.0,18.0,2.0,11.0,9.0,,86.0,15.0,185.0,3.0,1.0,28.0,6.0,67.0,2.0,277.0,1.0,0.0,8.0,29.0,2.0,29.0,3.0,530.0,18.0,6.0,2.0,23.0,0.0
755401,10,2014-11-01 12:45:00,4,Newcastle,Home,97.0,14.0,2.0,4.0,2.0,2.0,1.0,137.0,6.0,1.0,2.0,11.0,11.0,30.0,230.0,,1.0,22.0,17.0,17.0,6.0,1.0,1.0,1.0,,2.0,,,,,8.0,,,,,1.0,7.0,2.0,4.0,48.0,56.0,1.0,1.0,1.0,3.0,15.0,5.0,7.0,,,7.0,11.0,3.0,,13.0,1.0,65.0,56.0,3.0,33.0,18.0,,,53.0,13.0,8.0,,,4.0,1.0,2.0,148.0,,,,,,,6.0,1.0,,1.0,18.0,,14.0,14.0,1.0,2.0,59.0,73.0,38.0,2.0,,3.0,4.0,3.0,282.0,1.0,2.0,,38.0,68.0,5.0,,,,,143.0,143.0,4.0,22.0,22.0,35.5,,,15.0,0.0,52.0,1.0,2.0,3.0,,2.0,1.0,6.0,,3.0,66.0,214.0,6.0,7.0,112.0,25.0,33.0,21.0,7.0,22.0,15.0,1.0,104.0,15.0,217.0,,2.0,36.0,12.0,65.0,,307.0,,0.0,14.0,27.0,2.0,26.0,4.0,529.0,13.0,5.0,7.0,16.0,0.0
