matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292816,1.0,2022-08-06 15:00:00,4,Newcastle,Home,145.0,28.0,2.0,9.0,7.0,,2.0,243.0,1.0,1.0,9.0,2.0,5.0,19.0,379.0,2.0,1.0,18.0,16.0,12.0,19.0,1.0,3.0,,,,,,1.0,,,,,17.0,,,,,2.0,4.0,4.0,1.0,16.0,7.0,,55.0,83.0,2.0,2.0,,,14.0,5.0,5.0,,,11.0,12.0,3.0,1.0,8.0,,45.0,57.0,,14.0,5.0,,,20.0,70.0,9.0,14.0,1.0,4.0,2.0,1.0,167.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,5.0,1.0,11.0,11.0,,9.0,133.0,57.0,33.0,1.0,,8.0,13.0,10.0,453.0,,,2.0,2.0,,61.0,78.0,56.0,,,,,,144.0,144.0,12.0,23.0,39.0,61.4,,,,,14.0,0.0,,,,114.0,,,,,,8.0,1.0,,5.0,13.0,160.0,365.0,6.0,21.0,160.0,51.0,14.0,19.0,8.0,25.0,17.0,,219.0,1.0,334.0,2.0,1.0,7.0,6.0,42.0,2.0,469.0,2.0,0.0,23.0,19.0,4.0,21.0,0.0,675.0,52.0,16.0,12.0,11.0,13.0,0.0
2292823,2.0,2022-08-13 15:00:00,4,Newcastle,Away,118.0,14.0,1.0,3.0,2.0,,,115.0,2.0,2.0,5.0,6.0,3.0,19.0,230.0,,,18.0,18.0,16.0,3.0,1.0,1.0,,,,,,,,,,,3.0,,,,,,2.0,8.0,5.0,3.0,1.0,,47.0,62.0,,,,2.0,10.0,1.0,3.0,2.0,,3.0,6.0,,,10.0,2.0,43.0,47.0,2.0,32.0,15.0,,,21.0,50.0,6.0,7.0,,1.0,1.0,,137.0,,,,,,,9.0,,,,,,,,1.0,15.0,,14.0,14.0,1.0,6.0,59.0,70.0,32.0,7.0,,2.0,2.0,1.0,295.0,,,5.0,1.0,,45.0,41.0,24.0,,,,,,136.0,136.0,7.0,22.0,23.0,45.5,,,,,10.0,0.0,,,,71.0,6.0,1.0,5.0,,,2.0,,,3.0,13.0,60.0,220.0,4.0,4.0,134.0,35.0,32.0,20.0,3.0,10.0,7.0,,101.0,3.0,190.0,,2.0,22.0,4.0,60.0,4.0,314.0,,0.0,4.0,12.0,1.0,22.0,3.0,508.0,11.0,17.0,12.0,3.0,7.0,0.0
2292837,3.0,2022-08-21 16:30:00,4,Newcastle,Home,95.0,14.0,3.0,6.0,3.0,,,96.0,2.0,2.0,5.0,5.0,,25.0,185.0,,,8.0,15.0,12.0,9.0,,2.0,1.0,1.0,,,,1.0,,,,,9.0,,,,,,13.0,14.0,7.0,10.0,2.0,,49.0,70.0,4.0,2.0,2.0,1.0,13.0,2.0,13.0,,2.0,5.0,6.0,1.0,1.0,5.0,3.0,51.0,42.0,1.0,22.0,10.0,,1.0,14.0,46.0,14.0,7.0,2.0,2.0,1.0,1.0,130.0,2.0,,2.0,2.0,,,4.0,,,2.0,2.0,,,,,10.0,,13.0,13.0,,5.0,49.0,48.0,22.0,5.0,,4.0,7.0,6.0,255.0,,,6.0,1.0,,33.0,34.0,24.0,,,,,,119.0,119.0,9.0,32.0,18.0,31.3,,2.0,1.0,1.0,13.0,0.0,,,,47.0,4.0,3.0,7.0,,1.0,4.0,,,4.0,9.0,50.0,175.0,9.0,11.0,120.0,30.0,22.0,13.0,4.0,12.0,8.0,1.0,100.0,5.0,167.0,2.0,2.0,18.0,1.0,59.0,2.0,275.0,,0.0,12.0,13.0,,9.0,4.0,440.0,23.0,10.0,9.0,5.0,7.0,0.0
2292849,4.0,2022-08-28 14:00:00,4,Newcastle,Away,185.0,18.0,4.0,9.0,5.0,,,200.0,3.0,3.0,10.0,1.0,4.0,28.0,376.0,,1.0,10.0,11.0,16.0,14.0,1.0,4.0,1.0,,1.0,,,1.0,,,,,15.0,,1.0,,,1.0,5.0,5.0,5.0,11.0,10.0,,60.0,54.0,,2.0,,1.0,25.0,11.0,4.0,,1.0,13.0,15.0,5.0,,7.0,1.0,48.0,51.0,1.0,13.0,6.0,,,20.0,65.0,11.0,10.0,1.0,3.0,2.0,1.0,152.0,,,,,,,4.0,,,1.0,,,,,,6.0,1.0,6.0,6.0,4.0,10.0,124.0,63.0,43.0,4.0,,1.0,14.0,6.0,441.0,,,4.0,2.0,,61.0,62.0,52.0,,,,,,144.0,144.0,4.0,24.0,16.0,63.9,1.0,,1.0,,25.0,0.0,,,,122.0,2.0,1.0,3.0,,1.0,4.0,,,5.0,9.0,117.0,363.0,8.0,15.0,201.0,42.0,13.0,25.0,12.0,34.0,22.0,1.0,171.0,2.0,291.0,,3.0,9.0,4.0,55.0,1.0,458.0,,0.0,21.0,15.0,3.0,12.0,1.0,662.0,30.0,10.0,10.0,13.0,10.0,0.0
2292857,5.0,2022-08-31 20:00:00,4,Newcastle,Away,81.0,16.0,,2.0,2.0,2.0,1.0,84.0,2.0,2.0,2.0,2.0,1.0,18.0,163.0,,1.0,10.0,15.0,22.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,3.0,,,,,1.0,5.0,16.0,7.0,2.0,3.0,,43.0,71.0,1.0,,1.0,2.0,12.0,,11.0,,,,4.0,1.0,,3.0,1.0,43.0,58.0,2.0,42.0,30.0,,,17.0,50.0,10.0,8.0,1.0,3.0,2.0,1.0,132.0,1.0,,1.0,1.0,,,9.0,,,1.0,6.0,,,,,30.0,,15.0,15.0,4.0,2.0,35.0,69.0,26.0,13.0,,3.0,1.0,2.0,225.0,,,8.0,,,65.0,25.0,16.0,,,,,,124.0,124.0,2.0,27.0,24.0,28.2,,3.0,,,12.0,0.0,,,,46.0,3.0,1.0,4.0,,1.0,3.0,,,3.0,11.0,42.0,152.0,9.0,4.0,97.0,36.0,42.0,10.0,,7.0,7.0,1.0,89.0,10.0,166.0,6.0,2.0,13.0,3.0,62.0,2.0,256.0,,0.0,5.0,23.0,2.0,11.0,2.0,447.0,4.0,16.0,6.0,,9.0,0.0
2292866,6.0,2022-09-03 15:00:00,4,Newcastle,Home,135.0,25.0,4.0,11.0,7.0,1.0,2.0,159.0,3.0,,7.0,2.0,4.0,22.0,283.0,,,16.0,14.0,14.0,9.0,5.0,10.0,1.0,,,,,1.0,,,,1.0,7.0,,,,,5.0,11.0,8.0,11.0,20.0,3.0,,45.0,63.0,3.0,5.0,,,21.0,10.0,11.0,,,13.0,12.0,5.0,,13.0,1.0,66.0,48.0,,18.0,7.0,,,30.0,50.0,19.0,12.0,,7.0,7.0,1.0,130.0,,,,,,,5.0,,,,,,,,1.0,7.0,1.0,15.0,15.0,2.0,8.0,86.0,48.0,21.0,5.0,,5.0,9.0,6.0,346.0,,,6.0,1.0,,67.0,43.0,52.0,,,,,,144.0,144.0,11.0,16.0,28.0,51.7,,,,2.0,21.0,0.0,,,,98.0,5.0,4.0,9.0,2.0,1.0,7.0,3.0,,4.0,15.0,98.0,272.0,10.0,14.0,146.0,42.0,18.0,14.0,11.0,35.0,24.0,1.0,148.0,4.0,248.0,,,9.0,4.0,46.0,2.0,359.0,2.0,0.0,23.0,18.0,1.0,17.0,2.0,599.0,55.0,16.0,4.0,13.0,11.0,0.0
2292879,7.0,2023-04-05 20:00:00,4,Newcastle,Away,225.0,24.0,1.0,4.0,3.0,1.0,,176.0,4.0,1.0,5.0,5.0,5.0,28.0,397.0,,2.0,14.0,12.0,19.0,8.0,1.0,3.0,2.0,,,,,,,1.0,1.0,,11.0,,,,,1.0,8.0,2.0,5.0,10.0,5.0,,83.0,68.0,4.0,1.0,4.0,4.0,9.0,2.0,17.0,,1.0,6.0,6.0,5.0,,9.0,1.0,54.0,63.0,4.0,16.0,8.0,1.0,,15.0,55.0,12.0,11.0,2.0,,,,177.0,4.0,,4.0,3.0,1.0,1.0,7.0,,,4.0,2.0,,,,,8.0,,13.0,13.0,2.0,5.0,106.0,61.0,40.0,7.0,2.0,4.0,9.0,8.0,471.0,,,2.0,,,54.0,58.0,25.0,,,,,,139.0,139.0,5.0,37.0,21.0,58.0,,,,2.0,18.0,0.0,,,,126.0,,1.0,1.0,,2.0,5.0,1.0,1.0,5.0,8.0,88.0,381.0,9.0,13.0,263.0,45.0,16.0,13.0,5.0,16.0,11.0,3.0,126.0,4.0,245.0,2.0,1.0,19.0,6.0,58.0,,492.0,1.0,0.0,15.0,24.0,4.0,15.0,1.0,684.0,39.0,18.0,9.0,6.0,14.0,0.0
2292886,8.0,2022-09-17 15:00:00,4,Newcastle,Home,206.0,20.0,3.0,7.0,4.0,1.0,,357.0,5.0,,5.0,1.0,3.0,24.0,556.0,,,26.0,11.0,14.0,12.0,1.0,7.0,,,,1.0,,1.0,,,,,10.0,1.0,,1.0,1.0,1.0,7.0,5.0,5.0,13.0,7.0,,87.0,61.0,,,1.0,,21.0,5.0,14.0,,1.0,8.0,17.0,7.0,,15.0,1.0,53.0,44.0,,9.0,5.0,,,18.0,82.0,10.0,10.0,1.0,6.0,2.0,1.0,172.0,,,,,,,6.0,,,,,,,,,5.0,2.0,1.0,1.0,,5.0,198.0,62.0,46.0,1.0,,7.0,6.0,7.0,626.0,,,2.0,1.0,,88.0,115.0,57.0,,,,,1.0,151.0,151.0,8.0,14.0,34.0,72.4,2.0,,1.0,,21.0,0.0,,,,186.0,,2.0,2.0,,,8.0,,,3.0,11.0,210.0,542.0,11.0,13.0,227.0,47.0,9.0,8.0,7.0,33.0,26.0,,259.0,2.0,449.0,,,6.0,3.0,43.0,3.0,643.0,2.0,0.0,20.0,16.0,,27.0,2.0,839.0,37.0,15.0,5.0,8.0,12.0,0.0
2292893,9.0,2022-10-01 15:00:00,4,Newcastle,Away,277.0,24.0,1.0,4.0,3.0,3.0,,257.0,2.0,,8.0,1.0,6.0,37.0,530.0,1.0,4.0,13.0,1.0,9.0,14.0,,2.0,1.0,,,,,,,,,,15.0,,,,1.0,2.0,3.0,2.0,1.0,16.0,3.0,,97.0,57.0,4.0,3.0,3.0,1.0,20.0,5.0,5.0,,1.0,8.0,9.0,4.0,,4.0,,29.0,35.0,1.0,14.0,8.0,,,24.0,65.0,10.0,9.0,3.0,2.0,1.0,,180.0,3.0,,2.0,3.0,,,2.0,,,3.0,1.0,,,,,8.0,2.0,4.0,4.0,,8.0,172.0,69.0,54.0,1.0,1.0,3.0,14.0,10.0,584.0,,,1.0,1.0,,76.0,81.0,32.0,,,,,,119.0,119.0,3.0,23.0,23.0,68.3,1.0,,,,20.0,0.0,,,,156.0,,,,,1.0,4.0,1.0,,5.0,15.0,150.0,509.0,9.0,17.0,302.0,43.0,14.0,12.0,3.0,17.0,14.0,1.0,188.0,3.0,320.0,1.0,,5.0,9.0,54.0,7.0,605.0,3.0,0.0,19.0,15.0,10.0,13.0,0.0,770.0,51.0,10.0,3.0,8.0,10.0,0.0
2292907,10.0,2022-10-08 15:00:00,4,Newcastle,Home,142.0,13.0,3.0,5.0,2.0,,,172.0,2.0,1.0,5.0,6.0,1.0,16.0,309.0,,1.0,17.0,13.0,15.0,6.0,2.0,7.0,1.0,,,,,,,,,,8.0,,,,,1.0,4.0,5.0,1.0,10.0,6.0,,63.0,55.0,2.0,1.0,2.0,1.0,8.0,6.0,7.0,,,9.0,12.0,2.0,,7.0,2.0,43.0,48.0,1.0,21.0,12.0,,,18.0,47.0,14.0,8.0,2.0,2.0,,,147.0,2.0,,2.0,1.0,1.0,,5.0,,,3.0,,,,,1.0,12.0,,6.0,6.0,1.0,5.0,102.0,57.0,33.0,5.0,2.0,2.0,8.0,6.0,368.0,,,2.0,6.0,,47.0,54.0,34.0,1.0,1.0,1.0,,,126.0,126.0,5.0,30.0,14.0,54.4,,,,,16.0,0.0,,,,77.0,1.0,1.0,2.0,1.0,1.0,4.0,,,5.0,11.0,93.0,293.0,8.0,10.0,167.0,34.0,21.0,13.0,7.0,21.0,14.0,1.0,135.0,2.0,243.0,,1.0,17.0,1.0,44.0,1.0,389.0,,0.0,16.0,15.0,3.0,18.0,0.0,566.0,31.0,12.0,10.0,9.0,6.0,0.0
