matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059711,1.0,2019-08-11 14:00:00,4,Newcastle,Home,145.0,16.0,2.0,1.0,,5.0,,143.0,3.0,2.0,1.0,7.0,1.0,27.0,287.0,,,23.0,14.0,21.0,5.0,2.0,2.0,,,,,,,,,,,,6.0,,,,,,8.0,7.0,1.0,4.0,5.0,,50.0,74.0,,,,,13.0,3.0,12.0,,,5.0,7.0,4.0,,4.0,,48.0,65.0,,17.0,6.0,,,,,,,,54.0,12.0,7.0,,,,,,149.0,,,,,,,8.0,,,,1.0,,,,,6.0,1.0,20.0,20.0,1.0,1.0,90.0,64.0,39.0,3.0,,3.0,4.0,2.0,356.0,,,2.0,5.0,,61.0,29.0,27.0,,,,,143.0,143.0,5.0,28.0,39.0,38.1,,,,,13.0,0.0,,,,89.0,1.0,,1.0,1.0,,4.0,,2.0,69.0,272.0,7.0,7.0,171.0,31.0,17.0,18.0,5.0,15.0,11.0,,113.0,9.0,222.0,1.0,2.0,19.0,1.0,61.0,1.0,378.0,1.0,0.0,9.0,26.0,,23.0,1.0,577.0,13.0,21.0,11.0,5.0,17.0,0.0
1059718,2.0,2019-08-17 15:00:00,4,Newcastle,Away,145.0,15.0,2.0,6.0,4.0,,,132.0,4.0,,4.0,4.0,4.0,28.0,271.0,,,12.0,14.0,9.0,6.0,2.0,3.0,,,,,,,,,,,,8.0,,,,,1.0,7.0,12.0,3.0,10.0,2.0,,55.0,57.0,2.0,2.0,,,18.0,1.0,11.0,,,5.0,4.0,10.0,,8.0,2.0,49.0,38.0,,13.0,8.0,,,,,,,,47.0,11.0,9.0,,,3.0,2.0,,121.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,8.0,,11.0,11.0,1.0,4.0,83.0,60.0,30.0,7.0,1.0,4.0,5.0,4.0,317.0,,,4.0,1.0,,50.0,34.0,26.0,,,,,116.0,116.0,2.0,26.0,24.0,36.7,,,,,18.0,0.0,,,,77.0,4.0,1.0,5.0,3.0,,7.0,,2.0,51.0,259.0,13.0,9.0,164.0,32.0,13.0,13.0,5.0,21.0,16.0,,78.0,1.0,193.0,,,18.0,4.0,61.0,1.0,336.0,,0.0,12.0,14.0,1.0,14.0,3.0,513.0,19.0,18.0,7.0,5.0,10.0,0.0
1059729,3.0,2019-08-25 16:30:00,4,Newcastle,Away,70.0,13.0,2.0,2.0,,,,74.0,,,1.0,5.0,2.0,21.0,142.0,1.0,1.0,15.0,10.0,16.0,4.0,2.0,3.0,1.0,,,,,,,,,,,5.0,,,,,,3.0,8.0,9.0,7.0,1.0,,34.0,45.0,1.0,,1.0,3.0,14.0,3.0,12.0,,,6.0,1.0,3.0,,4.0,2.0,37.0,44.0,3.0,54.0,24.0,,,,,,,,30.0,5.0,10.0,1.0,,1.0,,,77.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,24.0,,11.0,11.0,4.0,1.0,43.0,50.0,21.0,6.0,,2.0,5.0,3.0,163.0,,,7.0,3.0,,41.0,24.0,14.0,,,,,94.0,94.0,,30.0,7.0,19.8,,,,1.0,14.0,0.0,,,,36.0,1.0,1.0,2.0,1.0,1.0,2.0,,3.0,42.0,130.0,10.0,7.0,79.0,23.0,54.0,9.0,4.0,8.0,4.0,1.0,58.0,3.0,119.0,1.0,,15.0,2.0,48.0,4.0,190.0,1.0,0.0,8.0,15.0,1.0,16.0,2.0,391.0,12.0,22.0,3.0,6.0,10.0,0.0
1059739,4.0,2019-08-31 15:00:00,4,Newcastle,Home,171.0,6.0,2.0,5.0,4.0,,1.0,193.0,3.0,,2.0,3.0,6.0,19.0,359.0,1.0,,13.0,24.0,18.0,7.0,2.0,3.0,1.0,,1.0,,1.0,,,,,,,8.0,,,,,1.0,5.0,8.0,5.0,8.0,5.0,,61.0,59.0,2.0,1.0,1.0,2.0,17.0,5.0,7.0,,,6.0,10.0,7.0,1.0,8.0,3.0,50.0,52.0,2.0,14.0,5.0,,,,,,,,50.0,5.0,11.0,,,3.0,2.0,1.0,164.0,1.0,,,1.0,,,12.0,,,1.0,,,,,,5.0,,12.0,12.0,3.0,2.0,121.0,80.0,35.0,5.0,,2.0,8.0,5.0,444.0,,,4.0,,,64.0,64.0,33.0,,,,,164.0,164.0,2.0,30.0,25.0,48.8,,,1.0,,17.0,0.0,,,,122.0,1.0,1.0,3.0,,1.0,3.0,,3.0,82.0,344.0,7.0,10.0,198.0,30.0,14.0,19.0,5.0,23.0,19.0,1.0,120.0,1.0,293.0,,,18.0,6.0,62.0,6.0,468.0,2.0,0.0,13.0,11.0,,16.0,2.0,651.0,24.0,14.0,13.0,6.0,3.0,0.0
1059745,5.0,2019-09-14 12:30:00,4,Newcastle,Away,129.0,10.0,,3.0,3.0,1.0,,79.0,4.0,,3.0,7.0,4.0,19.0,205.0,,,8.0,25.0,13.0,5.0,,,,,,,,,1.0,,,,,6.0,,,,,,2.0,18.0,3.0,4.0,4.0,,38.0,61.0,,,,4.0,14.0,3.0,10.0,1.0,,1.0,3.0,1.0,1.0,5.0,3.0,52.0,47.0,4.0,33.0,16.0,1.0,,,,,,,25.0,4.0,5.0,,,,,,119.0,1.0,,,1.0,,,13.0,,,1.0,,,,,,16.0,,11.0,11.0,2.0,3.0,57.0,63.0,27.0,10.0,,3.0,3.0,1.0,257.0,,,4.0,6.0,,36.0,25.0,11.0,,,,,128.0,128.0,2.0,38.0,15.0,24.7,,3.0,,1.0,14.0,0.0,,,,68.0,5.0,1.0,5.0,,,4.0,,3.0,29.0,193.0,9.0,6.0,155.0,23.0,33.0,17.0,1.0,5.0,4.0,,50.0,3.0,132.0,,,24.0,4.0,57.0,8.0,282.0,,0.0,8.0,20.0,,15.0,0.0,470.0,8.0,15.0,9.0,1.0,11.0,0.0
1059759,6.0,2019-09-21 17:30:00,4,Newcastle,Home,93.0,7.0,4.0,5.0,1.0,1.0,1.0,107.0,6.0,,3.0,,5.0,10.0,195.0,,1.0,15.0,18.0,19.0,9.0,2.0,2.0,1.0,,,,,,,,,,,9.0,,,,,,5.0,9.0,7.0,7.0,4.0,,42.0,59.0,2.0,2.0,,1.0,25.0,2.0,6.0,1.0,,5.0,7.0,4.0,,8.0,2.0,50.0,56.0,1.0,22.0,9.0,,,,,,,,38.0,12.0,8.0,,,2.0,3.0,,121.0,,,,,,,10.0,,,,1.0,,,,,9.0,,11.0,11.0,2.0,3.0,56.0,58.0,18.0,3.0,,5.0,6.0,4.0,259.0,,,6.0,1.0,,47.0,32.0,26.0,,,,,129.0,129.0,4.0,30.0,19.0,28.7,,,,,25.0,0.0,,,,61.0,2.0,1.0,2.0,,1.0,5.0,,3.0,53.0,184.0,13.0,11.0,116.0,32.0,22.0,17.0,5.0,19.0,14.0,1.0,81.0,2.0,183.0,1.0,,23.0,6.0,53.0,,280.0,,0.0,11.0,18.0,1.0,18.0,2.0,467.0,21.0,12.0,11.0,5.0,11.0,0.0
1059767,7.0,2019-09-29 16:30:00,4,Newcastle,Away,151.0,11.0,,2.0,2.0,1.0,,103.0,8.0,1.0,4.0,4.0,2.0,15.0,252.0,,,17.0,9.0,13.0,2.0,,,1.0,,,,,1.0,,1.0,,,,3.0,,,,,,7.0,10.0,4.0,1.0,2.0,,50.0,53.0,,,,4.0,17.0,,6.0,,,,3.0,5.0,,17.0,1.0,47.0,49.0,4.0,24.0,14.0,,,,,,,,36.0,9.0,11.0,,,1.0,,,130.0,,,,,,,8.0,,,,,,,,,14.0,,12.0,12.0,1.0,4.0,77.0,55.0,33.0,9.0,,2.0,,,301.0,,,3.0,1.0,1.0,32.0,41.0,16.0,,,,,137.0,137.0,2.0,28.0,18.0,31.1,,,,1.0,17.0,0.0,,,,71.0,1.0,,1.0,1.0,1.0,3.0,,3.0,38.0,231.0,4.0,2.0,177.0,34.0,24.0,16.0,,8.0,8.0,1.0,61.0,4.0,159.0,,1.0,14.0,4.0,40.0,1.0,328.0,,1.0,3.0,17.0,,22.0,1.0,520.0,4.0,24.0,9.0,,11.0,0.0
1059777,8.0,2019-10-06 16:30:00,4,Newcastle,Home,117.0,18.0,1.0,3.0,2.0,1.0,,90.0,6.0,,2.0,8.0,1.0,29.0,204.0,,1.0,10.0,18.0,23.0,8.0,2.0,1.0,1.0,,,,1.0,,,,,,,9.0,,1.0,,,1.0,7.0,7.0,5.0,4.0,8.0,,42.0,54.0,1.0,1.0,,1.0,12.0,5.0,3.0,,,4.0,3.0,2.0,,5.0,1.0,41.0,53.0,1.0,17.0,10.0,,,,,,,,25.0,12.0,9.0,,,1.0,,1.0,125.0,1.0,,,1.0,,,10.0,,,1.0,2.0,,,,2.0,10.0,1.0,14.0,14.0,2.0,2.0,57.0,65.0,34.0,6.0,1.0,5.0,6.0,2.0,256.0,,,3.0,,,38.0,33.0,15.0,,,,,124.0,124.0,2.0,21.0,23.0,31.9,1.0,,,1.0,12.0,0.0,,,,57.0,2.0,1.0,3.0,,1.0,5.0,,3.0,30.0,190.0,7.0,11.0,134.0,38.0,17.0,17.0,4.0,9.0,5.0,1.0,52.0,5.0,156.0,2.0,,22.0,2.0,65.0,1.0,281.0,,0.0,12.0,12.0,1.0,19.0,3.0,450.0,16.0,20.0,11.0,4.0,10.0,0.0
1059784,9.0,2019-10-19 15:00:00,4,Newcastle,Away,74.0,8.0,,5.0,5.0,,,103.0,5.0,,3.0,7.0,6.0,18.0,172.0,,,8.0,23.0,18.0,4.0,,,,,,,,,,,,,,5.0,,,,,,10.0,15.0,1.0,3.0,2.0,,33.0,59.0,1.0,1.0,,2.0,14.0,1.0,14.0,1.0,,,5.0,4.0,,10.0,2.0,71.0,45.0,2.0,31.0,11.0,,,,,,,,32.0,12.0,9.0,,,2.0,1.0,,103.0,,,,,,,11.0,,,,1.0,,,,,11.0,,6.0,6.0,,3.0,61.0,57.0,24.0,11.0,,3.0,1.0,,237.0,,,5.0,4.0,,29.0,61.0,14.0,,,,,144.0,144.0,3.0,25.0,23.0,28.9,,,,1.0,14.0,0.0,,,,61.0,7.0,,6.0,,,4.0,,3.0,47.0,159.0,7.0,4.0,99.0,25.0,31.0,20.0,,10.0,10.0,,72.0,2.0,169.0,1.0,,22.0,7.0,53.0,1.0,258.0,,0.0,5.0,12.0,,15.0,1.0,441.0,6.0,18.0,7.0,,7.0,0.0
1059797,10.0,2019-10-27 14:00:00,4,Newcastle,Home,174.0,19.0,,8.0,8.0,1.0,2.0,151.0,3.0,,1.0,7.0,5.0,24.0,317.0,,,17.0,25.0,30.0,7.0,2.0,,1.0,,,,,,,,,,,10.0,,,,,3.0,6.0,9.0,4.0,7.0,6.0,,66.0,51.0,1.0,1.0,,2.0,10.0,4.0,11.0,,,3.0,11.0,6.0,1.0,11.0,,61.0,71.0,2.0,28.0,13.0,1.0,,,,,,,38.0,8.0,15.0,,,4.0,3.0,,152.0,1.0,,1.0,1.0,,,9.0,,,1.0,,,,,,13.0,,5.0,5.0,1.0,1.0,87.0,72.0,40.0,6.0,,4.0,6.0,2.0,376.0,,,3.0,,,45.0,68.0,21.0,,,,,138.0,138.0,3.0,23.0,19.0,43.1,,2.0,,1.0,10.0,0.0,,,,100.0,2.0,2.0,4.0,,1.0,7.0,,3.0,54.0,298.0,3.0,10.0,195.0,33.0,28.0,20.0,2.0,22.0,20.0,1.0,83.0,5.0,232.0,,,20.0,8.0,51.0,1.0,405.0,,1.0,13.0,13.0,,21.0,2.0,595.0,24.0,13.0,13.0,3.0,9.0,0.0
