season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243391,1,31,Crystal_Palace,Home,9628,19419,Gary Cahill,gary-cahill,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,1.0,6.0,14.0,20.0,3.0,5.0,,3.0,,,1.0,,,,,4.0,5.0,,,,,,,,,,90.0,,,,,,,10.0,,,6.7,,,,,,3.0,1.0,,,7.0,,11.0,18.0,29.0,,,1,,39.0,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,,,,5.0,9.0,14.0,1.0,4.0,,2.0,,,,,,,,1.0,7.0,,,,,,,,1.0,,90.0,,,,,,,14.0,,,7.1,,,,,,4.0,,,,3.0,,11.0,10.0,21.0,,,0,1.0,40.0,,2.0,,1.0
2019-20,8243391,1,31,Crystal_Palace,Home,39472,58786,Martin Kelly,martin-kelly,D,False,,,1.0,3.0,10.0,13.0,2.0,2.0,,5.0,,,,1.0,,,,3.0,2.0,,,,,,,,,,90.0,,2.0,,,,,7.0,,,7.0,,,,,,9.0,,1.0,,6.0,,8.0,12.0,19.0,,,0,,31.0,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,,,,4.0,9.0,13.0,2.0,2.0,,5.0,,,,,1.0,,,3.0,5.0,,,,,,,,1.0,,90.0,,1.0,,,,,21.0,,,7.5,,,,,,2.0,1.0,1.0,,1.0,,8.0,13.0,20.0,,,0,2.0,58.0,2.0,1.0,,
2019-20,8243417,2,31,Crystal_Palace,Away,9628,19419,Gary Cahill,gary-cahill,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243417,2,31,Crystal_Palace,Away,20278,19188,Scott Dann,scott-dann,D,False,,,4.0,19.0,45.0,64.0,2.0,5.0,,5.0,,,,,,,,2.0,6.0,,,,,,,,3.0,,90.0,,1.0,,,,,12.0,,,7.3,,,,,,6.0,1.0,,,9.0,,26.0,50.0,76.0,,,0,,89.0,,,1.0,
2019-20,8243417,2,31,Crystal_Palace,Away,39183,55494,Joel Ward,joel-ward,D,False,,,3.0,25.0,17.0,42.0,,1.0,,3.0,,,,1.0,,,,3.0,9.0,,,1.0,,,,,4.0,,90.0,,2.0,,,,,23.0,,,7.7,,,,,,8.0,2.0,2.0,,12.0,,36.0,23.0,57.0,,,0,6.0,102.0,2.0,1.0,1.0,3.0
2019-20,8243417,2,31,Crystal_Palace,Away,39472,58786,Martin Kelly,martin-kelly,D,False,,,1.0,13.0,36.0,49.0,4.0,3.0,,3.0,,,,,,,,5.0,5.0,,,1.0,,,,,,,90.0,,1.0,,,,,12.0,,,6.8,,,,,,2.0,1.0,,,7.0,,20.0,41.0,61.0,,,0,1.0,70.0,,,1.0,1.0
2019-20,8243417,2,31,Crystal_Palace,Away,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,,,2.0,31.0,25.0,56.0,3.0,,,4.0,,,,2.0,,,,7.0,3.0,,1.0,,,,,,2.0,1.0,90.0,,,,,,,16.0,,,6.0,,,,,,,3.0,1.0,,4.0,,40.0,29.0,68.0,,,0,2.0,98.0,,,1.0,1.0
