playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,throwInsToOppositionPlayer,cornersWon,throughBalls,goalAssists,offsides,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,hitWoodwork,catches,savesMadeFromOutsideBox,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,totalTouchesInOppositionBox,headedGoals,clearancesOffTheLine,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,savesMadeCaught,drops,secondGoalAssists,ownGoalScored,foulWonPenalty,redCards2ndYellow,penaltiesTaken,penaltyGoals
18665,Alexander Tettey,Midfielder,Norwich,45,Norway,2015-16,103.0,0.3858,0.0,3.0,3.0,0.7107,48.0,17.0,122.0,23.0,1.0,23.0,173.0,2.0,1064.0,2.0,2.0,55.0,3.0,1.0,1952.0,24.0,101.0,3.0,1.0,41.0,70.0,821.0,6.0,39.3617,5.0,18.0,51.0,37.0,1.0,79.0,327.0,9.0,204.0,23.0,328.0,164.0,23.0,1.0,1.0,20.0,1.0,5.0,425.0,34.0,2.0,1.0,149.0,31.0,0.0,1057.0,14.0,221.0,28.0,15.0,4.0,291.0,39.0,42.0,70.0,118.0,1329.0,1.0,3.0,2.0,37.0,466.0,23.0,1.0,0.7212,10.0,51.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5716,Gary O'Neil,Midfielder,Norwich,45,England,2015-16,122.0,1.0775,1.0,5.0,,,41.0,6.0,143.0,27.0,8.0,19.0,216.0,12.0,943.0,,3.0,49.0,4.0,,1749.0,25.0,91.0,4.0,1.0,37.0,67.0,637.0,4.0,27.4545,9.0,16.0,30.0,27.0,2.0,97.0,260.0,17.0,213.0,21.0,348.0,140.0,27.0,,,13.0,,7.0,427.0,23.0,36.0,2.0,164.0,24.0,1.0,910.0,6.0,299.0,28.0,12.0,7.0,242.0,40.0,36.0,90.0,93.0,1237.0,4.0,1.0,3.0,30.0,308.0,25.0,3.0,0.8231,7.0,73.0,55.0,5.0,8.0,8.0,,5.0,,,,,,,,,,,,,,,,,,,2.0,,,0.074,25.0,2.0,1.0,1.0,21.0,,,,,,,,
20141,Graham Dorrans,Midfielder,Norwich,45,Scotland,2015-16,62.0,1.1311,0.0,3.0,3.0,0.4708,23.0,12.0,74.0,21.0,10.0,14.0,106.0,9.0,725.0,,3.0,20.0,,2.0,1287.0,12.0,52.0,2.0,,20.0,44.0,567.0,3.0,28.9911,14.0,2.0,12.0,32.0,,50.0,154.0,4.0,114.0,14.0,219.0,79.0,21.0,2.0,,8.0,,5.0,335.0,30.0,11.0,,94.0,8.0,0.0,718.0,9.0,149.0,15.0,17.0,3.0,200.0,15.0,25.0,52.0,152.0,897.0,2.0,7.0,3.0,12.0,287.0,7.0,,0.5656,2.0,32.0,30.0,3.0,7.0,3.0,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,
38297,Jonny Howson,Midfielder,Norwich,45,England,2015-16,200.0,2.6732,0.0,13.0,9.0,2.0175,76.0,22.0,221.0,36.0,37.0,33.0,324.0,19.0,1284.0,3.0,7.0,109.0,5.0,5.0,2953.0,77.0,154.0,6.0,,77.0,122.0,897.0,7.0,52.3851,22.0,12.0,66.0,58.0,6.0,123.0,291.0,18.0,354.0,40.0,513.0,188.0,36.0,5.0,1.0,14.0,1.0,17.0,678.0,52.0,20.0,6.0,245.0,32.0,0.0,1250.0,13.0,450.0,62.0,28.0,9.0,288.0,27.0,42.0,63.0,192.0,1768.0,5.0,5.0,7.0,53.0,292.0,20.0,,2.1978,7.0,103.0,60.0,9.0,3.0,10.0,,11.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,
18818,Matthew Jarvis,Midfielder,Norwich,45,England,2015-16,51.0,1.7572,0.0,3.0,4.0,0.7993,13.0,7.0,50.0,22.0,16.0,13.0,60.0,58.0,268.0,1.0,,25.0,1.0,,1093.0,19.0,31.0,3.0,,19.0,25.0,199.0,6.0,20.3892,17.0,1.0,4.0,22.0,3.0,32.0,76.0,7.0,82.0,11.0,71.0,36.0,22.0,,,4.0,1.0,12.0,169.0,19.0,68.0,3.0,57.0,6.0,0.0,263.0,3.0,174.0,9.0,6.0,2.0,41.0,4.0,6.0,9.0,80.0,478.0,9.0,10.0,,8.0,57.0,1.0,,0.8139,0.0,10.0,13.0,14.0,9.0,18.0,,20.0,,1.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,2.0,,,,14.0,3.0,,,9.0,,,,,,,,
90517,Robert Brady,Midfielder,Norwich,45,Ireland,2015-16,169.0,4.3521,0.0,12.0,19.0,4.0659,101.0,41.0,223.0,36.0,19.0,34.0,336.0,105.0,1138.0,3.0,9.0,68.0,3.0,11.0,2987.0,26.0,211.0,6.0,2.0,77.0,169.0,727.0,8.0,55.6025,52.0,16.0,89.0,57.0,3.0,143.0,376.0,18.0,380.0,34.0,507.0,185.0,36.0,11.0,1.0,22.0,2.0,29.0,583.0,51.0,183.0,3.0,312.0,42.0,0.0,1092.0,22.0,716.0,79.0,52.0,3.0,78.0,41.0,57.0,75.0,177.0,2155.0,149.0,6.0,9.0,59.0,279.0,24.0,1.0,3.0268,3.0,113.0,59.0,23.0,2.0,60.0,54.0,35.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,,,,,,,,,,,,,,,0.7741,88.0,29.0,10.0,10.0,50.0,,,2.0,,,,,
120544,Tony Andreu,Midfielder,Norwich,45,France,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49433,Vadis Odjidja-Ofoe,Midfielder,Norwich,45,Belgium,2015-16,33.0,0.4287,0.0,1.0,1.0,0.1692,9.0,2.0,25.0,10.0,15.0,3.0,30.0,10.0,135.0,,1.0,10.0,,1.0,275.0,6.0,22.0,,1.0,9.0,18.0,102.0,2.0,8.9118,6.0,1.0,5.0,7.0,,27.0,32.0,3.0,55.0,5.0,35.0,19.0,10.0,1.0,,2.0,,9.0,76.0,7.0,10.0,,45.0,4.0,0.0,134.0,1.0,65.0,7.0,6.0,,32.0,5.0,3.0,3.0,36.0,219.0,6.0,3.0,1.0,1.0,31.0,1.0,,0.0917,2.0,5.0,10.0,2.0,7.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
28499,Wes Hoolahan,Midfielder,Norwich,45,Ireland,2015-16,169.0,3.8559,0.0,9.0,8.0,3.7929,27.0,17.0,171.0,30.0,42.0,25.0,199.0,34.0,1113.0,4.0,4.0,17.0,,3.0,2005.0,14.0,105.0,3.0,,49.0,102.0,878.0,3.0,31.2175,41.0,3.0,1.0,32.0,5.0,155.0,252.0,40.0,274.0,18.0,382.0,169.0,30.0,3.0,1.0,8.0,3.0,29.0,679.0,29.0,40.0,5.0,257.0,3.0,0.0,1074.0,9.0,392.0,19.0,35.0,,301.0,19.0,15.0,36.0,178.0,1524.0,12.0,20.0,4.0,8.0,249.0,8.0,1.0,3.902,1.0,28.0,25.0,12.0,5.0,14.0,,12.0,6.0,8.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,5.0,,,0.0644,10.0,1.0,1.0,1.0,6.0,,,,,,,1.0,1.0
39895,Youssouf Mulumbu,Midfielder,Norwich,45,DR Congo,2015-16,25.0,0.0434,0.0,1.0,1.0,0.2154,21.0,2.0,13.0,7.0,8.0,5.0,17.0,2.0,157.0,,,9.0,,1.0,371.0,5.0,33.0,,,11.0,29.0,132.0,2.0,8.2933,1.0,2.0,4.0,9.0,1.0,20.0,38.0,3.0,58.0,7.0,58.0,27.0,7.0,1.0,,5.0,,1.0,65.0,9.0,2.0,1.0,49.0,4.0,0.0,152.0,1.0,33.0,16.0,5.0,,37.0,5.0,6.0,8.0,24.0,227.0,,4.0,,2.0,75.0,4.0,,0.1643,1.0,4.0,8.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
