playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,setPiecesGoals,goals,offsides,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,penaltyGoalsConceded,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulDribbles,freekickTotal,attemptsFromSetPieces,hitWoodwork,handballsConceded,expectedGoalsFreekick,overruns,foulWonPenalty,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,headedGoals,iboxBlocked,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,penaltiesConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,lastPlayerTackle,secondGoalAssists,clearancesOffTheLine,penaltiesSaved,penaltiesFaced,savesFromPenalty,crossesNotClaimed,ownGoalScored
89088,Andre Wisdom,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,35.0,0.131,1.0,29.0,5.0,49.0,12.0,1.0,2.0,12.0,55.0,9.0,488.0,1.0,32.0,5.0,1015.0,13.0,58.0,1.0,39.0,420.0,7.0,20.0,10.2331,3.0,1.0,44.0,11.0,22.0,21.0,4.0,0.0,93.0,180.0,55.0,12.0,3.0,197.0,10.0,9.0,9.0,61.0,19.0,481.0,5.0,4.0,100.0,26.0,6.0,4.0,182.0,6.0,13.0,13.0,105.0,738.0,85.0,2.0,1.0,6.0,236.0,0.3204,6.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,,0.0002,,,,,1.0,,,,,,4.0,,,,1.0,,,,,4.0,,,,,,,,,3.0,,0.0,,1.0,1.0,1.0,,1.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21094,Daniel Agger,Defender,Liverpool,14,Denmark,2012-13,1.0,1.0,3.0,117.0,1.1417,10.0,36.0,28.0,170.0,35.0,,1.0,35.0,197.0,4.0,1744.0,10.0,188.0,14.0,3100.0,73.0,196.0,7.0,81.0,1461.0,64.0,7.0,35.4503,11.0,5.0,196.0,37.0,44.0,551.0,35.0,4.0,313.0,839.0,148.0,35.0,10.0,464.0,30.0,4.0,9.0,125.0,115.0,1710.0,18.0,5.0,233.0,26.0,10.0,16.0,269.0,25.0,63.0,86.0,85.0,2224.0,21.0,2.0,10.0,29.0,1085.0,3.1384,27.0,68.0,10.0,1.9986,2.0,,3.0,1.0,2.0,,9.0,9.0,2.0,7.0,,,4.0,2.0,1.0,,2.0,0.044,,,6.0,2.0,,1.0,,6.0,3.0,7.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
9047,Glen Johnson,Defender,Liverpool,14,England,2012-13,0.0,0.0,7.0,218.0,5.178,15.0,90.0,39.0,262.0,36.0,4.0,10.0,36.0,309.0,77.0,1740.0,18.0,115.0,16.0,3224.0,49.0,241.0,6.0,175.0,1352.0,99.0,37.0,39.6339,43.0,4.0,119.0,39.0,169.0,270.0,24.0,0.0,459.0,575.0,216.0,36.0,17.0,737.0,33.0,77.0,111.0,344.0,66.0,1703.0,29.0,35.0,605.0,73.0,61.0,9.0,582.0,30.0,56.0,79.0,313.0,2816.0,291.0,1.0,18.0,25.0,704.0,3.5241,47.0,73.0,10.0,1.417,7.0,,1.0,5.0,1.0,,14.0,14.0,4.0,6.0,1.0,,57.0,,,2.0,1.0,,10.0,,5.0,10.0,1.0,0.0,,5.0,,6.0,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,
83427,Jack Robinson,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Jamie Carragher,Defender,Liverpool,14,England,2012-13,0.0,0.0,4.0,36.0,0.7118,1.0,20.0,2.0,50.0,24.0,1.0,,16.0,66.0,2.0,824.0,,34.0,7.0,1528.0,15.0,47.0,2.0,28.0,684.0,8.0,,18.8171,5.0,4.0,94.0,17.0,21.0,159.0,8.0,0.0,83.0,333.0,63.0,24.0,6.0,192.0,15.0,2.0,1.0,49.0,19.0,806.0,2.0,1.0,75.0,14.0,,9.0,282.0,12.0,10.0,74.0,50.0,993.0,4.0,1.0,,16.0,567.0,0.1628,16.0,23.0,,,,,,,,8.0,1.0,1.0,3.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
26725,José Enrique,Defender,Liverpool,14,Spain,2012-13,0.0,0.0,1.0,126.0,3.2962,4.0,72.0,18.0,220.0,29.0,4.0,13.0,25.0,304.0,61.0,1304.0,5.0,34.0,11.0,2257.0,21.0,132.0,4.0,119.0,912.0,50.0,12.0,24.5542,23.0,3.0,49.0,23.0,105.0,515.0,17.0,0.0,258.0,541.0,197.0,29.0,11.0,523.0,19.0,61.0,82.0,224.0,13.0,1285.0,10.0,16.0,495.0,61.0,30.0,3.0,61.0,14.0,35.0,88.0,187.0,1985.0,210.0,3.0,5.0,26.0,484.0,2.9199,84.0,73.0,8.0,1.782,10.0,,2.0,6.0,0.0,4.0,8.0,8.0,1.0,3.0,2.0,,26.0,,,,,,6.0,,6.0,7.0,,2.0,,6.0,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,
134382,Lloyd Jones,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,18.0,0.0464,1.0,13.0,1.0,21.0,4.0,,,4.0,25.0,9.0,175.0,1.0,11.0,,335.0,3.0,26.0,1.0,18.0,149.0,2.0,1.0,6.5255,,,15.0,7.0,15.0,7.0,2.0,0.0,44.0,70.0,17.0,4.0,5.0,87.0,6.0,9.0,6.0,33.0,8.0,174.0,1.0,2.0,48.0,8.0,3.0,1.0,74.0,7.0,4.0,1.0,24.0,276.0,31.0,1.0,1.0,1.0,63.0,0.0994,4.0,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26793,Martin Skrtel,Defender,Liverpool,14,Slovakia,2012-13,0.0,0.0,4.0,62.0,0.6093,2.0,34.0,13.0,78.0,25.0,,,23.0,110.0,2.0,1155.0,,103.0,8.0,2079.0,31.0,115.0,6.0,43.0,963.0,33.0,,30.0724,7.0,2.0,168.0,31.0,31.0,157.0,7.0,2.0,177.0,495.0,112.0,25.0,5.0,218.0,25.0,2.0,7.0,74.0,72.0,1138.0,9.0,1.0,124.0,29.0,2.0,25.0,382.0,22.0,39.0,82.0,121.0,1482.0,8.0,1.0,,12.0,827.0,1.0179,32.0,29.0,4.0,0.3493,1.0,,2.0,2.0,0.0,2.0,4.0,4.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,,,2.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,
