season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6768218,24,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,14.0,1.0,15.0,7.0,1.0,7.0,,,,1.0,,,1.0,10.0,6.0,,,1.0,,2.0,,2.0,,2.0,,90.0,3.0,,,,,,,8.8,,,3.0,,,3.0,2.0,,1.0,,22.0,2.0,22.0,6,2.0,45.0,3.0,,3.0
2015-16,6768218,24,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,,11.0,5.0,16.0,,1.0,2.0,,,,,,,4.0,5.0,4.0,,,1.0,,,,1.0,,2.0,,70.0,,,,,,,,6.9,,,2.0,,1.0,,,,,,12.0,5.0,17.0,2,3.0,30.0,1.0,,
2015-16,6768231,25,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,15.0,3.0,18.0,1.0,2.0,3.0,,1.0,,,,,4.0,6.0,4.0,,,,,,,,,1.0,,90.0,1.0,,,,,,,6.4,,,1.0,,1.0,2.0,2.0,,2.0,1.0,26.0,3.0,27.0,2,1.0,47.0,4.0,,1.0
2015-16,6768231,25,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,True,,,,5.0,,5.0,1.0,,2.0,,,,1.0,,,2.0,5.0,2.0,,,,,,,,1.0,1.0,,18.0,1.0,,,,,,,6.7,,,,,,2.0,,,,,7.0,,7.0,1,,17.0,1.0,1.0,1.0
2015-16,6768254,26,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,3.0,13.0,8.0,21.0,4.0,,2.0,,,,1.0,,,3.0,11.0,2.0,,,3.0,,1.0,,,1.0,,,89.0,1.0,1.0,,,,,,6.9,,,1.0,,,,,,4.0,,18.0,9.0,27.0,2,1.0,43.0,3.0,1.0,
2015-16,6768254,26,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,,24.0,4.0,28.0,,1.0,7.0,,,,1.0,,,5.0,7.0,9.0,,,1.0,,,,,,1.0,,72.0,,,,,,,,6.8,,,,,,4.0,,,1.0,1.0,26.0,4.0,30.0,0,5.0,46.0,1.0,,3.0
2015-16,6768252,27,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,13.0,1.0,14.0,6.0,7.0,,,1.0,,,,,1.0,7.0,7.0,,,,,,,,1.0,1.0,,84.0,4.0,,,,,,,7.2,,,3.0,,,,2.0,,1.0,2.0,20.0,1.0,19.0,7,,35.0,2.0,1.0,
2015-16,6768252,27,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,,,,14.0,6.0,20.0,,1.0,4.0,,1.0,,,,,,,2.0,,,,,,,,,2.0,,75.0,1.0,,,,,,,6.6,,,,,1.0,,2.0,,,,21.0,6.0,25.0,1,,33.0,,1.0,
2015-16,6768265,28,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,,10.0,2.0,12.0,3.0,3.0,2.0,,2.0,,1.0,,,2.0,10.0,3.0,,,1.0,,,,,1.0,,,90.0,1.0,1.0,,,,,,5.8,,,1.0,,1.0,3.0,2.0,,,2.0,18.0,2.0,18.0,2,,36.0,1.0,1.0,
2015-16,6768265,28,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,True,,,,2.0,1.0,3.0,1.0,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,20.0,,,,,,,,6.7,,,1.0,,,,,,,,5.0,2.0,7.0,1,2.0,14.0,3.0,,
