season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025047,1,6,Tottenham_Hotspur,Home,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,0.00123412,0.08,,,0.0,,,,,,,,0.19,1.07,0.48,0.12,0.65,19.0,,,,,1.0,,,6.4,,,1.0,,,1.0,,,,,,1.0,,1.0,,,1,1.0,7.0,1.0,1.0,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,840217,212319,Richarlison,richarlison,F,False,,,1.0,4.0,2.0,6.0,2.0,3.0,,2.0,,1.0,1.0,,,,3.0,5.0,,,0.00719741,0.7796,1.8313,1.0,0.0,2.0,,,,,,,0.49,3.35,1.03,0.11,2.54,71.0,3.0,,,,4.0,,,9.5,,,1.0,,,3.0,2.0,,,1.0,,5.0,2.0,7.0,,,5,,23.0,3.0,,2.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1048888,511499,Mathys Tel,mathys-tel,F,True,,,,1.0,2.0,3.0,2.0,,,,,,,,,,4.0,,,,0.00038468,,,2.0,0.0,,,,,,,,0.12,0.59,0.17,0.05,0.2,9.0,,,,,1.0,,,6.2,,,,,,,,,,,,2.0,2.0,4.0,,,0,,5.0,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1085180,242898,Brennan Johnson,brennan-johnson,F,False,1.0,,,9.0,4.0,13.0,1.0,,,1.0,,,,1.0,,,2.0,1.0,,,0.0614563,0.4975,0.4578,,0.0,1.0,,,,,2.0,,0.6,4.09,1.13,0.26,2.71,80.0,1.0,,,,8.0,,,7.7,,,1.0,,,1.0,,6.0,,,,11.0,4.0,15.0,,,2,1.0,27.0,1.0,,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1142679,550839,Wilson Odobert,wilson-odobert,F,True,,,,2.0,1.0,3.0,,,,1.0,,,,,,,,,,,0.00547388,,,,0.0,,,,,,1.0,,0.17,0.76,0.33,0.05,0.35,10.0,,,,,1.0,,,6.5,,,,,,,,,,,,2.0,1.0,3.0,,,0,,4.0,1.0,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,,1.0,1.0,2.0,,,,,,,,,,2.0,,,,1.64e-06,0.1212,0.4291,,0.0,,,,,1.0,,,,,,,,12.0,1.0,,,,1.0,,,6.4,,,,,,,,,,,,,1.0,1.0,,,1,,5.0,1.0,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,840217,212319,Richarlison,richarlison,F,False,,,2.0,5.0,2.0,7.0,5.0,2.0,,4.0,1.0,,1.0,1.0,,,9.0,6.0,,,0.110346,0.1012,,1.0,1.0,,,,,1.0,1.0,,,,,,,78.0,,,,,10.0,,,7.3,,,2.0,,,1.0,2.0,1.0,,2.0,1.0,5.0,4.0,9.0,,,3,2.0,29.0,5.0,2.0,,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,1048888,511499,Mathys Tel,mathys-tel,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,1085180,242898,Brennan Johnson,brennan-johnson,F,False,1.0,,1.0,8.0,5.0,13.0,,,,2.0,,,,,,1.0,2.0,5.0,,,0.029374,0.3975,0.6153,,0.0,1.0,,,,,1.0,,,,,,,78.0,1.0,,,,10.0,,,7.7,,,1.0,,,,1.0,1.0,,2.0,,9.0,5.0,14.0,,,2,4.0,33.0,7.0,1.0,,2.0
2025-26,14025083,2,6,Tottenham_Hotspur,Away,1142679,550839,Wilson Odobert,wilson-odobert,F,True,,,,1.0,1.0,2.0,,,,2.0,,1.0,,,,,1.0,1.0,,,0.00064465,0.2463,0.0702,,0.0,,,,,,,,,,,,,12.0,1.0,,,,3.0,,,6.5,,,1.0,,,,2.0,,,,,2.0,1.0,3.0,,,2,,8.0,1.0,,1.0,
2025-26,14025115,3,6,Tottenham_Hotspur,Home,840217,212319,Richarlison,richarlison,F,False,,,,3.0,1.0,4.0,4.0,4.0,,,,,,1.0,,2.0,8.0,5.0,,,0.00525811,,,1.0,0.0,,,,,,1.0,,,,,,,90.0,,1.0,,,16.0,,,6.4,,,,,,3.0,,2.0,,,,9.0,2.0,11.0,,,0,,32.0,3.0,1.0,,
2025-26,14025115,3,6,Tottenham_Hotspur,Home,862223,235674,Manor Solomon,manor-solomon,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025115,3,6,Tottenham_Hotspur,Home,1048888,511499,Mathys Tel,mathys-tel,F,True,,,2.0,4.0,1.0,5.0,,,,2.0,,,,,,,1.0,3.0,,,0.00338756,0.0459,,,0.0,,,,,,,,,,,,,14.0,,,,,2.0,,,6.8,,,1.0,,,,1.0,1.0,,2.0,,4.0,1.0,5.0,,,1,3.0,12.0,,,,
2025-26,14025115,3,6,Tottenham_Hotspur,Home,1085180,242898,Brennan Johnson,brennan-johnson,F,False,,,,5.0,2.0,7.0,,,,2.0,,,,,,,2.0,2.0,,,0.0106699,,,1.0,0.0,,,,,,,,,,,,,54.0,,,,,8.0,,,6.7,,,,,,2.0,1.0,1.0,,,2.0,11.0,2.0,13.0,,,0,,23.0,,2.0,,
2025-26,14025115,3,6,Tottenham_Hotspur,Home,1142679,550839,Wilson Odobert,wilson-odobert,F,True,,,,9.0,3.0,12.0,2.0,,,1.0,,,,,,,3.0,2.0,,,0.0165073,0.0513,,,0.0,,,,,,,,,,,,,36.0,,,,,5.0,,,6.7,,,1.0,,,1.0,3.0,1.0,,,,11.0,3.0,14.0,,,1,,21.0,1.0,,2.0,
2025-26,14025148,4,6,Tottenham_Hotspur,Away,840217,212319,Richarlison,richarlison,F,True,,,,1.0,,1.0,,,,,,,,,,,,,,,0.00034352,,,,0.0,,,,,,1.0,,,,,,,19.0,,,,,,,,6.4,,,,,,,,,,,,1.0,,1.0,,,0,,2.0,,,,
2025-26,14025148,4,6,Tottenham_Hotspur,Away,871706,247693,Randal Kolo Muani,randal-kolo-muani,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025148,4,6,Tottenham_Hotspur,Away,1048888,511499,Mathys Tel,mathys-tel,F,False,,,1.0,6.0,3.0,9.0,7.0,1.0,,1.0,,,1.0,,,,7.0,3.0,,,0.00438248,0.0204,,,0.0,,,,,,,,,,,,,79.0,,,,,6.0,,,6.3,,,,,,,1.0,,,1.0,1.0,7.0,5.0,12.0,,,1,,20.0,3.0,1.0,1.0,
