playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,successfulLayoffs,foulWonPenalty,offsides,oboxBlocked,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,timesTackled,iboxBlocked,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,blocks,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,throughBalls,goals,awayGoals,substituteOn,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,expectedGoalsFreekick,goalAssists,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,headedGoals,ownGoalScored,lastPlayerTackle,rightFootGoals,penaltiesTaken,penaltyGoals,hitWoodwork,secondGoalAssists
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2013-14,118.0,,5.224,0.0,,43.0,,212.0,28.0,25.0,283.0,76.0,1022.0,,,3.0,,2243.0,105.0,7.0,,40.0,63.0,664.0,,,4.0,35.0424,20.0,41.0,43.0,72.0,314.0,,10.0,0.0,223.0,,437.0,109.0,28.0,,,501.0,36.0,139.0,135.0,0.0,,986.0,491.0,31.0,12.0,,,132.0,26.0,51.0,75.0,1586.0,2.0,63.0,292.0,12.0,,7.0,71.0,42.0,16.0,10.0,10.0,1.0,2.4096,39.0,26.0,,5.0,7.0,88.0,4.0,54.0,3.0,3.0,46.0,28.0,17.0,36.0,3.0,25.0,4.0,12.0,2.0,21.0,3.0,42.0,29.0,24.0,7.0,139.0,42.0,7.0,2.4084,4.0,3.0,2.0,3.0,31.0,3.0,11.0,11.0,44.0,1.0,0.5792,5.0,76.0,3.0,1.0,,,,,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2013-14,134.0,,0.6216,0.0,,102.0,,107.0,27.0,22.0,122.0,2.0,951.0,,,3.0,,1843.0,160.0,5.0,1.0,35.0,133.0,777.0,,,5.0,30.1716,7.0,50.0,34.0,100.0,285.0,,24.0,0.0,294.0,,319.0,154.0,27.0,,,406.0,29.0,2.0,233.0,0.0,,932.0,159.0,84.0,9.0,,,267.0,39.0,46.0,52.0,1279.0,8.0,16.0,423.0,15.0,,7.0,15.0,38.0,,,4.0,,0.749,11.0,23.0,,,,61.0,1.0,,2.0,2.0,34.0,15.0,,9.0,,26.0,1.0,18.0,1.0,19.0,,27.0,7.0,1.0,11.0,80.0,,,0.9796,,1.0,0.0,5.0,,,,,,,,,,,1.0,1.0,,,,,,,
20141,Graham Dorrans,Midfielder,West Brom,35,Scotland,2013-14,60.0,,2.1616,0.0,,27.0,,63.0,14.0,12.0,83.0,14.0,486.0,,,2.0,,1106.0,55.0,3.0,,20.0,48.0,376.0,,,1.0,19.0381,3.0,7.0,18.0,53.0,128.0,,12.0,0.0,115.0,,179.0,67.0,14.0,,,293.0,15.0,61.0,101.0,0.0,,478.0,181.0,20.0,9.0,,,99.0,10.0,18.0,27.0,724.0,3.0,8.0,131.0,7.0,,4.0,20.0,12.0,2.0,4.0,7.0,2.0,1.4275,14.0,16.0,,,4.0,14.0,3.0,21.0,2.0,2.0,7.0,15.0,,32.0,,11.0,3.0,7.0,6.0,24.0,,7.0,7.0,3.0,2.0,80.0,6.0,4.0,1.2821,3.0,2.0,1.0,2.0,16.0,1.0,4.0,4.0,27.0,,0.2535,,43.0,,1.0,,,,1.0,,,,
18008,James Morrison,Midfielder,West Brom,35,Scotland,2013-14,140.0,,2.3935,0.0,,82.0,,166.0,32.0,23.0,205.0,22.0,1204.0,,,3.0,,2209.0,141.0,7.0,,47.0,125.0,913.0,,,4.0,34.1369,5.0,28.0,39.0,106.0,344.0,,18.0,0.0,281.0,,383.0,151.0,32.0,,,652.0,32.0,27.0,231.0,0.0,,1181.0,325.0,59.0,25.0,,,282.0,27.0,39.0,86.0,1647.0,4.0,24.0,359.0,15.0,,1.0,39.0,43.0,8.0,13.0,11.0,5.0,2.8191,34.0,56.0,,2.0,9.0,50.0,7.0,12.0,3.0,3.0,34.0,47.0,,31.0,4.0,33.0,7.0,23.0,8.0,46.0,4.0,16.0,23.0,13.0,5.0,195.0,13.0,9.0,3.5855,10.0,1.0,1.0,9.0,3.0,,3.0,3.0,5.0,2.0,0.2033,3.0,9.0,,0.0,,,,1.0,1.0,1.0,,
153475,Liam O'Neil,Midfielder,West Brom,35,England,2013-14,,,0.0002,0.0,,,,3.0,3.0,,4.0,1.0,7.0,,,,,15.0,,1.0,,1.0,,3.0,,,,0.4405,,1.0,1.0,,1.0,,,0.0,,,5.0,1.0,3.0,,,1.0,,1.0,,0.0,,7.0,5.0,,,,,1.0,,1.0,,13.0,,2.0,2.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,
37962,Morgan Amalfitano,Midfielder,West Brom,35,France,2013-14,169.0,,4.5454,0.0,,38.0,,129.0,28.0,26.0,153.0,91.0,712.0,,,5.0,,2151.0,110.0,8.0,1.0,59.0,106.0,542.0,,,2.0,26.7147,5.0,17.0,33.0,142.0,98.0,,27.0,1.0,279.0,,229.0,118.0,28.0,,,397.0,25.0,132.0,248.0,0.0,,695.0,445.0,25.0,42.0,,,222.0,34.0,31.0,17.0,1309.0,15.0,25.0,208.0,6.0,,3.0,24.0,26.0,29.0,5.0,12.0,15.0,4.3107,22.0,49.0,,11.0,,31.0,4.0,46.0,4.0,4.0,27.0,59.0,6.0,42.0,5.0,30.0,4.0,13.0,47.0,97.0,5.0,4.0,10.0,32.0,2.0,163.0,23.0,,2.4257,4.0,4.0,2.0,2.0,13.0,,1.0,1.0,35.0,,0.0741,3.0,54.0,2.0,2.0,,,,4.0,,,1.0,1.0
19688,Scott Sinclair,Midfielder,West Brom,35,England,2013-14,15.0,,0.2729,0.0,,2.0,,13.0,8.0,4.0,13.0,1.0,77.0,,,,,301.0,11.0,,,2.0,8.0,64.0,,,1.0,1.9473,,1.0,3.0,14.0,26.0,,5.0,0.0,26.0,,10.0,18.0,8.0,,,46.0,3.0,3.0,22.0,0.0,,77.0,34.0,2.0,3.0,,,12.0,,,,121.0,4.0,,21.0,,,0.0,,2.0,1.0,,2.0,,0.817,5.0,5.0,,,,4.0,,3.0,2.0,2.0,1.0,5.0,,4.0,,,,,2.0,12.0,,3.0,3.0,,,29.0,,,0.8731,,,,4.0,1.0,,,,,,,,1.0,,,,,,,,,,
34392,Stéphane Sessegnon,Midfielder,West Brom,35,Benin,2013-14,161.0,,0.0917,0.0,,26.0,,105.0,28.0,25.0,113.0,17.0,851.0,,,2.0,,2078.0,132.0,8.0,,33.0,116.0,703.0,,,,0.6498,,2.0,32.0,122.0,336.0,,42.0,1.0,293.0,,183.0,98.0,28.0,,,556.0,24.0,17.0,238.0,0.0,,830.0,308.0,18.0,49.0,,,137.0,20.0,5.0,35.0,1269.0,15.0,1.0,187.0,3.0,,0.0,8.0,12.0,5.0,18.0,13.0,17.0,,36.0,74.0,,8.0,,55.0,,5.0,,,39.0,94.0,2.0,42.0,,19.0,,8.0,47.0,100.0,,16.0,23.0,18.0,1.0,195.0,4.0,,0.0298,5.0,5.0,2.0,3.0,,2.0,,,,2.0,,1.0,1.0,3.0,3.0,,,,3.0,,,,
39895,Youssouf Mulumbu,Midfielder,West Brom,35,DR Congo,2013-14,229.0,,1.3727,0.0,,87.0,,244.0,37.0,33.0,296.0,16.0,1947.0,,,7.0,,3079.0,202.0,10.0,1.0,90.0,171.0,1523.0,,,4.0,45.2268,12.0,29.0,51.0,185.0,529.0,,41.0,1.0,431.0,,636.0,380.0,37.0,,,876.0,41.0,16.0,356.0,0.0,,1923.0,463.0,73.0,47.0,,,607.0,56.0,115.0,128.0,2590.0,3.0,38.0,778.0,22.0,,7.0,52.0,93.0,3.0,18.0,6.0,4.0,1.0775,18.0,42.0,,,14.0,75.0,3.0,3.0,1.0,1.0,44.0,25.0,,18.0,4.0,54.0,3.0,14.0,14.0,97.0,4.0,31.0,12.0,11.0,11.0,175.0,10.0,14.0,1.5691,5.0,2.0,2.0,4.0,,,,,,4.0,,2.0,,3.0,0.0,,,,2.0,,,1.0,
18430,Zoltán Gera,Midfielder,West Brom,35,Hungary,2013-14,38.0,,0.8907,0.0,,12.0,,55.0,14.0,5.0,59.0,10.0,239.0,,,,,483.0,36.0,1.0,,13.0,22.0,168.0,,,1.0,9.2608,1.0,4.0,10.0,26.0,42.0,,8.0,0.0,74.0,,69.0,26.0,14.0,,,133.0,9.0,11.0,48.0,0.0,,235.0,96.0,11.0,4.0,,,92.0,7.0,3.0,12.0,339.0,4.0,1.0,51.0,2.0,,1.0,4.0,16.0,2.0,2.0,4.0,,0.9131,8.0,16.0,,,1.0,26.0,1.0,4.0,3.0,3.0,12.0,17.0,1.0,8.0,1.0,6.0,1.0,1.0,3.0,14.0,1.0,14.0,4.0,4.0,3.0,36.0,3.0,1.0,1.0098,2.0,,,9.0,1.0,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,
