playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,setPiecesGoals,goals,awayGoals,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,handballsConceded,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,homeGoals,oboxTarget,headedGoals,rightFootGoals,hitWoodwork,unsuccessfulLayoffs,ownGoalScored,penaltiesTaken,penaltyGoals
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2016-17,0.0,0.0,5.0,86.0,20.0,3.8511,10.0,11.0,2.2573,36.0,28.0,128.0,31.0,4.0,19.0,27.0,244.0,64.0,910.0,2.0,7.0,4.0,48.0,4.0,44.0,2.0,2478.0,2.0,21.0,87.0,4.0,,36.0,60.0,576.0,28.0,34.0,2.0,38.3543,36.0,31.0,54.0,37.0,3.0,65.0,221.0,9.0,1.0,173.0,25.0,404.0,129.0,31.0,10.0,6.0,456.0,33.0,132.0,23.0,3.0,125.0,27.0,866.0,17.0,15.0,463.0,26.0,17.0,4.0,131.0,17.0,33.0,90.0,154.0,1526.0,84.0,4.0,7.0,74.0,254.0,12.0,1.5448,116.0,41.0,,,,,,,,,,,,,,,6.0,1.0,3.0,0.0,13.0,2.0,7.0,7.0,50.0,1.0,1.0,1.0,0.35,65.0,6.0,3.0,6.0,1.0,,,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2016-17,0.0,0.0,9.0,126.0,1.0,0.2774,2.0,,,94.0,7.0,117.0,33.0,,11.0,27.0,164.0,1.0,933.0,,2.0,6.0,76.0,4.0,1.0,,2417.0,,30.0,177.0,2.0,,41.0,131.0,718.0,2.0,,2.0,37.2998,6.0,11.0,58.0,36.0,,96.0,291.0,34.0,0.0,303.0,30.0,279.0,176.0,33.0,29.0,1.0,363.0,34.0,1.0,14.0,,227.0,46.0,927.0,7.0,,201.0,65.0,4.0,18.0,235.0,39.0,54.0,51.0,128.0,1308.0,1.0,6.0,2.0,20.0,407.0,24.0,0.3454,47.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
28468,Craig Gardner,Midfielder,West Brom,35,England,2016-17,0.0,0.0,1.0,21.0,1.0,0.6735,1.0,,,4.0,1.0,17.0,9.0,1.0,2.0,2.0,26.0,1.0,61.0,,1.0,7.0,6.0,,8.0,,213.0,,5.0,8.0,,,7.0,7.0,31.0,1.0,,,5.7694,9.0,,2.0,6.0,,16.0,13.0,2.0,0.0,29.0,5.0,26.0,14.0,9.0,1.0,2.0,30.0,6.0,4.0,5.0,,23.0,1.0,55.0,1.0,1.0,39.0,3.0,1.0,,9.0,8.0,1.0,4.0,13.0,103.0,,2.0,1.0,3.0,13.0,5.0,0.1177,9.0,7.0,,,,,,,,,,,,,,,,,,,5.0,,1.0,1.0,2.0,,1.0,,0.0918,9.0,,,,,,,,,,
14295,Darren Fletcher,Midfielder,West Brom,35,Scotland,2016-17,0.0,0.0,0.0,135.0,3.0,2.3523,6.0,7.0,2.0057,42.0,14.0,208.0,38.0,3.0,22.0,37.0,285.0,23.0,1222.0,1.0,4.0,1.0,54.0,6.0,5.0,2.0,3235.0,2.0,37.0,108.0,5.0,,71.0,91.0,835.0,29.0,,3.0,49.4186,21.0,9.0,35.0,45.0,2.0,98.0,249.0,23.0,1.0,243.0,30.0,452.0,207.0,38.0,16.0,5.0,570.0,40.0,25.0,46.0,2.0,189.0,17.0,1186.0,7.0,7.0,409.0,26.0,27.0,2.0,369.0,22.0,44.0,102.0,152.0,1607.0,2.0,5.0,4.0,30.0,372.0,14.0,1.8058,77.0,72.0,,,,,,,,,,,,,,,8.0,,2.0,0.0,2.0,1.0,,,2.0,,2.0,1.0,,5.0,3.0,2.0,3.0,,1.0,1.0,3.0,,,
49944,Jake Livermore,Midfielder,West Brom,35,England,2016-17,1.0,1.0,5.0,124.0,1.0,0.9622,10.0,7.0,1.3614,79.0,23.0,174.0,37.0,1.0,36.0,35.0,291.0,6.0,1604.0,1.0,5.0,2.0,65.0,3.0,1.0,4.0,2976.0,4.0,33.0,153.0,8.0,1.0,55.0,121.0,1196.0,24.0,1.0,8.0,31.9534,19.0,13.0,64.0,59.0,1.0,91.0,442.0,20.0,0.0,277.0,38.0,573.0,230.0,37.0,25.0,10.0,606.0,51.0,6.0,36.0,1.0,212.0,32.0,1587.0,16.0,5.0,381.0,54.0,24.0,25.0,408.0,33.0,50.0,117.0,181.0,2069.0,1.0,7.0,5.0,56.0,708.0,17.0,1.036,117.0,76.0,,,,,,,,,,,,,,,4.0,,1.0,0.0,,1.0,,,,1.0,6.0,1.0,,,2.0,1.0,2.0,,,,1.0,,,
63370,James McClean,Midfielder,West Brom,35,Ireland,2016-17,0.0,0.0,9.0,154.0,20.0,2.2695,7.0,13.0,2.232,55.0,16.0,73.0,34.0,2.0,11.0,13.0,100.0,65.0,349.0,6.0,5.0,21.0,74.0,,24.0,9.0,1464.0,9.0,43.0,125.0,2.0,,36.0,94.0,244.0,40.0,4.0,1.0,22.7944,17.0,2.0,19.0,24.0,2.0,111.0,99.0,17.0,1.0,279.0,19.0,92.0,92.0,34.0,14.0,19.0,175.0,22.0,73.0,50.0,2.0,205.0,31.0,345.0,3.0,13.0,252.0,41.0,22.0,3.0,48.0,31.0,17.0,5.0,110.0,735.0,7.0,8.0,5.0,23.0,98.0,19.0,1.0709,27.0,33.0,,,,,,,,,,,,,,,2.0,,1.0,0.0,2.0,,,,6.0,,2.0,,,11.0,3.0,1.0,3.0,,1.0,1.0,1.0,,,
18008,James Morrison,Midfielder,West Brom,35,Scotland,2016-17,0.0,0.0,3.0,109.0,1.0,0.9565,5.0,8.0,2.9374,26.0,18.0,116.0,31.0,2.0,36.0,17.0,148.0,21.0,764.0,2.0,3.0,14.0,34.0,,1.0,2.0,1738.0,2.0,25.0,66.0,1.0,,40.0,57.0,575.0,28.0,1.0,2.0,23.8139,21.0,4.0,11.0,22.0,2.0,84.0,207.0,16.0,1.0,175.0,18.0,200.0,111.0,31.0,9.0,7.0,419.0,21.0,21.0,40.0,2.0,141.0,9.0,741.0,10.0,8.0,247.0,17.0,15.0,4.0,201.0,19.0,23.0,41.0,156.0,1029.0,3.0,12.0,3.0,16.0,198.0,13.0,2.2777,32.0,45.0,,,,,,,,,,,,,,,4.0,,5.0,2.0,1.0,2.0,,,,,,1.0,,3.0,1.0,3.0,1.0,1.0,2.0,,1.0,,,
32318,Marc Wilson,Midfielder,West Brom,35,Ireland,2016-17,0.0,0.0,3.0,8.0,3.0,0.1429,,,,3.0,1.0,13.0,4.0,,,3.0,24.0,3.0,75.0,,,1.0,8.0,,3.0,,255.0,,2.0,14.0,1.0,,4.0,8.0,46.0,2.0,7.0,,4.549,2.0,,19.0,7.0,,6.0,18.0,2.0,0.0,22.0,2.0,40.0,8.0,4.0,,,23.0,6.0,3.0,1.0,,14.0,6.0,75.0,1.0,2.0,36.0,3.0,3.0,3.0,6.0,5.0,6.0,5.0,11.0,149.0,14.0,3.0,,9.0,31.0,3.0,0.0143,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50229,Matt Phillips,Midfielder,West Brom,35,Scotland,2016-17,0.0,0.0,2.0,183.0,13.0,3.4185,12.0,10.0,3.4955,22.0,35.0,137.0,27.0,8.0,13.0,26.0,159.0,82.0,486.0,2.0,7.0,1.0,87.0,3.0,32.0,3.0,2193.0,3.0,51.0,121.0,1.0,,63.0,85.0,312.0,68.0,11.0,2.0,29.8574,26.0,4.0,25.0,28.0,5.0,132.0,89.0,9.0,2.0,304.0,40.0,165.0,111.0,27.0,9.0,42.0,256.0,27.0,112.0,104.0,5.0,217.0,36.0,484.0,25.0,30.0,461.0,13.0,54.0,3.0,105.0,12.0,19.0,15.0,127.0,1098.0,18.0,13.0,7.0,15.0,103.0,6.0,2.98,22.0,32.0,,,,,,,,,,,,,,,2.0,,4.0,2.0,17.0,2.0,,,16.0,,2.0,,,34.0,3.0,2.0,3.0,,2.0,2.0,2.0,,,
54908,Nacer Chadli,Midfielder,West Brom,35,Belgium,2016-17,0.0,0.0,2.0,140.0,9.0,3.4648,8.0,18.0,5.9239,29.0,39.0,112.0,31.0,5.0,42.0,27.0,130.0,19.0,662.0,3.0,4.0,4.0,51.0,,20.0,5.0,2147.0,5.0,32.0,82.0,4.0,,27.0,63.0,509.0,79.0,1.0,3.0,34.1084,28.0,1.0,10.0,32.0,4.0,108.0,176.0,15.0,0.0,222.0,15.0,189.0,105.0,31.0,11.0,21.0,390.0,28.0,37.0,65.0,4.0,171.0,19.0,651.0,21.0,13.0,278.0,18.0,20.0,3.0,145.0,17.0,22.0,23.0,152.0,1020.0,4.0,19.0,4.0,4.0,162.0,9.0,5.805,18.0,38.0,,,,,,,,,,,,,,,6.0,,5.0,2.0,11.0,2.0,3.0,3.0,13.0,,,1.0,0.2097,25.0,8.0,3.0,8.0,,3.0,2.0,1.0,,1.0,1.0
