playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,gkUnsuccessfulDistribution,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,goalAssists,oboxBlocked,substituteOn,penaltiesConceded,throwInsToOppositionPlayer,shotsBlockedOutsideBox,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,shotsBlockedInBox,oboxTarget,freekickTotal,iboxBlocked,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,leftFootGoals,hitWoodwork,rightFootGoals,ownGoalScored,penaltiesTaken,penaltyGoals,setPiecesGoals,otherGoals
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2017-18,65.0,12.0,4.4668,0.0,5.0,1.5381,41.0,19.0,6.0,116.0,26.0,13.0,22.0,233.0,27.0,882.0,,,31.0,6.0,51.0,,1921.0,,15.0,77.0,4.0,36.0,61.0,557.0,13.0,,23.5172,30.0,17.0,39.0,23.0,50.0,244.0,6.0,142.0,24.0,373.0,148.0,26.0,17.0,,402.0,19.0,,88.0,111.0,16.0,0.0,,840.0,14.0,14.0,379.0,24.0,15.0,4.0,,132.0,15.0,22.0,,92.0,133.0,1323.0,33.0,7.0,64.0,298.0,12.0,1.8324,5.0,117.0,52.0,6.0,7.0,4.0,4.0,,19.0,4.0,,,,,,,,,,,,,0.5791,85.0,5.0,2.0,33.0,2.0,5.0,8.0,2.0,8.0,49.0,,,,,,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2017-18,72.0,,0.0936,0.0,1.0,0.0701,36.0,7.0,,44.0,16.0,4.0,9.0,62.0,,374.0,,,46.0,2.0,,1.0,900.0,1.0,28.0,68.0,5.0,11.0,50.0,293.0,6.0,,13.2071,1.0,4.0,25.0,17.0,44.0,102.0,12.0,140.0,8.0,118.0,75.0,16.0,9.0,,134.0,12.0,,,94.0,18.0,0.0,,369.0,6.0,1.0,78.0,27.0,2.0,6.0,,100.0,25.0,16.0,,19.0,54.0,517.0,,3.0,9.0,178.0,15.0,0.4785,5.0,18.0,17.0,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
1632,Gareth Barry,Midfielder,West Brom,35,England,2017-18,112.0,3.0,1.2962,0.0,6.0,1.3518,35.0,11.0,3.0,143.0,25.0,11.0,22.0,218.0,10.0,927.0,1.0,1.0,68.0,4.0,9.0,1.0,1927.0,1.0,36.0,106.0,5.0,19.0,74.0,645.0,14.0,1.0,26.708,16.0,4.0,32.0,35.0,76.0,226.0,29.0,218.0,8.0,340.0,148.0,25.0,16.0,1.0,407.0,30.0,,19.0,150.0,32.0,0.0,,907.0,5.0,4.0,283.0,19.0,10.0,11.0,,229.0,28.0,14.0,,64.0,132.0,1187.0,3.0,6.0,31.0,311.0,17.0,1.5566,4.0,75.0,39.0,5.0,1.0,2.0,3.0,,,2.0,,,,,,,,,,,,,0.0828,12.0,4.0,1.0,6.0,3.0,4.0,1.0,3.0,1.0,6.0,,1.0,,,,,,,
73494,Grzegorz Krychowiak,Midfielder,West Brom,35,Poland,2017-18,109.0,2.0,1.1372,0.0,3.0,0.572,39.0,14.0,6.0,126.0,27.0,20.0,20.0,175.0,6.0,812.0,,1.0,41.0,2.0,4.0,1.0,1642.0,1.0,15.0,121.0,5.0,37.0,95.0,589.0,7.0,1.0,23.9974,11.0,3.0,23.0,30.0,94.0,204.0,39.0,230.0,18.0,273.0,125.0,27.0,15.0,8.0,348.0,25.0,,14.0,189.0,26.0,0.0,,788.0,11.0,5.0,238.0,24.0,19.0,5.0,,208.0,31.0,45.0,,48.0,127.0,1109.0,,9.0,17.0,293.0,14.0,0.7985,2.0,49.0,41.0,3.0,2.0,2.0,7.0,,,2.0,,,,,,,,,,,,,0.0604,11.0,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,,1.0,,,,,,
49944,Jake Livermore,Midfielder,West Brom,35,England,2017-18,152.0,3.0,1.811,0.0,4.0,1.975,72.0,11.0,8.0,177.0,34.0,11.0,30.0,236.0,12.0,1103.0,2.0,1.0,60.0,7.0,3.0,1.0,2675.0,1.0,37.0,128.0,7.0,57.0,105.0,802.0,37.0,,32.1654,18.0,4.0,28.0,41.0,115.0,318.0,14.0,280.0,35.0,383.0,173.0,34.0,31.0,8.0,506.0,34.0,,13.0,220.0,23.0,0.0,,1091.0,7.0,4.0,322.0,41.0,19.0,9.0,,273.0,42.0,26.0,,65.0,129.0,1463.0,8.0,5.0,22.0,364.0,32.0,2.3336,5.0,59.0,60.0,4.0,2.0,3.0,4.0,,,3.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,2.0,,,,,
63370,James McClean,Midfielder,West Brom,35,Ireland,2017-18,146.0,19.0,1.3811,0.0,6.0,0.8485,40.0,21.0,,75.0,30.0,11.0,14.0,99.0,57.0,358.0,1.0,5.0,38.0,3.0,19.0,1.0,1395.0,1.0,22.0,89.0,1.0,54.0,73.0,254.0,32.0,,19.2285,18.0,,15.0,21.0,124.0,97.0,12.0,235.0,14.0,94.0,91.0,30.0,12.0,18.0,168.0,20.0,,69.0,197.0,16.0,0.0,,356.0,15.0,21.0,254.0,28.0,22.0,4.0,,55.0,35.0,20.0,,5.0,112.0,735.0,10.0,6.0,17.0,110.0,25.0,1.7376,7.0,24.0,31.0,9.0,,2.0,16.0,,3.0,2.0,,,,,,,,,,,,,0.051,12.0,4.0,,,7.0,4.0,1.0,7.0,1.0,11.0,2.0,1.0,,,1.0,,,,
18008,James Morrison,Midfielder,West Brom,35,Scotland,2017-18,7.0,,0.0841,0.0,2.0,0.5236,2.0,4.0,,10.0,4.0,3.0,2.0,11.0,2.0,88.0,1.0,,2.0,1.0,,1.0,206.0,1.0,2.0,5.0,,1.0,5.0,75.0,5.0,1.0,1.5057,3.0,,,1.0,5.0,34.0,1.0,12.0,,19.0,11.0,4.0,1.0,,54.0,1.0,,2.0,10.0,,0.0,,88.0,2.0,,18.0,1.0,2.0,1.0,,18.0,,1.0,,2.0,17.0,110.0,,1.0,,23.0,,1.0231,0.0,1.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
50229,Matt Phillips,Midfielder,West Brom,35,Scotland,2017-18,154.0,21.0,3.9572,0.0,8.0,2.0129,27.0,20.0,,106.0,30.0,5.0,23.0,136.0,90.0,497.0,2.0,11.0,72.0,4.0,39.0,5.0,2097.0,5.0,37.0,120.0,6.0,58.0,85.0,344.0,48.0,,27.6768,31.0,4.0,26.0,32.0,117.0,35.0,13.0,274.0,20.0,169.0,114.0,30.0,11.0,43.0,260.0,26.0,,125.0,202.0,35.0,0.0,,490.0,12.0,40.0,415.0,16.0,45.0,1.0,,152.0,14.0,24.0,,17.0,141.0,1085.0,34.0,10.0,14.0,140.0,9.0,2.7906,3.0,30.0,34.0,8.0,2.0,6.0,7.0,,3.0,6.0,2.0,,,,,,,,,,,,0.1323,43.0,1.0,1.0,16.0,2.0,1.0,1.0,2.0,1.0,25.0,2.0,,,2.0,,,,,
54908,Nacer Chadli,Midfielder,West Brom,35,Belgium,2017-18,10.0,,0.0921,0.0,2.0,0.3744,1.0,3.0,,15.0,5.0,,2.0,16.0,4.0,69.0,1.0,,3.0,,,,216.0,,2.0,3.0,,5.0,2.0,52.0,6.0,,3.2668,2.0,,3.0,3.0,8.0,16.0,,13.0,,20.0,15.0,5.0,1.0,,37.0,3.0,,7.0,10.0,1.0,0.0,,66.0,1.0,2.0,32.0,,1.0,,,16.0,1.0,,,1.0,17.0,100.0,1.0,3.0,,16.0,1.0,0.1828,1.0,1.0,2.0,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,,0.1011,3.0,1.0,,,,1.0,2.0,,2.0,2.0,,,,1.0,,,,1.0,
232427,Rekeem Harper,Midfielder,West Brom,35,England,2017-18,1.0,,0.0027,0.0,,,1.0,,,1.0,1.0,,,1.0,,5.0,,,,,,,20.0,,,1.0,,,1.0,3.0,,,0.3148,2.0,,,,1.0,1.0,,2.0,,2.0,2.0,1.0,,1.0,3.0,,,,2.0,,0.0,,5.0,,,3.0,1.0,,,,2.0,,,,1.0,,8.0,,,,1.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
