playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,penaltyGoalsConceded,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,foulAttemptedTackle,savesMadeFromInsideBox,totalShots,shotsOffTargetIncWoodwork,expectedGoals,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,successfulLayoffs,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,oboxTarget,iboxBlocked,shotsBlockedOutsideBox,foulWonPenalty,goals,awayGoals,homeGoals,rightFootGoals,hitWoodwork,throughBalls,goalAssists,leftFootGoals,clearancesOffTheLine,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,headedGoals,penaltyGoals,unsuccessfulLayoffs,redCards2ndYellow,secondGoalAssists
55459,Aaron Cresswell,Defender,West Ham,21,England,2023-24,7.0,0.3426,0.0,3.0,21.0,11.0,4.0,41.0,5.0,247.0,1.0,7.0,4.0,9.0,4.0,432.0,3.0,12.0,3.0,5.0,6.0,192.0,2.0,1.0,6.0,8.1184,5.0,3.0,7.0,11.0,4.0,85.0,3.0,0.0,19.0,2.0,112.0,18.0,11.0,1.0,1.0,90.0,8.0,7.0,3.0,10.0,6.0,0.0,240.0,3.0,57.0,2.0,3.0,5.0,2.0,3.0,2.0,14.0,45.0,335.0,44.0,2.0,10.0,120.0,2.0,1.0,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84182,Alphonse Areola,Goalkeeper,West Ham,21,France,2023-24,5.0,0.0182,0.0,1.0,4.0,31.0,31.0,292.0,,718.0,,,,14.0,,2699.0,2.0,15.0,7.0,,3.0,242.0,,,,54.1836,,45.0,27.0,53.0,3.0,109.0,3.0,0.0,20.0,,462.0,225.0,31.0,,,103.0,46.0,,,6.0,12.0,0.0,378.0,,305.0,1.0,,147.0,2.0,1.0,,184.0,,1074.0,,3.0,110.0,323.0,,1.0,288.0,72.0,2.0,20.0,53.0,219.0,4.0,4.0,7.0,2.0,2.0,11.0,5.0,1.0,138.0,4.0,7.0,1.0,271.0,1.0,92.0,52.0,2.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40669,Angelo Ogbonna,Defender,West Ham,21,Italy,2023-24,9.0,0.0567,0.0,11.0,15.0,11.0,7.0,43.0,,214.0,,4.0,,19.0,,633.0,7.0,27.0,1.0,5.0,15.0,162.0,,4.0,,13.7939,,5.0,29.0,14.0,2.0,70.0,3.0,0.0,36.0,3.0,72.0,10.0,11.0,6.0,,34.0,13.0,,,17.0,12.0,0.0,194.0,,43.0,5.0,10.0,56.0,1.0,3.0,,9.0,16.0,281.0,,2.0,17.0,137.0,,1.0,28.0,11.0,,,,8.0,,2.0,,,,,,,,,,,8.0,1.0,,,,,1.0,1.0,0.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222018,Ben Johnson,Defender,West Ham,21,England,2023-24,42.0,0.1207,0.0,11.0,32.0,14.0,4.0,47.0,30.0,262.0,1.0,10.0,1.0,19.0,1.0,538.0,12.0,36.0,2.0,16.0,29.0,201.0,,4.0,9.0,13.2541,,4.0,13.0,16.0,30.0,21.0,7.0,0.0,78.0,1.0,104.0,49.0,14.0,4.0,12.0,118.0,14.0,30.0,22.0,59.0,7.0,0.0,258.0,6.0,120.0,7.0,1.0,99.0,3.0,5.0,,14.0,38.0,440.0,30.0,,9.0,98.0,,1.0,15.0,23.0,,,,,,1.0,,,,,2.0,,,,,,,11.0,,,3.0,,4.0,2.0,0.1924,1.0,2.0,2.0,4.0,0.194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
565431,Callum Marshall,Forward,West Ham,21,Northern Ireland,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84939,Danny Ings,Forward,West Ham,21,England,2023-24,32.0,0.2658,0.0,6.0,23.0,20.0,3.0,29.0,1.0,105.0,1.0,17.0,,12.0,,390.0,9.0,21.0,,9.0,18.0,75.0,,26.0,,12.5661,5.0,,6.0,10.0,23.0,33.0,6.0,0.0,53.0,3.0,29.0,12.0,20.0,4.0,6.0,49.0,10.0,1.0,10.0,41.0,3.0,0.0,99.0,3.0,51.0,2.0,1.0,16.0,4.0,3.0,,1.0,27.0,183.0,,2.0,2.0,27.0,,1.0,6.0,4.0,,,,,,,,,,,1.0,,,,,,,6.0,,,4.0,,7.0,3.0,1.29,,5.0,4.0,1.0,0.1189,4.0,,1.0,2.0,2.0,5.0,1.0,5.0,,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
487837,Divin Mubama,Forward,West Ham,21,England,2023-24,6.0,0.0085,0.0,,6.0,5.0,,6.0,,22.0,,5.0,,9.0,,76.0,5.0,5.0,,,1.0,15.0,,1.0,,3.0014,,,,2.0,1.0,4.0,1.0,0.0,11.0,,6.0,4.0,5.0,,,9.0,2.0,,,2.0,4.0,0.0,20.0,,13.0,,,6.0,1.0,,,1.0,6.0,33.0,,,,7.0,,0.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,0.1476,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
213999,Edson Álvarez,Midfielder,West Ham,21,Mexico,2023-24,146.0,0.8045,0.0,80.0,115.0,31.0,28.0,166.0,3.0,1195.0,1.0,3.0,,66.0,1.0,2383.0,36.0,152.0,3.0,53.0,122.0,969.0,,16.0,,50.4888,11.0,12.0,70.0,45.0,110.0,308.0,15.0,0.0,298.0,39.0,361.0,164.0,31.0,41.0,14.0,453.0,42.0,3.0,44.0,232.0,30.0,0.0,1180.0,1.0,261.0,39.0,20.0,337.0,33.0,42.0,,60.0,189.0,1690.0,3.0,10.0,22.0,577.0,,11.0,51.0,58.0,,,,,,3.0,,1.0,,,5.0,,,,,,,27.0,,,24.0,,9.0,6.0,1.3037,1.0,8.0,3.0,5.0,1.0301,10.0,3.0,2.0,,,5.0,2.0,5.0,3.0,,1.0,1.0,0.0,1.0,,2.0,1.0,,,,,,,,,,,,
109533,Emerson,Defender,West Ham,21,Italy,2023-24,137.0,2.0795,0.0,106.0,174.0,36.0,35.0,245.0,34.0,1434.0,1.0,1.0,6.0,48.0,10.0,3142.0,23.0,188.0,8.0,89.0,163.0,1147.0,2.0,43.0,34.0,69.7512,23.0,15.0,88.0,67.0,114.0,469.0,33.0,0.0,325.0,32.0,573.0,142.0,36.0,38.0,32.0,643.0,59.0,39.0,49.0,277.0,25.0,0.0,1417.0,12.0,413.0,68.0,15.0,85.0,32.0,43.0,3.0,42.0,307.0,2277.0,222.0,6.0,56.0,556.0,,10.0,71.0,100.0,,,,,,5.0,,1.0,,,8.0,1.0,,,,,,24.0,,,27.0,,14.0,10.0,1.5182,8.0,5.0,4.0,4.0,1.0591,6.0,1.0,,3.0,3.0,4.0,,4.0,1.0,2.0,1.0,0.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,
490885,George Earthy,Midfielder,West Ham,21,England,2023-24,2.0,0.007,0.0,,,3.0,,1.0,,17.0,,3.0,,,,31.0,,,,,,16.0,,1.0,,,,,,,2.0,7.0,,0.0,2.0,,3.0,4.0,3.0,,,9.0,,,,2.0,,0.0,17.0,,1.0,,,,1.0,1.0,,,7.0,19.0,,1.0,1.0,7.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.3086,,,1.0,,0.7879,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
