playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,headedGoals,hitWoodwork,handballsConceded,throughBalls,cornersTakenInclShortCorners,penaltiesConceded,penaltiesSaved,savesFromPenalty,clearancesOffTheLine,foulWonPenalty,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,secondGoalAssists,penaltiesTaken,penaltyGoals
55459,Aaron Cresswell,Defender,West Ham,21,England,2016-17,88.0,17.0,1.7167,1.0,0.0868,4.0,2.0,0.1533,21.0,7.0,97.0,26.0,2.0,1.0,24.0,186.0,79.0,758.0,4.0,2.0,2.0,69.0,4.0,1.0,17.0,1.0,2117.0,1.0,1.0,33.0,74.0,2.0,38.0,38.0,515.0,23.0,37.0,3.0,37.4128,15.0,14.0,61.0,35.0,2.0,55.0,246.0,8.0,0.0,162.0,17.0,323.0,102.0,26.0,1.0,6.0,12.0,326.0,33.0,1.0,80.0,31.0,1.0,2.0,93.0,36.0,0.0,739.0,5.0,17.0,352.0,15.0,9.0,6.0,1.0,38.0,11.0,25.0,57.0,151.0,1313.0,167.0,3.0,2.0,51.0,263.0,4.0,0.555,2.0,89.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60706,Adrián,Goalkeeper,West Ham,21,Spain,2016-17,5.0,,0.0381,0.0,,,,,,,1.0,16.0,,,16.0,211.0,,417.0,,,,4.0,6.0,,,,1440.0,,,2.0,5.0,3.0,1.0,3.0,77.0,,,2.0,23.6754,1.0,52.0,10.0,25.0,,3.0,35.0,3.0,0.0,10.0,,350.0,145.0,16.0,,,,103.0,22.0,,,,,,6.0,2.0,0.0,193.0,,,215.0,,,,,32.0,,,129.0,,571.0,1.0,,,108.0,103.0,,,1.0,210.0,22.0,16.0,18.0,130.0,2.0,3.0,5.0,53.0,6.0,3.0,2.0,117.0,69.0,16.0,34.0,,,,,,,,,,,,,,,,,,,,,
45124,André Ayew,Forward,West Ham,21,Ghana,2016-17,112.0,1.0,1.2324,0.0,0.0735,7.0,13.0,5.7606,17.0,27.0,79.0,25.0,3.0,42.0,16.0,90.0,6.0,431.0,5.0,3.0,9.0,77.0,1.0,1.0,1.0,6.0,1440.0,6.0,6.0,56.0,78.0,6.0,22.0,57.0,333.0,45.0,1.0,,23.9454,12.0,1.0,10.0,25.0,4.0,56.0,83.0,27.0,1.0,190.0,11.0,116.0,53.0,25.0,1.0,5.0,11.0,239.0,19.0,,6.0,33.0,1.0,4.0,113.0,21.0,0.0,414.0,14.0,7.0,155.0,12.0,13.0,,1.0,130.0,14.0,10.0,8.0,102.0,633.0,2.0,11.0,3.0,5.0,103.0,11.0,6.7802,1.0,11.0,16.0,,,,,,,,,,,,,,,6.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,
40142,Andy Carroll,Forward,West Ham,21,England,2016-17,142.0,3.0,1.778,0.0,,10.0,14.0,4.4251,5.0,29.0,171.0,18.0,1.0,33.0,15.0,182.0,7.0,436.0,4.0,4.0,3.0,257.0,2.0,,3.0,7.0,1313.0,7.0,2.0,92.0,197.0,6.0,12.0,32.0,239.0,60.0,1.0,2.0,26.9264,13.0,,38.0,27.0,6.0,50.0,128.0,29.0,1.0,339.0,4.0,123.0,32.0,18.0,,2.0,9.0,176.0,21.0,,7.0,32.0,,6.0,82.0,165.0,0.0,413.0,15.0,9.0,253.0,3.0,3.0,2.0,,95.0,24.0,6.0,15.0,90.0,653.0,2.0,6.0,4.0,1.0,81.0,3.0,3.7995,3.0,11.0,16.0,,,,,,,,,,,,,,,7.0,5.0,2.0,1.0,4.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,
40669,Angelo Ogbonna,Defender,West Ham,21,Italy,2016-17,39.0,1.0,0.1896,0.0,,2.0,1.0,0.0401,27.0,1.0,75.0,20.0,,,20.0,151.0,3.0,805.0,,1.0,,62.0,4.0,,1.0,1.0,1755.0,1.0,,18.0,79.0,2.0,17.0,35.0,603.0,5.0,5.0,2.0,33.2853,6.0,14.0,96.0,31.0,1.0,21.0,221.0,4.0,0.0,118.0,3.0,350.0,91.0,20.0,,5.0,2.0,261.0,29.0,,3.0,7.0,,1.0,56.0,44.0,0.0,785.0,,1.0,178.0,22.0,4.0,14.0,,163.0,13.0,37.0,51.0,71.0,1054.0,14.0,1.0,1.0,49.0,394.0,4.0,0.1146,2.0,76.0,58.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
105717,Arthur Masuaku,Defender,West Ham,21,DR Congo,2016-17,71.0,7.0,1.0294,0.0,,1.0,,,40.0,3.0,33.0,13.0,1.0,1.0,11.0,58.0,23.0,468.0,,1.0,2.0,31.0,3.0,,7.0,,971.0,,,15.0,96.0,6.0,23.0,80.0,378.0,4.0,29.0,2.0,19.873,6.0,7.0,27.0,24.0,,56.0,170.0,10.0,0.0,167.0,15.0,173.0,89.0,13.0,,9.0,13.0,225.0,18.0,,23.0,28.0,,,136.0,16.0,0.0,460.0,3.0,2.0,148.0,31.0,30.0,1.0,,44.0,16.0,26.0,32.0,81.0,802.0,62.0,2.0,1.0,17.0,192.0,7.0,0.062,1.0,25.0,18.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,
176296,Ashley Fletcher,Forward,West Ham,21,England,2016-17,49.0,2.0,0.4914,0.0,,,5.0,1.0135,3.0,9.0,17.0,16.0,,6.0,2.0,17.0,4.0,91.0,1.0,,14.0,39.0,,,2.0,5.0,354.0,5.0,,27.0,23.0,3.0,8.0,11.0,73.0,18.0,,,12.0706,4.0,,3.0,13.0,,22.0,24.0,5.0,0.0,72.0,4.0,15.0,18.0,16.0,,1.0,5.0,55.0,10.0,,4.0,12.0,,,33.0,12.0,0.0,86.0,4.0,2.0,50.0,2.0,3.0,,,27.0,9.0,,1.0,25.0,159.0,1.0,,,,21.0,3.0,1.1999,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,West Ham,21,Senegal,2016-17,142.0,3.0,1.0247,0.0,,4.0,4.0,1.2854,76.0,17.0,115.0,31.0,,10.0,31.0,179.0,12.0,1072.0,2.0,3.0,,125.0,8.0,,3.0,3.0,2727.0,3.0,2.0,46.0,216.0,5.0,30.0,137.0,851.0,29.0,5.0,4.0,46.268,9.0,10.0,111.0,46.0,1.0,96.0,206.0,37.0,1.0,358.0,17.0,374.0,187.0,31.0,,28.0,16.0,393.0,41.0,,12.0,34.0,,1.0,233.0,79.0,0.0,1054.0,13.0,3.0,266.0,48.0,26.0,7.0,,320.0,44.0,78.0,42.0,172.0,1621.0,48.0,6.0,3.0,40.0,503.0,29.0,1.3806,3.0,64.0,60.0,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
221568,Dan Kemp,Midfielder,West Ham,21,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32259,Darren Randolph,Goalkeeper,West Ham,21,Ireland,2016-17,,,0.0881,0.0,,,,,,,,22.0,,,22.0,308.0,,625.0,,,,5.0,4.0,,,,1980.0,,,,7.0,5.0,2.0,2.0,83.0,,,3.0,39.4963,,112.0,13.0,39.0,,,27.0,2.0,0.0,7.0,,556.0,190.0,22.0,,,,197.0,34.0,,,,,,2.0,5.0,0.0,280.0,,,314.0,,1.0,,,42.0,,1.0,234.0,,819.0,,,,165.0,120.0,,,1.0,308.0,29.0,24.0,23.0,184.0,6.0,5.0,6.0,64.0,11.0,2.0,,159.0,92.0,17.0,40.0,,,,,,,,,,,,1.0,1.0,,,,,,,,
