playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,goalAssists,penaltiesConceded,savesFromPenalty,keyPassesAttemptAssists,successfulDribbles,blockedShots,totalShots,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,shotsBlockedInBox,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,interceptions,backwardPasses,substituteOff,expectedGoals,successfulCrossesOpenPlay,expectedGoalsFreekick,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,setPiecesGoals,successfulLayoffs,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,throwInsToOppositionPlayer,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,unsuccessfulLayoffs,ownGoalScored,headedGoals,otherGoals,foulWonPenalty,penaltiesTaken,rightFootGoals,penaltyGoals,clearancesOffTheLine,redCards2ndYellow
109788,João Mário,Midfielder,Besiktas,378,Portugal,2017-18,81.0,1.1152,0.0,,14.0,,72.0,13.0,12.0,80.0,442.0,,34.0,3.0,,1027.0,27.0,58.0,1.0,24.0,51.0,352.0,,15.3976,,3.0,14.0,54.0,99.0,,20.0,139.0,7.0,,97.0,76.0,13.0,,3.0,247.0,13.0,105.0,7.0,0.0,,424.0,188.0,11.0,,,119.0,14.0,10.0,654.0,1.0,126.0,7.0,,0.0,8.0,16.0,,1.0,,,15.0,17.0,4.0,12.0,13.0,35.0,2.0,9.0,39.0,2.0,8.0,5.0,,8.0,127.0,6.0,1.6623,3.0,0.0574,4.0,1.4697,5.0,,31.0,2.0,,2.0,1.0,30.0,1.0,11.0,1.0,1.0,8.0,,1.0,,1.0,1.0,18.0,,,2.0,,5.0,,,,,,2.0,,,
198501,Sead Haksabanovic,Midfielder,Malmö FF,993,Montenegro,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57531,Michail Antonio,Forward,West Ham United U21,12944,Jamaica,2017-18,158.0,0.8899,0.0,,15.0,,100.0,21.0,16.0,124.0,385.0,,98.0,4.0,,1358.0,55.0,139.0,4.0,39.0,96.0,239.0,,24.2098,3.0,14.0,23.0,103.0,83.0,,30.0,297.0,14.0,,110.0,71.0,21.0,,6.0,211.0,19.0,199.0,43.0,0.0,,382.0,353.0,9.0,,,87.0,17.0,22.0,850.0,13.0,62.0,5.0,,1.0,24.0,21.0,,1.0,,,13.0,51.0,11.0,23.0,43.0,44.0,2.0,37.0,43.0,2.0,8.0,14.0,,13.0,105.0,8.0,2.4381,12.0,,15.0,4.281,3.0,,20.0,3.0,7.0,9.0,5.0,,8.0,12.0,4.0,4.0,,23.0,8.0,,,,,23.0,,9.0,1.0,2.0,,,,1.0,,3.0,,,
163526,Edimilson Fernandes,Midfielder,Young Boys,1963,Switzerland,2017-18,42.0,0.3379,0.0,,17.0,,51.0,14.0,9.0,58.0,268.0,,26.0,,,845.0,16.0,48.0,1.0,21.0,38.0,192.0,,21.4947,,4.0,20.0,26.0,64.0,,11.0,90.0,12.0,,67.0,49.0,14.0,,8.0,112.0,19.0,64.0,10.0,0.0,,268.0,96.0,9.0,,,82.0,5.0,18.0,413.0,1.0,99.0,3.0,,1.0,7.0,14.0,,1.0,,,6.0,10.0,4.0,3.0,6.0,10.0,1.0,3.0,6.0,1.0,2.0,4.0,1.0,16.0,55.0,6.0,0.2957,1.0,,1.0,0.0324,,,9.0,,,3.0,5.0,,,1.0,1.0,1.0,,,,,,,,11.0,,3.0,,2.0,,,,,,,,,
172567,Josh Cullen,Midfielder,Burnley,90,Ireland,2017-18,1.0,0.0009,0.0,,,,1.0,2.0,,1.0,4.0,,,,,6.0,,,,1.0,,3.0,,0.6304,,,,1.0,,,,1.0,,,2.0,1.0,2.0,,,2.0,,1.0,,0.0,,3.0,1.0,,,,1.0,,,7.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
216058,Domingos Quina,Midfielder,Pafos,11097,Portugal,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2017-18,53.0,0.1078,0.0,,36.0,,54.0,26.0,15.0,122.0,573.0,,66.0,3.0,,1423.0,35.0,71.0,5.0,15.0,40.0,408.0,,28.9328,13.0,70.0,29.0,18.0,109.0,,2.0,124.0,6.0,,258.0,72.0,26.0,,12.0,160.0,24.0,58.0,31.0,0.0,,563.0,139.0,24.0,,,148.0,5.0,43.0,778.0,42.0,291.0,3.0,,1.0,68.0,37.0,,,,,2.0,2.0,2.0,3.0,5.0,4.0,,1.0,5.0,,3.0,1.0,13.0,27.0,58.0,3.0,0.1995,,,,,1.0,,,,,2.0,11.0,,,,,,,1.0,,,,,,6.0,,2.0,,,,,,,,,,3.0,
195859,Marcus Browne,Midfielder,AFC Wimbledon,2623,England,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179830,Grady Diangana,Midfielder,West Bromwich Albion,35,DR Congo,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222018,Ben Johnson,Defender,Ipswich Town,40,England,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41464,Marko Arnautovic,Forward,Crvena zvezda,214,Austria,2017-18,152.0,4.1823,1.0,,21.0,,173.0,31.0,28.0,195.0,684.0,,62.0,2.0,,2322.0,40.0,128.0,7.0,56.0,106.0,479.0,,41.0706,,32.0,48.0,112.0,169.0,,29.0,280.0,17.0,,143.0,103.0,31.0,,5.0,399.0,41.0,218.0,22.0,1.0,,672.0,387.0,16.0,,,193.0,35.0,10.0,1179.0,10.0,98.0,13.0,,5.0,22.0,29.0,,6.0,,,29.0,56.0,17.0,54.0,44.0,169.0,13.0,24.0,53.0,13.0,21.0,28.0,3.0,13.0,179.0,13.0,8.8804,6.0,,33.0,10.3957,9.0,,53.0,11.0,43.0,4.0,3.0,3.0,5.0,8.0,17.0,17.0,2.0,3.0,5.0,5.0,,,1.0,8.0,5.0,4.0,,10.0,,,,,,6.0,,,
40142,Andy Carroll,Forward,Reading,108,England,2017-18,89.0,0.3452,1.0,,3.0,,87.0,16.0,7.0,96.0,248.0,,129.0,1.0,,746.0,53.0,100.0,1.0,4.0,24.0,142.0,,10.7043,,15.0,12.0,36.0,55.0,,14.0,189.0,1.0,,76.0,24.0,16.0,,,108.0,11.0,60.0,76.0,0.0,,238.0,139.0,3.0,,,57.0,28.0,10.0,383.0,2.0,47.0,6.0,,5.0,9.0,9.0,,,,,7.0,9.0,9.0,19.0,7.0,40.0,7.0,4.0,7.0,7.0,11.0,5.0,2.0,2.0,60.0,3.0,1.8515,3.0,,8.0,1.8783,,,9.0,3.0,6.0,2.0,9.0,,3.0,3.0,2.0,2.0,,,3.0,1.0,,,,3.0,1.0,2.0,2.0,2.0,,1.0,,,,1.0,,,1.0
167522,Jordan Hugill,Forward,Rotherham United,72,England,2017-18,12.0,0.0002,0.0,,,,6.0,3.0,,6.0,9.0,,9.0,,,22.0,5.0,6.0,,,2.0,3.0,,0.062,,,,7.0,3.0,,1.0,18.0,,,1.0,1.0,3.0,,,2.0,,9.0,4.0,0.0,,9.0,9.0,,,,1.0,3.0,,15.0,,1.0,,,0.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
43020,Chicharito,Forward,Guadalajara,1283,Mexico,2017-18,106.0,1.3177,0.0,,11.0,,93.0,28.0,16.0,99.0,373.0,,48.0,,,1543.0,34.0,96.0,5.0,17.0,82.0,255.0,,34.5854,,1.0,36.0,72.0,103.0,,49.0,202.0,5.0,,66.0,48.0,28.0,,4.0,192.0,31.0,154.0,14.0,0.0,,345.0,206.0,7.0,,,108.0,15.0,19.0,629.0,1.0,88.0,5.0,,3.0,6.0,13.0,,,,,21.0,22.0,1.0,28.0,12.0,60.0,1.0,11.0,12.0,1.0,12.0,7.0,1.0,6.0,96.0,7.0,4.9725,6.0,0.0555,16.0,6.2758,4.0,,33.0,8.0,14.0,,12.0,1.0,,6.0,8.0,8.0,,,,1.0,1.0,1.0,,2.0,2.0,,,5.0,,2.0,,1.0,,5.0,,,
