playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle,goals,awayGoals,unsuccessfulLayoffs,homeGoals,penaltiesTaken,rightFootGoals,leftFootGoals,penaltyGoals,hitWoodwork,shotsOnTargetOutsideBox,oboxTarget,handballsConceded,secondGoalAssists,foulWonPenalty,headedGoals,penaltiesSaved,savesFromPenalty,drops,clearancesOffTheLine,ownGoalScored
55459,Aaron Cresswell,Defender,West Ham,21,England,2022-23,67.0,18.0,2.8503,25.0,0.0,0.1691,6.0,1.0,1.0,0.3154,21.0,3.0,1.0,144.0,28.0,1.0,2.0,12.0,24.0,208.0,55.0,1120.0,2.0,3.0,4.0,56.0,55.0,5.0,42.0,1.0,2235.0,1.0,27.0,60.0,5.0,45.0,32.0,848.0,19.0,13.0,19.0,3.0,31.4383,39.0,12.0,53.0,32.0,3.0,40.0,319.0,9.0,0.0,127.0,10.0,593.0,120.0,28.0,10.0,4.0,518.0,27.0,91.0,10.0,4.0,3.0,72.0,28.0,0.0,1084.0,2.0,17.0,338.0,11.0,2.0,11.0,4.0,47.0,9.0,27.0,31.0,64.0,161.0,1641.0,173.0,4.0,3.0,26.0,436.0,4.0,0.3484,3.0,64.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84182,Alphonse Areola,Goalkeeper,West Ham,21,France,2022-23,1.0,,0.0012,,0.0,,,,,,,,,,5.0,,,,2.0,24.0,,77.0,,,3.0,,,,,,307.0,,,,1.0,,,36.0,,,,2.0,7.2978,,2.0,1.0,7.0,,1.0,14.0,,0.0,1.0,,47.0,17.0,5.0,,,9.0,6.0,,,,,1.0,,0.0,43.0,,,25.0,,,,,16.0,1.0,,,17.0,,106.0,,,,8.0,44.0,1.0,,0.0,24.0,10.0,2.0,2.0,30.0,1.0,2.0,1.0,1.0,9.0,2.0,40.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,
40669,Angelo Ogbonna,Defender,West Ham,21,Italy,2022-23,30.0,,0.0882,17.0,0.0,,,,,,11.0,3.0,,54.0,16.0,,,10.0,13.0,83.0,,415.0,,,3.0,,55.0,4.0,,,1236.0,,20.0,51.0,2.0,6.0,16.0,311.0,,10.0,,2.0,20.192,3.0,5.0,73.0,19.0,,10.0,97.0,4.0,0.0,81.0,4.0,139.0,61.0,16.0,7.0,,74.0,17.0,,3.0,,,26.0,35.0,0.0,406.0,3.0,,87.0,4.0,1.0,7.0,,149.0,2.0,17.0,,21.0,30.0,558.0,,2.0,,13.0,258.0,,0.2632,0.0,29.0,32.0,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
222018,Ben Johnson,Defender,West Ham,21,England,2022-23,33.0,7.0,0.4123,14.0,0.0,,,1.0,,0.2198,20.0,2.0,,70.0,17.0,,2.0,10.0,9.0,123.0,9.0,456.0,1.0,,8.0,,25.0,2.0,7.0,1.0,862.0,1.0,9.0,49.0,3.0,20.0,33.0,312.0,,2.0,7.0,2.0,18.6092,3.0,2.0,24.0,13.0,,24.0,57.0,5.0,0.0,82.0,8.0,211.0,67.0,17.0,6.0,6.0,145.0,10.0,9.0,13.0,,,57.0,16.0,0.0,447.0,1.0,3.0,160.0,14.0,8.0,4.0,,138.0,3.0,9.0,,21.0,50.0,653.0,55.0,1.0,,23.0,195.0,3.0,0.0542,0.0,53.0,54.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
222017,Conor Coventry,Midfielder,West Ham,21,Ireland,2022-23,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84939,Danny Ings,Forward,West Ham,21,England,2022-23,111.0,,0.5657,32.0,0.0,,11.0,18.0,4.0,5.6309,19.0,31.0,7.0,87.0,35.0,2.0,9.0,16.0,15.0,100.0,4.0,306.0,14.0,1.0,20.0,,62.0,1.0,,8.0,1589.0,8.0,37.0,75.0,6.0,31.0,50.0,202.0,,93.0,,3.0,12.3195,13.0,,15.0,26.0,5.0,74.0,65.0,14.0,1.0,186.0,17.0,86.0,46.0,35.0,6.0,18.0,142.0,20.0,4.0,45.0,,5.0,124.0,25.0,0.0,294.0,13.0,12.0,184.0,13.0,17.0,3.0,,69.0,16.0,4.0,,4.0,86.0,552.0,,11.0,1.0,7.0,64.0,8.0,5.402,4.0,13.0,22.0,,,,,,,,,,,,,,,8.0,2.0,1.0,6.0,2.0,6.0,2.0,2.0,,,,,,,,,,,,
204480,Declan Rice,Midfielder,West Ham,21,England,2022-23,118.0,4.0,1.8716,71.0,0.0,0.0359,10.0,9.0,1.0,3.1467,79.0,26.0,4.0,177.0,37.0,2.0,6.0,39.0,36.0,249.0,19.0,2083.0,1.0,10.0,1.0,19.0,63.0,9.0,10.0,1.0,3272.0,1.0,26.0,167.0,7.0,56.0,130.0,1683.0,4.0,24.0,1.0,4.0,48.9381,35.0,,55.0,50.0,,92.0,641.0,11.0,0.0,285.0,30.0,607.0,334.0,37.0,41.0,23.0,941.0,43.0,34.0,49.0,1.0,,222.0,37.0,0.0,2037.0,17.0,14.0,367.0,38.0,40.0,15.0,1.0,601.0,23.0,63.0,12.0,151.0,234.0,2592.0,2.0,,10.0,22.0,903.0,15.0,2.4884,5.0,72.0,83.0,,,,,,,,,,,,,,,4.0,2.0,,2.0,1.0,4.0,,,1.0,4.0,4.0,,,,,,,,,
487837,Divin Mubama,Forward,West Ham,21,England,2022-23,7.0,,0.0083,,0.0,,,,,,1.0,,,3.0,3.0,,1.0,,,3.0,,8.0,,,3.0,,4.0,,,,36.0,,2.0,5.0,,,3.0,4.0,,,,,0.6661,1.0,,,,,5.0,1.0,1.0,0.0,12.0,,3.0,1.0,3.0,,1.0,2.0,,,3.0,,,8.0,2.0,0.0,7.0,,,6.0,1.0,1.0,,,2.0,3.0,,,1.0,2.0,15.0,,,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
109533,Emerson,Defender,West Ham,21,Italy,2022-23,59.0,4.0,0.816,24.0,0.0,,4.0,5.0,6.0,0.8118,26.0,7.0,,86.0,22.0,,4.0,18.0,16.0,107.0,28.0,582.0,,1.0,6.0,14.0,27.0,,7.0,3.0,1321.0,3.0,9.0,65.0,5.0,40.0,47.0,462.0,2.0,25.0,8.0,1.0,26.6209,13.0,3.0,29.0,28.0,3.0,50.0,194.0,15.0,0.0,124.0,13.0,216.0,66.0,22.0,12.0,14.0,266.0,23.0,40.0,25.0,,3.0,97.0,18.0,0.0,574.0,2.0,11.0,197.0,14.0,6.0,4.0,,32.0,13.0,15.0,9.0,13.0,140.0,921.0,90.0,7.0,1.0,7.0,216.0,11.0,0.8025,2.0,21.0,33.0,,,,,,,,,,,,,,1.0,1.0,0.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,
220585,Flynn Downes,Midfielder,West Ham,21,England,2022-23,32.0,,0.1291,21.0,0.0,,2.0,1.0,,0.0233,16.0,2.0,,35.0,21.0,,3.0,9.0,7.0,38.0,3.0,327.0,,,14.0,,21.0,,,,758.0,,12.0,39.0,3.0,19.0,30.0,284.0,,5.0,,,13.4671,2.0,,4.0,14.0,2.0,20.0,63.0,12.0,0.0,71.0,13.0,78.0,44.0,21.0,7.0,,144.0,11.0,3.0,6.0,,2.0,50.0,9.0,0.0,320.0,1.0,2.0,59.0,9.0,2.0,2.0,,96.0,8.0,7.0,,5.0,90.0,426.0,,5.0,,2.0,145.0,5.0,0.4335,2.0,3.0,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
