playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,goalAssists,successfulLayoffs,goalkeeperSmother,tacklesLost,lastPlayerTackle,cornersWon,foulAttemptedTackle,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,backwardPasses,expectedGoals,successfulCrossesOpenPlay,overruns,offsides,oboxBlocked,successfulCrossesAndCorners,throwInsToOppositionPlayer,unsuccessfulDribbles,successfulDribbles,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,secondGoalAssists,redCards2ndYellow,handballsConceded,throughBalls,shotsOnTargetOutsideBox,oboxTarget,headedGoals,ownGoalScored,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,clearancesOffTheLine,penaltiesTaken,penaltyGoals
90518,Ravel Morrison,Midfielder,D.C. United,1326,Jamaica,2013-14,84.0,0.8372,0.0,,,58.0,16.0,12.0,71.0,523.0,,,25.0,3.0,,1154.0,75.0,6.0,,14.0,67.0,400.0,,3.0,20.7894,9.0,,4.0,19.0,67.0,153.0,,19.0,0.0,159.0,131.0,66.0,16.0,,,278.0,13.0,134.0,8.0,0.0,,515.0,158.0,,,132.0,12.0,52.0,736.0,1.0,175.0,,5.0,13.0,12.0,16.0,2.0,11.0,,2.0,,4.0,5.0,6.0,4.0,1.3775,15.0,9.0,3.0,2.0,4.0,,,17.0,35.0,2.0,7.0,1.0,2.0,9.0,52.0,2.0,11.0,14.0,1.0,11.0,107.0,2.036,1.0,3.0,1.0,4.0,1.0,,25.0,33.0,4.0,2.0,4.0,1.0,,,4.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,0.081,,,
18073,Mark Noble,Midfielder,West Ham United,21,England,2013-14,150.0,4.2767,1.0,,,270.0,38.0,38.0,340.0,1977.0,,,22.0,13.0,,3343.0,196.0,9.0,,70.0,185.0,1442.0,,6.0,54.9715,52.0,23.0,40.0,46.0,139.0,469.0,,40.0,0.0,346.0,807.0,310.0,38.0,,,931.0,37.0,324.0,11.0,0.0,,1894.0,485.0,,,451.0,41.0,195.0,2566.0,37.0,735.0,,6.0,70.0,68.0,110.0,4.0,19.0,,30.0,2.0,10.0,19.0,5.0,5.0,3.1787,16.0,14.0,3.0,1.0,,,,11.0,14.0,,43.0,2.0,3.0,49.0,47.0,,11.0,80.0,18.0,71.0,250.0,2.3967,10.0,4.0,1.0,5.0,29.0,,14.0,36.0,5.0,4.0,5.0,1.0,1.0,3.0,13.0,2.0,2.0,,,,,,,35.0,14.0,18.0,,3.0,3.0,0.2113,3.0,2.0,2.0
28147,Mohamed Diamé,Midfielder,Newcastle United,4,Senegal,2013-14,266.0,2.9456,0.0,,,109.0,35.0,29.0,128.0,610.0,,,76.0,4.0,,2485.0,204.0,8.0,,54.0,178.0,454.0,,4.0,46.8305,19.0,1.0,18.0,45.0,216.0,120.0,,34.0,2.0,470.0,195.0,129.0,35.0,,,336.0,37.0,394.0,26.0,0.0,,593.0,434.0,,,157.0,46.0,28.0,1293.0,6.0,165.0,,4.0,19.0,17.0,74.0,2.0,19.0,,18.0,,17.0,17.0,12.0,17.0,2.4532,48.0,58.0,4.0,2.0,6.0,7.0,7.0,50.0,89.0,4.0,39.0,2.0,4.0,58.0,153.0,4.0,31.0,56.0,5.0,23.0,138.0,3.7196,19.0,26.0,1.0,8.0,19.0,,88.0,72.0,4.0,14.0,8.0,,,2.0,5.0,6.0,6.0,,,1.0,1.0,3.0,,,,,,,,,,,
2060,Joe Cole,Midfielder,Aston Villa,7,England,2013-14,58.0,0.6521,0.0,,,47.0,20.0,6.0,51.0,244.0,,,27.0,,,740.0,42.0,3.0,,15.0,31.0,188.0,,2.0,14.365,3.0,,9.0,15.0,42.0,46.0,,10.0,1.0,100.0,78.0,41.0,20.0,,,137.0,12.0,73.0,11.0,0.0,,242.0,106.0,,,54.0,13.0,5.0,400.0,2.0,66.0,,2.0,4.0,13.0,17.0,,11.0,,2.0,,2.0,8.0,3.0,7.0,1.6221,15.0,19.0,3.0,0.0,14.0,2.0,2.0,16.0,21.0,2.0,7.0,3.0,3.0,24.0,21.0,2.0,8.0,15.0,1.0,9.0,66.0,1.3712,4.0,4.0,8.0,1.0,10.0,,12.0,7.0,3.0,5.0,1.0,,,2.0,,2.0,2.0,,,,,1.0,,11.0,6.0,5.0,,1.0,1.0,0.143,,,
28573,Antonio Nocerino,Midfielder,West Ham United,21,Italy,2013-14,17.0,0.3806,0.0,,,23.0,10.0,2.0,28.0,104.0,,,5.0,,,254.0,13.0,,,5.0,12.0,74.0,,1.0,7.3987,4.0,1.0,14.0,6.0,13.0,27.0,,5.0,0.0,30.0,42.0,26.0,10.0,,,46.0,6.0,25.0,1.0,0.0,,101.0,42.0,,,16.0,5.0,2.0,160.0,2.0,35.0,,3.0,5.0,7.0,6.0,,2.0,,1.0,,,2.0,2.0,1.0,0.0717,1.0,3.0,,,8.0,1.0,1.0,4.0,4.0,1.0,1.0,,,5.0,5.0,1.0,,5.0,1.0,4.0,19.0,0.146,3.0,,,1.0,5.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,4.0,,1.0,,,,,,,
40142,Andy Carroll,Forward,Reading,108,England,2013-14,153.0,1.3156,1.0,,,155.0,15.0,12.0,160.0,403.0,,,231.0,,,1093.0,164.0,4.0,,11.0,30.0,232.0,,3.0,20.1702,11.0,,23.0,18.0,56.0,95.0,,23.0,0.0,317.0,127.0,28.0,15.0,,,179.0,14.0,86.0,134.0,1.0,,397.0,231.0,,,89.0,29.0,11.0,607.0,4.0,65.0,,0.0,5.0,10.0,8.0,4.0,30.0,,3.0,,11.0,6.0,9.0,14.0,1.84,42.0,2.0,2.0,2.0,3.0,8.0,8.0,97.0,97.0,5.0,5.0,0.0,,2.0,30.0,5.0,28.0,5.0,3.0,1.0,92.0,3.7736,1.0,,6.0,4.0,1.0,,8.0,4.0,1.0,5.0,4.0,,,2.0,,4.0,4.0,2.0,,2.0,,10.0,,,,,,2.0,2.0,0.222,2.0,,
17353,Ricardo Vaz Te,Forward,Charlton Athletic,33,Portugal,2013-14,33.0,0.2794,0.0,,,25.0,8.0,3.0,28.0,77.0,,,30.0,,,257.0,17.0,1.0,,4.0,8.0,48.0,,,3.6328,2.0,,5.0,4.0,12.0,28.0,,4.0,0.0,50.0,27.0,10.0,8.0,,,32.0,3.0,20.0,9.0,0.0,,77.0,51.0,,,6.0,2.0,1.0,130.0,4.0,18.0,,0.0,3.0,3.0,3.0,,3.0,,,,4.0,1.0,2.0,5.0,0.6936,8.0,7.0,2.0,1.0,5.0,3.0,3.0,21.0,18.0,1.0,1.0,1.0,2.0,7.0,7.0,1.0,3.0,3.0,,2.0,16.0,1.0059,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.0805,,,
42954,Modibo Maiga,Forward,West Ham United,21,Mali,2013-14,145.0,1.3556,0.0,,,102.0,14.0,11.0,102.0,256.0,,,199.0,3.0,,1007.0,99.0,3.0,,5.0,16.0,153.0,,1.0,14.1151,10.0,,15.0,14.0,29.0,38.0,,5.0,0.0,244.0,103.0,17.0,14.0,,,127.0,11.0,45.0,83.0,0.0,,246.0,146.0,,,50.0,12.0,1.0,367.0,,29.0,,0.0,,13.0,7.0,2.0,10.0,,1.0,,5.0,1.0,3.0,8.0,2.1445,22.0,4.0,1.0,0.0,3.0,3.0,3.0,116.0,42.0,1.0,2.0,1.0,,4.0,16.0,1.0,14.0,6.0,3.0,,65.0,2.7883,2.0,2.0,10.0,2.0,2.0,,2.0,4.0,,5.0,2.0,,,,1.0,4.0,4.0,,,1.0,,6.0,1.0,,,,,,,,2.0,,
12799,Carlton Cole,Forward,Celtic,61,England,2013-14,140.0,0.9055,0.0,,,101.0,26.0,9.0,104.0,240.0,,,145.0,,,845.0,77.0,1.0,,9.0,19.0,134.0,,,15.8722,8.0,,20.0,13.0,53.0,55.0,,11.0,2.0,217.0,85.0,15.0,26.0,,,115.0,12.0,72.0,58.0,0.0,,229.0,182.0,,,60.0,23.0,2.0,397.0,,21.0,,1.0,3.0,2.0,6.0,,16.0,,2.0,,4.0,4.0,2.0,10.0,4.2983,19.0,4.0,6.0,2.0,17.0,4.0,4.0,87.0,63.0,2.0,6.0,4.0,2.0,4.0,34.0,2.0,9.0,4.0,2.0,2.0,40.0,4.6893,,,10.0,,,,4.0,3.0,,6.0,,,,,1.0,,,,,1.0,,3.0,4.0,,,,,,,,1.0,,
149485,Elliot Lee,Midfielder,Doncaster Rovers,290,England,2013-14,1.0,,0.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,1.0,,,,,,,0.0,,1.0,1.0,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14731,Marco Borriello,Forward,West Ham United,21,Italy,2013-14,13.0,0.0018,0.0,,,7.0,2.0,,7.0,14.0,,,8.0,,,90.0,8.0,,,1.0,5.0,7.0,,,1.6561,,,,,8.0,2.0,,2.0,0.0,21.0,5.0,6.0,2.0,,,1.0,,13.0,3.0,0.0,,14.0,16.0,,,4.0,4.0,,29.0,,6.0,,0.0,,2.0,2.0,,,,,,1.0,,,,,1.0,2.0,,,2.0,,,5.0,2.0,,,,,2.0,5.0,,1.0,2.0,,,3.0,0.1746,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
