playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,setPiecesGoals,totalPasses,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalFoulsWon,winningGoal,recoveries,appearances,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,substituteOn,penaltiesConceded,shotsBlockedInBox,iboxBlocked,substituteOff,secondGoalAssists,unsuccessfulLayoffs,headedGoals,lastPlayerTackle,rightFootGoals,foulWonPenalty,ownGoalScored,redCards2ndYellow,penaltiesTaken,penaltyGoals
55459,Aaron Cresswell,Defender,West Ham,21,England,2014-15,124.0,2.0,10.0,2.8243,44.0,2.0,38.0,1.0,1348.0,2.0,7.0,0.0,2.0,4.0,4.0,33.0,4.0,91.0,1.0,2.0,55.8682,31.0,50.0,32.0,1.0,169.0,38.0,2.0,24.0,99.0,53.0,4.0,1280.0,8.0,668.0,31.0,4.0,38.0,17.0,2.0,3.0,137.0,291.0,2402.0,327.0,2.0,447.0,3.0,202.0,69.0,22.0,3.5697,0.0,0.273,10.0,18.0,173.0,4.0,6.0,38.0,375.0,95.0,4.0,87.0,9.0,4.0,25.0,3420.0,145.0,80.0,836.0,28.0,93.0,148.0,47.0,91.0,311.0,269.0,31.0,2.0,708.0,4.0,13.0,551.0,43.0,182.0,54.0,0.0,23.0,17.0,24.0,33.0,2.0,133.0,8.0,1.4726,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60706,Adrián,Goalkeeper,West Ham,21,Spain,2014-15,2.0,,,,,,38.0,,1008.0,,,0.0,,,,,4.0,4.0,,2.0,55.0852,3.0,157.0,7.0,0.0,337.0,38.0,,1.0,,1.0,,387.0,,560.0,,,39.0,2.0,,,333.0,,1409.0,,,178.0,2.0,540.0,44.0,,0.1379,1.0,,,,2.0,,,38.0,542.0,,,7.0,8.0,,,3391.0,11.0,1.0,133.0,,,29.0,47.0,2.0,51.0,13.0,,0.0,918.0,,,288.0,43.0,6.0,7.0,1.0,,,,2.0,,279.0,,,3.0,3.0,48.0,50.0,342.0,20.0,5.0,3.0,15.0,129.0,3.0,2.0,2.0,308.0,197.0,41.0,77.0,,,,,,,,,,,,,,,
21091,Alexandre Song,Midfielder,West Ham,21,Cameroon,2014-15,187.0,6.0,1.0,0.1824,92.0,17.0,28.0,,1221.0,,,0.0,2.0,,,16.0,3.0,180.0,,2.0,38.8414,25.0,3.0,52.0,0.0,250.0,28.0,,18.0,8.0,63.0,,1201.0,5.0,410.0,72.0,,265.0,52.0,1.0,,76.0,101.0,1677.0,,,381.0,4.0,57.0,50.0,2.0,1.9258,0.0,,1.0,6.0,226.0,3.0,10.0,25.0,283.0,7.0,1.0,36.0,6.0,1.0,2.0,2249.0,200.0,64.0,862.0,17.0,,31.0,32.0,171.0,310.0,387.0,27.0,0.0,545.0,1.0,20.0,559.0,29.0,351.0,20.0,0.0,2.0,39.0,7.0,41.0,2.0,5.0,39.0,0.6798,4.0,,,,,,,,,,,,,,,,,3.0,1.0,4.0,4.0,6.0,1.0,,,,,,,,,
40142,Andy Carroll,Forward,West Ham,21,England,2014-15,138.0,7.0,11.0,3.1098,7.0,,14.0,,365.0,5.0,1.0,1.0,2.0,6.0,6.0,74.0,,24.0,,2.0,13.9951,10.0,2.0,18.0,3.0,37.0,14.0,3.0,12.0,15.0,33.0,,362.0,19.0,214.0,4.0,,62.0,25.0,,,9.0,75.0,549.0,1.0,,64.0,2.0,4.0,16.0,,1.0616,0.0,,,30.0,138.0,1.0,27.0,12.0,142.0,15.0,,194.0,3.0,,,1027.0,144.0,10.0,214.0,76.0,,26.0,11.0,64.0,89.0,282.0,5.0,4.0,139.0,,3.0,159.0,11.0,88.0,120.0,0.0,10.0,1.0,,7.0,2.0,1.0,10.0,4.1352,2.0,,,,,,,,,,,,,,,,,2.0,,5.0,5.0,4.0,,2.0,2.0,,,,,,,
80254,Carl Jenkinson,Defender,West Ham,21,England,2014-15,105.0,3.0,6.0,,37.0,1.0,32.0,,863.0,,1.0,,,,,33.0,3.0,58.0,1.0,1.0,,20.0,11.0,10.0,0.0,126.0,32.0,,23.0,129.0,43.0,,857.0,4.0,466.0,27.0,,290.0,14.0,,,48.0,197.0,1695.0,265.0,,325.0,1.0,75.0,51.0,24.0,,0.0,,8.0,10.0,113.0,2.0,1.0,29.0,188.0,129.0,2.0,55.0,9.0,,25.0,2667.0,80.0,36.0,627.0,46.0,77.0,113.0,30.0,72.0,33.0,185.0,5.0,,343.0,,10.0,375.0,27.0,130.0,22.0,0.0,24.0,11.0,12.0,35.0,,52.0,8.0,,2.0,,,,,,,,,,,,,,,,,3.0,1.0,,,1.0,,1.0,,1.0,,,,,,
12799,Carlton Cole,Forward,West Ham,21,England,2014-15,123.0,3.0,6.0,0.7593,4.0,,23.0,,218.0,2.0,8.0,2.0,1.0,4.0,4.0,76.0,3.0,14.0,,,14.5734,8.0,,7.0,0.0,25.0,23.0,,5.0,2.0,25.0,,209.0,7.0,152.0,4.0,,37.0,28.0,,,,62.0,351.0,,,26.0,2.0,1.0,11.0,1.0,0.5148,0.0,,2.0,13.0,91.0,,15.0,8.0,92.0,2.0,,130.0,,,1.0,907.0,68.0,17.0,126.0,59.0,,16.0,16.0,47.0,43.0,191.0,9.0,0.0,76.0,,,101.0,13.0,61.0,54.0,0.0,6.0,4.0,1.0,3.0,1.0,,9.0,1.4232,2.0,,,,,,,,,,,,,,,,,15.0,,2.0,2.0,8.0,,2.0,1.0,,1.0,,,,,
55037,Cheikhou Kouyaté,Midfielder,West Ham,21,Senegal,2014-15,198.0,4.0,14.0,3.8068,77.0,,31.0,,890.0,4.0,1.0,2.0,4.0,4.0,4.0,70.0,3.0,141.0,,2.0,46.4652,12.0,3.0,45.0,0.0,174.0,31.0,,24.0,23.0,56.0,,887.0,15.0,312.0,57.0,,197.0,48.0,1.0,,32.0,166.0,1428.0,1.0,1.0,382.0,1.0,18.0,52.0,5.0,1.1638,0.0,,6.0,29.0,169.0,2.0,19.0,30.0,187.0,22.0,1.0,169.0,5.0,6.0,5.0,2662.0,240.0,48.0,671.0,50.0,,102.0,38.0,128.0,252.0,438.0,32.0,2.0,275.0,6.0,20.0,326.0,35.0,269.0,99.0,0.0,16.0,21.0,9.0,61.0,4.0,14.0,25.0,3.0479,5.0,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,2.0,3.0,2.0,1.0,,,,
73889,Diafra Sakho,Forward,West Ham,21,Senegal,2014-15,246.0,15.0,22.0,9.9305,20.0,1.0,23.0,,342.0,10.0,23.0,4.0,4.0,10.0,10.0,139.0,2.0,58.0,,2.0,28.6525,21.0,,17.0,3.0,65.0,23.0,,36.0,37.0,76.0,1.0,331.0,28.0,351.0,16.0,1.0,62.0,27.0,,,5.0,70.0,747.0,1.0,1.0,35.0,1.0,7.0,19.0,6.0,1.8045,0.0,0.0768,18.0,50.0,145.0,2.0,20.0,20.0,152.0,37.0,,222.0,2.0,2.0,6.0,1760.0,141.0,24.0,185.0,137.0,2.0,20.0,23.0,107.0,71.0,387.0,13.0,6.0,139.0,2.0,4.0,161.0,21.0,165.0,83.0,0.0,28.0,24.0,,15.0,4.0,2.0,10.0,8.4604,2.0,,,,,,,,,,,,,,,,,3.0,,11.0,11.0,9.0,,4.0,5.0,,5.0,,,,,
103527,Diego Poyet,Midfielder,West Ham,21,Uruguay,2014-15,6.0,,,,2.0,,3.0,,43.0,,,0.0,,,,,,4.0,,,2.2258,1.0,1.0,2.0,0.0,5.0,3.0,,1.0,,3.0,,41.0,,7.0,2.0,,17.0,2.0,,,1.0,4.0,55.0,1.0,,14.0,,1.0,,,0.015,0.0,,,,3.0,,1.0,1.0,4.0,,,1.0,,,,90.0,5.0,,38.0,,,1.0,2.0,6.0,9.0,11.0,,0.0,13.0,,,25.0,2.0,10.0,1.0,0.0,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,
149485,Elliot Lee,Midfielder,West Ham,21,England,2014-15,1.0,,,,1.0,,1.0,,2.0,,,0.0,,,,,1.0,2.0,,,0.1683,,,,0.0,,1.0,,1.0,,1.0,,2.0,,2.0,1.0,,1.0,,,,,,6.0,,,,,,,,0.0001,0.0,,,,1.0,,,,1.0,,,1.0,,,,13.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,4.0,,0.0,,,,1.0,,3.0,1.0,0.0,1.0,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
