playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,shotsOffTargetIncWoodwork,expectedGoals,catches,savesMadeFromOutsideBox,goalKicks,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,shotsOnTargetOutsideBox,ownGoalScored,oboxTarget,lastPlayerTackle,goals,awayGoals,oboxBlocked,homeGoals,rightFootGoals,leftFootGoals,headedGoals,shotsBlockedOutsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,hitWoodwork,foulWonPenalty,cornersTakenInclShortCorners,secondGoalAssists,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,savesMadeCaught,drops,otherGoals
214590,Aaron Wan-Bissaka,Defender,West Ham,21,DR Congo,2025-26,82.0,16.0,1.0003,0.0,2.0,33.0,2.0,125.0,25.0,2.0,1.0,23.0,172.0,26.0,738.0,1.0,2.0,46.0,3.0,16.0,2084.0,24.0,83.0,4.0,47.0,61.0,542.0,15.0,55.0,2.0,38.3231,16.0,13.0,94.0,43.0,58.0,59.0,12.0,0.0,165.0,20.0,319.0,75.0,25.0,10.0,17.0,358.0,39.0,26.0,32.0,119.0,22.0,0.0,734.0,6.0,319.0,23.0,16.0,7.0,237.0,23.0,40.0,2.0,24.0,123.0,1352.0,166.0,4.0,39.0,224.0,11.0,2.0,4.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159533,Adama Traoré,Forward,West Ham,21,Spain,2025-26,41.0,5.0,0.5528,0.0,1.0,2.0,1.0,21.0,24.0,,8.0,1.0,23.0,22.0,104.0,5.0,23.0,14.0,,5.0,377.0,13.0,23.0,1.0,6.0,22.0,80.0,20.0,,,4.945,3.0,,2.0,12.0,28.0,12.0,8.0,0.0,64.0,3.0,14.0,14.0,24.0,,8.0,64.0,11.0,22.0,22.0,50.0,1.0,0.0,104.0,6.0,84.0,2.0,12.0,1.0,42.0,7.0,,,1.0,36.0,217.0,2.0,1.0,1.0,22.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.178,4.0,1.0,1.0,1.0,2.0,2.0,3.0,0.1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643473,Airidas Golambeckis,Defender,West Ham,21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84182,Alphonse Areola,Goalkeeper,West Ham,21,France,2025-26,3.0,,0.0251,0.0,,,,1.0,20.0,1.0,,20.0,288.0,,540.0,,,7.0,,,1800.0,2.0,6.0,3.0,,1.0,125.0,,,5.0,35.659,,64.0,29.0,37.0,1.0,58.0,1.0,0.0,9.0,,425.0,142.0,20.0,,,95.0,34.0,,,2.0,5.0,0.0,293.0,1.0,294.0,,,,57.0,1.0,1.0,,127.0,,762.0,,,170.0,157.0,1.0,,0.0,287.0,34.0,,,,,,,,,,,,15.0,21.0,164.0,6.0,1.0,21.0,77.0,3.0,156.0,99.0,25.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220362,Axel Disasi,Defender,West Ham,21,France,2025-26,22.0,,0.0513,0.0,,14.0,,35.0,14.0,,1.0,14.0,76.0,,566.0,1.0,,31.0,6.0,,1255.0,13.0,38.0,2.0,10.0,20.0,460.0,10.0,,1.0,13.5883,1.0,4.0,49.0,17.0,9.0,200.0,4.0,0.0,60.0,8.0,187.0,32.0,14.0,4.0,,125.0,15.0,,3.0,29.0,18.0,0.0,514.0,,89.0,10.0,2.0,12.0,136.0,5.0,13.0,,30.0,43.0,711.0,1.0,1.0,16.0,365.0,1.0,,1.0,41.0,16.0,1.0,3.0,0.9141,4.0,2.0,2.0,,1.0,1.0,1.0,1.0198,,,44.0,,,,,,44.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
75115,Callum Wilson,Forward,West Ham,21,England,2025-26,97.0,1.0,0.5499,0.0,1.0,4.0,,52.0,32.0,1.0,11.0,11.0,55.0,4.0,156.0,9.0,21.0,64.0,,1.0,1243.0,45.0,50.0,3.0,13.0,31.0,100.0,85.0,,2.0,19.8453,7.0,,5.0,24.0,52.0,45.0,14.0,2.0,147.0,4.0,36.0,28.0,32.0,2.0,14.0,77.0,21.0,4.0,35.0,83.0,19.0,0.0,155.0,16.0,154.0,2.0,13.0,2.0,36.0,12.0,3.0,,1.0,39.0,381.0,4.0,9.0,,25.0,3.0,,1.0,3.0,13.0,10.0,16.0,6.837,28.0,7.0,7.0,2.0,9.0,9.0,12.0,7.6604,,,,,,,,,,,,,2.0,,2.0,,7.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,
450070,Crysencio Summerville,Forward,West Ham,21,Netherlands,2025-26,168.0,7.0,3.4227,0.0,13.0,45.0,6.0,103.0,31.0,2.0,36.0,29.0,110.0,23.0,639.0,6.0,2.0,23.0,4.0,14.0,2480.0,16.0,170.0,4.0,39.0,163.0,520.0,116.0,1.0,4.0,33.9364,26.0,1.0,30.0,42.0,152.0,210.0,67.0,2.0,338.0,13.0,164.0,120.0,31.0,20.0,54.0,360.0,38.0,45.0,93.0,315.0,7.0,0.0,629.0,23.0,335.0,25.0,51.0,4.0,68.0,49.0,16.0,,9.0,197.0,1221.0,5.0,15.0,3.0,183.0,31.0,2.0,6.0,7.0,30.0,21.0,15.0,4.4927,33.0,7.0,7.0,3.0,16.0,16.0,18.0,5.1719,,,,,,,,,,,,,3.0,,3.0,,5.0,4.0,5.0,1.0,3.0,1.0,1.0,5.0,7.0,20.0,1.0,1.0,30.0,,,,,,,,,
613804,El Hadji Malick Diouf,Defender,West Ham,21,Senegal,2025-26,118.0,25.0,2.4884,0.0,1.0,44.0,4.0,137.0,32.0,5.0,1.0,30.0,266.0,72.0,1038.0,2.0,2.0,82.0,6.0,29.0,2711.0,37.0,137.0,4.0,61.0,92.0,715.0,30.0,45.0,3.0,41.7578,24.0,21.0,116.0,47.0,81.0,321.0,25.0,0.0,255.0,18.0,468.0,126.0,32.0,24.0,24.0,413.0,43.0,79.0,43.0,173.0,45.0,0.0,1027.0,18.0,492.0,20.0,23.0,13.0,29.0,28.0,33.0,1.0,57.0,220.0,1821.0,183.0,6.0,78.0,388.0,11.0,3.0,6.0,129.0,91.0,5.0,4.0,0.1083,13.0,4.0,4.0,,1.0,1.0,9.0,0.5677,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,4.0,2.0,5.0,,,7.0,1.0,,,,,,,,
602903,Ezra Mayers,Defender,West Ham,21,England,2025-26,2.0,2.0,0.4908,0.0,,,,7.0,6.0,,1.0,,13.0,1.0,81.0,,6.0,4.0,,2.0,113.0,1.0,4.0,,5.0,1.0,64.0,3.0,1.0,1.0,3.7573,2.0,1.0,4.0,3.0,1.0,32.0,,0.0,6.0,3.0,36.0,6.0,6.0,,,46.0,3.0,1.0,1.0,2.0,3.0,0.0,81.0,,17.0,,1.0,,6.0,,1.0,,4.0,7.0,101.0,3.0,,3.0,24.0,,,0.0,6.0,4.0,1.0,,,,,,,1.0,1.0,,0.1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553742,Finlay Herrick,Goalkeeper,West Ham,21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490142,Freddie Potts,Midfielder,West Ham,21,England,2025-26,46.0,,1.0697,0.0,,29.0,,57.0,22.0,1.0,7.0,12.0,87.0,6.0,532.0,,10.0,33.0,,6.0,1167.0,13.0,65.0,4.0,19.0,45.0,418.0,8.0,,5.0,23.2312,7.0,3.0,31.0,25.0,33.0,151.0,14.0,0.0,111.0,12.0,175.0,38.0,22.0,12.0,6.0,256.0,21.0,28.0,11.0,78.0,20.0,0.0,502.0,1.0,137.0,17.0,2.0,3.0,149.0,15.0,17.0,,27.0,57.0,728.0,3.0,8.0,14.0,195.0,8.0,1.0,1.0,30.0,30.0,2.0,1.0,0.4568,1.0,1.0,1.0,,2.0,2.0,,0.2121,,,,,,,,,,,,,,,,,,,,,,,,,5.0,18.0,,,25.0,,,,,,,,,
178186,Jarrod Bowen,Forward,West Ham,21,England,2025-26,242.0,13.0,5.2425,0.0,7.0,50.0,6.0,179.0,38.0,11.0,44.0,38.0,208.0,77.0,793.0,17.0,,90.0,6.0,27.0,3405.0,57.0,185.0,5.0,80.0,152.0,569.0,165.0,1.0,6.0,57.8042,34.0,3.0,39.0,63.0,185.0,68.0,49.0,2.0,427.0,25.0,220.0,159.0,38.0,21.0,65.0,455.0,58.0,121.0,142.0,337.0,33.0,0.0,763.0,51.0,573.0,29.0,53.0,7.0,302.0,19.0,27.0,1.0,16.0,203.0,1616.0,6.0,6.0,10.0,157.0,9.0,,5.0,29.0,39.0,29.0,28.0,7.1437,50.0,13.0,13.0,4.0,19.0,19.0,22.0,7.2609,,,,,,,,,,,,,6.0,,6.0,,9.0,4.0,10.0,5.0,2.0,6.0,1.0,10.0,14.0,42.0,2.0,,57.0,,1.0,1.0,0.0728,1.0,1.0,,,
462116,Jean-Clair Todibo,Defender,West Ham,21,France,2025-26,46.0,,0.3341,1.0,1.0,38.0,,59.0,23.0,1.0,,22.0,99.0,3.0,782.0,1.0,1.0,50.0,1.0,,1817.0,25.0,69.0,3.0,17.0,44.0,658.0,9.0,,3.0,36.4018,4.0,4.0,98.0,37.0,21.0,232.0,3.0,0.0,115.0,14.0,272.0,89.0,23.0,14.0,5.0,211.0,34.0,3.0,6.0,65.0,25.0,1.0,749.0,,123.0,24.0,4.0,13.0,223.0,8.0,17.0,,25.0,55.0,1033.0,2.0,5.0,20.0,472.0,5.0,,5.0,40.0,38.0,1.0,,,1.0,,,,1.0,1.0,1.0,0.2442,,,17.0,,,,,,17.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
616957,Joshua Ajala,Forward,West Ham,21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572702,Keiber Lamadrid,Midfielder,West Ham,21,Venezuela,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233963,Konstantinos Mavropanos,Defender,West Ham,21,Greece,2025-26,71.0,1.0,0.7023,0.0,,40.0,,99.0,31.0,,,27.0,208.0,3.0,1171.0,2.0,4.0,123.0,6.0,1.0,2528.0,39.0,134.0,4.0,13.0,50.0,874.0,40.0,2.0,4.0,35.9401,4.0,13.0,194.0,43.0,32.0,214.0,9.0,1.0,205.0,9.0,444.0,103.0,31.0,15.0,,357.0,39.0,3.0,2.0,82.0,84.0,0.0,1134.0,1.0,236.0,25.0,2.0,30.0,447.0,16.0,49.0,3.0,89.0,66.0,1600.0,3.0,,50.0,607.0,6.0,,2.0,109.0,56.0,3.0,8.0,4.2854,20.0,5.0,5.0,,3.0,3.0,12.0,2.5519,,,1.0,,,,,,1.0,,,,,2.0,,,3.0,0.0,,3.0,1.0,,2.0,,,,,,,,,,,,,,,
