matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855180,1,2016-08-13 15:00:00,25,Boro,Home,140.0,11.0,3.0,6.0,3.0,,,128.0,4.0,2.0,2.0,7.0,12.0,25.0,262.0,,,17.0,27.0,22.0,5.0,2.0,4.0,,,,,,,,8.0,,,1.0,,9.0,7.0,5.0,8.0,4.0,67.0,46.0,2.0,1.0,1.0,4.0,17.0,4.0,16.0,,,9.0,10.0,4.0,,9.0,1.0,73.0,60.0,4.0,17.0,10.0,,,42.0,18.0,14.0,1.0,,2.0,1.0,,139.0,1.0,,1.0,1.0,,,13.0,1.0,,,11.0,2.0,20.0,20.0,,2.0,78.0,81.0,36.0,6.0,,4.0,4.0,2.0,316.0,2.0,1.0,71.0,44.0,26.0,,,,,133.0,133.0,,25.0,17.0,45.6,1.0,2.0,,2.0,17.0,0.0,65.0,,,,,,,6.0,,2.0,52.0,246.0,11.0,8.0,157.0,28.0,20.0,17.0,8.0,23.0,15.0,,87.0,6.0,215.0,,3.0,28.0,14.0,71.0,1.0,349.0,1.0,0.0,12.0,17.0,,20.0,3.0,538.0,19.0,8.0,10.0,9.0,11.0,0.0
855186,2,2016-08-21 13:30:00,25,Boro,Away,214.0,20.0,1.0,3.0,2.0,4.0,,161.0,3.0,,2.0,9.0,15.0,40.0,372.0,1.0,1.0,20.0,18.0,17.0,4.0,,,,,,,,,,8.0,,,,,5.0,13.0,5.0,3.0,5.0,89.0,56.0,2.0,1.0,1.0,4.0,27.0,3.0,21.0,,,1.0,5.0,,,10.0,2.0,68.0,63.0,4.0,26.0,13.0,1.0,,54.0,14.0,11.0,,,,,,182.0,2.0,,1.0,2.0,,,7.0,2.0,,,15.0,,17.0,17.0,1.0,2.0,101.0,84.0,48.0,8.0,2.0,1.0,5.0,3.0,449.0,6.0,2.0,41.0,68.0,14.0,,,,,144.0,144.0,2.0,27.0,19.0,53.1,,,,,27.0,0.0,104.0,3.0,1.0,4.0,,1.0,,2.0,,3.0,56.0,357.0,11.0,7.0,252.0,30.0,34.0,14.0,1.0,6.0,5.0,,94.0,13.0,230.0,,,33.0,17.0,83.0,,476.0,1.0,0.0,8.0,30.0,2.0,28.0,1.0,681.0,13.0,10.0,7.0,1.0,20.0,0.0
855201,3,2016-08-28 13:30:00,25,Boro,Away,215.0,25.0,2.0,5.0,3.0,,,218.0,4.0,,4.0,8.0,13.0,54.0,428.0,,2.0,15.0,21.0,31.0,5.0,1.0,2.0,,,,,,,,5.0,,,,,7.0,8.0,5.0,5.0,2.0,88.0,65.0,,,,1.0,16.0,1.0,12.0,,,4.0,8.0,5.0,,11.0,2.0,59.0,66.0,1.0,33.0,22.0,,,60.0,11.0,11.0,,,2.0,2.0,,170.0,,,,,,,7.0,,2.0,1.0,24.0,,13.0,13.0,1.0,4.0,129.0,91.0,53.0,5.0,,4.0,2.0,2.0,490.0,5.0,,50.0,102.0,25.0,,,,,132.0,132.0,3.0,30.0,21.0,59.0,,,,1.0,16.0,0.0,128.0,1.0,1.0,2.0,,,,4.0,,2.0,64.0,412.0,10.0,6.0,233.0,47.0,38.0,9.0,4.0,19.0,15.0,,105.0,5.0,301.0,2.0,,23.0,13.0,95.0,3.0,515.0,,0.0,7.0,22.0,4.0,18.0,3.0,707.0,16.0,9.0,4.0,4.0,16.0,0.0
855207,4,2016-09-10 15:00:00,25,Boro,Home,215.0,26.0,3.0,6.0,3.0,,,241.0,2.0,,2.0,12.0,27.0,40.0,450.0,,,22.0,27.0,14.0,7.0,1.0,3.0,,,,,,,1.0,9.0,,,,,,6.0,6.0,7.0,5.0,78.0,58.0,1.0,1.0,,3.0,10.0,3.0,14.0,,1.0,6.0,17.0,9.0,1.0,14.0,1.0,69.0,58.0,3.0,18.0,10.0,1.0,,69.0,5.0,8.0,,,2.0,2.0,,164.0,1.0,1.0,1.0,,1.0,,6.0,,1.0,,11.0,,12.0,12.0,1.0,2.0,148.0,81.0,56.0,6.0,,3.0,6.0,4.0,507.0,4.0,1.0,63.0,69.0,33.0,,,,,142.0,142.0,1.0,27.0,24.0,57.7,,,,,10.0,0.0,136.0,,2.0,2.0,,1.0,,5.0,,3.0,108.0,437.0,5.0,9.0,230.0,43.0,19.0,23.0,5.0,33.0,28.0,,143.0,4.0,329.0,1.0,,30.0,30.0,74.0,3.0,526.0,1.0,0.0,12.0,24.0,,25.0,1.0,736.0,21.0,8.0,13.0,6.0,19.0,0.0
855214,5,2016-09-17 17:30:00,25,Boro,Away,221.0,17.0,1.0,3.0,2.0,5.0,1.0,191.0,7.0,,2.0,4.0,21.0,36.0,409.0,,,14.0,15.0,21.0,4.0,1.0,,,,,,,,,6.0,,,,1.0,9.0,8.0,3.0,1.0,6.0,83.0,62.0,,,,4.0,20.0,4.0,20.0,,1.0,3.0,9.0,6.0,,9.0,1.0,69.0,56.0,4.0,23.0,11.0,,,62.0,15.0,5.0,,,1.0,1.0,,166.0,,,,,,,10.0,,,,13.0,,24.0,24.0,2.0,2.0,116.0,84.0,52.0,6.0,,3.0,2.0,,476.0,1.0,5.0,67.0,55.0,19.0,,,,,148.0,148.0,4.0,30.0,21.0,47.8,,3.0,,1.0,20.0,0.0,137.0,1.0,2.0,3.0,,,,3.0,,3.0,76.0,390.0,11.0,5.0,243.0,27.0,27.0,19.0,2.0,18.0,16.0,,121.0,14.0,277.0,,,21.0,21.0,68.0,3.0,502.0,,0.0,7.0,22.0,1.0,16.0,1.0,696.0,7.0,10.0,8.0,3.0,18.0,0.0
855227,6,2016-09-24 15:00:00,25,Boro,Home,171.0,11.0,1.0,5.0,4.0,4.0,1.0,120.0,5.0,,3.0,6.0,9.0,26.0,286.0,,,21.0,18.0,16.0,2.0,1.0,1.0,,,,,,,,4.0,,,,1.0,10.0,10.0,9.0,5.0,1.0,64.0,56.0,,,,2.0,18.0,2.0,20.0,,,2.0,3.0,4.0,1.0,6.0,3.0,65.0,67.0,2.0,26.0,18.0,,2.0,55.0,14.0,8.0,,,3.0,3.0,,149.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,21.0,,25.0,25.0,4.0,3.0,90.0,83.0,38.0,10.0,,1.0,3.0,2.0,365.0,6.0,,53.0,44.0,21.0,,,,,137.0,137.0,2.0,26.0,21.0,41.6,,,,,18.0,0.0,88.0,1.0,2.0,3.0,,,,2.0,,3.0,41.0,268.0,9.0,4.0,197.0,34.0,31.0,21.0,1.0,11.0,10.0,,89.0,11.0,205.0,,,29.0,13.0,76.0,,391.0,,0.0,6.0,31.0,3.0,22.0,2.0,587.0,8.0,10.0,12.0,2.0,21.0,0.0
855241,7,2016-10-01 15:00:00,25,Boro,Away,221.0,20.0,1.0,3.0,2.0,1.0,,166.0,6.0,1.0,4.0,11.0,18.0,37.0,384.0,,,15.0,18.0,20.0,4.0,,1.0,,,,,1.0,,,7.0,,,,,8.0,10.0,9.0,7.0,2.0,80.0,47.0,1.0,1.0,,3.0,10.0,2.0,10.0,,,5.0,11.0,8.0,,4.0,,52.0,63.0,3.0,22.0,16.0,,,61.0,12.0,13.0,,,3.0,1.0,1.0,164.0,1.0,1.0,1.0,,1.0,,14.0,,,,18.0,,11.0,11.0,,4.0,129.0,90.0,50.0,4.0,1.0,3.0,2.0,3.0,446.0,5.0,1.0,63.0,69.0,28.0,,,,,150.0,150.0,2.0,15.0,23.0,59.7,,2.0,,,10.0,0.0,109.0,,1.0,1.0,,1.0,,4.0,,2.0,56.0,358.0,3.0,5.0,250.0,31.0,26.0,12.0,4.0,24.0,20.0,,96.0,12.0,256.0,,1.0,32.0,20.0,80.0,2.0,482.0,,0.0,9.0,27.0,,24.0,3.0,667.0,11.0,7.0,4.0,5.0,19.0,0.0
855248,8,2016-10-16 13:30:00,25,Boro,Home,190.0,14.0,2.0,8.0,6.0,5.0,,206.0,2.0,,5.0,9.0,12.0,30.0,388.0,,,21.0,17.0,12.0,7.0,,2.0,,,,,,,,8.0,,,,,7.0,2.0,2.0,6.0,4.0,66.0,70.0,,,,3.0,16.0,,7.0,,,4.0,11.0,19.0,,14.0,,59.0,48.0,3.0,20.0,17.0,,,58.0,15.0,9.0,,,4.0,2.0,,163.0,,,,,,,3.0,,,,18.0,,11.0,11.0,1.0,5.0,124.0,78.0,52.0,6.0,,5.0,2.0,3.0,451.0,1.0,2.0,59.0,67.0,43.0,,,,,146.0,146.0,6.0,25.0,31.0,63.9,,,,,16.0,0.0,114.0,1.0,,1.0,,,,7.0,,3.0,80.0,378.0,9.0,7.0,208.0,25.0,24.0,15.0,4.0,36.0,32.0,,115.0,8.0,295.0,,,25.0,14.0,58.0,,467.0,1.0,0.0,10.0,21.0,,25.0,4.0,672.0,15.0,12.0,8.0,4.0,18.0,0.0
855253,9,2016-10-22 15:00:00,25,Boro,Away,60.0,6.0,2.0,5.0,3.0,2.0,1.0,77.0,5.0,2.0,,9.0,2.0,21.0,132.0,,,11.0,24.0,23.0,4.0,2.0,1.0,,,1.0,,1.0,,1.0,6.0,,1.0,,3.0,7.0,3.0,7.0,8.0,3.0,27.0,56.0,1.0,3.0,,8.0,20.0,4.0,13.0,,,3.0,5.0,3.0,,7.0,4.0,59.0,55.0,8.0,32.0,14.0,,1.0,39.0,13.0,6.0,,1.0,3.0,2.0,1.0,126.0,,,,,,,14.0,,3.0,,15.0,1.0,12.0,12.0,2.0,,48.0,72.0,22.0,8.0,,1.0,5.0,4.0,201.0,1.0,1.0,27.0,48.0,22.0,,,,,138.0,138.0,,29.0,13.0,25.1,1.0,,,,20.0,0.0,34.0,3.0,3.0,6.0,,,,3.0,1.0,2.0,36.0,123.0,16.0,6.0,85.0,17.0,36.0,8.0,3.0,13.0,10.0,,73.0,11.0,163.0,3.0,2.0,32.0,3.0,75.0,2.0,235.0,,0.0,11.0,20.0,,16.0,0.0,419.0,14.0,9.0,6.0,3.0,12.0,0.0
855265,10,2016-10-29 15:00:00,25,Boro,Home,140.0,25.0,,1.0,1.0,2.0,,136.0,3.0,1.0,1.0,4.0,13.0,36.0,275.0,,2.0,17.0,16.0,11.0,9.0,,,1.0,,,,,,,10.0,,,,1.0,6.0,7.0,11.0,5.0,6.0,54.0,58.0,1.0,,2.0,4.0,21.0,2.0,20.0,1.0,1.0,4.0,9.0,3.0,,10.0,2.0,59.0,52.0,4.0,28.0,15.0,,,46.0,7.0,6.0,,,2.0,1.0,,134.0,1.0,,1.0,1.0,,1.0,13.0,2.0,3.0,,15.0,,24.0,24.0,7.0,1.0,94.0,74.0,36.0,9.0,2.0,6.0,4.0,3.0,333.0,8.0,1.0,45.0,48.0,20.0,,,,,132.0,132.0,2.0,25.0,27.0,40.4,,,,1.0,21.0,0.0,75.0,3.0,,2.0,,1.0,1.0,6.0,,3.0,56.0,265.0,12.0,10.0,161.0,42.0,28.0,19.0,3.0,16.0,13.0,1.0,79.0,9.0,212.0,3.0,1.0,23.0,13.0,78.0,,357.0,,0.0,11.0,22.0,3.0,20.0,2.0,568.0,11.0,15.0,13.0,4.0,16.0,0.0
