playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedGoalsFreekick,substituteOn,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,substituteOff,throughBalls,ownGoalScored,setPiecesGoals,unsuccessfulLayoffs,foulWonPenalty,penaltyGoalsConceded,penaltiesTaken,penaltyGoals,hitWoodwork,unsuccessfulCornersIntoBox,redCards2ndYellow,lastPlayerTackle,penaltiesConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals
2051,Frank Lampard,Midfielder,Chelsea,8,England,2012-13,0.0,0.0,2.0,60.0,2.0,2.2765,27.0,31.0,1.0,13.346,36.0,53.0,191.0,29.0,1.0,51.0,21.0,225.0,6.0,1245.0,15.0,4.0,8.0,41.0,19.0,18.0,7.0,8.0,13.0,1901.0,13.0,10.0,66.0,4.0,58.0,926.0,2.0,50.0,,22.2936,30.0,4.0,26.0,20.0,8.0,50.0,379.0,12.0,10.0,126.0,7.0,401.0,114.0,29.0,9.0,1.0,3.0,566.0,16.0,21.0,17.0,8.0,108.0,8.0,1219.0,22.0,12.0,288.0,27.0,10.0,5.0,268.0,14.0,27.0,,94.0,197.0,1529.0,,41.0,12.0,462.0,,11.0136,34.0,56.0,,0.8233,8.0,20.0,20.0,11.0,3.0,30.0,15.0,5.0,5.0,,,1.0,,,6.0,5.0,1.0,11.0,,,,,,,,,,,,,,,,,,
28495,John Obi Mikel,Midfielder,Chelsea,8,Nigeria,2012-13,0.0,0.0,3.0,98.0,,0.5439,5.0,,,,51.0,6.0,107.0,22.0,,18.0,19.0,129.0,4.0,1165.0,,,,4.0,,56.0,3.0,,,1628.0,,27.0,101.0,3.0,72.0,963.0,,6.0,,22.7837,7.0,3.0,33.0,22.0,3.0,71.0,327.0,12.0,0.0,199.0,,365.0,133.0,22.0,11.0,,5.0,530.0,19.0,4.0,20.0,3.0,143.0,29.0,1139.0,6.0,1.0,167.0,40.0,9.0,5.0,311.0,35.0,32.0,,73.0,162.0,1374.0,,4.0,13.0,506.0,1.0,0.4996,22.0,41.0,,,3.0,1.0,1.0,,,,,8.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
43670,Juan Mata,Midfielder,Chelsea,8,Spain,2012-13,0.0,0.0,3.0,147.0,14.0,11.7349,24.0,24.0,4.0,8.2784,25.0,46.0,233.0,35.0,12.0,71.0,31.0,272.0,81.0,1838.0,12.0,19.0,9.0,28.0,110.0,5.0,2.0,46.0,18.0,2744.0,18.0,3.0,83.0,5.0,81.0,1468.0,27.0,140.0,,33.1973,85.0,2.0,2.0,29.0,13.0,144.0,422.0,35.0,7.0,230.0,3.0,519.0,180.0,35.0,11.0,11.0,31.0,1195.0,24.0,176.0,100.0,13.0,225.0,2.0,1804.0,22.0,30.0,608.0,14.0,21.0,1.0,554.0,15.0,21.0,,98.0,343.0,2430.0,9.0,28.0,5.0,417.0,,7.4934,39.0,31.0,2.0,0.6897,4.0,6.0,6.0,1.0,,18.0,9.0,18.0,16.0,,2.0,2.0,2.0,,,,1.0,74.0,,,,,,,,,,,,,,,,,,
111565,Lucas Piazón,Midfielder,Chelsea,8,Brazil,2012-13,0.0,0.0,0.0,,,0.029,,1.0,,0.9649,,1.0,2.0,1.0,1.0,2.0,,2.0,,18.0,,,,,,,,,1.0,16.0,1.0,,1.0,,1.0,16.0,,2.0,,,,,,,,,3.0,1.0,0.0,1.0,,9.0,1.0,1.0,,,,12.0,,,,,1.0,,18.0,,1.0,2.0,,,,2.0,,,,,4.0,20.0,,,,4.0,,0.7884,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
41450,Marko Marin,Midfielder,Chelsea,8,Germany,2012-13,0.0,0.0,2.0,10.0,3.0,0.7963,3.0,2.0,1.0,0.228,3.0,3.0,7.0,6.0,1.0,1.0,2.0,8.0,6.0,41.0,1.0,1.0,0.0,4.0,16.0,3.0,,8.0,,143.0,,3.0,6.0,1.0,6.0,31.0,5.0,6.0,1.0,3.2955,4.0,,2.0,4.0,2.0,7.0,13.0,1.0,0.0,16.0,1.0,16.0,5.0,6.0,1.0,,1.0,34.0,3.0,13.0,3.0,2.0,13.0,,37.0,1.0,2.0,33.0,2.0,2.0,,4.0,3.0,3.0,,2.0,8.0,94.0,1.0,4.0,,7.0,,0.3728,1.0,1.0,,,4.0,2.0,2.0,,1.0,,,2.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
8442,Michael Essien,Midfielder,Chelsea,8,Ghana,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78056,Oriol Romeu,Midfielder,Chelsea,8,Spain,2012-13,0.0,0.0,1.0,15.0,,0.1504,3.0,,,,6.0,2.0,14.0,6.0,,,4.0,22.0,,205.0,,,,5.0,,10.0,1.0,,,236.0,,4.0,16.0,,10.0,157.0,,1.0,,1.8486,1.0,,4.0,2.0,,11.0,66.0,4.0,0.0,31.0,,48.0,14.0,6.0,1.0,,1.0,101.0,2.0,,2.0,,21.0,6.0,203.0,2.0,,27.0,5.0,,1.0,74.0,3.0,8.0,,26.0,17.0,242.0,2.0,5.0,2.0,82.0,,0.1656,8.0,4.0,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61262,Oscar,Midfielder,Chelsea,8,Brazil,2012-13,0.0,0.0,2.0,189.0,13.0,4.8094,14.0,20.0,8.0,6.2833,86.0,46.0,213.0,34.0,5.0,58.0,24.0,230.0,56.0,1351.0,4.0,3.0,1.0,15.0,27.0,31.0,7.0,22.0,18.0,2293.0,18.0,21.0,170.0,5.0,160.0,1081.0,6.0,115.0,2.0,28.1303,42.0,3.0,32.0,28.0,12.0,168.0,389.0,37.0,2.0,359.0,3.0,370.0,118.0,34.0,27.0,,47.0,808.0,23.0,71.0,103.0,12.0,328.0,10.0,1333.0,26.0,24.0,481.0,59.0,37.0,4.0,318.0,33.0,30.0,,40.0,274.0,1970.0,25.0,15.0,12.0,335.0,3.0,5.4092,17.0,33.0,3.0,0.072,10.0,15.0,15.0,2.0,2.0,2.0,1.0,11.0,5.0,,,1.0,1.0,,1.0,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,
53392,Ramires,Midfielder,Chelsea,8,Brazil,2012-13,0.0,1.0,8.0,182.0,3.0,1.5394,10.0,12.0,10.0,3.0983,112.0,25.0,163.0,35.0,1.0,30.0,28.0,192.0,14.0,1294.0,5.0,1.0,0.0,11.0,,72.0,8.0,3.0,5.0,2521.0,5.0,32.0,225.0,5.0,185.0,1039.0,,44.0,,33.7479,19.0,5.0,47.0,32.0,5.0,150.0,335.0,46.0,0.0,407.0,5.0,415.0,157.0,35.0,27.0,,27.0,641.0,27.0,14.0,64.0,5.0,335.0,40.0,1279.0,13.0,13.0,314.0,85.0,27.0,10.0,334.0,53.0,55.0,,63.0,210.0,1793.0,9.0,11.0,20.0,464.0,1.0,2.0359,29.0,47.0,1.0,,7.0,10.0,10.0,4.0,1.0,,,3.0,3.0,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
49013,Victor Moses,Midfielder,Chelsea,8,Nigeria,2012-13,0.0,0.0,0.0,81.0,4.0,1.7736,5.0,6.0,4.0,2.0963,22.0,23.0,72.0,24.0,1.0,19.0,13.0,78.0,45.0,446.0,1.0,6.0,1.0,3.0,1.0,25.0,2.0,4.0,10.0,1214.0,10.0,16.0,72.0,2.0,63.0,360.0,,87.0,,12.8377,21.0,,7.0,11.0,8.0,65.0,101.0,20.0,0.0,153.0,0.0,101.0,62.0,24.0,5.0,,30.0,289.0,9.0,45.0,50.0,8.0,128.0,9.0,443.0,17.0,25.0,206.0,17.0,21.0,,112.0,13.0,10.0,,8.0,132.0,712.0,1.0,3.0,3.0,83.0,3.0,2.2887,6.0,13.0,2.0,,11.0,1.0,1.0,,1.0,,,8.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
