playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,penaltiesConceded,homeGoals,rightFootGoals,headedGoals,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,unsuccessfulCornersIntoBox,lastPlayerTackle,penaltiesTaken,attemptsFromSetPieces,penaltyGoals,secondGoalAssists,successfulCornersIntoBox,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,penaltiesFaced,punches,drops,otherGoals
10425,Florent Malouda,Midfielder,Chelsea,8,France,2011-12,97.0,14.0,0.0,9.0,10.0,5.0,19.0,26.0,4.0,112.0,26.0,3.0,44.0,11.0,120.0,50.0,693.0,1.0,15.0,30.0,21.0,1.0,30.0,1153.0,8.0,67.0,2.0,54.0,553.0,48.0,1.0,2.0,39.0,,9.0,23.0,89.0,205.0,15.0,2.0,164.0,216.0,73.0,26.0,4.0,17.0,437.0,21.0,,63.0,62.0,143.0,13.0,0.0,679.0,16.0,15.0,266.0,15.0,20.0,,119.0,21.0,11.0,,20.0,153.0,1016.0,15.0,7.0,2.0,166.0,,3.0,8.0,17.0,2.0,0.0,,2.0,,,,,3.0,2.0,9.0,,,1.0,,1.0,14.0,,,,,,,,,,,,,,,
2051,Frank Lampard,Midfielder,Chelsea,8,England,2011-12,76.0,5.0,0.0,23.0,25.0,3.0,41.0,42.0,22.0,165.0,30.0,5.0,110.0,26.0,202.0,14.0,1537.0,,4.0,67.0,13.0,5.0,27.0,2250.0,6.0,77.0,2.0,70.0,1213.0,66.0,,2.0,50.0,1.0,38.0,31.0,70.0,489.0,21.0,12.0,153.0,463.0,107.0,30.0,10.0,3.0,796.0,29.0,,61.0,37.0,140.0,7.0,0.0,1502.0,17.0,20.0,328.0,31.0,8.0,8.0,302.0,18.0,35.0,,122.0,283.0,1939.0,10.0,5.0,6.0,566.0,,5.0,37.0,31.0,11.0,6.0,,5.0,9.0,2.0,1.0,,4.0,,41.0,,4.0,7.0,3.0,,20.0,,,,,,,,,,,,,,,
59325,Gaël Kakuta,Midfielder,Chelsea,8,DR Congo,2011-12,5.0,,0.0,,,1.0,3.0,2.0,1.0,4.0,4.0,,6.0,,5.0,2.0,27.0,,4.0,1.0,1.0,,,67.0,,8.0,,7.0,21.0,3.0,,,,,,3.0,5.0,1.0,1.0,0.0,13.0,5.0,4.0,4.0,1.0,2.0,10.0,3.0,,3.0,5.0,12.0,1.0,0.0,26.0,2.0,1.0,15.0,2.0,3.0,,9.0,,,,1.0,12.0,47.0,,,,12.0,,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28495,John Obi Mikel,Midfielder,Chelsea,8,Nigeria,2011-12,73.0,,0.0,3.0,2.0,1.0,36.0,8.0,9.0,78.0,22.0,,32.0,15.0,107.0,,1089.0,,7.0,,37.0,2.0,,1323.0,17.0,88.0,2.0,68.0,900.0,2.0,,2.0,8.0,2.0,30.0,18.0,56.0,295.0,23.0,0.0,161.0,362.0,120.0,22.0,6.0,1.0,467.0,16.0,,,17.0,124.0,20.0,0.0,1070.0,6.0,2.0,140.0,30.0,9.0,4.0,322.0,28.0,33.0,,82.0,110.0,1285.0,4.0,5.0,15.0,515.0,,4.0,29.0,39.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
88821,Josh McEachran,Midfielder,Chelsea,8,England,2011-12,6.0,,0.0,,,,4.0,,3.0,7.0,6.0,,7.0,1.0,7.0,,129.0,,5.0,,,,,138.0,,11.0,1.0,11.0,117.0,,,,2.0,,2.0,7.0,6.0,34.0,4.0,0.0,17.0,33.0,13.0,6.0,2.0,2.0,71.0,6.0,,,4.0,17.0,,0.0,127.0,,,12.0,2.0,3.0,,32.0,1.0,5.0,,5.0,30.0,156.0,,1.0,,51.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43670,Juan Mata,Midfielder,Chelsea,8,Spain,2011-12,120.0,19.0,0.0,10.0,24.0,3.0,25.0,55.0,20.0,165.0,34.0,13.0,161.0,29.0,193.0,84.0,1486.0,16.0,5.0,118.0,3.0,4.0,61.0,2531.0,3.0,85.0,3.0,85.0,1201.0,100.0,1.0,4.0,90.0,1.0,6.0,30.0,117.0,447.0,30.0,2.0,205.0,335.0,140.0,34.0,6.0,17.0,974.0,27.0,,175.0,74.0,202.0,,0.0,1461.0,31.0,24.0,492.0,19.0,30.0,,314.0,17.0,20.0,,92.0,390.0,2072.0,21.0,14.0,3.0,380.0,2.0,2.0,28.0,29.0,6.0,0.0,,6.0,,,4.0,,9.0,6.0,71.0,,,11.0,,2.0,36.0,,,,,,,,,,,,,,,
111565,Lucas Piazón,Midfielder,Chelsea,8,Brazil,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8442,Michael Essien,Midfielder,Chelsea,8,Ghana,2011-12,48.0,1.0,0.0,7.0,3.0,1.0,21.0,13.0,,48.0,14.0,1.0,11.0,10.0,58.0,8.0,669.0,1.0,4.0,,13.0,2.0,1.0,920.0,7.0,45.0,2.0,39.0,578.0,2.0,,3.0,9.0,1.0,19.0,12.0,41.0,196.0,13.0,0.0,93.0,216.0,53.0,14.0,7.0,3.0,335.0,10.0,,8.0,15.0,80.0,6.0,0.0,655.0,10.0,2.0,89.0,14.0,5.0,6.0,180.0,17.0,12.0,,33.0,77.0,810.0,2.0,4.0,2.0,277.0,1.0,3.0,10.0,7.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
89085,Nathaniel Chalobah,Midfielder,Chelsea,8,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78056,Oriol Romeu,Midfielder,Chelsea,8,Spain,2011-12,60.0,,0.0,1.0,1.0,,37.0,6.0,1.0,63.0,16.0,,10.0,11.0,69.0,,657.0,,5.0,1.0,16.0,3.0,,952.0,8.0,59.0,2.0,51.0,538.0,1.0,,,8.0,,15.0,12.0,52.0,177.0,11.0,0.0,119.0,199.0,80.0,16.0,8.0,1.0,254.0,10.0,,1.0,10.0,103.0,8.0,0.0,649.0,5.0,2.0,85.0,29.0,3.0,2.0,198.0,15.0,34.0,,50.0,83.0,794.0,1.0,4.0,7.0,334.0,,2.0,6.0,18.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
