playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,goalAssists,foulWonPenalty,unsuccessfulCrossesOpenPlay,offsides,cornersTakenInclShortCorners,successfulCrossesAndCorners,penaltiesConceded,throwInsToOppositionPlayer,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,substituteOff,handballsConceded,rightFootGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,ownGoalScored,penaltiesSaved,savesFromPenalty,drops,crossesNotClaimed
10920,Deco,Midfielder,Chelsea,8,Portugal,2009-10,91.0,0.0,5.0,7.0,50.0,14.0,31.0,147.0,19.0,66.0,14.0,172.0,918.0,2.0,2.0,5.0,12.0,4.0,1240.0,2.0,6.0,102.0,1.0,96.0,695.0,18.0,1.0,39.0,1.0,9.0,11.0,85.0,21.0,0.0,193.0,0.0,81.0,19.0,19.0,,521.0,10.0,,54.0,181.0,6.0,0.0,895.0,7.0,15.0,279.0,31.0,25.0,1.0,,16.0,46.0,51.0,1264.0,8.0,,8.0,243.0,4.0,25.0,23.0,5.0,2.0,,23.0,,29.0,18.0,,,1.0,16.0,42.0,6.0,2.0,1.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,
10425,Florent Malouda,Midfielder,Chelsea,8,France,2009-10,157.0,1.0,17.0,22.0,31.0,46.0,23.0,191.0,33.0,93.0,26.0,216.0,1358.0,12.0,4.0,7.0,38.0,9.0,2303.0,10.0,18.0,138.0,1.0,118.0,1068.0,107.0,3.0,74.0,4.0,18.0,22.0,139.0,41.0,6.0,295.0,8.0,142.0,33.0,4.0,,891.0,21.0,1.0,99.0,257.0,20.0,0.0,1337.0,24.0,32.0,471.0,27.0,46.0,,,25.0,37.0,74.0,2020.0,32.0,,8.0,312.0,3.0,25.0,26.0,26.0,8.0,,70.0,8.0,93.0,61.0,,3.0,8.0,49.0,130.0,6.0,,3.0,34.0,50.0,,,,1.0,,,,,,,,,,,,,,,,,
2051,Frank Lampard,Midfielder,Chelsea,8,England,2009-10,140.0,0.0,33.0,52.0,75.0,108.0,65.0,316.0,36.0,176.0,36.0,366.0,1923.0,22.0,6.0,,21.0,14.0,3220.0,6.0,17.0,124.0,2.0,120.0,1415.0,118.0,4.0,100.0,3.0,42.0,32.0,123.0,29.0,8.0,264.0,16.0,148.0,36.0,26.0,1.0,1047.0,30.0,2.0,76.0,243.0,4.0,0.0,1876.0,56.0,38.0,629.0,49.0,16.0,3.0,15.0,26.0,36.0,142.0,2654.0,12.0,3.0,16.0,568.0,0.0,50.0,36.0,9.0,14.0,1.0,41.0,4.0,132.0,58.0,,1.0,1.0,26.0,143.0,2.0,4.0,19.0,40.0,83.0,,11.0,10.0,,,,,,,,,,,,,,,,,,
59325,Gaël Kakuta,Midfielder,Chelsea,8,DR Congo,2009-10,,0.0,,,,3.0,,,1.0,2.0,,,15.0,,,1.0,,,31.0,,,2.0,,2.0,15.0,1.0,,1.0,,,,,2.0,0.0,2.0,,3.0,1.0,,,9.0,,,,2.0,,0.0,15.0,3.0,1.0,1.0,,,,,,,,21.0,,,,6.0,0.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,Joe Cole,Midfielder,Chelsea,8,England,2009-10,90.0,0.0,13.0,10.0,27.0,27.0,29.0,111.0,26.0,52.0,14.0,114.0,683.0,2.0,1.0,12.0,19.0,2.0,1283.0,5.0,12.0,75.0,,68.0,556.0,55.0,2.0,24.0,1.0,6.0,13.0,78.0,13.0,0.0,165.0,1.0,73.0,26.0,7.0,,416.0,13.0,,54.0,146.0,7.0,0.0,675.0,17.0,17.0,220.0,20.0,28.0,2.0,,17.0,24.0,13.0,990.0,5.0,1.0,2.0,169.0,2.0,3.0,14.0,15.0,5.0,,37.0,3.0,9.0,16.0,,1.0,1.0,18.0,42.0,10.0,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
28495,John Obi Mikel,Midfielder,Chelsea,8,Nigeria,2009-10,121.0,0.0,3.0,1.0,60.0,9.0,5.0,110.0,25.0,34.0,21.0,136.0,1328.0,,,4.0,55.0,7.0,1744.0,2.0,37.0,123.0,1.0,105.0,1071.0,3.0,1.0,17.0,6.0,39.0,17.0,84.0,34.0,0.0,244.0,,194.0,25.0,14.0,,618.0,16.0,,28.0,189.0,18.0,0.0,1288.0,8.0,1.0,197.0,46.0,11.0,5.0,,42.0,55.0,121.0,1629.0,6.0,,16.0,577.0,3.0,26.0,44.0,3.0,1.0,,4.0,,,3.0,,,,3.0,4.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4113,Michael Ballack,Midfielder,Chelsea,8,Germany,2009-10,115.0,1.0,14.0,13.0,47.0,40.0,19.0,180.0,32.0,73.0,26.0,232.0,1627.0,4.0,1.0,6.0,41.0,10.0,2366.0,5.0,24.0,113.0,2.0,96.0,1228.0,68.0,2.0,28.0,3.0,35.0,20.0,91.0,41.0,0.0,228.0,3.0,145.0,32.0,10.0,,824.0,18.0,2.0,30.0,187.0,17.0,0.0,1599.0,27.0,9.0,328.0,37.0,8.0,9.0,3.0,54.0,50.0,167.0,2030.0,18.0,,20.0,587.0,2.0,52.0,49.0,13.0,5.0,,35.0,2.0,9.0,16.0,,2.0,2.0,6.0,41.0,7.0,2.0,,2.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,
8442,Michael Essien,Midfielder,Chelsea,8,Ghana,2009-10,60.0,0.0,14.0,11.0,25.0,25.0,6.0,79.0,14.0,26.0,13.0,114.0,933.0,3.0,0.0,1.0,31.0,8.0,1195.0,1.0,19.0,77.0,1.0,65.0,756.0,16.0,1.0,13.0,2.0,19.0,9.0,41.0,25.0,0.0,137.0,3.0,118.0,14.0,9.0,1.0,464.0,8.0,1.0,23.0,106.0,12.0,0.0,916.0,14.0,8.0,152.0,16.0,15.0,5.0,1.0,13.0,34.0,63.0,1167.0,14.0,,10.0,358.0,2.0,35.0,31.0,2.0,,,7.0,1.0,,3.0,,,,8.0,7.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
62398,Nemanja Matic,Midfielder,Chelsea,8,Serbia,2009-10,3.0,0.0,,,5.0,1.0,,7.0,2.0,2.0,,9.0,39.0,,,2.0,2.0,,40.0,,1.0,6.0,,5.0,30.0,,,,,1.0,,2.0,,0.0,9.0,,2.0,2.0,1.0,,17.0,,,,7.0,1.0,0.0,38.0,1.0,,9.0,4.0,,,,1.0,,,48.0,,,1.0,13.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37352,Salomon Kalou,Midfielder,Chelsea,8,Cote d’Ivoire,2009-10,76.0,0.0,6.0,12.0,16.0,31.0,12.0,62.0,23.0,46.0,11.0,68.0,356.0,5.0,0.0,12.0,23.0,,955.0,5.0,18.0,47.0,,42.0,280.0,90.0,2.0,30.0,,6.0,11.0,58.0,9.0,2.0,123.0,5.0,38.0,23.0,2.0,,227.0,11.0,1.0,38.0,100.0,5.0,0.0,355.0,19.0,11.0,131.0,14.0,17.0,1.0,,17.0,6.0,8.0,555.0,4.0,2.0,,65.0,2.0,6.0,9.0,4.0,3.0,1.0,20.0,7.0,1.0,4.0,,,1.0,15.0,20.0,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
