playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedGoalsOnTargetConceded,expectedAssists,totalRedCards,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,gamesPlayed,successfulPassesOppositionHalf,totalPasses,groundDuels,straightRedCards,openPlayPasses,substituteOn,leftsidePasses,totalFoulsConceded,backwardPasses,timePlayed,touches,successfulPassesOwnHalf,successfulShortPasses,yellowCards,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,totalFoulsWon,putthroughBlockedDistributionWon,homeGoals,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,interceptions,successfulLongPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,expectedGoalsFreekick,foulWonPenalty,substituteOff,lastPlayerTackle,clearancesOffTheLine,headedGoals,penaltiesTaken,penaltyGoals,penaltiesConceded,ownGoalScored,setPiecesGoals,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesFaced,drops
17878,Cesc Fàbregas,Midfielder,Chelsea,8,Spain,2014-15,205.0,27.8216,11.296,1.0,168.0,712.0,2.0,395.0,1023.0,265.0,34.0,34.0,1622.0,2743.0,330.0,1.0,2597.0,1.0,632.0,30.0,376.0,2886.0,3398.0,772.0,2154.0,11.0,9.0,16.0,17.0,2.0,3.3755,90.0,27.0,35.0,310.0,18.0,73.0,33.0,407.0,22.0,3.0,1.0,3.0,13.0,150.0,65.0,10.0,7.0,58.0,7.0,7.0,1.0,37.0,190.0,4.0,80.0,162.0,97.0,,2.0,77.0,2.0,30.0,26.0,3.0,36.0,38.0,0.0,7.0,3.0,17.0,,23.0,22.0,,140.0,70.0,3.0,28.0,10.0,27.0,667.0,73.0,36.0,5.0,24.0,182.0,9.0,1.0,13.0,9.0,20.0,2.9789,97.0,60.0,3.0,44.0,4.0,4.0,90.0,1.0,0.3002,1.0,8.0,,,,,,,,,,,,,,,,,,,,,
104953,Christian Atsu,Midfielder,Chelsea,8,Ghana,2014-15,4.0,,,0.0,3.0,5.0,0.0,11.0,17.0,10.0,5.0,5.0,35.0,67.0,8.0,0.0,67.0,4.0,26.0,,19.0,110.0,92.0,17.0,50.0,0.0,1.0,1.0,1.0,2.0,,1.0,3.0,3.0,16.0,1.0,1.0,1.0,16.0,,,,,,,3.0,,,1.0,,,,1.0,7.0,,2.0,5.0,18.0,,1.0,4.0,,1.0,5.0,,,2.0,,,,,,2.0,5.0,,,3.0,,2.0,2.0,1.0,24.0,1.0,4.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
112516,Isaiah Brown,Midfielder,Chelsea,8,England,2014-15,,,0.016,0.0,,4.0,0.0,1.0,3.0,,1.0,1.0,7.0,11.0,,0.0,11.0,1.0,3.0,,1.0,11.0,11.0,1.0,8.0,0.0,,,,,,,,,3.0,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28495,John Obi Mikel,Midfielder,Chelsea,8,Nigeria,2014-15,41.0,7.4309,0.3789,0.0,34.0,131.0,0.0,79.0,173.0,60.0,18.0,18.0,260.0,527.0,64.0,0.0,522.0,12.0,154.0,14.0,69.0,696.0,625.0,218.0,456.0,1.0,,,1.0,,0.0518,21.0,3.0,2.0,34.0,1.0,13.0,6.0,49.0,3.0,,,,,,15.0,1.0,,,1.0,1.0,,7.0,38.0,,18.0,30.0,3.0,,,1.0,2.0,13.0,8.0,,3.0,15.0,,,,5.0,,2.0,8.0,,3.0,6.0,,8.0,2.0,1.0,65.0,16.0,7.0,1.0,14.0,22.0,,,,7.0,11.0,0.3184,15.0,11.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
66733,Juan Cuadrado,Midfielder,Chelsea,8,Colombia,2014-15,38.0,1.7703,0.8101,0.0,34.0,32.0,0.0,67.0,35.0,22.0,12.0,12.0,139.0,184.0,61.0,0.0,182.0,8.0,60.0,5.0,57.0,311.0,288.0,32.0,163.0,2.0,2.0,1.0,3.0,3.0,1.868,12.0,7.0,,12.0,,14.0,4.0,16.0,10.0,,,,,6.0,6.0,,,3.0,3.0,3.0,,4.0,29.0,,10.0,27.0,30.0,,,6.0,1.0,2.0,1.0,1.0,10.0,7.0,,,,3.0,,9.0,1.0,,15.0,21.0,1.0,2.0,4.0,7.0,59.0,9.0,5.0,,5.0,5.0,2.0,,,1.0,4.0,1.7165,4.0,3.0,,1.0,,,5.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
126186,Lewis Baker,Midfielder,Chelsea,8,Jamaica,2014-15,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89085,Nathaniel Chalobah,Midfielder,Chelsea,8,England,2014-15,9.0,2.8444,0.0283,0.0,8.0,23.0,0.0,10.0,11.0,7.0,4.0,4.0,20.0,58.0,9.0,0.0,58.0,4.0,14.0,4.0,10.0,66.0,71.0,31.0,49.0,1.0,,,,,,,1.0,,4.0,,2.0,,7.0,,,,,,,1.0,,,,,,,1.0,1.0,,3.0,1.0,1.0,,,,,1.0,3.0,,1.0,3.0,,,,,,,3.0,,,3.0,,,1.0,,12.0,,,,2.0,2.0,,,,,1.0,0.0301,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62398,Nemanja Matic,Midfielder,Chelsea,8,Serbia,2014-15,222.0,29.1609,2.7038,1.0,179.0,620.0,1.0,500.0,728.0,312.0,36.0,36.0,1043.0,2298.0,381.0,1.0,2270.0,1.0,659.0,47.0,291.0,3123.0,2925.0,948.0,1866.0,10.0,5.0,6.0,10.0,2.0,3.0042,129.0,23.0,4.0,247.0,3.0,26.0,35.0,312.0,20.0,1.0,7.0,1.0,3.0,,119.0,16.0,6.0,5.0,3.0,3.0,,43.0,278.0,5.0,74.0,202.0,45.0,,3.0,21.0,3.0,116.0,28.0,3.0,22.0,47.0,0.0,6.0,,28.0,1.0,14.0,23.0,,20.0,57.0,3.0,76.0,13.0,6.0,416.0,101.0,52.0,7.0,72.0,120.0,3.0,,3.0,28.0,32.0,2.5361,65.0,82.0,,,2.0,2.0,,2.0,0.193,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
61262,Oscar,Midfielder,Chelsea,8,Brazil,2014-15,179.0,18.3847,3.806,0.0,141.0,338.0,3.0,301.0,396.0,131.0,28.0,28.0,760.0,1292.0,232.0,0.0,1263.0,2.0,330.0,35.0,228.0,2034.0,1714.0,313.0,1023.0,5.0,5.0,26.0,23.0,7.0,5.9826,51.0,46.0,5.0,190.0,8.0,51.0,26.0,225.0,24.0,6.0,4.0,3.0,16.0,7.0,69.0,2.0,7.0,6.0,10.0,10.0,5.0,38.0,122.0,4.0,47.0,91.0,93.0,,2.0,29.0,4.0,31.0,14.0,10.0,22.0,25.0,3.0,7.0,6.0,9.0,,31.0,10.0,,32.0,72.0,10.0,31.0,23.0,20.0,373.0,42.0,18.0,2.0,15.0,44.0,12.0,2.0,16.0,11.0,26.0,5.4893,35.0,34.0,,1.0,6.0,6.0,5.0,,0.5143,,20.0,,,,,,,,1.0,,,,,,,,,,,,,
53392,Ramires,Midfielder,Chelsea,8,Brazil,2014-15,95.0,11.9744,1.4205,0.0,70.0,109.0,0.0,176.0,179.0,55.0,23.0,23.0,280.0,544.0,128.0,0.0,539.0,12.0,176.0,19.0,80.0,1102.0,752.0,154.0,414.0,4.0,1.0,5.0,5.0,2.0,2.1716,27.0,12.0,4.0,91.0,4.0,11.0,11.0,111.0,9.0,2.0,1.0,2.0,2.0,,48.0,3.0,1.0,1.0,2.0,2.0,,25.0,81.0,2.0,25.0,58.0,30.0,1.0,,6.0,,23.0,13.0,3.0,18.0,14.0,0.0,1.0,1.0,3.0,1.0,16.0,11.0,,9.0,35.0,3.0,23.0,7.0,9.0,177.0,24.0,14.0,,13.0,19.0,1.0,1.0,2.0,5.0,11.0,1.6781,20.0,25.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
