playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,substituteOn,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,unsuccessfulShortPasses,penaltiesConceded,savesFromPenalty,drops,totalFoulsConceded,interceptions,foulAttemptedTackle,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,putthroughBlockedDistribution,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,hitWoodwork,leftFootGoals,clearancesOffTheLine,handballsConceded,throughBalls,ownGoalScored,rightFootGoals,redCards2ndYellow,unsuccessfulLayoffs,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,setPiecesGoals,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,foulWonPenalty
82660,Marco van Ginkel,Midfielder,PSV,204,Netherlands,2015-16,53.0,,0.0,,,17.0,8.0,66.0,372.0,,9.0,26.0,,,752.0,55.0,1.0,42.0,289.0,,,1.0,16.0,11.0,40.0,85.0,,9.0,108.0,,125.0,34.0,17.0,,176.0,10.0,82.0,13.0,0.0,,361.0,107.0,,,104.0,17.0,534.0,4.0,131.0,,0.0,10.0,12.0,,56.0,,,,14.0,22.0,7.0,1.0,,4.0,2.0,,28.0,8.0,,20.0,8.0,,,,,1.0,,,13.0,20.0,1.0,5.0,,12.0,,9.0,4.0,,9.0,,,6.0,1.0,19.0,5.0,2.0,,58.0,3.0,5.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,
17878,Cesc Fàbregas,Midfielder,Monaco,146,Spain,2015-16,178.0,8.8979,0.0,,,37.0,33.0,454.0,2829.0,,4.0,41.0,7.0,,2896.0,190.0,9.0,168.0,2191.0,,43.1392,3.0,19.0,45.0,159.0,691.0,,42.0,368.0,,1164.0,253.0,37.0,,1581.0,36.0,327.0,22.0,0.0,,2685.0,645.0,,,626.0,184.0,3395.0,6.0,817.0,,5.0,116.0,82.0,,338.0,,,,38.0,23.0,25.0,7.0,0.2751,12.0,19.0,5.0574,103.0,33.0,7.0,95.0,27.0,5.0,4.0,8.0,9.0,23.0,5.0,5.0,19.0,103.0,2.0,60.0,4.0,58.0,9.0,28.0,19.0,,82.0,3.0,4.0,14.0,19.0,75.0,23.0,7.0,3.0,348.0,11.0,8.0,8.0,4.0777,,,,3.0,33.0,,5.0,,3.0,67.0,44.0,1.0,13.0,2.0,2.0,
61262,Oscar,Midfielder,Chelsea,8,Brazil,2015-16,138.0,3.4325,0.0,,,27.0,20.0,197.0,1040.0,,7.0,34.0,2.0,,1773.0,134.0,5.0,122.0,780.0,,22.1581,3.0,21.0,23.0,116.0,325.0,,35.0,272.0,,324.0,102.0,27.0,,590.0,18.0,238.0,12.0,0.0,,1024.0,344.0,,,211.0,63.0,1451.0,8.0,263.0,,4.0,29.0,39.0,,168.0,,,,18.0,13.0,12.0,8.0,0.0524,20.0,16.0,4.0517,62.0,32.0,3.0,47.0,20.0,3.0,2.0,10.0,5.0,10.0,8.0,8.0,22.0,43.0,,26.0,10.0,13.0,5.0,10.0,36.0,,28.0,1.0,10.0,16.0,15.0,52.0,25.0,2.0,1.0,180.0,16.0,12.0,10.0,5.5344,,,,,6.0,,3.0,,1.0,7.0,5.0,1.0,2.0,2.0,1.0,
28495,John Obi Mikel,Midfielder,Stoke City,110,Nigeria,2015-16,109.0,0.4192,0.0,,,25.0,19.0,130.0,1243.0,,6.0,47.0,5.0,,1783.0,100.0,7.0,82.0,1066.0,,25.6016,3.0,34.0,26.0,80.0,298.0,,11.0,209.0,,430.0,157.0,25.0,,524.0,19.0,162.0,18.0,0.0,,1219.0,170.0,,,356.0,47.0,1469.0,18.0,589.0,,6.0,40.0,38.0,,90.0,,,,32.0,32.0,23.0,,,1.0,,,52.0,6.0,1.0,13.0,3.0,,,1.0,,,,,29.0,25.0,,4.0,,16.0,,15.0,3.0,,3.0,,,6.0,2.0,37.0,20.0,8.0,,159.0,2.0,4.0,1.0,0.7132,,,,,,,,,1.0,,,,,,,
126187,Ruben Loftus-Cheek,Midfielder,Milan,120,England,2015-16,39.0,0.2904,0.0,,,13.0,4.0,30.0,243.0,,9.0,15.0,1.0,,407.0,41.0,3.0,34.0,205.0,,9.0672,,4.0,8.0,31.0,49.0,,14.0,80.0,,72.0,24.0,13.0,,140.0,5.0,65.0,7.0,0.0,,239.0,70.0,,,63.0,8.0,359.0,,73.0,,0.0,2.0,3.0,,28.0,,,,4.0,5.0,3.0,,,5.0,3.0,0.5945,11.0,7.0,,16.0,1.0,1.0,1.0,2.0,,,2.0,2.0,8.0,15.0,,4.0,3.0,13.0,,2.0,11.0,,1.0,,3.0,4.0,6.0,9.0,10.0,,,59.0,,2.0,2.0,0.7797,,,,,1.0,,1.0,,1.0,,,,,,,1.0
49013,Victor Moses,Midfielder,Luton Town,102,Nigeria,2015-16,83.0,,0.0,,,21.0,13.0,56.0,280.0,,8.0,21.0,,,981.0,71.0,3.0,64.0,218.0,,,1.0,3.0,19.0,69.0,54.0,,20.0,154.0,,73.0,54.0,21.0,,183.0,16.0,133.0,7.0,0.0,,276.0,167.0,,,71.0,6.0,526.0,4.0,49.0,,0.0,6.0,13.0,,50.0,,,,17.0,10.0,6.0,4.0,,6.0,4.0,,13.0,16.0,2.0,24.0,25.0,1.0,6.0,,,8.0,,,14.0,26.0,1.0,14.0,,13.0,,6.0,35.0,,27.0,,,12.0,9.0,7.0,31.0,2.0,,82.0,5.0,11.0,,,1.0,,,5.0,1.0,,1.0,,2.0,6.0,2.0,,4.0,,,
66733,Juan Cuadrado,Midfielder,Atalanta,456,Colombia,2015-16,2.0,0.0047,0.0,,,1.0,,,9.0,,1.0,1.0,,,26.0,3.0,1.0,3.0,8.0,,1.3416,1.0,1.0,2.0,1.0,2.0,,2.0,5.0,,1.0,4.0,1.0,,6.0,1.0,4.0,,0.0,,9.0,2.0,,,5.0,1.0,19.0,,3.0,,0.0,,,,,,,,,1.0,,,,,1.0,0.0447,,1.0,,,1.0,,,,,,1.0,1.0,1.0,2.0,,,,2.0,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.0608,,,,,,,,,,,,,,,,
62398,Nemanja Matic,Midfielder,Lyon,143,Serbia,2015-16,164.0,1.9311,1.0,,,33.0,28.0,191.0,1607.0,,5.0,82.0,5.0,,2421.0,176.0,6.0,138.0,1342.0,,34.1164,5.0,47.0,36.0,120.0,379.0,,17.0,340.0,,513.0,228.0,33.0,,765.0,30.0,258.0,38.0,0.0,,1576.0,302.0,,,526.0,74.0,2073.0,14.0,654.0,,4.0,35.0,52.0,,156.0,2.0,,,38.0,67.0,24.0,3.0,0.0734,14.0,8.0,2.0076,84.0,20.0,2.0,18.0,15.0,2.0,2.0,11.0,3.0,3.0,3.0,3.0,44.0,53.0,,17.0,3.0,31.0,3.0,21.0,15.0,,17.0,1.0,3.0,12.0,11.0,63.0,38.0,10.0,1.0,189.0,4.0,8.0,11.0,3.1287,1.0,2.0,,1.0,2.0,,,1.0,1.0,2.0,,,,,,1.0
160190,Kasey Palmer,Midfielder,Luton Town,102,Jamaica,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135421,Charlie Colkett,Midfielder,Gateshead,447,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
