playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,setPiecesGoals,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltyGoalsConceded,keyPassesAttemptAssists,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,freekickTotal,attemptsFromSetPieces,throwInsToOwnPlayer,hitWoodwork,handballsConceded,expectedGoalsFreekick,overruns,goalAssists,foulWonPenalty,unsuccessfulCrossesOpenPlay,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,headedGoals,cornersWon,penaltyGoals,substituteOff,shotsBlockedOutsideBox,successfulCrossesOpenPlay,throwInsToOppositionPlayer,successfulLaunches,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,clearancesOffTheLine,lastPlayerTackle,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,secondGoalAssists
8742,Alou Diarra,Midfielder,West Ham,21,France,2012-13,10.0,0.013,0.0,1.0,6.0,1.0,12.0,3.0,1.0,1.0,13.0,66.0,2.0,6.0,138.0,14.0,1.0,8.0,51.0,2.0,3.5616,6.0,3.0,2.0,10.0,20.0,1.0,0.0,24.0,28.0,8.0,3.0,4.0,34.0,2.0,3.0,2.0,18.0,6.0,0.0,66.0,1.0,16.0,2.0,1.0,2.0,12.0,4.0,1.0,2.0,6.0,88.0,1.0,19.0,0.2751,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149485,Elliot Lee,Midfielder,West Ham,21,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5716,Gary O'Neil,Midfielder,West Ham,21,England,2012-13,79.0,2.4234,0.0,2.0,34.0,9.0,134.0,24.0,9.0,17.0,174.0,774.0,7.0,25.0,1441.0,61.0,6.0,52.0,533.0,17.0,22.4332,30.0,17.0,2.0,63.0,172.0,13.0,2.0,140.0,297.0,113.0,24.0,7.0,382.0,11.0,21.0,2.0,115.0,9.0,0.0,744.0,5.0,276.0,27.0,5.0,4.0,204.0,23.0,26.0,67.0,101.0,1058.0,17.0,245.0,0.4322,2.0,40.0,36.0,4.0,0.623,1.0,,1.0,2.0,0.0,2.0,4.0,4.0,16.0,1.0,34.0,1.0,,6.0,52.0,,,1.0,,1.0,,3.0,3.0,,32.0,4.0,2.0,27.0,,1.0,,2.0,,6.0,,7.0,2.0,13.0,,15.0,32.0,12.0,18.0,1.0,,,,,,,,,,,,,,,,,,
105320,George Moncur,Midfielder,West Ham,21,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49414,Jack Collison,Midfielder,West Ham,21,Wales,2012-13,32.0,0.7335,0.0,3.0,7.0,8.0,45.0,17.0,8.0,5.0,51.0,232.0,12.0,9.0,627.0,16.0,5.0,13.0,175.0,12.0,13.0041,17.0,14.0,1.0,26.0,37.0,3.0,2.0,48.0,72.0,27.0,17.0,3.0,95.0,9.0,14.0,1.0,39.0,3.0,0.0,230.0,1.0,84.0,4.0,3.0,,68.0,10.0,4.0,6.0,55.0,321.0,3.0,90.0,1.2554,2.0,6.0,12.0,7.0,2.1968,,,2.0,1.0,2.0,3.0,5.0,5.0,6.0,1.0,10.0,1.0,1.0,7.0,11.0,,,1.0,,5.0,,1.0,,,10.0,,5.0,4.0,,0.0,,5.0,,4.0,,3.0,3.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2060,Joe Cole,Midfielder,West Ham,21,England,2012-13,58.0,1.3715,0.0,7.0,13.0,15.0,52.0,17.0,15.0,7.0,59.0,333.0,10.0,20.0,784.0,34.0,7.0,28.0,267.0,26.0,10.9518,3.0,18.0,2.0,44.0,62.0,12.0,0.0,92.0,112.0,52.0,17.0,4.0,207.0,11.0,34.0,2.0,72.0,6.0,0.0,327.0,9.0,164.0,9.0,3.0,,74.0,9.0,7.0,7.0,85.0,544.0,4.0,89.0,1.5814,2.0,7.0,13.0,6.0,1.9966,3.0,,3.0,10.0,1.0,7.0,3.0,3.0,14.0,2.0,19.0,,3.0,8.0,61.0,,,3.0,,1.0,,1.0,,,38.0,,1.0,22.0,1.0,2.0,,1.0,,7.0,,4.0,7.0,6.0,,,33.0,13.0,18.0,,,,,,,,,,,,,,,,,,,
5306,Kevin Nolan,Midfielder,West Ham,21,England,2012-13,192.0,3.1263,0.0,23.0,59.0,55.0,196.0,35.0,42.0,35.0,217.0,1018.0,,59.0,2990.0,96.0,12.0,78.0,763.0,159.0,47.1003,44.0,46.0,33.0,151.0,249.0,15.0,10.0,288.0,302.0,156.0,35.0,18.0,453.0,34.0,53.0,33.0,229.0,18.0,0.0,1017.0,23.0,334.0,41.0,4.0,11.0,218.0,64.0,31.0,38.0,249.0,1442.0,11.0,355.0,13.4255,6.0,21.0,35.0,32.0,12.1156,5.0,,10.0,16.0,2.0,10.0,34.0,34.0,41.0,1.0,26.0,6.0,3.0,5.0,29.0,2.0,2.0,2.0,1.0,1.0,0.1954,,2.0,,29.0,7.0,7.0,7.0,5.0,8.0,,7.0,1.0,16.0,,9.0,10.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
18073,Mark Noble,Midfielder,West Ham,21,England,2012-13,119.0,3.8357,0.0,6.0,100.0,8.0,188.0,28.0,8.0,25.0,252.0,1447.0,3.0,17.0,2286.0,141.0,7.0,136.0,1089.0,7.0,35.8393,30.0,36.0,,107.0,332.0,25.0,0.0,260.0,608.0,220.0,28.0,25.0,696.0,29.0,38.0,,243.0,5.0,0.0,1385.0,3.0,431.0,75.0,11.0,6.0,295.0,35.0,50.0,106.0,212.0,1958.0,25.0,535.0,2.8622,7.0,64.0,43.0,5.0,3.1117,3.0,1.0,4.0,,0.0,11.0,1.0,1.0,12.0,1.0,38.0,4.0,,7.0,113.0,5.0,3.0,7.0,,2.0,0.1816,,3.0,,24.0,7.0,2.0,36.0,1.0,4.0,3.0,2.0,,15.0,3.0,3.0,11.0,9.0,1.0,6.0,92.0,22.0,66.0,,,,,,,,,,,,,,,,,,1.0,
18818,Matthew Jarvis,Midfielder,West Ham,21,England,2012-13,127.0,5.9393,0.0,6.0,22.0,19.0,132.0,32.0,19.0,29.0,149.0,591.0,3.0,49.0,2565.0,84.0,11.0,66.0,428.0,99.0,44.4534,29.0,40.0,10.0,96.0,144.0,27.0,2.0,211.0,190.0,76.0,32.0,7.0,376.0,29.0,71.0,10.0,162.0,18.0,0.0,591.0,8.0,422.0,15.0,17.0,,48.0,8.0,16.0,14.0,209.0,1103.0,11.0,127.0,1.9663,0.0,17.0,35.0,11.0,2.8173,1.0,,2.0,6.0,1.0,,17.0,17.0,31.0,1.0,46.0,1.0,,29.0,159.0,,,6.0,,1.0,,11.0,,,154.0,3.0,,61.0,,1.0,,,1.0,38.0,,9.0,,58.0,,7.0,7.0,3.0,4.0,,,,,,,,,,,,,,,,,,,1.0
3289,Matthew Taylor,Midfielder,West Ham,21,England,2012-13,78.0,1.6819,0.0,13.0,21.0,20.0,99.0,28.0,12.0,14.0,139.0,466.0,14.0,48.0,1370.0,56.0,5.0,35.0,300.0,30.0,24.8969,42.0,24.0,10.0,51.0,93.0,10.0,0.0,134.0,193.0,70.0,28.0,5.0,241.0,19.0,28.0,10.0,86.0,21.0,0.0,459.0,11.0,302.0,16.0,4.0,7.0,76.0,12.0,15.0,27.0,104.0,838.0,26.0,116.0,2.57,2.0,40.0,28.0,9.0,2.0869,,,1.0,6.0,0.0,10.0,8.0,8.0,27.0,1.0,19.0,,1.0,5.0,91.0,8.0,5.0,23.0,,,0.3321,2.0,2.0,,56.0,4.0,10.0,30.0,,1.0,,10.0,,20.0,,6.0,10.0,14.0,8.0,3.0,43.0,13.0,27.0,,,,,,,,,,,,,,,,,,1.0,
