playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,totalShots,substituteOn,aerialDuelsLost,totalTouchesInOppositionBox,unsuccessfulDribbles,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,backwardPasses,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,cornersWon,successfulDribbles,attemptsFromSetPieces,clearancesOffTheLine,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,throughBalls,rightFootGoals,leftFootGoals,overruns,throwInsToOppositionPlayer,secondGoalAssists,ownGoalScored,lastPlayerTackle,redCards2ndYellow,successfulCornersIntoBox,goalkeeperSmother,foulWonPenalty,penaltiesTaken,penaltyGoals,setPiecesGoals
8742,Alou Diarra,Midfielder,West Ham,21,France,2013-14,7.0,0.0045,0.0,,,6.0,3.0,1.0,9.0,30.0,,,3.0,,,113.0,4.0,,,,2.0,20.0,,,1.657,1.0,2.0,9.0,2.0,6.0,8.0,,,0.0,11.0,11.0,2.0,3.0,,,6.0,2.0,8.0,2.0,0.0,,30.0,10.0,,,8.0,4.0,1.0,47.0,3.0,15.0,,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,0.1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28573,Antonio Nocerino,Midfielder,West Ham,21,Italy,2013-14,17.0,0.3806,0.0,,,23.0,10.0,2.0,28.0,104.0,,,5.0,,,254.0,13.0,,,5.0,12.0,74.0,,1.0,7.3987,4.0,1.0,14.0,6.0,13.0,27.0,,5.0,0.0,30.0,42.0,26.0,10.0,,,46.0,6.0,25.0,1.0,0.0,,101.0,42.0,,,16.0,5.0,2.0,160.0,2.0,35.0,,3.0,5.0,7.0,6.0,1.0,8.0,4.0,4.0,1.0,5.0,,5.0,1.0,4.0,19.0,2.0,0.146,3.0,,2.0,1.0,0.0717,,2.0,3.0,,,,1.0,,5.0,1.0,1.0,,1.0,1.0,,,1.0,,5.0,,1.0,,1.0,,,2.0,1.0,,1.0,,4.0,1.0,,,,,,,,,,,,,,,
149485,Elliot Lee,Midfielder,West Ham,21,England,2013-14,1.0,,0.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,1.0,,,,,,,0.0,,1.0,1.0,,,,,,1.0,,,,0.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49414,Jack Collison,Midfielder,West Ham,21,Wales,2013-14,24.0,0.1023,0.0,,,32.0,10.0,6.0,38.0,204.0,,,12.0,,,462.0,14.0,2.0,,5.0,9.0,155.0,,2.0,8.179,,,5.0,9.0,17.0,39.0,,1.0,0.0,38.0,66.0,25.0,10.0,,,76.0,7.0,26.0,5.0,0.0,,201.0,53.0,,,54.0,8.0,11.0,261.0,6.0,92.0,,0.0,6.0,4.0,7.0,5.0,4.0,7.0,11.0,,4.0,5.0,6.0,1.0,11.0,45.0,1.0,0.345,2.0,,2.0,,,,5.0,5.0,,,,,,2.0,,,,2.0,5.0,,,1.0,,5.0,,2.0,2.0,1.0,,,,5.0,,,1.0,,,,,,2.0,,,,,,,,,,,
2060,Joe Cole,Midfielder,West Ham,21,England,2013-14,58.0,0.6521,0.0,,,47.0,20.0,6.0,51.0,244.0,,,27.0,,,740.0,42.0,3.0,,15.0,31.0,188.0,,2.0,14.365,3.0,,9.0,15.0,42.0,46.0,,10.0,1.0,100.0,78.0,41.0,20.0,,,137.0,12.0,73.0,11.0,0.0,,242.0,106.0,,,54.0,13.0,5.0,400.0,2.0,66.0,,2.0,4.0,13.0,17.0,15.0,14.0,16.0,21.0,12.0,21.0,8.0,15.0,1.0,9.0,66.0,8.0,1.3712,4.0,0.143,3.0,7.0,1.6221,,11.0,19.0,3.0,8.0,0.0,1.0,2.0,10.0,2.0,2.0,1.0,2.0,7.0,3.0,2.0,2.0,,24.0,1.0,2.0,2.0,7.0,1.0,,3.0,5.0,,1.0,2.0,11.0,5.0,,3.0,,4.0,,,,,,6.0,,,,,
5306,Kevin Nolan,Midfielder,West Ham,21,England,2013-14,169.0,2.2611,2.0,,,123.0,33.0,33.0,147.0,695.0,,,67.0,7.0,,2694.0,102.0,7.0,,45.0,79.0,525.0,,5.0,39.4952,26.0,2.0,51.0,35.0,125.0,194.0,,18.0,2.0,271.0,196.0,127.0,33.0,,,306.0,28.0,204.0,23.0,2.0,,693.0,246.0,,,124.0,46.0,23.0,1072.0,4.0,243.0,,7.0,24.0,31.0,58.0,42.0,,44.0,115.0,7.0,47.0,23.0,38.0,12.0,24.0,181.0,14.0,6.1335,1.0,,7.0,19.0,5.7255,5.0,42.0,13.0,7.0,17.0,2.0,2.0,2.0,1.0,10.0,10.0,3.0,5.0,34.0,5.0,2.0,20.0,1.0,13.0,,5.0,9.0,8.0,,,2.0,16.0,,2.0,3.0,,,4.0,5.0,1.0,,1.0,,,,,,,1.0,,,
18073,Mark Noble,Midfielder,West Ham,21,England,2013-14,150.0,4.2767,1.0,,,270.0,38.0,38.0,340.0,1977.0,,,22.0,13.0,,3343.0,196.0,9.0,,70.0,185.0,1442.0,,6.0,54.9715,52.0,23.0,40.0,46.0,139.0,469.0,,40.0,0.0,346.0,807.0,310.0,38.0,,,931.0,37.0,324.0,11.0,0.0,,1894.0,485.0,,,451.0,41.0,195.0,2566.0,37.0,735.0,,6.0,70.0,68.0,110.0,16.0,,11.0,14.0,14.0,47.0,11.0,80.0,18.0,71.0,250.0,19.0,2.3967,10.0,0.2113,5.0,5.0,3.1787,4.0,19.0,14.0,3.0,1.0,1.0,5.0,2.0,29.0,,,,,43.0,2.0,2.0,30.0,,49.0,3.0,,10.0,36.0,3.0,3.0,5.0,4.0,,5.0,3.0,35.0,18.0,13.0,3.0,,4.0,,1.0,,2.0,1.0,14.0,,,2.0,2.0,
18818,Matthew Jarvis,Midfielder,West Ham,21,England,2013-14,104.0,2.6256,0.0,,,77.0,32.0,23.0,87.0,387.0,,,51.0,3.0,,1949.0,68.0,3.0,,30.0,58.0,298.0,,2.0,31.1925,29.0,1.0,15.0,26.0,63.0,112.0,,20.0,0.0,172.0,106.0,59.0,32.0,,,227.0,23.0,121.0,10.0,0.0,,372.0,301.0,,,27.0,9.0,2.0,769.0,6.0,108.0,,1.0,10.0,24.0,21.0,12.0,9.0,41.0,77.0,16.0,39.0,6.0,15.0,2.0,5.0,142.0,5.0,2.4809,24.0,,3.0,6.0,2.5676,3.0,17.0,110.0,2.0,8.0,1.0,,,35.0,4.0,4.0,,3.0,17.0,1.0,,6.0,1.0,140.0,,3.0,21.0,19.0,,,5.0,17.0,,,,45.0,28.0,1.0,1.0,,11.0,,,,,,11.0,,,,,
3289,Matthew Taylor,Midfielder,West Ham,21,England,2013-14,73.0,0.6816,0.0,,,119.0,20.0,16.0,157.0,508.0,,,45.0,4.0,,1413.0,79.0,5.0,,19.0,56.0,314.0,,2.0,24.1665,8.0,14.0,53.0,20.0,51.0,91.0,,15.0,0.0,152.0,245.0,67.0,20.0,,,230.0,15.0,107.0,23.0,0.0,,505.0,233.0,,,110.0,11.0,37.0,779.0,28.0,128.0,,3.0,38.0,25.0,35.0,9.0,4.0,22.0,19.0,9.0,24.0,7.0,29.0,22.0,7.0,62.0,4.0,0.6027,4.0,0.047,5.0,2.0,0.4482,,5.0,30.0,,,,3.0,1.0,7.0,1.0,1.0,,2.0,10.0,,1.0,6.0,,32.0,1.0,2.0,9.0,6.0,1.0,,14.0,5.0,,3.0,1.0,5.0,2.0,,,,2.0,2.0,1.0,,,,3.0,,,,,
28147,Mohamed Diamé,Midfielder,West Ham,21,Senegal,2013-14,266.0,2.9456,0.0,,,109.0,35.0,29.0,128.0,610.0,,,76.0,4.0,,2485.0,204.0,8.0,,54.0,178.0,454.0,,4.0,46.8305,19.0,1.0,18.0,45.0,216.0,120.0,,34.0,2.0,470.0,195.0,129.0,35.0,,,336.0,37.0,394.0,26.0,0.0,,593.0,434.0,,,157.0,46.0,28.0,1293.0,6.0,165.0,,4.0,19.0,17.0,74.0,48.0,6.0,50.0,89.0,88.0,153.0,31.0,56.0,5.0,23.0,138.0,17.0,3.7196,19.0,,12.0,17.0,2.4532,2.0,19.0,58.0,4.0,1.0,2.0,8.0,6.0,19.0,7.0,7.0,3.0,4.0,39.0,2.0,6.0,18.0,,58.0,,4.0,17.0,72.0,,,4.0,14.0,1.0,8.0,2.0,,,5.0,4.0,,26.0,,,,,,,,1.0,,,
