playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,homeGoals,rightFootGoals,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,unsuccessfulCornersIntoBox,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,shotsOnTargetOutsideBox,oboxTarget,goalKicks,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,drops,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,unsuccessfulLayoffs,blocks,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,secondGoalAssists,lastPlayerTackle,overruns,goalsConcededInsideBox,clearancesOffTheLine,hitWoodwork,handballsConceded,penaltyGoalsConceded,penaltiesFaced,penaltiesTaken,penaltiesConceded,foulWonPenalty,headedGoals,savesMadeCaught,ownGoalScored,crossesNotClaimed,penaltyGoals,setPiecesGoals
208706,Bruno Guimarães,Midfielder,Arsenal,3,Brazil,2026-27,1.0,,0.0134,0.0,,,1.0,1.0,,,,2.0,,15.0,,,,,19.0,,,,1.0,,13.0,1.0,,,,,,,,1.0,3.0,,0.0,1.0,1.0,6.0,3.0,1.0,,6.0,,1.0,,1.0,,0.0,15.0,,6.0,,,4.0,,,,2.0,22.0,,1.0,7.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2026-27,9.0,,0.2517,0.0,1.0,3.0,8.0,3.0,1.0,1.0,3.0,15.0,3.0,220.0,1.0,7.0,,2.0,243.0,4.0,6.0,1.0,4.0,3.0,193.0,,,0.349,2.0,,5.0,1.0,,5.0,56.0,,0.0,15.0,2.0,77.0,11.0,3.0,1.0,126.0,9.0,,,8.0,3.0,0.0,211.0,,24.0,2.0,,76.0,3.0,3.0,12.0,11.0,254.0,2.0,3.0,81.0,0.1002,0.0,7.0,6.0,,,,2.0,,,,1.0,7.0,,,2.0,,,,,2.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
232413,Eberechi Eze,Midfielder,Arsenal,3,England,2026-27,5.0,,0.0721,0.0,,,5.0,2.0,,1.0,,5.0,,27.0,,2.0,,,59.0,1.0,5.0,,,4.0,21.0,1.0,,0.0369,,,,,,4.0,13.0,3.0,0.0,10.0,,3.0,5.0,2.0,,16.0,,4.0,,8.0,1.0,0.0,26.0,,11.0,,1.0,4.0,,,1.0,7.0,40.0,1.0,,6.0,0.0377,0.0,,3.0,2.0,,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,0.0377,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
184029,Martin Ødegaard,Midfielder,Arsenal,3,Norway,2026-27,7.0,,1.0473,0.0,3.0,5.0,10.0,3.0,,4.0,3.0,13.0,5.0,155.0,,3.0,,,224.0,3.0,9.0,1.0,1.0,9.0,137.0,14.0,,0.3272,7.0,,3.0,1.0,1.0,4.0,36.0,4.0,1.0,16.0,,45.0,8.0,3.0,2.0,106.0,5.0,3.0,1.0,13.0,,0.0,148.0,3.0,28.0,3.0,,51.0,,,5.0,23.0,193.0,1.0,1.0,36.0,1.001,0.0,3.0,1.0,,2.0,0.3836,3.0,3.0,2.0,0.0,2.0,,,,,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,0.0781,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
481655,Martín Zubimendi,Midfielder,Arsenal,3,Spain,2026-27,6.0,,0.0395,0.0,1.0,3.0,4.0,3.0,,,,5.0,,47.0,,2.0,,,50.0,1.0,4.0,,2.0,3.0,41.0,4.0,,0.0587,,,1.0,,1.0,5.0,17.0,,0.0,10.0,2.0,11.0,2.0,3.0,2.0,27.0,,2.0,1.0,8.0,1.0,0.0,47.0,,9.0,1.0,,11.0,3.0,3.0,1.0,8.0,66.0,,,15.0,0.0773,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616077,Max Dowman,Midfielder,Arsenal,3,England,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195384,Mikel Merino,Midfielder,Arsenal,3,Spain,2026-27,4.0,,0.0266,0.0,1.0,,1.0,3.0,,,,2.0,,35.0,,2.0,,,46.0,1.0,7.0,,,6.0,33.0,2.0,,0.0587,,,,,1.0,3.0,12.0,2.0,0.0,11.0,,9.0,6.0,3.0,,23.0,,,1.0,9.0,1.0,0.0,35.0,,2.0,,4.0,8.0,3.0,,,6.0,44.0,,,10.0,0.1449,1.0,1.0,,3.0,1.0,0.3823,1.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503139,Alex Scott,Midfielder,Bournemouth,91,England,2026-27,15.0,,0.2934,0.0,3.0,7.0,16.0,3.0,,8.0,3.0,29.0,2.0,141.0,,4.0,,1.0,266.0,2.0,21.0,,7.0,19.0,101.0,6.0,,5.4506,4.0,,4.0,4.0,,13.0,46.0,9.0,0.0,36.0,4.0,42.0,21.0,3.0,3.0,57.0,7.0,5.0,,32.0,2.0,0.0,130.0,4.0,42.0,4.0,3.0,28.0,3.0,5.0,11.0,25.0,200.0,1.0,,56.0,0.3247,1.0,13.0,7.0,,1.0,0.8446,1.0,,1.0,0.0,3.0,7.0,,,1.0,1.0,1.0,,2.0,,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
614574,Alex Tóth,Midfielder,Bournemouth,91,Hungary,2026-27,2.0,,0.0035,0.0,,1.0,,1.0,,,,1.0,,13.0,,,,,15.0,,1.0,,,1.0,12.0,,,1.1249,,,,2.0,,2.0,3.0,,0.0,3.0,,3.0,1.0,1.0,,6.0,,2.0,,3.0,,0.0,11.0,,3.0,1.0,,2.0,,,,5.0,17.0,,1.0,6.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
111317,David Brooks,Midfielder,Bournemouth,91,Wales,2026-27,2.0,,0.0105,0.0,,,3.0,2.0,,,,3.0,,10.0,,,,,23.0,,1.0,,4.0,1.0,7.0,,,1.1482,,,,2.0,,2.0,6.0,1.0,0.0,3.0,2.0,1.0,,2.0,,7.0,,,,3.0,,0.0,10.0,,3.0,,,2.0,2.0,,,1.0,13.0,,,,,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
