playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,offsides,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,rightFootGoals,leftFootGoals,handballsConceded,successfulCornersIntoBox,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,crossesNotClaimed,savesMadeParried,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesConceded,ownGoalScored,lastPlayerTackle,secondGoalAssists,redCards2ndYellow,otherGoals,setPiecesGoals
437742,Albert Sambi Lokonga,Midfielder,Arsenal,3,Belgium,2023-24,26.2336,3.0,0.7775,14.0,31.0,0.0,,170.0,,27.0,0.0,134.0,208.0,64.0,17.0,,,17.0,335.0,16.0,26.0,80.0,740.0,,109.0,0.0,,686.0,128.0,,,241.0,41.0,1308.0,952.0,82.0,5.0,13.0,66.0,10.0,326.0,619.0,,4.0,21.0,28.0,52.0,1.0,4.0,2.0,1.0,0.5892,29.0,4.0,5.0,59.0,3.0,3.0,7.0,1.0,1.0,3.0,1.0,2.0,25.0,1.0,1.0,9.0,11.0,2.0,6.0,1.0,43.0,10.0,0.0,1.0,11.0,7.0,1.0,12.0,18.0,1.0,16.0,2.0,1.0,18.0,11.0,13.0,18.0,11.0,2.0,3.0,121.0,8.0,8.0,3.0,14.0,0.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2023-24,23.1319,9.0,4.8009,51.0,28.0,0.0,,762.0,,13.0,2.0,299.0,574.0,178.0,38.0,,,38.0,1186.0,37.0,24.0,208.0,2227.0,,214.0,0.0,,2166.0,329.0,,11.0,634.0,78.0,3230.0,2729.0,156.0,4.0,52.0,117.0,30.0,854.0,1941.0,,5.0,63.0,58.0,143.0,4.0,23.0,20.0,2.0,4.6922,83.0,35.0,2.0,145.0,8.0,10.0,11.0,7.0,4.0,14.0,1.0,47.0,85.0,7.0,21.0,46.0,71.0,2.0,39.0,9.0,97.0,26.0,3.0,7.0,32.0,20.0,2.0,39.0,42.0,9.0,39.0,15.0,21.0,51.0,21.0,11.0,34.0,44.0,23.0,2.0,257.0,1.0,8.0,14.0,27.0,3.3363,2.0,6.0,6.0,,5.0,,1.0,17.0,2.0,,1.0,,,,,,,,,,,2.0,2.0,0.111,2.0,,,,,,
209289,Emile Smith Rowe,Midfielder,Arsenal,3,England,2023-24,3.1671,,0.4211,1.0,3.0,0.0,,55.0,,2.0,0.0,31.0,48.0,15.0,13.0,,,13.0,136.0,3.0,3.0,24.0,211.0,,23.0,0.0,,207.0,38.0,,,45.0,1.0,347.0,262.0,12.0,,4.0,9.0,1.0,51.0,186.0,,0.0,2.0,3.0,19.0,,4.0,7.0,,1.1805,4.0,11.0,,22.0,1.0,6.0,,,,1.0,10.0,1.0,8.0,1.0,,5.0,19.0,,3.0,3.0,14.0,2.0,,1.0,3.0,3.0,,1.0,7.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,5.0,3.0,,,63.0,1.0,3.0,1.0,5.0,1.9755,,6.0,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
499175,Ethan Nwaneri,Midfielder,Arsenal,3,England,2023-24,0.197,,0.0412,,,0.0,,3.0,,1.0,0.0,3.0,3.0,,1.0,,,1.0,14.0,,,3.0,18.0,,2.0,0.0,,18.0,3.0,,,9.0,,13.0,20.0,2.0,,1.0,1.0,,1.0,15.0,,0.0,,,1.0,,,,,,,,,3.0,,,,,,,1.0,,1.0,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438098,Fábio Vieira,Midfielder,Arsenal,3,Portugal,2023-24,2.8924,,0.8224,1.0,2.0,1.0,,22.0,,10.0,0.0,34.0,22.0,16.0,11.0,,,11.0,93.0,2.0,2.0,15.0,134.0,,33.0,1.0,,128.0,47.0,,,46.0,4.0,291.0,198.0,16.0,,1.0,15.0,1.0,29.0,115.0,,0.0,2.0,5.0,18.0,2.0,1.0,2.0,,0.9486,3.0,6.0,3.0,13.0,2.0,3.0,7.0,1.0,0.0,,9.0,8.0,1.0,,3.0,,21.0,,3.0,1.0,18.0,,1.0,,1.0,6.0,,12.0,11.0,1.0,1.0,4.0,4.0,2.0,2.0,,8.0,2.0,2.0,,44.0,,2.0,,6.0,1.2535,2.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
85955,Jorginho,Midfielder,Arsenal,3,Italy,2023-24,9.7732,4.0,2.1071,7.0,11.0,0.0,,193.0,,15.0,0.0,83.0,236.0,49.0,24.0,,,24.0,428.0,10.0,10.0,76.0,773.0,,69.0,0.0,,756.0,98.0,,1.0,248.0,38.0,919.0,891.0,48.0,1.0,21.0,41.0,8.0,270.0,659.0,,1.0,15.0,17.0,35.0,1.0,2.0,,,,24.0,2.0,5.0,61.0,2.0,8.0,2.0,,,2.0,14.0,,14.0,,1.0,7.0,5.0,1.0,8.0,,28.0,16.0,,,14.0,3.0,,2.0,7.0,,7.0,2.0,1.0,10.0,2.0,1.0,9.0,12.0,,,96.0,1.0,7.0,2.0,7.0,0.0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184029,Martin Ødegaard,Midfielder,Arsenal,3,Norway,2023-24,19.7875,2.0,11.1668,5.0,23.0,0.0,,324.0,,36.0,5.0,301.0,592.0,158.0,35.0,,,35.0,1196.0,35.0,19.0,251.0,1900.0,,289.0,0.0,,1852.0,463.0,,13.0,628.0,45.0,3098.0,2463.0,125.0,4.0,60.0,122.0,8.0,483.0,1604.0,,2.0,29.0,31.0,176.0,14.0,30.0,23.0,,7.9151,49.0,47.0,39.0,222.0,10.0,33.0,21.0,8.0,5.0,14.0,,26.0,12.0,8.0,30.0,9.0,188.0,2.0,92.0,16.0,167.0,22.0,3.0,8.0,32.0,38.0,,47.0,96.0,16.0,3.0,24.0,25.0,17.0,37.0,1.0,30.0,15.0,15.0,,356.0,13.0,13.0,14.0,21.0,7.4048,3.0,7.0,7.0,,,8.0,,8.0,,1.0,3.0,2.0,2.0,,,,,,,,,4.0,4.0,0.2462,,,,,,,
504751,Mauro Bandeira,Midfielder,Arsenal,3,Portugal,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153256,Mohamed Elneny,Midfielder,Arsenal,3,Egypt,2023-24,0.197,,0.0111,,,0.0,,15.0,,,0.0,4.0,4.0,2.0,3.0,,,3.0,17.0,,,1.0,40.0,,2.0,0.0,,39.0,2.0,,,15.0,,25.0,45.0,1.0,,,,,22.0,39.0,,0.0,,,3.0,,,1.0,,0.0561,,2.0,,1.0,,,,,,,3.0,,2.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,6.0,,,,1.0,0.0812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167199,Thomas Partey,Midfielder,Arsenal,3,Ghana,2023-24,4.0114,2.0,0.5794,8.0,5.0,0.0,,178.0,,6.0,0.0,69.0,164.0,56.0,14.0,,,14.0,331.0,9.0,2.0,60.0,621.0,,54.0,0.0,,607.0,84.0,,2.0,186.0,25.0,788.0,734.0,36.0,3.0,9.0,29.0,6.0,232.0,536.0,,3.0,21.0,12.0,33.0,2.0,3.0,2.0,,0.0999,14.0,5.0,3.0,39.0,,4.0,,,,3.0,5.0,,15.0,2.0,2.0,8.0,6.0,1.0,6.0,,25.0,6.0,,2.0,3.0,2.0,,,10.0,,7.0,3.0,2.0,11.0,9.0,3.0,10.0,11.0,,,93.0,7.0,5.0,3.0,7.0,0.4112,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
