playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,fiftyFifty,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulFiftyFifty,goals,awayGoals,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,ownGoalScored,keyPassesAttemptAssists,groundDuelsLost,putthroughBlockedDistributionWon,homeGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,headedGoals,timesTackled,shotsOffTargetIncWoodwork,blocks,totalFoulsConceded,interceptions,backwardPasses,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,blockedShots,overruns,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,throwInsToOppositionPlayer,oboxTarget,unsuccessfulCrossesAndCorners,shotsBlockedOutsideBox,shotsBlockedInBox,rightFootGoals,iboxBlocked,secondGoalAssists,lastPlayerTackle,unsuccessfulLayoffs,hitWoodwork,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,foulWonPenalty,clearancesOffTheLine,penaltiesSaved,savesFromPenalty,crossesNotClaimed,setPiecesGoals,redCards2ndYellow,otherGoals
156689,Andreas Pereira,Midfielder,Fulham,54,Brazil,2022-23,4.0869,0.0,,18.0,,181.0,33.0,33.0,224.0,854.0,,,38.0,,,2714.0,79.0,5.0,56.0,70.0,578.0,,4.0,45.6119,2.0,8.0,40.0,228.0,,31.0,1.0,257.0,,271.0,117.0,33.0,,507.0,35.0,219.0,9.0,0.0,,765.0,34.0,494.0,9.0,21.0,,,198.0,52.0,1408.0,4.0,6.0,190.0,,8.0,43.0,41.0,178.0,11.0,67.0,23.0,5.0104,48.0,6.0,24.0,4.0,3.0,67.0,2.0,2.0,29.0,1.0,68.0,,54.0,149.0,18.0,1.0,9.0,1.0,26.0,,77.0,25.0,3.0,41.0,6.0,157.0,26.0,27.0,1.0,7.2837,14.0,,1.0,22.0,49.0,2.0,7.0,,17.0,2.0,17.0,129.0,7.0,7.0,3.0,7.0,1.0,,1.0,4.0,43.0,12.0,12.0,59.0,0.7857,116.0,1.0,1.0,,,,,,,,
200617,Daniel James,Midfielder,Leeds United,2,Wales,2022-23,0.5087,0.0,,16.0,,51.0,24.0,7.0,56.0,190.0,,,19.0,,,809.0,44.0,1.0,28.0,43.0,132.0,,2.0,18.5626,,6.0,18.0,36.0,,20.0,0.0,94.0,,44.0,42.0,24.0,,106.0,17.0,75.0,1.0,0.0,,190.0,8.0,115.0,8.0,7.0,,,58.0,2.0,356.0,4.0,2.0,34.0,,0.0,5.0,14.0,50.0,6.0,28.0,4.0,1.8533,13.0,1.0,11.0,2.0,1.0,6.0,1.0,1.0,18.0,,37.0,,7.0,32.0,8.0,1.0,8.0,1.0,5.0,,19.0,9.0,1.0,4.0,3.0,52.0,7.0,2.0,1.0,1.6416,4.0,1.0,,3.0,26.0,2.0,,17.0,,,,26.0,,4.0,1.0,4.0,1.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,
154296,João Palhinha,Midfielder,Tottenham Hotspur,6,Portugal,2022-23,0.4179,0.0,,148.0,,166.0,35.0,35.0,217.0,1268.0,,,112.0,7.0,,3113.0,288.0,5.0,59.0,216.0,963.0,,6.0,52.6473,5.0,59.0,43.0,399.0,,50.0,1.0,487.0,,345.0,213.0,35.0,,504.0,38.0,375.0,72.0,0.0,,1220.0,4.0,304.0,84.0,19.0,,,314.0,88.0,1840.0,,17.0,547.0,,14.0,51.0,67.0,199.0,,73.0,9.0,1.7591,27.0,,34.0,3.0,1.0,,4.0,4.0,40.0,1.0,34.0,1.0,7.0,159.0,43.0,2.0,64.0,,15.0,2.0,43.0,18.0,5.0,48.0,46.0,210.0,5.0,37.0,1.0,2.8842,12.0,,,8.0,3.0,1.0,6.0,,2.0,,2.0,3.0,6.0,6.0,1.0,6.0,,1.0,,,,,,,,,,,,,,,,,,
212314,Sasa Lukic,Midfielder,Fulham,54,Serbia,2022-23,0.1405,0.0,,8.0,,21.0,12.0,4.0,25.0,216.0,,,9.0,,,409.0,26.0,,4.0,22.0,186.0,,3.0,9.6208,,3.0,10.0,58.0,,10.0,0.0,50.0,,57.0,28.0,12.0,,107.0,10.0,41.0,4.0,0.0,,209.0,,31.0,3.0,4.0,,,61.0,5.0,269.0,,1.0,85.0,,1.0,4.0,14.0,24.0,1.0,9.0,1.0,0.1124,3.0,,6.0,,,1.0,,,5.0,,3.0,,,19.0,4.0,,5.0,,1.0,,2.0,2.0,2.0,13.0,5.0,40.0,3.0,8.0,,0.143,2.0,,,2.0,1.0,,2.0,8.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
432931,Tyrese Francois,Midfielder,Wigan Athletic,111,Australia,2022-23,0.0002,0.0,,,,,1.0,,,2.0,,,,,,1.0,,,,,2.0,,,,,1.0,,1.0,,,0.0,1.0,,,1.0,1.0,,1.0,,1.0,,0.0,,2.0,,1.0,,,,,1.0,,5.0,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515024,Luke Harris,Midfielder,Fulham,54,Wales,2022-23,0.0069,0.0,,,,,3.0,,,13.0,,,,,,10.0,,,,,13.0,,1.0,0.9915,,,1.0,6.0,,,0.0,2.0,,1.0,,3.0,,7.0,1.0,2.0,,0.0,,13.0,,2.0,,,,,3.0,,15.0,,,6.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,3.0,,1.0,,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
511504,Kristian Sekularac,Midfielder,Fulham U21,12971,Switzerland,2022-23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515023,Matt Dibley-Dias,Midfielder,Fulham U21,12971,New Zealand,2022-23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80179,Adam Forshaw,Midfielder,Blackburn Rovers U21,12936,England,2022-23,0.6416,0.0,,12.0,,22.0,12.0,5.0,35.0,222.0,,,8.0,,,477.0,27.0,1.0,12.0,25.0,173.0,,1.0,12.1335,3.0,2.0,13.0,66.0,,5.0,0.0,60.0,,82.0,37.0,12.0,,115.0,12.0,52.0,2.0,0.0,,214.0,1.0,66.0,9.0,8.0,,,44.0,14.0,314.0,2.0,3.0,79.0,,0.0,13.0,11.0,33.0,2.0,15.0,,,,,6.0,,,7.0,,,6.0,,1.0,,8.0,27.0,8.0,,3.0,,3.0,,11.0,,1.0,6.0,4.0,30.0,4.0,6.0,,0.027,1.0,1.0,,1.0,6.0,,1.0,7.0,,,,13.0,1.0,,,,,,,,3.0,,,5.0,,9.0,,,,,,,,,,
427637,Brenden Aaronson,Midfielder,Leeds United,2,United States,2022-23,2.5888,0.0,,44.0,,138.0,36.0,28.0,150.0,719.0,,,47.0,1.0,,2384.0,143.0,6.0,67.0,135.0,561.0,,3.0,47.3334,,6.0,58.0,166.0,,55.0,1.0,364.0,,186.0,128.0,36.0,,424.0,52.0,317.0,8.0,0.0,,684.0,25.0,411.0,18.0,36.0,,,178.0,8.0,1305.0,4.0,6.0,164.0,,2.0,12.0,34.0,221.0,4.0,78.0,9.0,1.6167,29.0,3.0,28.0,1.0,0.0,19.0,5.0,5.0,39.0,,81.0,,43.0,182.0,40.0,1.0,26.0,,48.0,,130.0,20.0,3.0,16.0,5.0,189.0,20.0,9.0,1.0,3.8814,12.0,5.0,8.0,24.0,23.0,6.0,2.0,8.0,3.0,1.0,3.0,53.0,2.0,10.0,1.0,10.0,1.0,,1.0,4.0,9.0,2.0,2.0,23.0,0.0552,38.0,,,,,,,,,,
