playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,blocks,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,timesTackled,interceptions,successfulCrossesOpenPlay,shotsOnTargetIncGoals,totalTackles,totalShots,setPiecesGoals,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,shotsOffTargetIncWoodwork,tacklesWon,attemptsFromSetPieces,backwardPasses,throwInsToOwnPlayer,substituteOff,blockedShots,overruns,goalAssists,successfulLayoffs,rightFootGoals,headedGoals,successfulDribbles,hitWoodwork,handballsConceded,offsides,ownGoalScored,throughBalls,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,redCards2ndYellow,clearancesOffTheLine,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals
40349,Asmir Begovic,Goalkeeper,Everton,Bosnia & Herzegovina,2010-11,3.0,1.0,0.0,43.0,39.0,9.0,28.0,28.0,514.0,933.0,319.0,21.0,3.0,8.0,2.0,2520.0,1.0,10.0,3.0,8.0,31.0,1.0,9.0,1.0,2.0,158.0,21.0,32.0,2.0,15.0,94.0,7.0,0.0,13.0,1.0,906.0,315.0,28.0,1.0,7.0,371.0,29.0,10.0,2.0,0.0,212.0,332.0,3.0,518.0,1.0,165.0,25.0,12.0,1.0,388.0,1162.0,240.0,48.0,55.0,3.0,505.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,Carlo Nash,Goalkeeper,Norwich City,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Thomas Sørensen,Goalkeeper,Stoke City,Denmark,2010-11,2.0,1.0,0.0,18.0,11.0,4.0,10.0,10.0,190.0,318.0,100.0,4.0,1.0,1.0,3.0,900.0,,3.0,3.0,2.0,8.0,1.0,11.0,2.0,1.0,65.0,15.0,16.0,2.0,1.0,28.0,2.0,0.0,5.0,,313.0,111.0,10.0,2.0,2.0,112.0,13.0,4.0,1.0,0.0,70.0,136.0,,197.0,,57.0,6.0,4.0,1.0,120.0,418.0,107.0,16.0,17.0,0.0,186.0,13.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,Danny Higginbotham,Defender,Stoke City,Gibraltar,2010-11,24.0,,0.0,,,56.0,10.0,9.0,111.0,229.0,,,35.0,3.0,,842.0,14.0,33.0,1.0,12.0,78.0,,,,4.0,21.0,51.0,12.0,10.0,48.0,,4.0,2.0,57.0,,161.0,23.0,10.0,,,81.0,11.0,22.0,21.0,0.0,,217.0,1.0,154.0,5.0,,,8.0,2.0,40.0,383.0,44.0,39.0,,0.0,55.0,22.0,,4.0,4.0,2.0,4.0,8.0,7.0,1.0,8.0,2.0,0.0,1.0,2.0,10.0,25.0,2.0,3.0,1.0,1.0,2.0,8.0,1.0,3.0,5.0,1.0,12.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,
12413,Robert Huth,Defender,Leicester City,Germany,2010-11,123.0,,0.0,,,171.0,35.0,35.0,237.0,626.0,1.0,,137.0,8.0,,3111.0,47.0,187.0,5.0,97.0,356.0,,,3.0,8.0,20.0,281.0,43.0,76.0,84.0,,25.0,6.0,310.0,,368.0,115.0,35.0,,,151.0,38.0,173.0,90.0,0.0,,618.0,9.0,329.0,32.0,1.0,,109.0,45.0,33.0,1345.0,64.0,239.0,,7.0,66.0,65.0,1.0,17.0,63.0,1.0,14.0,67.0,45.0,1.0,9.0,6.0,2.0,,1.0,83.0,51.0,4.0,9.0,,2.0,2.0,9.0,1.0,31.0,58.0,4.0,65.0,53.0,1.0,17.0,1.0,2.0,2.0,4.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,
19393,Danny Collins,Defender,Grimsby Town,Wales,2010-11,62.0,,0.0,,,152.0,25.0,23.0,252.0,652.0,,,63.0,5.0,,2031.0,22.0,104.0,5.0,63.0,339.0,,,3.0,13.0,30.0,108.0,30.0,40.0,149.0,,9.0,0.0,166.0,,413.0,39.0,25.0,,,238.0,25.0,103.0,41.0,0.0,,635.0,3.0,359.0,13.0,,,40.0,17.0,61.0,1133.0,83.0,175.0,,6.0,100.0,39.0,,10.0,46.0,13.0,1.0,52.0,3.0,,25.0,,,2.0,13.0,8.0,62.0,,22.0,,,1.0,25.0,,2.0,30.0,,50.0,94.0,2.0,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,
32318,Marc Wilson,Midfielder,Bolton Wanderers,Ireland,2010-11,79.0,,0.0,,,153.0,28.0,21.0,228.0,631.0,,,37.0,3.0,,1856.0,17.0,95.0,2.0,75.0,348.0,,,1.0,6.0,25.0,85.0,28.0,62.0,114.0,,12.0,0.0,174.0,,333.0,99.0,28.0,,,224.0,26.0,137.0,20.0,0.0,,611.0,1.0,338.0,11.0,,,126.0,24.0,55.0,1047.0,63.0,183.0,,7.0,75.0,49.0,,29.0,28.0,3.0,2.0,51.0,11.0,,13.0,1.0,1.0,7.0,4.0,6.0,37.0,0.0,9.0,,,12.0,17.0,,9.0,42.0,4.0,58.0,47.0,5.0,11.0,1.0,1.0,4.0,1.0,,12.0,1.0,,,,2.0,3.0,1.0,2.0,,,,,,
37869,Ryan Shawcross,Defender,Stoke City U23,England,2010-11,141.0,,2.0,,,181.0,36.0,36.0,276.0,686.0,,,137.0,9.0,,3196.0,65.0,172.0,6.0,100.0,344.0,,,2.0,4.0,48.0,328.0,42.0,76.0,83.0,,28.0,0.0,313.0,,424.0,99.0,36.0,,,164.0,36.0,176.0,72.0,1.0,,656.0,5.0,322.0,29.0,,,103.0,44.0,66.0,1300.0,88.0,246.0,,7.0,95.0,59.0,2.0,15.0,37.0,,8.0,66.0,21.0,,6.0,1.0,0.0,,,67.0,,1.0,25.0,,8.0,5.0,6.0,,13.0,41.0,,76.0,5.0,,4.0,,,,1.0,,6.0,,1.0,5.0,,,,,,1.0,2.0,,,,
14055,Abdoulaye Faye,Defender,Hull City,Senegal,2010-11,34.0,,0.0,,,36.0,14.0,12.0,62.0,251.0,,,42.0,1.0,,1125.0,14.0,57.0,2.0,29.0,170.0,,,1.0,1.0,9.0,99.0,19.0,20.0,60.0,,11.0,0.0,91.0,,107.0,60.0,14.0,,,45.0,17.0,49.0,28.0,0.0,,241.0,2.0,75.0,8.0,,,41.0,14.0,19.0,443.0,24.0,144.0,,1.0,26.0,16.0,,6.0,25.0,,1.0,17.0,3.0,,,1.0,1.0,2.0,,8.0,,0.0,4.0,,,1.0,,,2.0,13.0,,43.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
19714,Andy Wilkinson,Defender,Stoke City,England,2010-11,79.0,,0.0,,,124.0,22.0,21.0,186.0,428.0,,,37.0,6.0,,1752.0,15.0,110.0,4.0,88.0,215.0,,,2.0,3.0,17.0,79.0,22.0,64.0,40.0,,7.0,0.0,189.0,,273.0,69.0,22.0,,,146.0,18.0,152.0,22.0,0.0,,424.0,7.0,301.0,4.0,,,79.0,20.0,27.0,873.0,59.0,100.0,,4.0,62.0,40.0,,26.0,37.0,4.0,1.0,72.0,5.0,,10.0,,,1.0,4.0,8.0,62.0,,25.0,,2.0,10.0,10.0,,4.0,47.0,,36.0,88.0,6.0,2.0,3.0,1.0,1.0,,,9.0,,1.0,1.0,,3.0,,,,,1.0,,,,
