playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,penaltyGoals,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedGoalsFreekick,offsides,oboxBlocked,cleanSheets,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,throwInsToOppositionPlayer,leftFootGoals,freekickTotal,attemptsFromSetPieces,throwInsToOwnPlayer,shotsBlockedOutsideBox,handballsConceded,successfulCrossesOpenPlay,goalAssists,unsuccessfulLayoffs,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,crossesNotClaimed,otherGoals,penaltiesConceded,redCards2ndYellow,penaltiesSaved,penaltiesFaced,savesFromPenalty,setPiecesGoals
40276,Bojan,Forward,Stoke,110,Spain,2016-17,34.0,0.3594,0.0,1.0,4.0,2.4013,8.0,9.0,2.0,25.0,9.0,10.0,1.0,5.0,31.0,13.0,188.0,3.0,1.0,4.0,15.0,4.0,1.0,3.0,475.0,3.0,27.0,9.0,26.0,147.0,4.0,20.0,1.0,9.5949,4.0,1.0,5.0,12.0,1.0,31.0,56.0,10.0,0.0,61.0,4.0,2.0,41.0,17.0,9.0,3.0,1.0,3.0,3.0,9.0,110.0,12.0,22.0,16.0,1.0,57.0,1.0,0.0,174.0,5.0,6.0,81.0,5.0,8.0,1.0,53.0,4.0,3.0,7.0,1.0,2.0,10.0,38.0,292.0,4.0,1.0,1.0,50.0,2.0,2.9044,1.0,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85352,Bruno Martins Indi,Defender,Stoke,110,Netherlands,2016-17,105.0,0.5169,0.0,5.0,7.0,0.7837,61.0,13.0,,92.0,35.0,,,35.0,148.0,3.0,1115.0,1.0,1.0,,,122.0,1.0,,3147.0,64.0,135.0,14.0,77.0,898.0,,22.0,,41.345,2.0,24.0,210.0,50.0,4.0,41.0,344.0,9.0,0.0,240.0,9.0,0.0,420.0,173.0,35.0,,1.0,,17.0,1.0,277.0,42.0,3.0,3.0,4.0,118.0,58.0,0.0,1068.0,6.0,4.0,166.0,44.0,7.0,20.0,235.0,25.0,58.0,,,,69.0,116.0,1563.0,1.0,1.0,39.0,690.0,8.0,1.756,5.0,56.0,68.0,,0.0221,2.0,1.0,10.0,5.0,5.0,8.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20208,Charlie Adam,Midfielder,Stoke,110,Scotland,2016-17,106.0,2.7193,0.0,13.0,11.0,3.4269,19.0,28.0,7.0,143.0,24.0,11.0,,17.0,270.0,22.0,868.0,1.0,1.0,7.0,45.0,49.0,6.0,27.0,1495.0,16.0,90.0,24.0,57.0,501.0,16.0,17.0,,17.2605,26.0,16.0,24.0,23.0,2.0,90.0,190.0,26.0,0.0,196.0,10.0,0.0,374.0,110.0,24.0,1.0,6.0,,4.0,7.0,381.0,20.0,58.0,27.0,2.0,147.0,33.0,0.0,819.0,17.0,13.0,388.0,15.0,12.0,7.0,214.0,41.0,21.0,25.0,,1.0,97.0,90.0,1197.0,11.0,4.0,70.0,244.0,29.0,2.8176,7.0,127.0,50.0,1.0,0.237,,11.0,1.0,4.0,4.0,3.0,,1.0,4.0,4.0,4.0,11.0,4.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
39487,Erik Pieters,Defender,Stoke,110,Netherlands,2016-17,154.0,2.0214,0.0,4.0,,,105.0,5.0,1.0,212.0,36.0,6.0,,35.0,322.0,86.0,1331.0,,,1.0,,93.0,,20.0,3151.0,39.0,230.0,80.0,176.0,951.0,,20.0,1.0,43.4779,17.0,21.0,110.0,50.0,2.0,115.0,444.0,58.0,0.0,384.0,40.0,,550.0,191.0,36.0,,,,24.0,5.0,555.0,43.0,89.0,26.0,2.0,291.0,54.0,0.0,1303.0,5.0,18.0,549.0,81.0,15.0,20.0,89.0,60.0,54.0,,,,58.0,248.0,2337.0,,,72.0,474.0,25.0,0.6918,4.0,110.0,100.0,,,1.0,2.0,10.0,,,7.0,72.0,,,,269.0,2.0,2.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
50089,Geoff Cameron,Midfielder,Stoke,110,United States,2016-17,103.0,1.3649,0.0,4.0,5.0,1.5627,48.0,7.0,1.0,140.0,19.0,12.0,,18.0,201.0,10.0,787.0,,,1.0,,99.0,2.0,4.0,1628.0,43.0,147.0,37.0,91.0,541.0,,17.0,,22.2852,9.0,6.0,48.0,25.0,4.0,60.0,172.0,18.0,0.0,250.0,20.0,,338.0,121.0,19.0,,2.0,,11.0,10.0,315.0,21.0,10.0,27.0,4.0,151.0,56.0,0.0,780.0,2.0,2.0,271.0,37.0,26.0,14.0,212.0,17.0,32.0,,,,45.0,65.0,1120.0,,,27.0,275.0,13.0,1.1082,1.0,61.0,45.0,,,1.0,,6.0,3.0,3.0,4.0,10.0,,,,18.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
102738,Giannelli Imbula,Midfielder,Stoke,110,DR Congo,2016-17,44.0,0.5448,0.0,1.0,,,11.0,8.0,2.0,41.0,12.0,21.0,,9.0,51.0,5.0,384.0,,,3.0,,14.0,,2.0,796.0,8.0,50.0,11.0,44.0,324.0,,10.0,1.0,14.3607,5.0,1.0,9.0,20.0,,36.0,108.0,12.0,0.0,94.0,5.0,,105.0,46.0,12.0,,,,4.0,11.0,197.0,19.0,6.0,24.0,,80.0,6.0,0.0,377.0,8.0,2.0,99.0,7.0,21.0,,105.0,3.0,4.0,,,,9.0,66.0,517.0,3.0,1.0,3.0,138.0,3.0,0.3139,1.0,10.0,14.0,,,,1.0,2.0,,,1.0,,,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9047,Glen Johnson,Defender,Stoke,110,England,2016-17,90.0,1.0903,0.0,4.0,4.0,0.4048,49.0,4.0,1.0,100.0,23.0,1.0,,21.0,155.0,26.0,738.0,,,2.0,,33.0,3.0,6.0,1955.0,13.0,114.0,34.0,94.0,525.0,,14.0,,29.0117,11.0,18.0,65.0,34.0,,77.0,40.0,18.0,0.0,204.0,13.0,,340.0,116.0,23.0,,3.0,,14.0,23.0,318.0,29.0,26.0,40.0,,171.0,20.0,0.0,715.0,,8.0,295.0,35.0,27.0,11.0,284.0,12.0,38.0,,1.0,,58.0,74.0,1276.0,,,31.0,271.0,10.0,0.4933,1.0,55.0,36.0,,,,4.0,6.0,1.0,1.0,5.0,33.0,,,,129.0,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
12150,Glenn Whelan,Midfielder,Stoke,110,Ireland,2016-17,94.0,1.2216,0.0,2.0,1.0,0.2509,45.0,4.0,1.0,133.0,30.0,22.0,,26.0,218.0,7.0,1409.0,,,4.0,8.0,45.0,1.0,9.0,2277.0,18.0,99.0,35.0,72.0,1080.0,5.0,4.0,1.0,33.4711,20.0,8.0,46.0,40.0,,76.0,333.0,21.0,0.0,193.0,16.0,,472.0,171.0,30.0,,1.0,,19.0,2.0,623.0,34.0,15.0,19.0,,148.0,27.0,0.0,1360.0,3.0,3.0,274.0,26.0,9.0,20.0,409.0,18.0,37.0,3.0,,,111.0,195.0,1698.0,7.0,,32.0,577.0,13.0,0.1287,5.0,85.0,64.0,1.0,,,2.0,6.0,,,6.0,,,,,,2.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
19568,Ibrahim Afellay,Midfielder,Stoke,110,Netherlands,2016-17,24.0,0.2377,0.0,2.0,1.0,0.8665,3.0,4.0,1.0,16.0,12.0,13.0,,3.0,21.0,12.0,189.0,,,9.0,1.0,5.0,,2.0,377.0,4.0,20.0,2.0,19.0,164.0,,5.0,,4.8091,1.0,1.0,1.0,5.0,,20.0,38.0,7.0,0.0,44.0,1.0,,30.0,35.0,12.0,,,,1.0,7.0,110.0,4.0,13.0,15.0,,39.0,1.0,0.0,187.0,3.0,1.0,55.0,2.0,9.0,,76.0,3.0,4.0,1.0,,,4.0,45.0,262.0,2.0,,2.0,60.0,1.0,0.8084,0.0,5.0,4.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
105666,Jack Butland,Goalkeeper,Stoke,110,England,2016-17,,0.0125,0.0,,,,,,,1.0,5.0,,,5.0,61.0,,140.0,,,,,2.0,,,450.0,,3.0,,1.0,23.0,,,,5.9214,,17.0,3.0,8.0,,,12.0,1.0,0.0,3.0,,,116.0,50.0,5.0,,,,,,42.0,7.0,,,,1.0,2.0,0.0,69.0,,,63.0,,1.0,,12.0,,,,,,56.0,,195.0,,,26.0,37.0,,,0.0,60.0,12.0,,,,,2.0,,,1.0,,,,,,,,,,,,8.0,4.0,40.0,2.0,1.0,17.0,1.0,2.0,37.0,22.0,6.0,13.0,,,,,,,,,
