playerId,playerName,position,team_name,team_id,nationality,season,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,substituteOff,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,duelsLost,penaltiesSaved,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,savesMadeCaught,aerialDuels,aerialDuelsLost,duelsWon,groundDuelsWon,savesFromPenalty,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,duels,goalkeeperSmother,drops,groundDuels,aerialDuelsWon,tacklesWon,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,handballsConceded,secondGoalAssists,successfulCrossesOpenPlay,expectedGoalsFreekick,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,lastPlayerTackle,iboxBlocked,cornersWon,successfulDribbles,blocks,interceptions,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,headedGoals,clearancesOffTheLine,ownGoalScored,leftFootGoals,unsuccessfulLayoffs,overruns,hitWoodwork,penaltiesTaken,penaltyGoals,setPiecesGoals,foulWonPenalty
215136,Neco Williams,Defender,Nottingham Forest,17,Wales,2025-26,,4.0,45.2486,18.0,3.9553,88.0,47.0,1.0,,383.0,,0.0,501.0,164.0,37.0,37.0,561.0,36.0,38.0,241.0,1325.0,,1.0,,1302.0,549.0,,9.0,,,165.0,47.0,3206.0,2387.0,2.0,9.0,60.0,552.0,1037.0,,6.0,103.0,77.0,1.0,170.0,,96.0,,138.0,,78.0,39.0,216.0,177.0,,33.0,131.0,52.0,386.0,,,308.0,39.0,62.0,18.0,19.0,2.9876,2.0,4.0,1.0,12.0,6.0,6.0,6.0,6.0,2.0,40.0,113.0,68.0,2.0,9.0,2.0,30.0,15.0,276.0,222.0,3.0,1.0,23.0,0.0985,28.0,3.0,5.0,98.0,23.0,11.0,29.0,1.0,86.0,68.0,68.0,31.0,1.0,11.0,34.0,2.0,6.0,29.0,31.0,17.0,47.0,12.0,18.0,1.9715,,,,,,,,,,,,
485047,Morato,Defender,Nottingham Forest,17,Brazil,2025-26,,,22.1631,8.0,0.1628,87.0,23.0,0.0,,222.0,,0.0,343.0,53.0,21.0,21.0,206.0,14.0,20.0,111.0,757.0,22.0,0.0,20.0,718.0,124.0,2.0,2.0,,,157.0,48.0,1342.0,980.0,1.0,3.0,21.0,440.0,598.0,,5.0,56.0,45.0,7.0,37.0,,30.0,,55.0,,37.0,14.0,65.0,42.0,,2.0,23.0,7.0,102.0,,,65.0,23.0,17.0,,2.0,1.3096,1.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,3.0,,16.0,,35.0,3.0,,,,,5.0,,,2.0,,,,,19.0,12.0,1.0,13.0,0.0,,13.0,3.0,,1.0,5.0,15.0,11.0,,7.0,1.3171,1.0,1.0,2.0,,,,,,,,,
575476,Murillo,Defender,Nottingham Forest,17,Brazil,2025-26,,4.0,26.1775,7.0,0.482,130.0,29.0,0.0,,399.0,,1.0,494.0,102.0,25.0,25.0,335.0,25.0,21.0,186.0,1132.0,28.0,0.0,26.0,1065.0,223.0,2.0,6.0,,,164.0,82.0,2133.0,1483.0,3.0,8.0,33.0,611.0,864.0,,5.0,86.0,55.0,,64.0,,35.0,,100.0,,46.0,22.0,74.0,50.0,,8.0,42.0,7.0,138.0,,,92.0,24.0,22.0,5.0,4.0,1.2554,1.0,,1.0,4.0,1.0,1.0,,1.0,,5.0,3.0,14.0,2.0,2.0,2.0,23.0,,75.0,4.0,,,,0.1153,6.0,,1.0,2.0,,2.0,,,28.0,10.0,,22.0,0.0,2.0,13.0,2.0,1.0,2.0,9.0,24.0,34.0,4.0,11.0,0.7396,3.0,,2.0,2.0,1.0,,,,,,,
575458,Jair Cunha,Defender,Nottingham Forest U21,19584,Brazil,2025-26,,1.0,9.5545,3.0,0.065,31.0,7.0,0.0,,46.0,,0.0,96.0,13.0,9.0,9.0,55.0,6.0,6.0,44.0,221.0,4.0,0.0,3.0,213.0,54.0,1.0,,,,62.0,5.0,516.0,304.0,3.0,1.0,11.0,122.0,172.0,,0.0,16.0,19.0,3.0,12.0,,9.0,,28.0,,9.0,4.0,22.0,17.0,,1.0,8.0,6.0,34.0,,,25.0,5.0,5.0,2.0,1.0,0.1372,,,,,1.0,1.0,,2.0,,2.0,2.0,3.0,,,,,,17.0,9.0,,,,,1.0,,,2.0,,,,,5.0,4.0,,2.0,,,4.0,1.0,2.0,1.0,2.0,2.0,5.0,,,0.2877,,,,,,,,,,,,
470315,Luca Netz,Defender,Nottingham Forest,17,Germany,2025-26,,,5.8569,2.0,0.4186,9.0,5.0,0.0,,37.0,,0.0,29.0,15.0,7.0,7.0,33.0,3.0,5.0,17.0,100.0,1.0,0.0,1.0,99.0,28.0,,,,,9.0,5.0,355.0,163.0,2.0,,4.0,50.0,78.0,,0.0,5.0,9.0,4.0,18.0,,12.0,,12.0,,11.0,9.0,18.0,16.0,,2.0,9.0,2.0,36.0,,,25.0,2.0,7.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,5.0,,25.0,13.0,,,,,,,4.0,2.0,,,,,4.0,5.0,4.0,1.0,,,5.0,,,,2.0,3.0,3.0,,4.0,,,,,,,,,,,,,
90585,Willy Boly,Defender,Nottingham Forest,17,Cote d’Ivoire,2025-26,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227444,Nikola Milenkovic,Defender,Nottingham Forest,17,Serbia,2025-26,,5.0,48.1217,27.0,0.7152,218.0,51.0,0.0,,361.0,,0.0,502.0,108.0,38.0,38.0,391.0,37.0,42.0,206.0,1539.0,5.0,0.0,5.0,1498.0,224.0,,9.0,,,565.0,84.0,3375.0,1980.0,,9.0,75.0,942.0,1249.0,,6.0,119.0,64.0,1.0,71.0,,31.0,,87.0,,128.0,39.0,143.0,54.0,,3.0,32.0,20.0,214.0,,,86.0,89.0,17.0,2.0,1.0,0.0768,,1.0,,,1.0,1.0,,2.0,,,2.0,2.0,,13.0,,21.0,,111.0,4.0,,,,,14.0,,4.0,2.0,,,,,28.0,35.0,,14.0,,,14.0,2.0,2.0,2.0,3.0,36.0,29.0,,10.0,0.8444,1.0,,,1.0,,1.0,,,,,,
159506,Ola Aina,Defender,Nottingham Forest U21,19584,Nigeria,2025-26,,3.0,20.2253,8.0,0.8249,71.0,19.0,0.0,,51.0,,0.0,281.0,81.0,18.0,18.0,286.0,18.0,17.0,96.0,629.0,,0.0,,614.0,229.0,,6.0,,,210.0,36.0,1590.0,1093.0,3.0,2.0,15.0,254.0,497.0,,3.0,31.0,31.0,,73.0,,31.0,,65.0,,39.0,14.0,85.0,60.0,,9.0,59.0,15.0,158.0,,,119.0,25.0,21.0,3.0,1.0,0.0269,,,,1.0,,,,2.0,,19.0,31.0,34.0,,8.0,,13.0,,87.0,90.0,1.0,1.0,7.0,,9.0,,3.0,31.0,1.0,1.0,7.0,,38.0,10.0,45.0,13.0,,1.0,10.0,,2.0,13.0,15.0,3.0,25.0,1.0,8.0,0.4028,,,,,,,2.0,1.0,,,,
500151,Nicolò Savona,Defender,Nottingham Forest,17,Italy,2025-26,,2.0,15.6895,2.0,0.4388,29.0,18.0,0.0,,23.0,,0.0,153.0,27.0,14.0,14.0,149.0,11.0,13.0,85.0,399.0,,0.0,,390.0,147.0,,3.0,,,148.0,13.0,1026.0,637.0,2.0,5.0,17.0,173.0,301.0,,2.0,34.0,26.0,3.0,36.0,,20.0,,51.0,,12.0,5.0,34.0,27.0,,7.0,31.0,5.0,70.0,,,58.0,7.0,12.0,1.0,3.0,1.6127,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,19.0,5.0,,1.0,,12.0,,75.0,76.0,,,8.0,,4.0,,1.0,19.0,,,8.0,,19.0,15.0,28.0,9.0,1.0,,8.0,,1.0,7.0,2.0,3.0,4.0,,4.0,1.3398,,,,,1.0,,1.0,,,,,
549067,Zach Abbott,Defender,Nottingham Forest U21,19584,England,2025-26,,,4.015,,0.0114,7.0,4.0,0.0,,4.0,,0.0,33.0,10.0,3.0,3.0,17.0,2.0,4.0,18.0,62.0,,0.0,,60.0,34.0,,,,,19.0,1.0,165.0,107.0,2.0,,3.0,28.0,43.0,,0.0,7.0,4.0,1.0,8.0,,4.0,,11.0,,8.0,2.0,12.0,6.0,,,6.0,1.0,20.0,,,12.0,6.0,4.0,,,,,,,,,,,,,2.0,2.0,4.0,,,,3.0,,6.0,8.0,,,1.0,,,,,2.0,,,1.0,1.0,2.0,,8.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
