playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulDribbles,interceptions,substituteOff,totalTackles,tacklesLost,substituteOn,fiftyFifty,successfulFiftyFifty,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,tacklesWon,backwardPasses,throwInsToOwnPlayer,successfulCrossesOpenPlay,totalShots,successfulCrossesAndCorners,aerialDuelsLost,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,timesTackled,shotsOffTargetIncWoodwork,blocks,handballsConceded,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,lastPlayerTackle,unsuccessfulDribbles,headedGoals,clearancesOffTheLine,blockedShots,throughBalls,offsides,oboxBlocked,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,overruns,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,iboxBlocked,cornersWon,shotsBlockedOutsideBox,hitWoodwork,goalAssists,successfulLayoffs,penaltiesTaken,penaltyGoals,secondGoalAssists,leftFootGoals
437753,Giulian Biancone,Defender,Olympiakos,202,France,2022-23,,,0.0002,0.0,,,3.0,2.0,,5.0,18.0,,,2.0,,,16.0,4.0,,,2.0,12.0,,,,0.7872,1.0,,1.0,,1.0,,,0.0,4.0,,11.0,5.0,2.0,,2.0,1.0,2.0,2.0,0.0,,18.0,6.0,,,5.0,,1.0,26.0,1.0,11.0,,,0.0,2.0,2.0,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56917,Steve Cook,Defender,Queens Park Rangers,52,England,2022-23,18.0,,0.6156,0.0,,,44.0,12.0,11.0,88.0,455.0,,,37.0,2.0,,958.0,39.0,10.0,1.0,12.0,335.0,,,2.0,16.3672,3.0,50.0,21.0,8.0,112.0,,2.0,0.0,57.0,,152.0,35.0,12.0,,83.0,11.0,20.0,27.0,0.0,,444.0,95.0,,,161.0,5.0,32.0,568.0,19.0,285.0,3.0,,4.0,44.0,29.0,2.0,12.0,3.0,8.0,4.0,1.0,15.0,5.0,,,4.0,30.0,1.0,1.0,3.0,1.0,10.0,7.0,12.0,1.0,3.0,5.0,2.0,3.0,11.0,1.0,0.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208912,Joe Worrall,Defender,Burnley,90,England,2022-23,75.0,,0.5691,0.0,,,130.0,30.0,21.0,235.0,1094.0,6.0,,88.0,5.0,,2216.0,115.0,8.0,2.0,60.0,774.0,,,3.0,39.6679,6.0,108.0,44.0,42.0,175.0,,4.0,0.0,190.0,,492.0,123.0,30.0,,235.0,36.0,102.0,55.0,0.0,2.0,1055.0,277.0,4.0,,353.0,27.0,85.0,1429.0,37.0,624.0,19.0,,6.0,105.0,72.0,3.0,26.0,1.0,53.0,28.0,9.0,47.0,27.0,3.0,3.0,25.0,74.0,32.0,,7.0,,33.0,19.0,29.0,26.0,5.0,10.0,5.0,5.0,23.0,,0.7728,2.0,0.8168,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
242885,Loïc Mbe Soh,Defender,Sint-Truiden,396,France,2022-23,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215136,Neco Williams,Defender,Nottingham Forest,17,Wales,2022-23,140.0,,1.2346,0.0,,,122.0,31.0,20.0,200.0,603.0,,,44.0,2.0,,1874.0,135.0,11.0,,118.0,364.0,,,3.0,39.5218,7.0,37.0,41.0,113.0,44.0,,27.0,0.0,275.0,,271.0,127.0,31.0,,186.0,30.0,231.0,17.0,0.0,,576.0,391.0,,,176.0,33.0,39.0,1234.0,22.0,235.0,18.0,,7.0,78.0,70.0,19.0,33.0,5.0,72.0,25.0,11.0,42.0,23.0,71.0,63.0,47.0,112.0,112.0,12.0,20.0,18.0,27.0,63.0,27.0,29.0,15.0,25.0,48.0,13.0,8.0,2.0,1.2473,7.0,1.5755,1.0,1.0,3.0,3.0,0.0,1.0,31.0,,3.0,5.0,3.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,8.0,0.0702,5.0,1.0,13.0,3.0,1.0,3.0,3.0,15.0,2.0,,,,,,,
114241,Harry Toffolo,Defender,Nottingham Forest,17,England,2022-23,38.0,,0.9374,0.0,,,67.0,19.0,9.0,101.0,291.0,,,27.0,1.0,,935.0,38.0,5.0,1.0,25.0,184.0,,,2.0,18.4593,2.0,30.0,17.0,24.0,84.0,,5.0,0.0,76.0,,158.0,54.0,19.0,,124.0,12.0,49.0,13.0,0.0,,286.0,167.0,,,16.0,10.0,6.0,516.0,18.0,72.0,5.0,,2.0,34.0,35.0,3.0,10.0,3.0,17.0,9.0,10.0,23.0,13.0,23.0,22.0,8.0,33.0,46.0,5.0,5.0,6.0,14.0,20.0,13.0,19.0,5.0,8.0,11.0,3.0,8.0,1.0,0.2693,2.0,0.1298,,,2.0,2.0,,1.0,5.0,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,2.0,,,,,7.0,1.0,,,,,,,
199170,Moussa Niakhaté,Defender,Lyon,143,Senegal,2022-23,42.0,,0.1566,0.0,,,40.0,14.0,14.0,71.0,299.0,,,34.0,1.0,,1162.0,43.0,2.0,1.0,24.0,212.0,,,2.0,21.5397,3.0,54.0,21.0,27.0,76.0,,6.0,0.0,85.0,,147.0,71.0,14.0,,66.0,19.0,51.0,19.0,0.0,,291.0,136.0,,,46.0,12.0,16.0,542.0,16.0,162.0,6.0,,1.0,31.0,32.0,,19.0,3.0,18.0,9.0,,27.0,14.0,2.0,2.0,9.0,30.0,37.0,,6.0,,15.0,18.0,7.0,53.0,1.0,10.0,5.0,3.0,8.0,1.0,0.6144,3.0,0.7752,,,3.0,3.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
80226,Sèrge Aurier,Defender,Nottingham Forest,17,Cote d’Ivoire,2022-23,89.0,,0.9338,0.0,,,169.0,24.0,22.0,200.0,734.0,,,78.0,5.0,,1949.0,146.0,5.0,,100.0,513.0,,,4.0,28.9183,3.0,65.0,31.0,57.0,25.0,,19.0,0.0,235.0,,365.0,126.0,24.0,,251.0,26.0,157.0,46.0,0.0,,718.0,343.0,,,240.0,18.0,21.0,1304.0,10.0,291.0,14.0,,2.0,31.0,70.0,17.0,29.0,6.0,64.0,23.0,2.0,43.0,20.0,32.0,32.0,41.0,104.0,125.0,8.0,8.0,8.0,32.0,51.0,14.0,42.0,10.0,23.0,29.0,5.0,11.0,1.0,0.77,3.0,0.5786,1.0,0.0,2.0,2.0,1.0,,11.0,,,1.0,1.0,,1.0,,,1.0,,,,,3.0,,,,,,,5.0,1.0,,,,,,,
168281,Scott McKenna,Defender,Dinamo Zagreb,394,Scotland,2022-23,37.0,,0.433,0.0,,,82.0,20.0,19.0,145.0,700.0,,,60.0,5.0,,1573.0,57.0,12.0,1.0,20.0,518.0,,,2.0,30.9208,10.0,83.0,32.0,14.0,232.0,,4.0,0.0,94.0,,299.0,68.0,20.0,,153.0,20.0,34.0,37.0,0.0,,689.0,163.0,,,114.0,8.0,37.0,891.0,23.0,403.0,3.0,,4.0,63.0,37.0,5.0,12.0,3.0,12.0,5.0,1.0,19.0,13.0,1.0,1.0,7.0,55.0,13.0,1.0,2.0,1.0,23.0,8.0,22.0,8.0,8.0,6.0,3.0,2.0,14.0,1.0,0.0743,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
90585,Willy Boly,Defender,Nottingham Forest,17,Cote d’Ivoire,2022-23,21.0,,0.2718,0.0,,,36.0,11.0,9.0,64.0,257.0,,,24.0,3.0,,687.0,34.0,1.0,,19.0,180.0,,,1.0,8.379,2.0,45.0,10.0,12.0,63.0,,5.0,0.0,55.0,,131.0,40.0,11.0,,43.0,9.0,31.0,15.0,0.0,,254.0,66.0,,,41.0,5.0,13.0,364.0,9.0,150.0,5.0,,2.0,28.0,29.0,2.0,12.0,4.0,12.0,6.0,2.0,17.0,14.0,,,6.0,22.0,1.0,,1.0,,9.0,12.0,9.0,,,9.0,,,4.0,,0.0439,1.0,0.0709,,,1.0,1.0,,,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
