playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,keyPassesAttemptAssists,groundDuelsLost,totalTouchesInOppositionBox,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,blocks,expectedGoalsFreekick,blockedShots,overruns,throughBalls,goalAssists,oboxBlocked,iboxTarget,shotsOnTargetInBox,ownGoalScored,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,offsides,shotsBlockedInBox,iboxBlocked,goals,awayGoals,successfulCornersIntoBox,homeGoals,headedGoals,redCards2ndYellow,otherGoals,unsuccessfulLayoffs,penaltiesConceded,rightFootGoals,secondGoalAssists,penaltiesTaken,penaltyGoals,leftFootGoals,foulWonPenalty
437626,Nuno Tavares,Defender,Arsenal,3,Portugal,2023-24,0.3736,0.0,,,33.0,8.0,5.0,46.0,218.0,,,5.0,1.0,,455.0,22.0,2.0,13.0,19.0,167.0,,,4.5226,3.0,15.0,9.0,81.0,,2.0,0.0,40.0,,86.0,33.0,8.0,,105.0,7.0,35.0,3.0,0.0,,210.0,90.0,,,21.0,5.0,359.0,7.0,69.0,,2.0,13.0,25.0,18.0,2.0,16.0,7.0,2.0,1.0,0.0237,11.0,7.0,2.0,13.0,3.0,1.0,1.0,2.0,2.0,12.0,6.0,1.0,4.0,3.0,14.0,7.0,6.0,3.0,7.0,6.0,8.0,1.0,1.0,30.0,27.0,1.0,5.0,0.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208912,Joe Worrall,Defender,Burnley,90,England,2023-24,0.3124,1.0,,,12.0,7.0,5.0,25.0,161.0,,,22.0,1.0,,439.0,21.0,3.0,2.0,9.0,124.0,,,8.268,3.0,31.0,8.0,44.0,,2.0,0.0,37.0,,60.0,18.0,7.0,,35.0,5.0,15.0,12.0,1.0,,157.0,26.0,,,46.0,12.0,220.0,2.0,101.0,,0.0,13.0,6.0,16.0,2.0,6.0,7.0,,,,7.0,2.0,,,2.0,,,,10.0,1.0,1.0,,2.0,,,,2.0,,5.0,,3.0,3.0,,11.0,2.0,1.0,1.0,0.1178,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575476,Murillo,Defender,Nottingham Forest,17,Brazil,2023-24,0.6388,0.0,,,139.0,32.0,32.0,324.0,1444.0,28.0,,78.0,3.0,,2792.0,115.0,7.0,29.0,77.0,1003.0,,3.0,38.4531,25.0,185.0,56.0,499.0,,7.0,0.0,236.0,,693.0,146.0,32.0,,382.0,49.0,158.0,38.0,0.0,25.0,1374.0,388.0,3.0,,199.0,117.0,1913.0,87.0,739.0,,5.0,185.0,124.0,121.0,5.0,81.0,35.0,1.0,6.0,0.8593,50.0,16.0,,3.0,,,4.0,1.0,40.0,1.0,17.0,4.0,19.0,15.0,3.0,30.0,10.0,2.0,31.0,20.0,38.0,37.0,,53.0,2.0,4.0,32.0,1.802,24.0,0.0546,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
215136,Neco Williams,Defender,Nottingham Forest,17,Wales,2023-24,1.662,0.0,,,100.0,26.0,18.0,165.0,596.0,,,52.0,1.0,,1634.0,149.0,4.0,65.0,118.0,410.0,,,22.4516,6.0,43.0,33.0,44.0,,30.0,0.0,255.0,,264.0,107.0,26.0,,243.0,29.0,203.0,31.0,0.0,,582.0,351.0,,,186.0,21.0,1167.0,44.0,200.0,,4.0,65.0,50.0,106.0,10.0,85.0,32.0,12.0,4.0,0.3372,69.0,8.0,1.0,48.0,8.0,4.0,1.0,12.0,21.0,40.0,31.0,1.0,29.0,18.0,56.0,45.0,4.0,16.0,40.0,19.0,23.0,22.0,4.0,102.0,75.0,4.0,22.0,0.817,13.0,,7.0,2.0,,1.0,4.0,3.0,3.0,,,,,1.0,3.0,4.0,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,
466404,Andrew Omobamidele,Defender,Nottingham Forest,17,Ireland,2023-24,0.0303,0.0,,,26.0,11.0,8.0,39.0,309.0,,,18.0,,,782.0,20.0,1.0,5.0,12.0,257.0,,,8.5722,4.0,42.0,15.0,60.0,,3.0,0.0,39.0,,92.0,21.0,11.0,,71.0,14.0,21.0,8.0,0.0,,304.0,42.0,,,129.0,13.0,402.0,9.0,199.0,,2.0,13.0,22.0,19.0,2.0,9.0,5.0,,,,10.0,,,,3.0,,,,10.0,,4.0,,7.0,,,,,2.0,3.0,,6.0,13.0,,28.0,1.0,,5.0,0.1365,8.0,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
114241,Harry Toffolo,Defender,Nottingham Forest,17,England,2023-24,1.1564,0.0,,,57.0,23.0,15.0,106.0,446.0,,,40.0,1.0,,1455.0,54.0,3.0,36.0,29.0,323.0,,1.0,17.6318,6.0,44.0,29.0,142.0,,2.0,0.0,102.0,,219.0,57.0,23.0,,185.0,26.0,62.0,25.0,0.0,,432.0,180.0,,,23.0,17.0,763.0,28.0,171.0,,3.0,49.0,35.0,48.0,15.0,33.0,12.0,10.0,5.0,0.625,26.0,7.0,1.0,23.0,8.0,13.0,2.0,16.0,15.0,29.0,21.0,2.0,12.0,2.0,31.0,7.0,2.0,6.0,14.0,1.0,17.0,14.0,7.0,62.0,68.0,3.0,12.0,1.6427,13.0,,1.0,,,3.0,,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,5.0,0.0,1.0,,,,,,,,,,
116404,Felipe,Defender,Nottingham Forest,17,Brazil,2023-24,0.0399,0.0,,,17.0,7.0,4.0,31.0,213.0,,,20.0,1.0,,373.0,29.0,,4.0,15.0,169.0,,,7.1432,4.0,11.0,10.0,54.0,,2.0,0.0,50.0,,78.0,20.0,7.0,,57.0,10.0,30.0,14.0,0.0,,206.0,37.0,,,67.0,13.0,264.0,9.0,125.0,,4.0,14.0,18.0,21.0,2.0,15.0,4.0,,,,12.0,1.0,,,3.0,,,,6.0,,3.0,,3.0,1.0,,2.0,1.0,1.0,9.0,1.0,10.0,4.0,,14.0,1.0,2.0,8.0,0.1288,1.0,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
199170,Moussa Niakhaté,Defender,Lyon,143,Senegal,2023-24,0.2613,1.0,,,50.0,21.0,15.0,100.0,689.0,1.0,,21.0,1.0,,1458.0,64.0,5.0,14.0,48.0,558.0,,3.0,24.1753,8.0,49.0,35.0,147.0,,4.0,0.0,88.0,,264.0,98.0,21.0,,168.0,30.0,67.0,16.0,0.0,1.0,676.0,164.0,,,216.0,31.0,945.0,33.0,422.0,,3.0,50.0,40.0,24.0,3.0,19.0,7.0,1.0,1.0,0.9683,42.0,3.0,,10.0,6.0,,,1.0,5.0,46.0,7.0,,17.0,,10.0,3.0,2.0,,25.0,3.0,11.0,14.0,,62.0,28.0,1.0,6.0,1.0796,12.0,,2.0,,,,,,,,,,,1.0,,,,,2.0,2.0,1.0,1.0,,0.0,,1.0,1.0,,,,,,,,
168281,Scott McKenna,Defender,Dinamo Zagreb,394,Scotland,2023-24,0.1948,0.0,,,22.0,5.0,5.0,38.0,169.0,,,23.0,1.0,,417.0,26.0,3.0,4.0,6.0,124.0,,,7.2395,2.0,25.0,6.0,54.0,,2.0,0.0,33.0,,82.0,25.0,5.0,,40.0,3.0,10.0,20.0,0.0,,168.0,52.0,,,20.0,7.0,246.0,10.0,91.0,,0.0,16.0,14.0,7.0,3.0,4.0,5.0,,,,4.0,2.0,,,,,,,3.0,11.0,2.0,,4.0,,,,2.0,,,,3.0,5.0,,13.0,6.0,1.0,1.0,0.2087,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
218430,Gonzalo Montiel,Defender,River Plate,608,Argentina,2023-24,0.8611,0.0,,,38.0,14.0,8.0,67.0,318.0,,,21.0,,,802.0,36.0,3.0,14.0,24.0,237.0,,2.0,8.6902,6.0,30.0,11.0,10.0,,1.0,0.0,66.0,,144.0,42.0,14.0,,129.0,8.0,45.0,12.0,0.0,,312.0,105.0,,,113.0,14.0,487.0,20.0,123.0,,5.0,29.0,18.0,30.0,7.0,21.0,13.0,1.0,,,22.0,1.0,,15.0,6.0,,,1.0,9.0,11.0,5.0,,3.0,,15.0,3.0,1.0,8.0,19.0,1.0,6.0,9.0,,51.0,40.0,6.0,5.0,0.1284,3.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,
