playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,secondGoalAssists,expectedGoalsFreekick,overruns,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,headedGoals,iboxBlocked,penaltyGoals,goalKicks,lastPlayerTackle,gkSuccessfulDistribution,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,ownGoalScored
646243,Andre Harriman-Annous,Forward,Arsenal,3,England,2025-26,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616074,Brando Bailey-Joseph,Forward,Arsenal,3,England,2025-26,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223340,Bukayo Saka,Forward,Arsenal,3,England,2025-26,0.0,0.0,2.0,160.0,21.0,7.1607,24.0,27.0,6.1259,41.0,47.0,3.0,155.0,31.0,5.0,13.0,25.0,180.0,46.0,773.0,14.0,7.0,6.0,52.0,8.0,40.0,16.0,2225.0,16.0,30.0,167.0,5.0,59.0,145.0,579.0,185.0,,13.2895,56.0,3.0,11.0,16.0,130.0,36.0,54.0,1.0,327.0,23.0,179.0,117.0,31.0,20.0,51.0,516.0,11.0,82.0,83.0,275.0,22.0,760.0,20.0,31.0,407.0,21.0,50.0,1.0,340.0,33.0,16.0,14.0,218.0,1382.0,12.0,10.0,7.0,16.0,117.0,22.0,7.5522,25.0,30.0,7.0,3.0,19.0,17.0,2.0,4.0,2.0,2.0,36.0,1.0,2.0,2.0,0.0611,8.0,65.0,4.0,3.0,4.0,1.0,4.0,1.0,17.0,1.0,,,,,,,,,,,,,,,,,
645551,Ceadach O’Neill,Forward,Arsenal,3,Northern Ireland,2025-26,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205651,Gabriel Jesus,Forward,Arsenal,3,Brazil,2025-26,0.0,0.0,3.0,48.0,,0.2745,3.0,12.0,2.4977,4.0,16.0,1.0,23.0,14.0,,11.0,3.0,25.0,,108.0,7.0,1.0,11.0,29.0,,,9.0,421.0,9.0,19.0,23.0,2.0,9.0,13.0,83.0,42.0,1.0,4.1663,3.0,,5.0,6.0,29.0,27.0,1.0,0.0,71.0,8.0,29.0,19.0,14.0,4.0,8.0,67.0,4.0,,19.0,42.0,10.0,107.0,4.0,4.0,67.0,,8.0,,23.0,9.0,3.0,,29.0,214.0,,3.0,1.0,1.0,16.0,3.0,2.6899,2.0,8.0,3.0,2.0,,2.0,3.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
444145,Gabriel Martinelli,Forward,Arsenal,3,Brazil,2025-26,0.0,0.0,3.0,75.0,7.0,1.2633,7.0,13.0,2.7035,12.0,22.0,2.0,61.0,30.0,4.0,1.0,11.0,72.0,26.0,261.0,5.0,1.0,19.0,26.0,,9.0,10.0,1073.0,10.0,18.0,55.0,1.0,35.0,47.0,185.0,70.0,,9.39,9.0,,10.0,8.0,57.0,92.0,14.0,0.0,130.0,14.0,54.0,52.0,30.0,4.0,16.0,149.0,7.0,28.0,42.0,104.0,8.0,256.0,9.0,10.0,191.0,8.0,22.0,1.0,34.0,10.0,1.0,4.0,81.0,520.0,4.0,9.0,1.0,8.0,49.0,3.0,3.9913,11.0,11.0,1.0,0.0,1.0,6.0,1.0,,,,2.0,,1.0,,,3.0,5.0,2.0,1.0,1.0,,2.0,,6.0,,,,,,,,,,,,,,,,,,
219847,Kai Havertz,Forward,Arsenal,3,Germany,2025-26,0.0,0.0,1.0,48.0,,0.6594,6.0,4.0,2.3365,8.0,12.0,1.0,41.0,12.0,3.0,4.0,7.0,43.0,6.0,166.0,3.0,1.0,5.0,42.0,,,2.0,583.0,2.0,25.0,36.0,,12.0,19.0,122.0,39.0,,5.8953,8.0,,8.0,4.0,23.0,39.0,8.0,1.0,84.0,4.0,51.0,14.0,12.0,3.0,3.0,93.0,4.0,6.0,11.0,42.0,17.0,165.0,8.0,6.0,85.0,5.0,3.0,1.0,33.0,8.0,1.0,1.0,43.0,270.0,,6.0,1.0,2.0,30.0,4.0,3.3114,2.0,6.0,2.0,1.0,,5.0,1.0,,,,,,2.0,,,1.0,,,4.0,1.0,,,1.0,5.0,,,,,1.0,,,,,,,,,,,,,
116216,Leandro Trossard,Forward,Arsenal,3,Belgium,2025-26,0.0,0.0,2.0,113.0,12.0,3.5624,18.0,15.0,5.165,27.0,35.0,13.0,131.0,31.0,6.0,9.0,21.0,174.0,42.0,757.0,5.0,4.0,10.0,19.0,3.0,14.0,5.0,2006.0,5.0,13.0,96.0,3.0,59.0,90.0,552.0,114.0,1.0,13.8598,30.0,4.0,14.0,15.0,100.0,316.0,39.0,2.0,209.0,25.0,189.0,80.0,31.0,10.0,31.0,454.0,12.0,44.0,70.0,190.0,6.0,754.0,20.0,15.0,345.0,17.0,25.0,3.0,56.0,13.0,9.0,31.0,196.0,1194.0,9.0,18.0,4.0,20.0,143.0,6.0,5.475,43.0,24.0,6.0,4.0,2.0,14.0,5.0,1.0,,,2.0,5.0,1.0,,,2.0,4.0,4.0,3.0,2.0,,4.0,,14.0,,,,,,,,,,,,,,,,,,
248857,Noni Madueke,Forward,Arsenal,3,England,2025-26,0.0,0.0,0.0,96.0,7.0,2.8287,10.0,10.0,2.1118,21.0,16.0,2.0,89.0,26.0,1.0,8.0,16.0,98.0,40.0,411.0,4.0,2.0,10.0,22.0,,16.0,6.0,1217.0,6.0,12.0,75.0,3.0,37.0,65.0,302.0,115.0,,10.8139,21.0,4.0,8.0,9.0,84.0,48.0,15.0,1.0,171.0,13.0,85.0,35.0,26.0,11.0,32.0,262.0,6.0,64.0,49.0,149.0,10.0,407.0,6.0,34.0,257.0,10.0,29.0,1.0,135.0,15.0,5.0,11.0,143.0,735.0,3.0,16.0,2.0,5.0,67.0,4.0,1.2228,9.0,12.0,3.0,3.0,9.0,8.0,,2.0,,,24.0,,1.0,,,5.0,38.0,1.0,1.0,0.0,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,
224117,Viktor Gyökeres,Forward,Arsenal,3,Sweden,2025-26,0.0,0.0,5.0,160.0,3.0,1.9378,14.0,22.0,9.4266,7.0,41.0,4.0,118.0,36.0,1.0,27.0,26.0,120.0,5.0,319.0,4.0,2.0,10.0,97.0,4.0,3.0,7.0,2230.0,7.0,67.0,74.0,3.0,25.0,44.0,198.0,142.0,,16.1035,19.0,,19.0,14.0,93.0,95.0,31.0,5.0,234.0,9.0,60.0,55.0,36.0,2.0,30.0,167.0,11.0,5.0,55.0,137.0,30.0,319.0,19.0,22.0,270.0,5.0,7.0,3.0,72.0,35.0,1.0,1.0,92.0,652.0,,16.0,2.0,1.0,35.0,11.0,12.3978,2.0,17.0,14.0,5.0,,12.0,10.0,2.0,,,,1.0,1.0,,,6.0,,1.0,19.0,9.0,3.0,1.0,2.0,12.0,3.0,,,,,,,,,,,,,,,,,
