playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,putthroughBlockedDistribution,keyPassesAttemptAssists,totalFoulsWon,putthroughBlockedDistributionWon,drops,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,expectedGoalsFreekick,throughBalls,offsides,shotsOnTargetOutsideBox,oboxTarget,freekickTotal,attemptsFromSetPieces,handballsConceded,penaltiesConceded,ownGoalScored,clearancesOffTheLine,redCards2ndYellow,hitWoodwork,goalAssists,rightFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,foulWonPenalty,leftFootGoals,secondGoalAssists,penaltiesTaken,penaltyGoals
3736,John O'Shea,Defender,Reading,Ireland,2016-17,81.0,0.4106,0.0,,,28.0,26.0,163.0,686.0,,,105.0,3.0,,2160.0,47.0,95.0,3.0,37.0,469.0,,3.0,38.1971,9.0,150.0,42.0,34.0,145.0,,0.0,176.0,,280.0,92.0,28.0,,125.0,39.0,71.0,58.0,0.0,,667.0,175.0,,,,203.0,39.0,54.0,982.0,46.0,398.0,,5.0,77.0,37.0,86.0,18.0,,9.0,12.0,,,,2.0,0.2255,29.0,3.0,3.0,,,,,2.0,,2.0,2.0,,9.0,,,,11.0,,,,4.0,,1.0,,18.0,17.0,17.0,58.0,3.0,5.0,,10.0,0.262,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
109528,Javier Manquillo,Defender,Celta de Vigo,Spain,2016-17,61.0,0.8987,0.0,,,20.0,15.0,94.0,423.0,,,31.0,2.0,,1428.0,14.0,74.0,3.0,57.0,320.0,,,27.5669,3.0,50.0,28.0,47.0,87.0,,0.0,135.0,,179.0,58.0,20.0,,215.0,25.0,104.0,17.0,0.0,,420.0,199.0,15.0,,,78.0,24.0,9.0,818.0,15.0,119.0,,2.0,22.0,24.0,72.0,21.0,4.0,13.0,12.0,,5.0,1.0,1.0,0.06,31.0,2.0,,29.0,1.0,1.0,,5.0,5.0,,,,17.0,24.0,1.0,0.0,9.0,9.0,,29.0,27.0,1.0,1.0,8.0,22.0,5.0,14.0,79.0,104.0,2.0,,9.0,0.2441,,,5.0,,,,,,,,,,,,1.0,,,,,,,,
160816,Donald Love,Defender,Accrington Stanley,Scotland,2016-17,37.0,0.3889,0.0,,,12.0,6.0,69.0,215.0,,,26.0,,,607.0,17.0,36.0,2.0,27.0,134.0,,1.0,10.0628,3.0,24.0,11.0,20.0,9.0,,0.0,73.0,,103.0,37.0,12.0,,82.0,9.0,47.0,9.0,0.0,,209.0,109.0,3.0,,,81.0,14.0,12.0,413.0,22.0,69.0,,1.0,41.0,11.0,28.0,11.0,3.0,4.0,7.0,,5.0,1.0,1.0,0.1308,20.0,1.0,,15.0,,,1.0,6.0,5.0,,,,1.0,12.0,,,7.0,2.0,,15.0,4.0,,,4.0,13.0,7.0,9.0,22.0,60.0,1.0,1.0,5.0,0.0514,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,
45076,Lamine Koné,Defender,Sunderland,Cote d’Ivoire,2016-17,75.0,0.3092,0.0,,,30.0,29.0,246.0,787.0,,,121.0,5.0,,2545.0,43.0,128.0,5.0,50.0,489.0,,3.0,50.3829,14.0,198.0,46.0,32.0,100.0,,1.0,203.0,,392.0,132.0,30.0,,182.0,41.0,82.0,78.0,0.0,,769.0,277.0,14.0,,,223.0,44.0,52.0,1185.0,73.0,359.0,,4.0,124.0,74.0,122.0,22.0,2.0,9.0,7.0,,,5.0,4.0,1.4404,30.0,12.0,1.0,3.0,1.0,1.0,,1.0,,3.0,3.0,,33.0,,5.0,0.0,2.0,3.0,,3.0,11.0,5.0,8.0,2.0,28.0,22.0,14.0,72.0,2.0,1.0,,8.0,1.492,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,
170851,Josh Robson,Defender,Sunderland,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28448,Lee Cattermole,Midfielder,Sunderland,England,2016-17,44.0,0.4009,0.0,,,8.0,8.0,67.0,281.0,,,13.0,,,640.0,6.0,32.0,2.0,25.0,171.0,,,13.1827,4.0,9.0,13.0,38.0,67.0,,0.0,76.0,,113.0,25.0,8.0,,119.0,11.0,63.0,7.0,0.0,,275.0,86.0,3.0,,,61.0,20.0,43.0,377.0,3.0,95.0,,4.0,16.0,11.0,51.0,14.0,2.0,9.0,8.0,,,,1.0,0.0428,13.0,4.0,6.0,1.0,,,,,,,,,1.0,,,,4.0,1.0,,1.0,7.0,,3.0,1.0,9.0,6.0,14.0,40.0,,7.0,,12.0,0.097,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
19057,Sebastian Larsson,Midfielder,Hull City,Sweden,2016-17,81.0,2.4064,1.0,,,21.0,17.0,128.0,642.0,,,27.0,2.0,,1471.0,13.0,62.0,1.0,48.0,464.0,,2.0,28.0214,6.0,32.0,33.0,68.0,158.0,,0.0,143.0,,212.0,110.0,21.0,,310.0,32.0,116.0,14.0,1.0,,608.0,212.0,3.0,,,138.0,12.0,50.0,906.0,16.0,226.0,,4.0,47.0,17.0,81.0,23.0,22.0,9.0,13.0,,4.0,6.0,3.0,0.523,37.0,10.0,36.0,9.0,,,6.0,4.0,22.0,1.0,1.0,,12.0,,,,11.0,2.0,,49.0,17.0,,7.0,5.0,26.0,9.0,30.0,134.0,9.0,5.0,6.0,19.0,0.8327,0.4396,2.0,,2.0,2.0,7.0,7.0,,1.0,,1.0,,,1.0,,43.0,15.0,22.0,,,,,
39187,Jeremain Lens,Midfielder,Besiktas,Netherlands,2016-17,7.0,0.5448,0.0,,,2.0,,6.0,20.0,,,2.0,,,68.0,,6.0,1.0,4.0,12.0,,,1.0049,1.0,,1.0,7.0,5.0,,0.0,13.0,,8.0,3.0,2.0,,13.0,,11.0,2.0,0.0,,20.0,13.0,,,,5.0,2.0,2.0,45.0,,2.0,,0.0,,1.0,6.0,3.0,2.0,3.0,2.0,,,3.0,,,2.0,,2.0,,,,1.0,2.0,1.0,,,,6.0,,2.0,,,2.0,,1.0,3.0,2.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,0.1307,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
49384,Jack Rodwell,Midfielder,Sheffield United,England,2016-17,68.0,0.7031,0.0,,,20.0,17.0,125.0,572.0,,,57.0,2.0,,1493.0,24.0,91.0,4.0,58.0,420.0,,1.0,29.2992,3.0,52.0,32.0,44.0,156.0,,0.0,159.0,,197.0,87.0,20.0,,240.0,28.0,102.0,33.0,0.0,,567.0,150.0,9.0,,,153.0,19.0,27.0,780.0,21.0,207.0,,4.0,50.0,31.0,75.0,15.0,7.0,12.0,6.0,,,7.0,5.0,0.6734,38.0,12.0,24.0,8.0,,,5.0,3.0,,3.0,3.0,2.0,15.0,,2.0,,10.0,1.0,,8.0,10.0,2.0,7.0,7.0,28.0,8.0,23.0,66.0,1.0,4.0,5.0,16.0,1.3502,,3.0,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,
60165,Wahbi Khazri,Forward,St Etienne,Tunisia,2016-17,78.0,1.7172,0.0,,,21.0,7.0,73.0,317.0,,,13.0,,,838.0,9.0,43.0,,39.0,215.0,,,17.2839,1.0,2.0,21.0,69.0,81.0,,0.0,121.0,,84.0,53.0,21.0,,190.0,21.0,108.0,4.0,0.0,,300.0,195.0,13.0,,,80.0,9.0,29.0,556.0,5.0,68.0,,6.0,16.0,7.0,57.0,17.0,21.0,16.0,8.0,,3.0,5.0,10.0,2.6639,10.0,18.0,23.0,18.0,1.0,0.0,3.0,14.0,14.0,2.0,2.0,,25.0,1.0,2.0,1.0,2.0,14.0,,53.0,38.0,2.0,8.0,9.0,8.0,,20.0,72.0,10.0,3.0,3.0,12.0,1.2192,0.4166,4.0,7.0,7.0,7.0,7.0,7.0,2.0,,,,,,,1.0,41.0,8.0,27.0,,,,,
