playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,throwInsToOppositionPlayer,catches,savesMadeFromOutsideBox,savesMadeCaught,cleanSheets,penaltiesFaced,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,offsides,shotsOnTargetOutsideBox,oboxTarget,unsuccessfulCornersIntoBox,hitWoodwork,goals,leftFootGoals,handballsConceded,foulWonPenalty,rightFootGoals,expectedGoalsFreekick,headedGoals,freekickTotal,attemptsFromSetPieces,penaltiesTaken,redCards2ndYellow,penaltyGoals,awayGoals,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,setPiecesGoals,clearancesOffTheLine,penaltiesConceded
39155,Adam Lallana,Midfielder,Liverpool,14,England,2018-19,36.0,0.4991,0.0,2.0,2.0,0.1099,16.0,3.0,1.0,47.0,13.0,6.0,5.0,54.0,6.0,302.0,1.0,8.0,4.0,23.0,2.0,2.0,465.0,2.0,1.0,14.0,43.0,1.0,19.0,34.0,243.0,2.0,28.0,2.0088,9.0,1.0,3.0,1.0,22.0,63.0,11.0,79.0,9.0,87.0,25.0,13.0,7.0,3.0,180.0,2.0,6.0,1.0,56.0,9.0,0.0,296.0,1.0,5.0,85.0,9.0,8.0,1.0,71.0,4.0,5.0,5.0,81.0,413.0,1.0,5.0,1.0,2.0,70.0,2.0,0.2588,1.0,7.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100059,Alberto Moreno,Defender,Liverpool,14,Spain,2018-19,7.0,0.2211,0.0,,,,3.0,1.0,,7.0,2.0,,2.0,13.0,2.0,105.0,,,,1.0,1.0,,155.0,,,1.0,6.0,,4.0,6.0,90.0,,2.0,2.1808,3.0,,2.0,,6.0,44.0,1.0,13.0,1.0,26.0,5.0,2.0,1.0,2.0,43.0,2.0,2.0,,12.0,,0.0,105.0,1.0,2.0,23.0,2.0,2.0,,4.0,1.0,2.0,2.0,31.0,141.0,10.0,1.0,,2.0,50.0,1.0,0.0267,0.0,6.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Liverpool,14,England,2018-19,,0.0044,0.0,,1.0,0.9141,1.0,1.0,,2.0,2.0,,,3.0,,13.0,,2.0,,,,1.0,19.0,1.0,,,3.0,,,3.0,10.0,,2.0,,1.0,,,,,1.0,1.0,3.0,,6.0,1.0,2.0,,,9.0,,,,3.0,,0.0,13.0,,,4.0,1.0,1.0,,5.0,,1.0,,1.0,20.0,,,,,1.0,,0.543,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116535,Alisson Becker,Goalkeeper,Liverpool,14,Brazil,2018-19,2.0,0.02,0.0,,,,2.0,,,7.0,38.0,,38.0,212.0,,1076.0,,,,12.0,,,3420.0,,,1.0,16.0,1.0,2.0,5.0,681.0,,,27.5277,,31.0,22.0,,1.0,277.0,1.0,18.0,,479.0,334.0,38.0,1.0,,66.0,21.0,,,6.0,11.0,0.0,735.0,,,216.0,1.0,2.0,,320.0,,1.0,183.0,,1429.0,,,,97.0,798.0,,,1.0,205.0,57.0,,,,12.0,24.0,6.0,21.0,1.0,17.0,40.0,76.0,2.0,4.0,4.0,370.0,58.0,24.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2018-19,120.0,6.3112,0.0,3.0,5.0,1.0938,80.0,13.0,2.0,270.0,36.0,,36.0,403.0,108.0,2396.0,1.0,,4.0,53.0,21.0,4.0,3219.0,4.0,,29.0,148.0,1.0,78.0,124.0,1913.0,,90.0,24.5868,40.0,47.0,20.0,2.0,91.0,1126.0,16.0,268.0,27.0,778.0,222.0,36.0,31.0,20.0,1189.0,19.0,114.0,2.0,215.0,24.0,0.0,2359.0,8.0,28.0,641.0,49.0,28.0,6.0,72.0,18.0,30.0,80.0,420.0,3223.0,270.0,3.0,1.0,64.0,825.0,10.0,0.7389,4.0,133.0,115.0,2.0,20.0,33.0,,,,19.0,,,15.0,,,,,,,,,11.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40755,Daniel Sturridge,Forward,Liverpool,14,England,2018-19,38.0,0.5979,0.0,5.0,6.0,2.6395,3.0,13.0,2.0,37.0,18.0,8.0,4.0,38.0,2.0,190.0,4.0,14.0,,22.0,1.0,2.0,499.0,2.0,,18.0,22.0,,8.0,18.0,143.0,,23.0,7.0761,7.0,,5.0,1.0,20.0,35.0,10.0,60.0,4.0,52.0,18.0,18.0,,4.0,108.0,5.0,2.0,1.0,38.0,4.0,0.0,187.0,7.0,3.0,75.0,3.0,5.0,,49.0,5.0,1.0,9.0,54.0,276.0,,1.0,4.0,,45.0,,1.233,1.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,4.0,2.0,2.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
38454,Dejan Lovren,Defender,Liverpool,14,Croatia,2018-19,39.0,0.3537,0.0,1.0,1.0,0.275,15.0,5.0,1.0,68.0,13.0,1.0,11.0,109.0,2.0,820.0,,2.0,,78.0,2.0,,986.0,,,25.0,78.0,,7.0,25.0,677.0,,9.0,7.9032,1.0,51.0,7.0,1.0,14.0,206.0,10.0,117.0,4.0,296.0,44.0,13.0,6.0,1.0,193.0,7.0,2.0,1.0,39.0,53.0,0.0,804.0,4.0,2.0,119.0,9.0,,7.0,267.0,3.0,11.0,34.0,51.0,957.0,2.0,1.0,,23.0,520.0,2.0,0.6993,1.0,41.0,36.0,,2.0,,,,,6.0,,,7.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
152760,Divock Origi,Forward,Liverpool,14,Belgium,2018-19,31.0,0.7163,0.0,4.0,6.0,2.2851,6.0,9.0,,29.0,12.0,4.0,4.0,33.0,5.0,108.0,4.0,8.0,,16.0,,2.0,367.0,2.0,,12.0,21.0,,9.0,17.0,69.0,,20.0,2.5102,2.0,1.0,2.0,,19.0,37.0,5.0,52.0,2.0,29.0,15.0,12.0,5.0,4.0,56.0,2.0,5.0,,36.0,4.0,0.0,107.0,3.0,7.0,67.0,1.0,6.0,,12.0,2.0,,6.0,30.0,186.0,1.0,3.0,4.0,2.0,19.0,,2.1703,0.0,4.0,7.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,3.0,1.0,1.0,,1.0,3.0,,,,1.0,0.068,2.0,1.0,1.0,,,,,,,,,,,
116643,Fabinho,Midfielder,Liverpool,14,Brazil,2018-19,126.0,1.6484,0.0,7.0,4.0,1.1602,59.0,10.0,2.0,162.0,28.0,15.0,21.0,236.0,7.0,1610.0,6.0,7.0,,95.0,3.0,1.0,2012.0,1.0,2.0,40.0,152.0,1.0,45.0,97.0,1302.0,,21.0,16.4644,14.0,26.0,14.0,1.0,86.0,481.0,30.0,278.0,28.0,449.0,120.0,28.0,28.0,6.0,744.0,13.0,7.0,1.0,183.0,55.0,0.0,1578.0,6.0,5.0,279.0,31.0,10.0,6.0,488.0,29.0,28.0,72.0,192.0,1914.0,4.0,3.0,6.0,27.0,633.0,26.0,1.0175,6.0,74.0,54.0,,3.0,,,,,10.0,,,8.0,,,,,,,,,2.0,,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
