playerId,playerName,position,team_name,team_id,nationality,season,punches,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,rightsidePasses,savesMade,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,goalKicks,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,aerialDuels,gkUnsuccessfulDistribution,cleanSheets,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,penaltiesSaved,catches,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,penaltyGoalsConceded,drops,lastPlayerTackle,headedGoals,tacklesWon,successfulCrossesOpenPlay,throughBalls,offsides,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,successfulCornersIntoBox,throwInsToOppositionPlayer,shotsBlockedInBox,iboxBlocked,blocks,unsuccessfulCornersIntoBox,clearancesOffTheLine,rightFootGoals,hitWoodwork,secondGoalAssists,foulWonPenalty,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,handballsConceded,penaltiesTaken,penaltyGoals
60706,Adrián,Goalkeeper,Liverpool,14,Spain,2020-21,3.0,6.8835,4.0,0.0005,6.0,9.0,0.0,22.0,10.0,0.0,1.0,0.0,32.0,26.0,3.0,5.0,3.0,3.0,6.0,3.0,7.0,20.0,80.0,0.0,22.0,1.0,0.0,37.0,50.0,22.0,1.0,4.0,1.0,4.0,26.0,10.0,270.0,116.0,1.0,2.0,13.0,54.0,50.0,4.0,0.0,17.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Liverpool,14,England,2020-21,,5.1093,,0.2803,,6.0,0.0,45.0,,0.0,29.0,0.0,34.0,15.0,13.0,,22.0,13.0,76.0,2.0,5.0,27.0,131.0,1.0,,4.0,0.0,,130.0,56.0,7.0,,,,29.0,9.0,244.0,189.0,10.0,1.0,4.0,28.0,95.0,,0.0,5.0,5.0,19.0,11.0,1.0,4.0,1.0,0.4766,4.0,7.0,1.0,1.0,6.0,8.0,1.0,1.0,11.0,2.0,1.0,1.0,3.0,11.0,6.0,6.0,1.0,16.0,1.0,1.0,2.0,4.0,1.0,6.0,8.0,11.0,22.0,3.0,6.0,1.0,3.0,2.0,23.0,2.0,2.0,1.0,2.0,0.2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116535,Alisson Becker,Goalkeeper,Liverpool,14,Brazil,2020-21,17.0,35.9256,18.0,0.0369,43.0,32.0,0.0,251.0,84.0,1.0,26.0,0.0,404.0,273.0,33.0,26.0,16.0,33.0,39.0,33.0,30.0,152.0,988.0,1.0,173.0,14.0,0.0,308.0,729.0,157.0,15.0,30.0,10.0,11.0,333.0,105.0,2970.0,1321.0,23.0,2.0,64.0,797.0,731.0,57.0,1.0,136.0,42.0,3.0,3.0,,1.0,,0.5259,3.0,1.0,,,2.0,,1.0,,,,,,1.0,,9.0,1.0,,2.0,6.0,,,1.0,,,,,11.0,,1.0,2.0,1.0,2.0,,,,,1.0,0.0864,1.0,18.0,2.0,8.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2020-21,,44.4037,14.0,5.8963,68.0,42.0,0.0,1318.0,,1.0,227.0,1.0,811.0,229.0,38.0,,294.0,38.0,1412.0,38.0,38.0,417.0,2680.0,0.0,,30.0,0.0,,2603.0,767.0,56.0,,10.0,,105.0,79.0,3385.0,3683.0,113.0,4.0,49.0,911.0,2184.0,,2.0,123.0,114.0,114.0,78.0,5.0,5.0,10.0,1.0696,46.0,14.0,7.0,1.0,31.0,135.0,1.0,1.0,,,4.0,4.0,26.0,81.0,83.0,98.0,59.0,88.0,10.0,30.0,,12.0,1.0,25.0,234.0,36.0,171.0,9.0,41.0,28.0,23.0,21.0,446.0,301.0,3.0,1.0,14.0,1.4709,,,,,1.0,,4.0,,,,34.0,36.0,2.0,8.0,119.0,60.0,1.0,20.0,20.0,4.0,4.0,9.0,80.0,1.0,,,,,,,,,,
152898,Ben Davies,Defender,Liverpool,14,England,2020-21,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182436,Ben Woodburn,Midfielder,Liverpool,14,Wales,2020-21,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480818,Billy Koumetio,Defender,Liverpool,14,France,2020-21,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200720,Caoimhín Kelleher,Goalkeeper,Liverpool,14,Ireland,2020-21,,2.104,1.0,0.0002,2.0,1.0,0.0,13.0,6.0,0.0,,0.0,21.0,16.0,2.0,,,2.0,1.0,2.0,1.0,13.0,52.0,0.0,14.0,,0.0,22.0,34.0,13.0,,4.0,1.0,1.0,18.0,4.0,180.0,73.0,,,8.0,38.0,35.0,6.0,0.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2020-21,,15.9358,1.0,1.3668,9.0,14.0,0.0,298.0,,1.0,158.0,0.0,205.0,80.0,24.0,,67.0,24.0,591.0,13.0,14.0,75.0,966.0,1.0,,14.0,0.0,,959.0,150.0,32.0,,2.0,,267.0,22.0,1178.0,1200.0,65.0,,2.0,301.0,869.0,,2.0,8.0,23.0,93.0,43.0,7.0,9.0,1.0,2.3606,16.0,12.0,2.0,8.0,19.0,6.0,1.0,3.0,11.0,2.0,6.0,6.0,18.0,23.0,51.0,32.0,10.0,75.0,13.0,13.0,2.0,10.0,,12.0,6.0,44.0,126.0,3.0,3.0,22.0,18.0,19.0,196.0,8.0,9.0,3.0,7.0,1.71,,,,,,,1.0,,,,6.0,1.0,1.0,1.0,,1.0,,,,4.0,4.0,,,,1.0,,,,,,,,,
194634,Diogo Jota,Forward,Liverpool,14,Portugal,2020-21,,,,,3.0,15.0,0.0,138.0,,1.0,198.0,4.0,105.0,53.0,19.0,,101.0,19.0,255.0,12.0,13.0,107.0,426.0,5.0,,14.0,0.0,,425.0,214.0,51.0,,,,90.0,8.0,1113.0,682.0,67.0,2.0,2.0,65.0,311.0,,2.0,6.0,20.0,131.0,55.0,5.0,26.0,5.0,,12.0,41.0,,13.0,27.0,17.0,9.0,,7.0,,,,37.0,27.0,53.0,97.0,12.0,94.0,20.0,9.0,,6.0,1.0,22.0,17.0,42.0,147.0,15.0,16.0,21.0,25.0,5.0,93.0,1.0,7.0,,14.0,,,,,,,,2.0,,,3.0,6.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,5.0,1.0,1.0,,,,,,,
